tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,defaultValue,semantics,description,profiles
Clinical measurements,,part of clinical observation,select,1,TRUE,,Clinical observations,,,,,http://purl.obolibrary.org/obo/NCIT_C87853,"A reference to a specific clinical observation (e.g., ""Ind001_Phen001"")","Patient registry, FAIR Genomes"
Clinical measurements,,code,ontology,1,TRUE,CatalogueOntologies,Analyses performed,,,,,http://purl.obolibrary.org/obo/NCIT_C25162,"A unique code that identifies or categorises this clinical measurement (e.g., ""Metabolomics"")","Patient registry, FAIR Genomes"
Clinical measurements,,variable,string,1,TRUE,,,,,,,http://purl.obolibrary.org/obo/NCIT_C54166,"A name that describes the clinical measurement (e.g.. ""Blood platelet count"")","Patient registry, FAIR Genomes"
Clinical measurements,,value,int,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C25712,"The value that was measured, collected, derived, etc. (e.g. ""55345"")","Patient registry, FAIR Genomes"
Clinical measurements,,unit,ontology,,,CatalogueOntologies,Units,,,,,http://purl.obolibrary.org/obo/NCIT_C25709,"A value that specifes the measured value (e.g., ""Per Millimeter"")","Patient registry, FAIR Genomes"
Metabolomic material processing,Processes,,,,,,,,,,,http://purl.obolibrary.org/obo/OBI_0000073,A metabolomics material processing is a protocol application including material enrollments and biomaterial transformations.,FAIR Genomes metabolomics add-on
Metabolomic material processing,,Metabolomic Material Processing,heading,,,,,,,,,,,FAIR Genomes metabolomics add-on
Metabolomic material processing,,processing type,ontology,,,CatalogueOntologies,Metabolomic processing type,,,,,http://purl.obolibrary.org/obo/OBI_0000094,A planned process which results in physical changes in a specified input material.,FAIR Genomes metabolomics add-on
Metabolomic material processing,,sample extraction,string,,,,,,,,,http://purl.obolibrary.org/obo/CHMO_0001577,The transfer of a solute from a liquid phase to another immiscible or partially-miscible liquid phase in contact with it.,FAIR Genomes metabolomics add-on
Metabolomic material processing,,filter used,string,,,,,,,,,http://purl.obolibrary.org/obo/CHMO_0001640,"The filter used in separating of suspended solids from a liquid or gas, usually by forcing a carrier gas or liquid through a porous medium.",FAIR Genomes metabolomics add-on
Metabolomic material processing,,passing rate,int,,,,,,,,,http://purl.obolibrary.org/obo/CHMO_0002751,The volume of carrier gas passing through a chromatography column in unit time.,FAIR Genomes metabolomics add-on
Metabolomic material processing,,SPE cartridge,string,,,,,,,,,http://purl.obolibrary.org/obo/OMIT_0025161,"A sample preparation technique using a solid adsorbent contained most commonly in a cartridge device, or on a disk to adsorb select species from solution.",FAIR Genomes metabolomics add-on
Metabolomic material processing,,washing protocol,text,,,,,,,,,http://purl.obolibrary.org/obo/OBI_0302888,Washing is a process by which a material entity acting as contaminant (e.g. excess staining reagent) is removed by application of one or more cycles of solution in flow.,FAIR Genomes metabolomics add-on
Metabolomic mass spec assays,Processes,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C60819,A qualitative or quantitative analysis performed to determine the amount of a particular constituent in a sample or the biological or pharmacological properties of a drug.,FAIR Genomes metabolomics add-on
Metabolomic mass spec assays,,Metabolomic Mass Spec Assays,heading,,,,,,,,,,,FAIR Genomes metabolomics add-on
Metabolomic mass spec assays,,assay type,ontology,,,CatalogueOntologies,Metabolomic assay type,,,,,http://purl.obolibrary.org/obo/CHMO_0000470,Spectrometry where the sample is converted into gaseous ions which are characterised by their mass-to-charge ratio and relative abundance.,FAIR Genomes metabolomics add-on
Metabolomic mass spec assays,,inlet port valve,string,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C50251,A valve that controls the flow of fluids in through the wall of a chamber.,FAIR Genomes metabolomics add-on
Metabolomic mass spec assays,,mass spectrometer,string,,,,,,,,,http://purl.obolibrary.org/obo/CHMO_0000982,"A piece of apparatus that consists of at least an ion source, a mass-to-charge analyser, a detector and a vacuum system and is used to measure mass spectra.",FAIR Genomes metabolomics add-on
Metabolomic mass spec assays,,ionization source,string,,,,,,,,,http://purl.obolibrary.org/obo/CHMO_0000960,A piece of apparatus that takes an analyte and generates ions which are passed to the rest of a mass spectrometer for analysis.,FAIR Genomes metabolomics add-on
Metabolomic mass spec assays,,chromatography column,string,,,,,,,,,http://purl.obolibrary.org/obo/CHMO_0000997,A piece of apparatus that has the form of a tube with a diameter between 5 to 50 mm and hosts the stationary bed in chromatography.,FAIR Genomes metabolomics add-on
Metabolomic mass spec assays,,phase separation protocol,text,,,,,,,,,http://purl.obolibrary.org/obo/CHMO_0002214,Any method for the synthesis of polymer membranes that involves the polymer transforming from the liquid phase of the cast solution to the solid phase.,FAIR Genomes metabolomics add-on
Metabolomic mass spec assays,,source conditions,string,,,,,,,,,http://purl.obolibrary.org/obo/ZECO_0000104,Condition in which variables of the experiment are manipulated to determine the variables effect by comparing to a control condition.,FAIR Genomes metabolomics add-on
Metabolomic analyses,Processes,,,,,,,,,,,http://edamontology.org/data_0949,"Basic information, annotation or documentation concerning a metabolomics analysis workflow (but not the workflow itself).",FAIR Genomes metabolomics add-on
Metabolomic analyses,,Metabolomic Analyses,heading,,,,,,,,,,,FAIR Genomes metabolomics add-on
Metabolomic analyses,,analysis type,ontology,,,CatalogueOntologies,Metabolomic analysis type,,,,,http://edamontology.org/operation_2945,Apply analytical methods to existing data of a specific type.,FAIR Genomes metabolomics add-on
Metabolomic analyses,,workflow definition,text,,,,,,,,,http://semanticscience.org/resource/SIO_000127,"File content or location that encapsulates the analysis workflow, i.e. a sequence of operations to achieve one or more objectives.",FAIR Genomes metabolomics add-on
Metabolomic analyses,,workflow engine,string,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C48293,"The engine used to execute the workflow such as Papermill, Jupyter, Galaxy or Nextflow.",FAIR Genomes metabolomics add-on
Metabolomic analyses,,workflow published,string,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C48471,A printed or electronic work offered for distribution.,FAIR Genomes metabolomics add-on
Metabolomic analyses,,containerized by,string,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C43186,The analysis has been boxed by a container engine such as Singularity or Docker.,FAIR Genomes metabolomics add-on
Metabolomic analyses,,software tools,string,,,,,,,,,http://purl.obolibrary.org/obo/ERO_0000071,A general term primarily used for digitally stored data such as computer programs and other kinds of information read and written by computers.,FAIR Genomes metabolomics add-on
Metabolomic analyses,,parameters,string,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C44175,Any factor that defines a system and determines (or limits) its performance.,FAIR Genomes metabolomics add-on
Metabolomic analyses,,dataformats stored,ontology_array,,,CatalogueOntologies,File formats,,,,,http://purl.obolibrary.org/obo/NCIT_C142494,"Which data file formats (i.e. defined ways or layouts of representing and structuring data in a computer file, blob, string, message, or elsewhere) are stored and potentially available.",FAIR Genomes metabolomics add-on
Metabolomic analyses,,standards used,string,,,,,,,,,http://semanticscience.org/resource/SIO_000618,"Any socially-agreed upon specifications used such as Common Workflow Language, mzML, ISA-TAB, FAIR Genomes, etc.",FAIR Genomes metabolomics add-on
Metabolomic analyses,,statistical methods applied,string,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C19044,"A method of analyzing or representing statistical data or a procedure for calculating a statistic, such as principal component analysis, affinity propagation clustering, T-test, etc.",FAIR Genomes metabolomics add-on
Processes,,Additional Process Information,heading,,,,,,,,,,,"Patient registry,FAIR Genomes"
Processes,,included in resources,multiselect,,,,Resources,,,,,http://purl.obolibrary.org/obo/HSO_0000370,"A reference to one or more resources that organises processes in a meaningful way (e.g., data releases, subpopulations, cohorts, etc.)","Patient registry"
Processes,,data source,select,,,,Resources,,,,,http://purl.obolibrary.org/obo/NCIT_C16493,"The source or origin of the record. For example, an organisation, database, system, etc.","Patient registry"
Processes,,date created at source,date,,,,,,,,,"dcterms:created,http://purl.obolibrary.org/obo/NCIT_C16493",The date the record was created at the source,"Patient registry, FAIR Genomes"
Processes,,created at source by,select,,,,Contacts,,,,,"http://purl.obolibrary.org/obo/NCIT_C51820,http://purl.obolibrary.org/obo/NCIT_C16493",The person who created the record at the source,"Patient registry, FAIR Genomes"
Processes,,date updated at source,date,,,,,,,,,"dcterms:modified,http://purl.obolibrary.org/obo/NCIT_C16493",The date the record was updated at the source,"Patient registry, FAIR Genomes"
Processes,,updated at source by,select,,,,Contacts,,,,,"http://purl.obolibrary.org/obo/NCIT_C51820,http://purl.obolibrary.org/obo/NCIT_C16493",The person who updated the record at the source,"Patient registry, FAIR Genomes"
Processes,,comments,text,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C25393,"A written explanation, observation or criticism added to textual material","Patient registry, FAIR Genomes"
