source,source dataset,source variables,source variables other datasets.dataset,source variables other datasets.name,target,target dataset,target variable,match,status,description,syntax,comments
PELAGIE,pelagie_q6,QE6_DATE_REPONSE_JJMMAAAA,maj_ddn_2021,DDN_2021,LifeCycle_CDM,outcome,adhd_age_8,complete,final,,adhd_age_8=(QE6_Date_Reponse_JJMMAAAA-ddn_2021)/365.2422;,
PELAGIE,pelagie_q12,DATE,maj_ddn_2021,DDN_2021,LifeCycle_CDM,outcome,adhd_age_11,complete,final,,adhd_age_11=(DATE-ddn_2021)/365.2422;,
PELAGIE,pelagie_q12,DATE,maj_ddn_2021,DDN_2021,LifeCycle_CDM,outcome,adhd_age_12,complete,final,,adhd_age_12=(DATE-ddn_2021)/365.2422;,
PELAGIE,pelagie_q12,DATE,maj_ddn_2021,DDN_2021,LifeCycle_CDM,outcome,adhd_age_13,complete,final,,adhd_age_13=(DATE-ddn_2021)/365.2422;,
PELAGIE,pelagie_q12,DATE,maj_ddn_2021,DDN_2021,LifeCycle_CDM,outcome,adhd_age_14,complete,final,,adhd_age_14=(DATE-ddn_2021)/365.2422;,
PELAGIE,harmonized,CHOLMES_146,,,LifeCycle_CDM,outcome,cholmes_147,complete,final,,cholmes_147=0;,
PELAGIE,harmonized,CHOLMES_146,,,LifeCycle_CDM,outcome,cholmes_148,complete,final,,cholmes_148=0;,
PELAGIE,harmonized,ADHD_INSTR_1,,,LifeCycle_CDM,outcome,adhd_instr_1,partial,final,"Partial CBCL scale:
(1)	how often would you say that your child has been unable to stay put, or has been restless or hyperactive?
(2)	how often would you say that your child was easily distracted, or had difficulty pursuing any activity?
(3)	how often would you say your child has constantly fidgeted?
(4)	how often would you say that your child has been unable to concentrate, or maintain attention for a long period?
(5)	how often would you say that your child has had difficulty waiting for their turn in a game?
(6)	how often would you say your child has been inattentive/distracted?",instr=13;,"Partial CBCL scale:
(1)	how often would you say that your child has been unable to stay put, or has been restless or hyperactive?
(2)	how often would you say that your child was easily distracted, or had difficulty pursuing any activity?
(3)	how often would you say your child has constantly fidgeted?
(4)	how often would you say that your child has been unable to concentrate, or maintain attention for a long period?
(5)	how often would you say that your child has had difficulty waiting for their turn in a game?
(6)	how often would you say your child has been inattentive/distracted?"
PELAGIE,harmonized,ADHD_INSTR_2,,,LifeCycle_CDM,outcome,adhd_instr_2,partial,final,"Partial CBCL scale:
(1)	how often would you say that your child has been unable to stay put, or has been restless or hyperactive?
(2)	how often would you say that your child was easily distracted, or had difficulty pursuing any activity?
(3)	how often would you say your child has constantly fidgeted?
(4)	how often would you say that your child has been unable to concentrate, or maintain attention for a long period?
(5)	how often would you say that your child has had difficulty waiting for their turn in a game?
(6)	how often would you say your child has been inattentive/distracted?",instr=13;,"Partial CBCL scale:
(1)	how often would you say that your child has been unable to stay put, or has been restless or hyperactive?
(2)	how often would you say that your child was easily distracted, or had difficulty pursuing any activity?
(3)	how often would you say your child has constantly fidgeted?
(4)	how often would you say that your child has been unable to concentrate, or maintain attention for a long period?
(5)	how often would you say that your child has had difficulty waiting for their turn in a game?
(6)	how often would you say your child has been inattentive/distracted?"
PELAGIE,harmonized,ADHD_INSTR_3,,,LifeCycle_CDM,outcome,adhd_instr_3,partial,final,"Partial CBCL scale:
(1)	how often would you say that your child has been unable to stay put, or has been restless or hyperactive?
(2)	how often would you say that your child was easily distracted, or had difficulty pursuing any activity?
(3)	how often would you say your child has constantly fidgeted?
(4)	how often would you say that your child has been unable to concentrate, or maintain attention for a long period?
(5)	how often would you say that your child has had difficulty waiting for their turn in a game?
(6)	how often would you say your child has been inattentive/distracted?",instr=13;,"Partial CBCL scale:
(1)	how often would you say that your child has been unable to stay put, or has been restless or hyperactive?
(2)	how often would you say that your child was easily distracted, or had difficulty pursuing any activity?
(3)	how often would you say your child has constantly fidgeted?
(4)	how often would you say that your child has been unable to concentrate, or maintain attention for a long period?
(5)	how often would you say that your child has had difficulty waiting for their turn in a game?
(6)	how often would you say your child has been inattentive/distracted?"
PELAGIE,harmonized,ADHD_INSTR_5,,,LifeCycle_CDM,outcome,adhd_instr_5,complete,final,,instr=47;,
PELAGIE,harmonized,ADHD_INSTR_6,,,LifeCycle_CDM,outcome,adhd_instr_6,complete,final,,instr=47;,
PELAGIE,pepsy,WISCC,,,LifeCycle_CDM,outcome,nvi_pro_6,partial,final,Only 1 task : Cubes to assess Perceptive Reasoning,"array NV{1} WISCc; NVi=N(of NV{*}); NVp=NVi/1; if NVp>=0.75 then do;
NV12_raw=sum(of NV{*});
NV12_mean=NV12_raw/NVi;
NV12_pro=round(NV12_mean*1,1);
end;",Only 1 task : Cubes to assess Perceptive Reasoning
PELAGIE,harmonized,CHOLMES_146,,,LifeCycle_CDM,outcome,cholmes_152,complete,final,,cholmes_152=0;,
SPF,SPF,,,,OOM_CDM,MEDICINES,prescriber_speciality_vocabulary,complete,,,,
PELAGIE,harmonized,CHOLMES_146,,,LifeCycle_CDM,outcome,cholmes_154,complete,final,,cholmes_154=0;,
PELAGIE,harmonized,CHOLMES_146,,,LifeCycle_CDM,outcome,cholmes_155,complete,final,,cholmes_155=0;,
PELAGIE,harmonized,CHOLMES_146,,,LifeCycle_CDM,outcome,cholmes_156,complete,final,,cholmes_156=0;,
PELAGIE,harmonized,CHOLMES_146,,,LifeCycle_CDM,outcome,cholmes_157,complete,final,,cholmes_157=0;,
PELAGIE,harmonized,CHOLMES_146,,,LifeCycle_CDM,outcome,cholmes_158,complete,final,,cholmes_158=0;,
PELAGIE,pelagie_dosage12,Q12_TRIGLYCERIDES,"pelagie_exam12,pelagie_exam12","AGE_EXAM_MOIS,AGE_EXAM_JOUR",LifeCycle_CDM,outcome,triglycerides_146,complete,final,,"pelagie_dosage12$triglyceridesage_146<-ifelse(pelagie_dosage12$age_exam_mois<147 & (!is.na(pelagie_dosage12$Q12_Triglycerides)),pelagie_dosage12$age_exam_jour,NA)",
PELAGIE,pelagie_dosage12,Q12_TRIGLYCERIDES,"pelagie_exam12,pelagie_exam12","AGE_EXAM_MOIS,AGE_EXAM_JOUR",LifeCycle_CDM,outcome,triglycerides_147,complete,final,,"pelagie_dosage12$triglyceridesage_147<-ifelse(pelagie_dosage12$age_exam_mois >=147 & pelagie_dosage12$age_exam_mois<148 & (!is.na(pelagie_dosage12$Q12_Triglycerides)),pelagie_dosage12$age_exam_jour,NA)",
PELAGIE,pelagie_q0,"M25,M26,M32,M21,DEBGROSF",maj_ddn_2021,DDN_2021,LifeCycle_CDM,core,weight_who_ga,complete,final,,"term_mater_2021=ga_bj/7;
if birth_weight ne . then do;
  if sex eq 1 and term_mater_2021 = 17 and birth_weight <= 152 then weight_who_ga=1;
  if sex eq 1 and term_mater_2021 = 17 and 152 <birth_weight <219 then weight_who_ga=2;  
  if sex eq 1 and term_mater_2021 = 17 and birth_weight >=219 then weight_who_ga=3;
  if sex eq 1 and term_mater_2021 = 18 and birth_weight <= 188 then weight_who_ga=1;
  if sex eq 1 and term_mater_2021 = 18 and 188 <birth_weight <271 then weight_who_ga=2;  
  if sex eq 1 and term_mater_2021 = 18 and birth_weight >=271 then weight_who_ga=3;
  if sex eq 1 and term_mater_2021 = 19 and birth_weight <= 232 then weight_who_ga=1;
  if sex eq 1 and term_mater_2021 = 19 and 232 <birth_weight <333 then weight_who_ga=2;  
  if sex eq 1 and term_mater_2021 = 19 and birth_weight >=333 then weight_who_ga=3;
  if sex eq 1 and term_mater_2021 = 20 and birth_weight <= 282 then weight_who_ga=1;
  if sex eq 1 and term_mater_2021 = 20 and 282 <birth_weight <405 then weight_who_ga=2;  
  if sex eq 1 and term_mater_2021 = 20 and birth_weight >=405 then weight_who_ga=3;
  if sex eq 1 and term_mater_2021 = 21 and birth_weight <= 341 then weight_who_ga=1;
  if sex eq 1 and term_mater_2021 = 21 and 341 <birth_weight <489 then weight_who_ga=2;  
  if sex eq 1 and term_mater_2021 = 21 and birth_weight >=489 then weight_who_ga=3;
  if sex eq 1 and term_mater_2021 = 22 and birth_weight <= 408 then weight_who_ga=1;
  if sex eq 1 and term_mater_2021 = 22 and 408 <birth_weight <586 then weight_who_ga=2;  
  if sex eq 1 and term_mater_2021 = 22 and birth_weight >=586 then weight_who_ga=3;

  if sex eq 1 and term_mater_2021 = 23 and birth_weight <= 484 then weight_who_ga=1;
  if sex eq 1 and term_mater_2021 = 23 and 484 <birth_weight <695 then weight_who_ga=2;  
  if sex eq 1 and term_mater_2021 = 23 and birth_weight >=695 then weight_who_ga=3;

  if sex eq 1 and term_mater_2021 = 24 and birth_weight <= 570 then weight_who_ga=1;
  if sex eq 1 and term_mater_2021 = 24 and 570 <birth_weight <818 then weight_who_ga=2;  
  if sex eq 1 and term_mater_2021 = 24 and birth_weight >=818 then weight_who_ga=3;

  if sex eq 1 and term_mater_2021 = 25 and birth_weight <= 666 then weight_who_ga=1;
  if sex eq 1 and term_mater_2021 = 25 and 666 <birth_weight <956 then weight_who_ga=2;  
  if sex eq 1 and term_mater_2021 = 25 and birth_weight >=956 then weight_who_ga=3;

  if sex eq 1 and term_mater_2021 = 26 and birth_weight <= 772 then weight_who_ga=1;
  if sex eq 1 and term_mater_2021 = 26 and 772 <birth_weight <1109 then weight_who_ga=2;  
  if sex eq 1 and term_mater_2021 = 26 and birth_weight >=1109 then weight_who_ga=3;

  if sex eq 1 and term_mater_2021 = 27 and birth_weight <= 888 then weight_who_ga=1;
  if sex eq 1 and term_mater_2021 = 27 and 888 <birth_weight <1276 then weight_who_ga=2;  
  if sex eq 1 and term_mater_2021 = 27 and birth_weight >=1276 then weight_who_ga=3;

  if sex eq 1 and term_mater_2021 = 28 and birth_weight <= 1014 then weight_who_ga=1;
  if sex eq 1 and term_mater_2021 = 28 and 1014 <birth_weight <1458 then weight_who_ga=2;  
  if sex eq 1 and term_mater_2021 = 28 and birth_weight >=1458 then weight_who_ga=3;

  if sex eq 1 and term_mater_2021 = 29 and birth_weight <= 1149 then weight_who_ga=1;
  if sex eq 1 and term_mater_2021 = 29 and 1149 <birth_weight <1654 then weight_who_ga=2;  
  if sex eq 1 and term_mater_2021 = 29 and birth_weight >=1654 then weight_who_ga=3;

  if sex eq 1 and term_mater_2021 = 30 and birth_weight <= 1293 then weight_who_ga=1;
  if sex eq 1 and term_mater_2021 = 30 and 1293 <birth_weight <1863 then weight_who_ga=2;  
  if sex eq 1 and term_mater_2021 = 30 and birth_weight >=1863 then weight_who_ga=3;

  if sex eq 1 and term_mater_2021 = 31 and birth_weight <= 1445 then weight_who_ga=1;
  if sex eq 1 and term_mater_2021 = 31 and 1445 <birth_weight <2085 then weight_who_ga=2;  
  if sex eq 1 and term_mater_2021 = 31 and birth_weight >=2085 then weight_who_ga=3;

  if sex eq 1 and term_mater_2021 = 32 and birth_weight <= 1605 then weight_who_ga=1;
  if sex eq 1 and term_mater_2021 = 32 and 1605 <birth_weight <2319 then weight_who_ga=2;  
  if sex eq 1 and term_mater_2021 = 32 and birth_weight >=2319 then weight_who_ga=3;

  if sex eq 1 and term_mater_2021 = 33 and birth_weight <= 1770 then weight_who_ga=1;
  if sex eq 1 and term_mater_2021 = 33 and 1770 <birth_weight <2562 then weight_who_ga=2;  
  if sex eq 1 and term_mater_2021 = 33 and birth_weight >=2562 then weight_who_ga=3;

  if sex eq 1 and term_mater_2021 = 34 and birth_weight <= 1941 then weight_who_ga=1;
  if sex eq 1 and term_mater_2021 = 34 and 1941 <birth_weight <2814 then weight_who_ga=2;  
  if sex eq 1 and term_mater_2021 = 34 and birth_weight >=2814 then weight_who_ga=3;

  if sex eq 1 and term_mater_2021 = 35 and birth_weight <= 2114 then weight_who_ga=1;
  if sex eq 1 and term_mater_2021 = 35 and 2114 <birth_weight <3072 then weight_who_ga=2;  
  if sex eq 1 and term_mater_2021 = 35 and birth_weight >=3072 then weight_who_ga=3;

  if sex eq 1 and term_mater_2021 = 36 and birth_weight <= 2290 then weight_who_ga=1;
  if sex eq 1 and term_mater_2021 = 36 and 2290 <birth_weight <3334 then weight_who_ga=2;  
  if sex eq 1 and term_mater_2021 = 36 and birth_weight >=3334 then weight_who_ga=3;

  if sex eq 1 and term_mater_2021 = 37 and birth_weight <= 2466 then weight_who_ga=1;
  if sex eq 1 and term_mater_2021 = 37 and 2466 <birth_weight <3598 then weight_who_ga=2;  
  if sex eq 1 and term_mater_2021 = 37 and birth_weight >=3598 then weight_who_ga=3;

  if sex eq 1 and term_mater_2021 = 38 and birth_weight <= 2641 then weight_who_ga=1;
  if sex eq 1 and term_mater_2021 = 38 and 2641 <birth_weight <3863 then weight_who_ga=2;  
  if sex eq 1 and term_mater_2021 = 38 and birth_weight >=3863 then weight_who_ga=3;

  if sex eq 1 and term_mater_2021 = 39 and birth_weight <= 2813 then weight_who_ga=1;
  if sex eq 1 and term_mater_2021 = 39 and 2813 <birth_weight <4125 then weight_who_ga=2;  
  if sex eq 1 and term_mater_2021 = 39 and birth_weight >=4125 then weight_who_ga=3;

  if sex eq 1 and term_mater_2021 = 40 and birth_weight <= 2880 then weight_who_ga=1;
  if sex eq 1 and term_mater_2021 = 40 and 2880 <birth_weight <4251 then weight_who_ga=2;  
  if sex eq 1 and term_mater_2021 = 40 and birth_weight > 4251 then weight_who_ga=3;

  if sex eq 1 and term_mater_2021 = 41 and birth_weight <= 2921 then weight_who_ga=1;
  if sex eq 1 and term_mater_2021 = 41 and 2921 <birth_weight <4459 then weight_who_ga=2;  
  if sex eq 1 and term_mater_2021 = 41 and birth_weight > 4459 then weight_who_ga=3;

  if sex eq 1 and term_mater_2021 = 42 and birth_weight <= 2845 then weight_who_ga=1;
  if sex eq 1 and term_mater_2021 = 42 and 2845 <birth_weight <4659 then weight_who_ga=2;  
  if sex eq 1 and term_mater_2021 = 42 and birth_weight > 4659 then weight_who_ga=3;
/*female*/
  if sex eq 2 and term_mater_2021 = 17 and birth_weight <= 145 then weight_who_ga=1;
  if sex eq 2 and term_mater_2021 = 17 and 145 <birth_weight <211 then weight_who_ga=2;  
  if sex eq 2 and term_mater_2021 = 17 and birth_weight >=211 then weight_who_ga=3;

  if sex eq 2 and term_mater_2021 = 18 and birth_weight <= 180 then weight_who_ga=1;
  if sex eq 2 and term_mater_2021 = 18 and 180 <birth_weight <261 then weight_who_ga=2;  
  if sex eq 2 and term_mater_2021 = 18 and birth_weight >=261 then weight_who_ga=3;

  if sex eq 2 and term_mater_2021 = 19 and birth_weight <= 221 then weight_who_ga=1;
  if sex eq 2 and term_mater_2021 = 19 and 221 <birth_weight <319 then weight_who_ga=2;  
  if sex eq 2 and term_mater_2021 = 19 and birth_weight >=319 then weight_who_ga=3;

  if sex eq 2 and term_mater_2021 = 20 and birth_weight <= 269 then weight_who_ga=1;
  if sex eq 2 and term_mater_2021 = 20 and 269 <birth_weight <387 then weight_who_ga=2;  
  if sex eq 2 and term_mater_2021 = 20 and birth_weight >=387 then weight_who_ga=3;

  if sex eq 2 and term_mater_2021 = 21 and birth_weight <= 324 then weight_who_ga=1;
  if sex eq 2 and term_mater_2021 = 21 and 324 <birth_weight <466 then weight_who_ga=2;  
  if sex eq 2 and term_mater_2021 = 21 and birth_weight >=466 then weight_who_ga=3;

  if sex eq 2 and term_mater_2021 = 22 and birth_weight <= 388 then weight_who_ga=1;
  if sex eq 2 and term_mater_2021 = 22 and 388 <birth_weight <557 then weight_who_ga=2;  
  if sex eq 2 and term_mater_2021 = 22 and birth_weight >=557 then weight_who_ga=3;

  if sex eq 2 and term_mater_2021 = 23 and birth_weight <= 461 then weight_who_ga=1;
  if sex eq 2 and term_mater_2021 = 23 and 461 <birth_weight <660 then weight_who_ga=2;  
  if sex eq 2 and term_mater_2021 = 23 and birth_weight >=660 then weight_who_ga=3;

  if sex eq 2 and term_mater_2021 = 24 and birth_weight <= 542 then weight_who_ga=1;
  if sex eq 2 and term_mater_2021 = 24 and 542 <birth_weight <776 then weight_who_ga=2;  
  if sex eq 2 and term_mater_2021 = 24 and birth_weight >=776 then weight_who_ga=3;

  if sex eq 2 and term_mater_2021 = 25 and birth_weight <= 634 then weight_who_ga=1;
  if sex eq 2 and term_mater_2021 = 25 and 634 <birth_weight <907 then weight_who_ga=2;  
  if sex eq 2 and term_mater_2021 = 25 and birth_weight >=907 then weight_who_ga=3;

  if sex eq 2 and term_mater_2021 = 26 and birth_weight <= 735 then weight_who_ga=1;
  if sex eq 2 and term_mater_2021 = 26 and 735 <birth_weight <1051 then weight_who_ga=2;  
  if sex eq 2 and term_mater_2021 = 26 and birth_weight >=1051 then weight_who_ga=3;

  if sex eq 2 and term_mater_2021 = 27 and birth_weight <= 846 then weight_who_ga=1;
  if sex eq 2 and term_mater_2021 = 27 and 846 <birth_weight <1210 then weight_who_ga=2;  
  if sex eq 2 and term_mater_2021 = 27 and birth_weight >=1210 then weight_who_ga=3;

  if sex eq 2 and term_mater_2021 = 28 and birth_weight <= 967 then weight_who_ga=1;
  if sex eq 2 and term_mater_2021 = 28 and 967 <birth_weight <1383 then weight_who_ga=2;  
  if sex eq 2 and term_mater_2021 = 28 and birth_weight >=1383 then weight_who_ga=3;

  if sex eq 2 and term_mater_2021 = 29 and birth_weight <= 1096 then weight_who_ga=1;
  if sex eq 2 and term_mater_2021 = 29 and 1096 <birth_weight <1570 then weight_who_ga=2;  
  if sex eq 2 and term_mater_2021 = 29 and birth_weight >=1570 then weight_who_ga=3;

  if sex eq 2 and term_mater_2021 = 30 and birth_weight <= 1234 then weight_who_ga=1;
  if sex eq 2 and term_mater_2021 = 30 and 1234 <birth_weight <1770 then weight_who_ga=2;  
  if sex eq 2 and term_mater_2021 = 30 and birth_weight >=1770 then weight_who_ga=3;

  if sex eq 2 and term_mater_2021 = 31 and birth_weight <= 1379 then weight_who_ga=1;
  if sex eq 2 and term_mater_2021 = 31 and 1379 <birth_weight <1984 then weight_who_ga=2;  
  if sex eq 2 and term_mater_2021 = 31 and birth_weight >=1984 then weight_who_ga=3;

  if sex eq 2 and term_mater_2021 = 32 and birth_weight <= 1530 then weight_who_ga=1;
  if sex eq 2 and term_mater_2021 = 32 and 1530 <birth_weight <2209 then weight_who_ga=2;  
  if sex eq 2 and term_mater_2021 = 32 and birth_weight >=2209 then weight_who_ga=3;

  if sex eq 2 and term_mater_2021 = 33 and birth_weight <= 1687 then weight_who_ga=1;
  if sex eq 2 and term_mater_2021 = 33 and 1687 <birth_weight <2445 then weight_who_ga=2;  
  if sex eq 2 and term_mater_2021 = 33 and birth_weight >=2445 then weight_who_ga=3;

  if sex eq 2 and term_mater_2021 = 34 and birth_weight <= 1847 then weight_who_ga=1;
  if sex eq 2 and term_mater_2021 = 34 and 1847 <birth_weight <2814 then weight_who_ga=2;  
  if sex eq 2 and term_mater_2021 = 34 and birth_weight >=2690 then weight_who_ga=3;

  if sex eq 2 and term_mater_2021 = 35 and birth_weight <= 2008 then weight_who_ga=1;
  if sex eq 2 and term_mater_2021 = 35 and 2008 <birth_weight <2943 then weight_who_ga=2;  
  if sex eq 2 and term_mater_2021 = 35 and birth_weight >=2943 then weight_who_ga=3;

  if sex eq 2 and term_mater_2021 = 36 and birth_weight <= 2169 then weight_who_ga=1;
  if sex eq 2 and term_mater_2021 = 36 and 2169 <birth_weight <3201 then weight_who_ga=2;  
  if sex eq 2 and term_mater_2021 = 36 and birth_weight >=3201 then weight_who_ga=3;

  if sex eq 2 and term_mater_2021 = 37 and birth_weight <= 2329 then weight_who_ga=1;
  if sex eq 2 and term_mater_2021 = 37 and 2329 <birth_weight <3462 then weight_who_ga=2;  
  if sex eq 2 and term_mater_2021 = 37 and birth_weight >=3462 then weight_who_ga=3;

  if sex eq 2 and term_mater_2021 = 38 and birth_weight <= 2484 then weight_who_ga=1;
  if sex eq 2 and term_mater_2021 = 38 and 2484 <birth_weight <3725 then weight_who_ga=2;  
  if sex eq 2 and term_mater_2021 = 38 and birth_weight >=3725 then weight_who_ga=3;

  if sex eq 2 and term_mater_2021 = 39 and birth_weight <= 2633 then weight_who_ga=1;
  if sex eq 2 and term_mater_2021 = 39 and 2633 <birth_weight <3988 then weight_who_ga=2;  
  if sex eq 2 and term_mater_2021 = 39 and birth_weight >=3988 then weight_who_ga=3;

  if sex eq 2 and term_mater_2021 = 40 and birth_weight <= 2748 then weight_who_ga=1;
  if sex eq 2 and term_mater_2021 = 40 and 2748 <birth_weight <4060 then weight_who_ga=2;  
  if sex eq 2 and term_mater_2021 = 40 and birth_weight > 4060 then weight_who_ga=3;

  if sex eq 2 and term_mater_2021 = 41 and birth_weight <= 2835 then weight_who_ga=1;
  if sex eq 2 and term_mater_2021 = 41 and 2835 <birth_weight <4171 then weight_who_ga=2;  
  if sex eq 2 and term_mater_2021 = 41 and birth_weight > 4171 then weight_who_ga=3;

  if sex eq 2 and term_mater_2021 = 42 and birth_weight <= 2834 then weight_who_ga=1;
  if sex eq 2 and term_mater_2021 = 42 and 2834 <birth_weight <4200 then weight_who_ga=2;  
  if sex eq 2 and term_mater_2021 = 42 and birth_weight > 4200 then weight_who_ga=3;
end;",
PELAGIE,pelagie_q0,V1_V2_V3,,,LifeCycle_CDM,core,mother_id,complete,final,,random number,
PELAGIE,harmonized,INT_INSTR_11,,,LifeCycle_CDM,outcome,int_instr_11,complete,final,,instr=47;,
PELAGIE,harmonized,INT_INSTR_12,,,LifeCycle_CDM,outcome,int_instr_12,complete,final,,instr=47;,
PELAGIE,harmonized,PREG_NO,,,LifeCycle_CDM,core,preg_no,complete,final,Only 1 pregnancy per mother,preg_no = 1,Only 1 pregnancy per mother
PELAGIE,pelagie_q0,P1,,,LifeCycle_CDM,core,child_no,complete,final,,child_no = P1,
PELAGIE,harmonized,CHILD_ID,,,LifeCycle_CDM,core,child_id,complete,final,,child_id = mother_id*1000 + child_no,
PELAGIE,harmonized,COHORT_ID,,,LifeCycle_CDM,core,cohort_id,complete,final,,cohort_id = 127,
PELAGIE,pelagie_q0,V4,maj_ddn_2021,DDN_2021,LifeCycle_CDM,core,recruit_age,complete,final,,recruit_age = v4 - ddn_2021;,
PELAGIE,harmonized,COH_COUNTRY,,,LifeCycle_CDM,core,coh_country,complete,final,,coh_country=250,
PELAGIE,pelagie_q0,V168,,,LifeCycle_CDM,core,cohab_0,partial,final,"cohab_0 corresponds to the status at inclusion (1st and 2nd trimesters of pregnancy) and is corrected by the status at birth when reported in the follow-ups at 2, 6  or 12 years of age.",cohab_0=v168,"cohab_0 corresponds to the status at inclusion (1st and 2nd trimesters of pregnancy) and is corrected by the status at birth when reported in the follow-ups at 2, 6  or 12 years of age."
PELAGIE,pelagie_q2,C618,,,LifeCycle_CDM,core,occup_m_2,complete,final,,"if c618 in (6 1) then occup_m_2=1;
else if c618 eq 3 then occup_m_2=4;
else if c618 in (2 0) then occup_m_2=5;
else if c618 eq 4 then occup_m_2=3;
else if c618 eq 5 then occup_m_2=6;",
PELAGIE,pelagie_q12,DATE,maj_ddn_2021,DDN_2021,LifeCycle_CDM,outcome,ext_age_12,complete,final,,ext_age_12=(DATE-ddn_2021)/365.2422;,
PELAGIE,pelagie_q2,"C611,C612",,,LifeCycle_CDM,core,cohab_1,partial,final,"Reported from the follow-ups at 2, 6 and 12 years of age, with extrapolation between these follow-ups when there was no split-up or a split-up with available date.","if c611 in (0, 1, 2) and c612 in (3, 4) then splitup_q2=1;
else if c611 eq 3 then splitup_q2=0;
if c611 in (0, 1, 2) then cohab_2=2;
else if c611 eq 3 then cohab_2=1;","Reported from the follow-ups at 2, 6 and 12 years of age, with extrapolation between these follow-ups when there was no split-up or a split-up with available date."
PELAGIE,pelagie_q12,SP_Q1_2,,,LifeCycle_CDM,core,weight_f1,complete,final,data collected at the 12yo follow-up,weight_f1=sp_q1_2;,data collected at the 12yo follow-up
PELAGIE,pelagie_q2,"C611,C612",,,LifeCycle_CDM,core,cohab_2,partial,final,"Reported from the follow-ups at 2, 6 and 12 years of age, with extrapolation between these follow-ups when there was no split-up or a split-up with available date.","if c611 in (0, 1, 2) and c612 in (3, 4) then splitup_q2=1;
else if c611 eq 3 then splitup_q2=0;
if c611 in (0, 1, 2) then cohab_2=2;
else if c611 eq 3 then cohab_2=1;","Reported from the follow-ups at 2, 6 and 12 years of age, with extrapolation between these follow-ups when there was no split-up or a split-up with available date."
PELAGIE,pelagie_q2,"C611,C612",,,LifeCycle_CDM,core,cohab_3,partial,final,"Reported from the follow-ups at 2, 6 and 12 years of age, with extrapolation between these follow-ups when there was no split-up or a split-up with available date.","if c611 in (0, 1, 2) and c612 in (3, 4) then splitup_q2=1;
else if c611 eq 3 then splitup_q2=0;
if c611 in (0, 1, 2) then cohab_2=2;
else if c611 eq 3 then cohab_2=1;","Reported from the follow-ups at 2, 6 and 12 years of age, with extrapolation between these follow-ups when there was no split-up or a split-up with available date."
PELAGIE,harmonized,DEATH_M,,,LifeCycle_CDM,core,death_m,partial,final,non-exhaustive information,from free text,non-exhaustive information
PELAGIE,pelagie_q6,"QE6_A1,QE6_A4,QE6_A4_DATE_AAMM",,,LifeCycle_CDM,core,cohab_5,partial,final,"Reported from the follow-ups at 2, 6 and 12 years of age, with extrapolation between these follow-ups when there was no split-up or a split-up with available date.","if qe6_a4_date_aamm ne . and qe6_a4_date_aamm ge 100  then
nb_an_splitup=int(qe6_a4_date_aamm/100);
if qe6_a4_date_aamm ne . and qe6_a4_date_aamm ge 100  then
nb_mois_splitup=qe6_a4_date_aamm-(int(qe6_a4_date_aamm/100)*100);
if qe6_a4_date_aamm ne . and qe6_a4_date_aamm lt 100  then do;nb_an_splitup=0;nb_mois_splitup=qe6_a4_date_aamm;end;
if qe6_a4 in (3 4) then splitup_q6=1;
else if nb_mois_splitup ge 0 then splitup_q6=1;

if qe6_a1 eq 1 then do;cohab_6=1;splitup_q6=0;end;
else if qe6_a1 eq 0 then cohab_6=2;","Reported from the follow-ups at 2, 6 and 12 years of age, with extrapolation between these follow-ups when there was no split-up or a split-up with available date."
PELAGIE,pelagie_q6,QE6_A7,,,LifeCycle_CDM,core,occup_m_6,complete,final,,"if qe6_a7 in (6 1) then occup_m_6=1;
else if qe6_a7 eq 3 then occup_m_6=4;
else if qe6_a7 in (2 0) then occup_m_6=5;
else if qe6_a7 eq 4 then occup_m_6=3;
else if qe6_a7 eq 5 then occup_m_6=6;",
PELAGIE,pelagie_q2,C618,,,LifeCycle_CDM,core,occup_m_3,complete,final,,"if c618 in (6 1) then occup_m_2=1;
else if c618 eq 3 then occup_m_2=4;
else if c618 in (2 0) then occup_m_2=5;
else if c618 eq 4 then occup_m_2=3;
else if c618 eq 5 then occup_m_2=6;",
PELAGIE,pelagie_q6,"QE6_A1,QE6_A4,QE6_A4_DATE_AAMM",,,LifeCycle_CDM,core,cohab_6,partial,final,"Reported from the follow-ups at 2, 6 and 12 years of age, with extrapolation between these follow-ups when there was no split-up or a split-up with available date.","if qe6_a4_date_aamm ne . and qe6_a4_date_aamm ge 100  then
nb_an_splitup=int(qe6_a4_date_aamm/100);
if qe6_a4_date_aamm ne . and qe6_a4_date_aamm ge 100  then
nb_mois_splitup=qe6_a4_date_aamm-(int(qe6_a4_date_aamm/100)*100);
if qe6_a4_date_aamm ne . and qe6_a4_date_aamm lt 100  then do;nb_an_splitup=0;nb_mois_splitup=qe6_a4_date_aamm;end;
if qe6_a4 in (3 4) then splitup_q6=1;
else if nb_mois_splitup ge 0 then splitup_q6=1;

if qe6_a1 eq 1 then do;cohab_6=1;splitup_q6=0;end;
else if qe6_a1 eq 0 then cohab_6=2;","Reported from the follow-ups at 2, 6 and 12 years of age, with extrapolation between these follow-ups when there was no split-up or a split-up with available date."
