name,order,code,parent,ontologyTermURI,definition,codesystem
C67.4 Malignant neoplasm of bladder - Posterior wall of bladder,1289,C67.4,C64-C68 Malignant neoplasms of urinary tract,http://identifiers.org/icd/C67.4,,ICD10
C67.5 Malignant neoplasm of bladder - Bladder neck,1290,C67.5,C64-C68 Malignant neoplasms of urinary tract,http://identifiers.org/icd/C67.5,,ICD10
C67.6 Malignant neoplasm of bladder - Ureteric orifice,1291,C67.6,C64-C68 Malignant neoplasms of urinary tract,http://identifiers.org/icd/C67.6,,ICD10
C67.7 Malignant neoplasm of bladder - Urachus,1292,C67.7,C64-C68 Malignant neoplasms of urinary tract,http://identifiers.org/icd/C67.7,,ICD10
C67.8 Malignant neoplasm of bladder - Overlapping lesion of bladder,1293,C67.8,C64-C68 Malignant neoplasms of urinary tract,http://identifiers.org/icd/C67.8,,ICD10
"C67.9 Malignant neoplasm of bladder - Bladder, unspecified",1294,C67.9,C64-C68 Malignant neoplasms of urinary tract,http://identifiers.org/icd/C67.9,,ICD10
C68 Malignant neoplasm of other and unspecified urinary organs,1295,C68,C64-C68 Malignant neoplasms of urinary tract,http://identifiers.org/icd/C68,,ICD10
C68.0 Malignant neoplasm of other and unspecified urinary organs - Urethra,1296,C68.0,C64-C68 Malignant neoplasms of urinary tract,http://identifiers.org/icd/C68.0,,ICD10
C68.1 Malignant neoplasm of other and unspecified urinary organs - Paraurethral gland,1297,C68.1,C64-C68 Malignant neoplasms of urinary tract,http://identifiers.org/icd/C68.1,,ICD10
C68.8 Malignant neoplasm of other and unspecified urinary organs - Overlapping lesion of urinary organs,1298,C68.8,C64-C68 Malignant neoplasms of urinary tract,http://identifiers.org/icd/C68.8,,ICD10
"C68.9 Malignant neoplasm of other and unspecified urinary organs - Urinary organ, unspecified",1299,C68.9,C64-C68 Malignant neoplasms of urinary tract,http://identifiers.org/icd/C68.9,,ICD10
"C69-C72 Malignant neoplasms of eye, brain and other parts of central nervous system",1300,C69-C72,"C00-C75 Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic and related tissue",,,ICD10
C69 Malignant neoplasm of eye and adnexa,1301,C69,"C69-C72 Malignant neoplasms of eye, brain and other parts of central nervous system",http://identifiers.org/icd/C69,,ICD10
C69.0 Malignant neoplasm of eye and adnexa - Conjunctiva,1302,C69.0,"C69-C72 Malignant neoplasms of eye, brain and other parts of central nervous system",http://identifiers.org/icd/C69.0,,ICD10
C69.1 Malignant neoplasm of eye and adnexa - Cornea,1303,C69.1,"C69-C72 Malignant neoplasms of eye, brain and other parts of central nervous system",http://identifiers.org/icd/C69.1,,ICD10
C69.2 Malignant neoplasm of eye and adnexa - Retina,1304,C69.2,"C69-C72 Malignant neoplasms of eye, brain and other parts of central nervous system",http://identifiers.org/icd/C69.2,ORPHAcode: 790 Retinoblastoma,ICD10
C69.3 Malignant neoplasm of eye and adnexa - Choroid,1305,C69.3,"C69-C72 Malignant neoplasms of eye, brain and other parts of central nervous system",http://identifiers.org/icd/C69.3,ORPHAcode: 39044 Uveal melanoma,ICD10
C69.4 Malignant neoplasm of eye and adnexa - Ciliary body,1306,C69.4,"C69-C72 Malignant neoplasms of eye, brain and other parts of central nervous system",http://identifiers.org/icd/C69.4,,ICD10
C69.5 Malignant neoplasm of eye and adnexa - Lacrimal gland and duct,1307,C69.5,"C69-C72 Malignant neoplasms of eye, brain and other parts of central nervous system",http://identifiers.org/icd/C69.5,,ICD10
C69.6 Malignant neoplasm of eye and adnexa - Orbit,1308,C69.6,"C69-C72 Malignant neoplasms of eye, brain and other parts of central nervous system",http://identifiers.org/icd/C69.6,,ICD10
C69.8 Malignant neoplasm of eye and adnexa - Overlapping lesion of eye and adnexa,1309,C69.8,"C69-C72 Malignant neoplasms of eye, brain and other parts of central nervous system",http://identifiers.org/icd/C69.8,,ICD10
"C69.9 Malignant neoplasm of eye and adnexa - Eye, unspecified",1310,C69.9,"C69-C72 Malignant neoplasms of eye, brain and other parts of central nervous system",http://identifiers.org/icd/C69.9,,ICD10
C70 Malignant neoplasm of meninges,1311,C70,"C69-C72 Malignant neoplasms of eye, brain and other parts of central nervous system",http://identifiers.org/icd/C70,,ICD10
C70.0 Malignant neoplasm of meninges - Cerebral meninges,1312,C70.0,"C69-C72 Malignant neoplasms of eye, brain and other parts of central nervous system",http://identifiers.org/icd/C70.0,,ICD10
C70.1 Malignant neoplasm of meninges - Spinal meninges,1313,C70.1,"C69-C72 Malignant neoplasms of eye, brain and other parts of central nervous system",http://identifiers.org/icd/C70.1,,ICD10
"C70.9 Malignant neoplasm of meninges - Meninges, unspecified",1314,C70.9,"C69-C72 Malignant neoplasms of eye, brain and other parts of central nervous system",http://identifiers.org/icd/C70.9,ORPHAcode: 252031 Diffuse leptomeningeal melanocytosis,ICD10
C71 Malignant neoplasm of brain,1315,C71,"C69-C72 Malignant neoplasms of eye, brain and other parts of central nervous system",http://identifiers.org/icd/C71,,ICD10
"C71.0 Malignant neoplasm of brain - Cerebrum, except lobes and ventricles",1316,C71.0,"C69-C72 Malignant neoplasms of eye, brain and other parts of central nervous system",http://identifiers.org/icd/C71.0,ORPHAcode: 251582 Gliomatosis cerebri,ICD10
C71.1 Malignant neoplasm of brain - Frontal lobe,1317,C71.1,"C69-C72 Malignant neoplasms of eye, brain and other parts of central nervous system",http://identifiers.org/icd/C71.1,,ICD10
C71.2 Malignant neoplasm of brain - Temporal lobe,1318,C71.2,"C69-C72 Malignant neoplasms of eye, brain and other parts of central nervous system",http://identifiers.org/icd/C71.2,ORPHAcode: 252015 Choriocarcinoma of the central nervous system,ICD10
C71.3 Malignant neoplasm of brain - Parietal lobe,1319,C71.3,"C69-C72 Malignant neoplasms of eye, brain and other parts of central nervous system",http://identifiers.org/icd/C71.3,,ICD10
C71.4 Malignant neoplasm of brain - Occipital lobe,1320,C71.4,"C69-C72 Malignant neoplasms of eye, brain and other parts of central nervous system",http://identifiers.org/icd/C71.4,,ICD10
C71.5 Malignant neoplasm of brain - Cerebral ventricle,1321,C71.5,"C69-C72 Malignant neoplasms of eye, brain and other parts of central nervous system",http://identifiers.org/icd/C71.5,ORPHAcode: 251902 Atypical papilloma of choroid plexus,ICD10
C71.6 Malignant neoplasm of brain - Cerebellum,1322,C71.6,"C69-C72 Malignant neoplasms of eye, brain and other parts of central nervous system",http://identifiers.org/icd/C71.6,ORPHAcode: 616 Medulloblastoma,ICD10
C71.7 Malignant neoplasm of brain - Brain stem,1323,C71.7,"C69-C72 Malignant neoplasms of eye, brain and other parts of central nervous system",http://identifiers.org/icd/C71.7,ORPHAcode: 251899 Choroid plexus carcinoma,ICD10
C71.8 Malignant neoplasm of brain - Overlapping lesion of brain,1324,C71.8,"C69-C72 Malignant neoplasms of eye, brain and other parts of central nervous system",http://identifiers.org/icd/C71.8,,ICD10
"C71.9 Malignant neoplasm of brain - Brain, unspecified",1325,C71.9,"C69-C72 Malignant neoplasms of eye, brain and other parts of central nervous system",http://identifiers.org/icd/C71.9,ORPHAcode: 360 Glioblastoma,ICD10
"C72 Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",1326,C72,"C69-C72 Malignant neoplasms of eye, brain and other parts of central nervous system",http://identifiers.org/icd/C72,,ICD10
"C72.0 Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system - Spinal cord",1327,C72.0,"C69-C72 Malignant neoplasms of eye, brain and other parts of central nervous system",http://identifiers.org/icd/C72.0,,ICD10
"C72.1 Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system - Cauda equina",1328,C72.1,"C69-C72 Malignant neoplasms of eye, brain and other parts of central nervous system",http://identifiers.org/icd/C72.1,,ICD10
"C72.2 Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system - Olfactory nerve",1329,C72.2,"C69-C72 Malignant neoplasms of eye, brain and other parts of central nervous system",http://identifiers.org/icd/C72.2,,ICD10
"C72.3 Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system - Optic nerve",1330,C72.3,"C69-C72 Malignant neoplasms of eye, brain and other parts of central nervous system",http://identifiers.org/icd/C72.3,,ICD10
"C72.4 Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system - Acoustic nerve",1331,C72.4,"C69-C72 Malignant neoplasms of eye, brain and other parts of central nervous system",http://identifiers.org/icd/C72.4,,ICD10
"C72.5 Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system - Other and unspecified cranial nerves",1332,C72.5,"C69-C72 Malignant neoplasms of eye, brain and other parts of central nervous system",http://identifiers.org/icd/C72.5,,ICD10
"C72.8 Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system - Overlapping lesion of brain and other parts of central nervous system",1333,C72.8,"C69-C72 Malignant neoplasms of eye, brain and other parts of central nervous system",http://identifiers.org/icd/C72.8,ORPHAcode: 1672 Diencephalic syndrome,ICD10
"C75.8 Malignant neoplasm of other endocrine glands and related structures - Pluriglandular involvement, unspecified",1334,C75.8,C73-C75 Malignant neoplasms of thyroid and other endocrine glands,http://identifiers.org/icd/C75.8,,ICD10
"C72.9 Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system - Central nervous system, unspecified",1335,C72.9,"C69-C72 Malignant neoplasms of eye, brain and other parts of central nervous system",http://identifiers.org/icd/C72.9,ORPHAcode: 251883 Medulloepithelioma of the central nervous system,ICD10
C73-C75 Malignant neoplasms of thyroid and other endocrine glands,1336,C73-C75,"C00-C75 Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic and related tissue",,,ICD10
C73 Malignant neoplasm of thyroid gland,1337,C73,C73-C75 Malignant neoplasms of thyroid and other endocrine glands,http://identifiers.org/icd/C73,ORPHAcode: 142 Anaplastic thyroid carcinoma,ICD10
C74 Malignant neoplasm of adrenal gland,1338,C74,C73-C75 Malignant neoplasms of thyroid and other endocrine glands,http://identifiers.org/icd/C74,,ICD10
C74.0 Malignant neoplasm of adrenal gland - Cortex of adrenal gland,1339,C74.0,C73-C75 Malignant neoplasms of thyroid and other endocrine glands,http://identifiers.org/icd/C74.0,ORPHAcode: 1501 Adrenocortical carcinoma,ICD10
C74.1 Malignant neoplasm of adrenal gland - Medulla of adrenal gland,1340,C74.1,C73-C75 Malignant neoplasms of thyroid and other endocrine glands,http://identifiers.org/icd/C74.1,ORPHAcode: 29072 Hereditary pheochromocytoma-paraganglioma,ICD10
"C74.9 Malignant neoplasm of adrenal gland - Adrenal gland, unspecified",1341,C74.9,C73-C75 Malignant neoplasms of thyroid and other endocrine glands,http://identifiers.org/icd/C74.9,ORPHAcode: 635 Neuroblastoma,ICD10
C75 Malignant neoplasm of other endocrine glands and related structures,1342,C75,C73-C75 Malignant neoplasms of thyroid and other endocrine glands,http://identifiers.org/icd/C75,,ICD10
C75.0 Malignant neoplasm of other endocrine glands and related structures - Parathyroid gland,1343,C75.0,C73-C75 Malignant neoplasms of thyroid and other endocrine glands,http://identifiers.org/icd/C75.0,ORPHAcode: 143 Parathyroid carcinoma,ICD10
C75.1 Malignant neoplasm of other endocrine glands and related structures - Pituitary gland,1344,C75.1,C73-C75 Malignant neoplasms of thyroid and other endocrine glands,http://identifiers.org/icd/C75.1,ORPHAcode: 300385 Pituitary carcinoma,ICD10
C75.2 Malignant neoplasm of other endocrine glands and related structures - Craniopharyngeal duct,1345,C75.2,C73-C75 Malignant neoplasms of thyroid and other endocrine glands,http://identifiers.org/icd/C75.2,,ICD10
C75.3 Malignant neoplasm of other endocrine glands and related structures - Pineal gland,1346,C75.3,C73-C75 Malignant neoplasms of thyroid and other endocrine glands,http://identifiers.org/icd/C75.3,ORPHAcode: 251909 Pineoblastoma,ICD10
C75.4 Malignant neoplasm of other endocrine glands and related structures - Carotid body,1347,C75.4,C73-C75 Malignant neoplasms of thyroid and other endocrine glands,http://identifiers.org/icd/C75.4,,ICD10
C75.5 Malignant neoplasm of other endocrine glands and related structures - Aortic body and other paraganglia,1348,C75.5,C73-C75 Malignant neoplasms of thyroid and other endocrine glands,http://identifiers.org/icd/C75.5,,ICD10
"C75.9 Malignant neoplasm of other endocrine glands and related structures - Endocrine gland, unspecified",1349,C75.9,C73-C75 Malignant neoplasms of thyroid and other endocrine glands,http://identifiers.org/icd/C75.9,,ICD10
"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",1350,C76-C80,"C00-C75 Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic and related tissue",,,ICD10
C76 Malignant neoplasm of other and ill-defined sites,1351,C76,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C76,,ICD10
"C76.0 Malignant neoplasm of other and ill-defined sites - Head, face and neck",1352,C76.0,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C76.0,,ICD10
C76.1 Malignant neoplasm of other and ill-defined sites - Thorax,1353,C76.1,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C76.1,,ICD10
C76.2 Malignant neoplasm of other and ill-defined sites - Abdomen,1354,C76.2,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C76.2,,ICD10
C76.3 Malignant neoplasm of other and ill-defined sites - Pelvis,1355,C76.3,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C76.3,,ICD10
C76.4 Malignant neoplasm of other and ill-defined sites - Upper limb,1356,C76.4,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C76.4,,ICD10
C76.5 Malignant neoplasm of other and ill-defined sites - Lower limb,1357,C76.5,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C76.5,,ICD10
C76.7 Malignant neoplasm of other and ill-defined sites - Other ill-defined sites,1358,C76.7,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C76.7,ORPHAcode: 178 Chordoma,ICD10
C76.8 Malignant neoplasm of other and ill-defined sites - Overlapping lesion of other and ill-defined sites,1359,C76.8,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C76.8,,ICD10
C77 Secondary and unspecified malignant neoplasm of lymph nodes,1360,C77,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C77,,ICD10
"C77.0 Secondary and unspecified malignant neoplasm of lymph nodes - Lymph nodes of head, face and neck",1361,C77.0,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C77.0,,ICD10
C77.1 Secondary and unspecified malignant neoplasm of lymph nodes - Intrathoracic lymph nodes,1362,C77.1,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C77.1,,ICD10
C81 Hodgkin lymphoma,1363,C81,"C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",http://identifiers.org/icd/C81,,ICD10
C77.2 Secondary and unspecified malignant neoplasm of lymph nodes - Intra-abdominal lymph nodes,1364,C77.2,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C77.2,,ICD10
C77.3 Secondary and unspecified malignant neoplasm of lymph nodes - Axillary and upper limb lymph nodes,1365,C77.3,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C77.3,,ICD10
C77.4 Secondary and unspecified malignant neoplasm of lymph nodes - Inguinal and lower limb lymph nodes,1366,C77.4,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C77.4,,ICD10
C77.5 Secondary and unspecified malignant neoplasm of lymph nodes - Intrapelvic lymph nodes,1367,C77.5,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C77.5,,ICD10
C77.8 Secondary and unspecified malignant neoplasm of lymph nodes - Lymph nodes of multiple regions,1368,C77.8,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C77.8,,ICD10
"C77.9 Secondary and unspecified malignant neoplasm of lymph nodes - Lymph node, unspecified",1369,C77.9,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C77.9,,ICD10
C78 Secondary malignant neoplasm of respiratory and digestive organs,1370,C78,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C78,,ICD10
C78.0 Secondary malignant neoplasm of lung,1371,C78.0,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C78.0,,ICD10
C78.1 Secondary malignant neoplasm of mediastinum,1372,C78.1,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C78.1,,ICD10
C78.2 Secondary malignant neoplasm of pleura,1373,C78.2,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C78.2,,ICD10
C78.3 Secondary malignant neoplasm of other and unspecified respiratory organs,1374,C78.3,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C78.3,,ICD10
C78.4 Secondary malignant neoplasm of small intestine,1375,C78.4,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C78.4,,ICD10
C78.5 Secondary malignant neoplasm of large intestine and rectum,1376,C78.5,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C78.5,,ICD10
C78.6 Secondary malignant neoplasm of retroperitoneum and peritoneum,1377,C78.6,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C78.6,ORPHAcode: 26790 Pseudomyxoma peritonei,ICD10
C78.7 Secondary malignant neoplasm of liver and intrahepatic bile duct,1378,C78.7,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C78.7,,ICD10
C78.8 Secondary malignant neoplasm of other and unspecified digestive organs,1379,C78.8,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C78.8,,ICD10
C79 Secondary malignant neoplasm of other and unspecified sites,1380,C79,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C79,,ICD10
C79.0 Secondary malignant neoplasm of kidney and renal pelvis,1381,C79.0,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C79.0,,ICD10
C79.1 Secondary malignant neoplasm of bladder and other and unspecified urinary organs,1382,C79.1,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C79.1,,ICD10
C79.2 Secondary malignant neoplasm of skin,1383,C79.2,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C79.2,,ICD10
C79.3 Secondary malignant neoplasm of brain and cerebral meninges,1384,C79.3,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C79.3,,ICD10
C79.4 Secondary malignant neoplasm of other and unspecified parts of nervous system,1385,C79.4,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C79.4,,ICD10
C79.5 Secondary malignant neoplasm of bone and bone marrow,1386,C79.5,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C79.5,,ICD10
C79.6 Secondary malignant neoplasm of ovary,1387,C79.6,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C79.6,,ICD10
C79.7 Secondary malignant neoplasm of adrenal gland,1388,C79.7,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C79.7,,ICD10
C79.8 Secondary malignant neoplasm of other specified sites,1389,C79.8,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C79.8,,ICD10
"C79.9 Secondary malignant neoplasm, unspecified site",1390,C79.9,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C79.9,,ICD10
"C80 Malignant neoplasm, without specification of site",1391,C80,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C80,,ICD10
"C80.0 Malignant neoplasm, primary site unknown, so stated",1392,C80.0,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C80.0,,ICD10
"C80.9 Malignant neoplasm, primary site unspecified",1393,C80.9,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",http://identifiers.org/icd/C80.9,ORPHAcode: 180229 Polyembryoma,ICD10
"C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",1394,C81-C96,C00-C97 Malignant neoplasms,,,ICD10
C81.0 Nodular lymphocyte predominant Hodgkin lymphoma,1395,C81.0,"C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",http://identifiers.org/icd/C81.0,ORPHAcode: 86893 Nodular lymphocyte predominant Hodgkin lymphoma,ICD10
C81.1 Nodular sclerosis (classical) Hodgkin lymphoma,1396,C81.1,"C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",http://identifiers.org/icd/C81.1,,ICD10
C81.2 Mixed cellularity (classical) Hodgkin lymphoma,1397,C81.2,"C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",http://identifiers.org/icd/C81.2,,ICD10
C81.3 Lymphocyte depleted (classical) Hodgkin lymphoma,1398,C81.3,"C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",http://identifiers.org/icd/C81.3,,ICD10
C81.4 Lymphocyte-rich (classical) Hodgkin lymphoma,1399,C81.4,"C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",http://identifiers.org/icd/C81.4,,ICD10
C81.7 Other (classical) Hodgkin lymphoma,1400,C81.7,"C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",http://identifiers.org/icd/C81.7,ORPHAcode: 391 Classic Hodgkin lymphoma,ICD10
"C81.9 Hodgkin lymphoma, unspecified",1401,C81.9,"C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",http://identifiers.org/icd/C81.9,,ICD10
C82 Follicular lymphoma,1402,C82,"C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",http://identifiers.org/icd/C82,,ICD10
C82.0 Follicular lymphoma grade I,1403,C82.0,"C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",http://identifiers.org/icd/C82.0,,ICD10
C82.1 Follicular lymphoma grade II,1404,C82.1,"C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",http://identifiers.org/icd/C82.1,ORPHAcode: 545 Follicular lymphoma,ICD10
"C82.2 Follicular lymphoma grade III, unspecified",1405,C82.2,"C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",http://identifiers.org/icd/C82.2,,ICD10
C82.3 Follicular lymphoma grade IIIa,1406,C82.3,"C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",http://identifiers.org/icd/C82.3,,ICD10
C82.4 Follicular lymphoma grade IIIb,1407,C82.4,"C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",http://identifiers.org/icd/C82.4,,ICD10
C82.5 Diffuse follicle centre lymphoma,1408,C82.5,"C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",http://identifiers.org/icd/C82.5,,ICD10
D05.1 Intraductal carcinoma in situ,1409,D05.1,D00-D09 In situ neoplasms,http://identifiers.org/icd/D05.1,,ICD10
C82.6 Cutaneous follicle centre lymphoma,1410,C82.6,"C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",http://identifiers.org/icd/C82.6,ORPHAcode: 178540 Primary cutaneous follicle center lymphoma,ICD10
C82.7 Other types of follicular lymphoma,1411,C82.7,"C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",http://identifiers.org/icd/C82.7,,ICD10
"C82.9 Follicular lymphoma, unspecified",1412,C82.9,"C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",http://identifiers.org/icd/C82.9,,ICD10
C83 Non-follicular lymphoma,1413,C83,"C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",http://identifiers.org/icd/C83,,ICD10
C83.0 Small cell B-cell lymphoma,1414,C83.0,"C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",http://identifiers.org/icd/C83.0,ORPHAcode: 86854 Splenic marginal zone lymphoma,ICD10
C83.1 Mantle cell lymphoma,1415,C83.1,"C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",http://identifiers.org/icd/C83.1,ORPHAcode: 52416 Mantle cell lymphoma,ICD10
C83.3 Diffuse large B-cell lymphoma,1416,C83.3,"C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",http://identifiers.org/icd/C83.3,ORPHAcode: 46135 Primary central nervous system lymphoma,ICD10
C83.5 Lymphoblastic (diffuse) lymphoma,1417,C83.5,"C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",http://identifiers.org/icd/C83.5,,ICD10
C83.7 Burkitt lymphoma,1418,C83.7,"C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",http://identifiers.org/icd/C83.7,ORPHAcode: 543 Burkitt lymphoma,ICD10
C83.8 Other non-follicular lymphoma,1419,C83.8,"C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",http://identifiers.org/icd/C83.8,ORPHAcode: 48686 Primary effusion lymphoma,ICD10
"C83.9 Non-follicular (diffuse) lymphoma, unspecified",1420,C83.9,"C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",http://identifiers.org/icd/C83.9,,ICD10
C84 Mature T/NK-cell lymphomas,1421,C84,"C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",http://identifiers.org/icd/C84,,ICD10
C84.0 Mature T/NK-cell lymphomas - Mycosis fungoides,1422,C84.0,"C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",http://identifiers.org/icd/C84.0,ORPHAcode: 2584 Classic mycosis fungoides,ICD10
C84.1 Sézary diseas,1423,C84.1,"C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",http://identifiers.org/icd/C84.1,ORPHAcode: 3162 S  zary sy,ICD10
"C84.4 Mature T/NK-cell lymphomas - Peripheral T-cell lymphoma, not elsewhere classified",1424,C84.4,"C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",http://identifiers.org/icd/C84.4,ORPHAcode: 86885 Primary cutaneous peripheral T-cell lymphoma not otherwise specified,ICD10
C84.5 Other mature T/NK-cell lymphomas,1425,C84.5,"C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",http://identifiers.org/icd/C84.5,ORPHAcode: 178528 Primary cutaneous aggressive epidermotropic CD8+ T-cell lymphoma,ICD10
