name,code,order,parent,ontologyTermURI
C04AC07 (ciclonicate),C04AC07,1369,C04AC (Nicotinic acid and derivatives),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094893
C04AD (Purine derivatives),C04AD,1370,C04A (PERIPHERAL VASODILATORS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094894
C04AD01 (pentifylline),C04AD01,1371,C04AD (Purine derivatives),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094895
C04AD02 (xantinol nicotinate),C04AD02,1372,C04AD (Purine derivatives),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094896
C04AD03 (pentoxifylline),C04AD03,1373,C04AD (Purine derivatives),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094897
C04AD04 (etofylline nicotinate),C04AD04,1374,C04AD (Purine derivatives),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094898
C04AE (Ergot alkaloids),C04AE,1375,C04A (PERIPHERAL VASODILATORS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094899
C04AE01 (ergoloid mesylates),C04AE01,1376,C04AE (Ergot alkaloids),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094900
C04AE02 (nicergoline),C04AE02,1377,C04AE (Ergot alkaloids),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094901
C04AE04 (dihydroergocristine),C04AE04,1378,C04AE (Ergot alkaloids),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094902
"C04AE51 (ergoloid mesylates, combinations)",C04AE51,1379,C04AE (Ergot alkaloids),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094903
"C04AE54 (dihydroergocristine, combinations)",C04AE54,1380,C04AE (Ergot alkaloids),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094904
C04AF (Enzymes),C04AF,1381,C04A (PERIPHERAL VASODILATORS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094905
C04AF01 (kallidinogenase),C04AF01,1382,C04AF (Enzymes),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094906
C04AX (Other peripheral vasodilators),C04AX,1383,C04A (PERIPHERAL VASODILATORS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094907
C04AX01 (cyclandelate),C04AX01,1384,C04AX (Other peripheral vasodilators),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094908
C04AX02 (phenoxybenzamine),C04AX02,1385,C04AX (Other peripheral vasodilators),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094909
C04AX07 (vincamine),C04AX07,1386,C04AX (Other peripheral vasodilators),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094910
C04AX10 (moxisylyte),C04AX10,1387,C04AX (Other peripheral vasodilators),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094911
C04AX11 (bencyclane),C04AX11,1388,C04AX (Other peripheral vasodilators),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094912
C04AX17 (vinburnine),C04AX17,1389,C04AX (Other peripheral vasodilators),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094913
C04AX19 (suloctidil),C04AX19,1390,C04AX (Other peripheral vasodilators),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094914
C04AX20 (buflomedil),C04AX20,1391,C04AX (Other peripheral vasodilators),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094915
C04AX21 (naftidrofuryl),C04AX21,1392,C04AX (Other peripheral vasodilators),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094916
C04AX23 (butalamine),C04AX23,1393,C04AX (Other peripheral vasodilators),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094917
C04AX24 (visnadine),C04AX24,1394,C04AX (Other peripheral vasodilators),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094918
C04AX26 (cetiedil),C04AX26,1395,C04AX (Other peripheral vasodilators),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094919
C04AX27 (cinepazide),C04AX27,1396,C04AX (Other peripheral vasodilators),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094920
C04AX28 (ifenprodil),C04AX28,1397,C04AX (Other peripheral vasodilators),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094921
C04AX30 (azapetine),C04AX30,1398,C04AX (Other peripheral vasodilators),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094922
C04AX32 (fasudil),C04AX32,1399,C04AX (Other peripheral vasodilators),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094923
C05 (VASOPROTECTIVES),C05,1400,C (CARDIOVASCULAR SYSTEM),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094924
C05A (AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE),C05A,1401,C05 (VASOPROTECTIVES),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094925
C05AA (Corticosteroids),C05AA,1402,C05A (AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094926
C05AA01 (hydrocortisone),C05AA01,1403,C05AA (Corticosteroids),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094927
C05AA04 (prednisolone),C05AA04,1404,C05AA (Corticosteroids),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094928
C05AA05 (betamethasone),C05AA05,1405,C05AA (Corticosteroids),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094929
C05AA06 (fluorometholone),C05AA06,1406,C05AA (Corticosteroids),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094930
C05AA08 (fluocortolone),C05AA08,1407,C05AA (Corticosteroids),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094931
C05AA09 (dexamethasone),C05AA09,1408,C05AA (Corticosteroids),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094932
C05AA10 (fluocinolone acetonide),C05AA10,1409,C05AA (Corticosteroids),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094933
C05AA11 (fluocinonide),C05AA11,1410,C05AA (Corticosteroids),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094934
C05AB (Antibiotics),C05AB,1411,C05A (AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094935
C05AD (Local anesthetics),C05AD,1412,C05A (AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094936
C05AD01 (lidocaine),C05AD01,1413,C05AD (Local anesthetics),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094937
C05AD02 (tetracaine),C05AD02,1414,C05AD (Local anesthetics),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094938
C05AD03 (benzocaine),C05AD03,1415,C05AD (Local anesthetics),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094939
C05AD04 (cinchocaine),C05AD04,1416,C05AD (Local anesthetics),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094940
C05AD05 (procaine),C05AD05,1417,C05AD (Local anesthetics),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094941
C05AD06 (oxetacaine),C05AD06,1418,C05AD (Local anesthetics),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094942
C05AD07 (pramocaine),C05AD07,1419,C05AD (Local anesthetics),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094943
C05AE (Muscle relaxants),C05AE,1420,C05A (AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094944
C05AE01 (glyceryl trinitrate),C05AE01,1421,C05AE (Muscle relaxants),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094945
C05AE02 (isosorbide dinitrate),C05AE02,1422,C05AE (Muscle relaxants),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094946
C05AX (Other agents for treatment of hemorrhoids and anal fissures for topical use),C05AX,1423,C05A (AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094947
C05AX01 (aluminium preparations),C05AX01,1424,C05AX (Other agents for treatment of hemorrhoids and anal fissures for topical use),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094948
"C05AX02 (bismuth preparations, combinations)",C05AX02,1425,C05AX (Other agents for treatment of hemorrhoids and anal fissures for topical use),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094949
"C05AX03 (other preparations, combinations)",C05AX03,1426,C05AX (Other agents for treatment of hemorrhoids and anal fissures for topical use),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094950
C05AX04 (zinc preparations),C05AX04,1427,C05AX (Other agents for treatment of hemorrhoids and anal fissures for topical use),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094951
C05AX05 (tribenoside),C05AX05,1428,C05AX (Other agents for treatment of hemorrhoids and anal fissures for topical use),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094952
C05B (ANTIVARICOSE THERAPY),C05B,1429,C05 (VASOPROTECTIVES),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094953
C05BA (Heparins or heparinoids for topical use),C05BA,1430,C05B (ANTIVARICOSE THERAPY),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094954
C05BA01 (organo-heparinoid),C05BA01,1431,C05BA (Heparins or heparinoids for topical use),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094955
C05BA02 (sodium apolate),C05BA02,1432,C05BA (Heparins or heparinoids for topical use),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094956
C05BA03 (heparin),C05BA03,1433,C05BA (Heparins or heparinoids for topical use),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094957
C05BA04 (pentosan polysulfate sodium),C05BA04,1434,C05BA (Heparins or heparinoids for topical use),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094958
"C05BA51 (heparinoid, combinations)",C05BA51,1435,C05BA (Heparins or heparinoids for topical use),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094959
"C05BA53 (heparin, combinations)",C05BA53,1436,C05BA (Heparins or heparinoids for topical use),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094960
C05BB (Sclerosing agents for local injection),C05BB,1437,C05B (ANTIVARICOSE THERAPY),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094961
C05BB01 (monoethanolamine oleate),C05BB01,1438,C05BB (Sclerosing agents for local injection),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094962
C05BB02 (polidocanol),C05BB02,1439,C05BB (Sclerosing agents for local injection),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094963
C05BB03 (invert sugar),C05BB03,1440,C05BB (Sclerosing agents for local injection),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094964
C05BB04 (sodium tetradecyl sulfate),C05BB04,1441,C05BB (Sclerosing agents for local injection),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094965
C05BB05 (phenol),C05BB05,1442,C05BB (Sclerosing agents for local injection),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094966
"C05BB56 (glucose, combinations)",C05BB56,1443,C05BB (Sclerosing agents for local injection),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094967
C05BX (Other sclerosing agents),C05BX,1444,C05B (ANTIVARICOSE THERAPY),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094968
C05BX01 (calcium dobesilate),C05BX01,1445,C05BX (Other sclerosing agents),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094969
"C05BX51 (calcium dobesilate, combinations)",C05BX51,1446,C05BX (Other sclerosing agents),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094970
C05C (CAPILLARY STABILIZING AGENTS),C05C,1447,C05 (VASOPROTECTIVES),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094971
C05CA (Bioflavonoids),C05CA,1448,C05C (CAPILLARY STABILIZING AGENTS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094972
C05CA01 (rutoside),C05CA01,1449,C05CA (Bioflavonoids),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094973
C05CA02 (monoxerutin),C05CA02,1450,C05CA (Bioflavonoids),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094974
C05CA03 (diosmin),C05CA03,1451,C05CA (Bioflavonoids),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094975
C05CA04 (troxerutin),C05CA04,1452,C05CA (Bioflavonoids),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094976
C05CA05 (hidrosmin),C05CA05,1453,C05CA (Bioflavonoids),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094977
"C05CA51 (rutoside, combinations)",C05CA51,1454,C05CA (Bioflavonoids),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094978
"C05CA53 (diosmin, combinations)",C05CA53,1455,C05CA (Bioflavonoids),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094979
"C05CA54 (troxerutin, combinations)",C05CA54,1456,C05CA (Bioflavonoids),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094980
C05CX (Other capillary stabilizing agents),C05CX,1457,C05C (CAPILLARY STABILIZING AGENTS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094981
C05CX01 (tribenoside),C05CX01,1458,C05CX (Other capillary stabilizing agents),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094982
C07 (BETA BLOCKING AGENTS),C07,1459,C (CARDIOVASCULAR SYSTEM),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094983
C07A (BETA BLOCKING AGENTS),C07A,1460,C07 (BETA BLOCKING AGENTS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094984
"C07AA (Beta blocking agents, non-selective)",C07AA,1461,C07A (BETA BLOCKING AGENTS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094985
C07AA01 (alprenolol),C07AA01,1462,"C07AA (Beta blocking agents, non-selective)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094986
C07AA02 (oxprenolol),C07AA02,1463,"C07AA (Beta blocking agents, non-selective)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094987
C07AA03 (pindolol),C07AA03,1464,"C07AA (Beta blocking agents, non-selective)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094988
C07AA05 (propranolol),C07AA05,1465,"C07AA (Beta blocking agents, non-selective)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094989
C07AA06 (timolol),C07AA06,1466,"C07AA (Beta blocking agents, non-selective)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094990
C07AA07 (sotalol),C07AA07,1467,"C07AA (Beta blocking agents, non-selective)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094991
C07AA12 (nadolol),C07AA12,1468,"C07AA (Beta blocking agents, non-selective)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094992
C07AA14 (mepindolol),C07AA14,1469,"C07AA (Beta blocking agents, non-selective)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094993
C07AA15 (carteolol),C07AA15,1470,"C07AA (Beta blocking agents, non-selective)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094994
C07AA16 (tertatolol),C07AA16,1471,"C07AA (Beta blocking agents, non-selective)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094995
C07AA17 (bopindolol),C07AA17,1472,"C07AA (Beta blocking agents, non-selective)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094996
C07AA19 (bupranolol),C07AA19,1473,"C07AA (Beta blocking agents, non-selective)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094997
C07AA23 (penbutolol),C07AA23,1474,"C07AA (Beta blocking agents, non-selective)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094998
C07AA27 (cloranolol),C07AA27,1475,"C07AA (Beta blocking agents, non-selective)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094999
"C07AA57 (sotalol, combinations)",C07AA57,1476,"C07AA (Beta blocking agents, non-selective)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095000
"C07AB (Beta blocking agents, selective)",C07AB,1477,C07A (BETA BLOCKING AGENTS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095001
C07AB01 (practolol),C07AB01,1478,"C07AB (Beta blocking agents, selective)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095002
C07AB02 (metoprolol),C07AB02,1479,"C07AB (Beta blocking agents, selective)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095003
C07AB03 (atenolol),C07AB03,1480,"C07AB (Beta blocking agents, selective)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095004
C07AB04 (acebutolol),C07AB04,1481,"C07AB (Beta blocking agents, selective)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095005
C07AB05 (betaxolol),C07AB05,1482,"C07AB (Beta blocking agents, selective)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095006
C07AB06 (bevantolol),C07AB06,1483,"C07AB (Beta blocking agents, selective)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095007
C07AB07 (bisoprolol),C07AB07,1484,"C07AB (Beta blocking agents, selective)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095008
C07AB08 (celiprolol),C07AB08,1485,"C07AB (Beta blocking agents, selective)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095009
C07AB09 (esmolol),C07AB09,1486,"C07AB (Beta blocking agents, selective)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095010
C07AB10 (epanolol),C07AB10,1487,"C07AB (Beta blocking agents, selective)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095011
C07AB11 (s-atenolol),C07AB11,1488,"C07AB (Beta blocking agents, selective)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095012
C07AB12 (nebivolol),C07AB12,1489,"C07AB (Beta blocking agents, selective)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095013
C07AB13 (talinolol),C07AB13,1490,"C07AB (Beta blocking agents, selective)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095014
"C07AB52 (metoprolol, combinations)",C07AB52,1491,"C07AB (Beta blocking agents, selective)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095015
C07AG (Alpha and beta blocking agents),C07AG,1492,C07A (BETA BLOCKING AGENTS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095016
C07AG01 (labetalol),C07AG01,1493,C07AG (Alpha and beta blocking agents),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095017
C07AG02 (carvedilol),C07AG02,1494,C07AG (Alpha and beta blocking agents),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095018
C07B (BETA BLOCKING AGENTS AND THIAZIDES),C07B,1495,C07 (BETA BLOCKING AGENTS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095019
"C07BA (Beta blocking agents, non-selective, and thiazides)",C07BA,1496,C07B (BETA BLOCKING AGENTS AND THIAZIDES),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095020
C07BA02 (oxprenolol and thiazides),C07BA02,1497,"C07BA (Beta blocking agents, non-selective, and thiazides)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095021
C07BA05 (propranolol and thiazides),C07BA05,1498,"C07BA (Beta blocking agents, non-selective, and thiazides)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095022
C07BA06 (timolol and thiazides),C07BA06,1499,"C07BA (Beta blocking agents, non-selective, and thiazides)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095023
C07BA07 (sotalol and thiazides),C07BA07,1500,"C07BA (Beta blocking agents, non-selective, and thiazides)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095024
C07BA12 (nadolol and thiazides),C07BA12,1501,"C07BA (Beta blocking agents, non-selective, and thiazides)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095025
"C07BA68 (metipranolol and thiazides, combinations)",C07BA68,1502,"C07BA (Beta blocking agents, non-selective, and thiazides)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095026
"C07BB (Beta blocking agents, selective, and thiazides)",C07BB,1503,C07B (BETA BLOCKING AGENTS AND THIAZIDES),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095027
C07BB02 (metoprolol and thiazides),C07BB02,1504,"C07BB (Beta blocking agents, selective, and thiazides)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095028
C07BB03 (atenolol and thiazides),C07BB03,1505,"C07BB (Beta blocking agents, selective, and thiazides)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095029
C07BB04 (acebutolol and thiazides),C07BB04,1506,"C07BB (Beta blocking agents, selective, and thiazides)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095030
C07BB06 (bevantolol and thiazides),C07BB06,1507,"C07BB (Beta blocking agents, selective, and thiazides)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095031
C07BB07 (bisoprolol and thiazides),C07BB07,1508,"C07BB (Beta blocking agents, selective, and thiazides)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095032
"C07BB52 (metoprolol and thiazides, combinations)",C07BB52,1509,"C07BB (Beta blocking agents, selective, and thiazides)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095033
C07BG (Alpha and beta blocking agents and thiazides),C07BG,1510,C07B (BETA BLOCKING AGENTS AND THIAZIDES),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095034
C07BG01 (labetalol and thiazides),C07BG01,1511,C07BG (Alpha and beta blocking agents and thiazides),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095035
C07C (BETA BLOCKING AGENTS AND OTHER DIURETICS),C07C,1512,C07 (BETA BLOCKING AGENTS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095036
"C07CA (Beta blocking agents, non-selective, and other diuretics)",C07CA,1513,C07C (BETA BLOCKING AGENTS AND OTHER DIURETICS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095037
C07CA02 (oxprenolol and other diuretics),C07CA02,1514,"C07CA (Beta blocking agents, non-selective, and other diuretics)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095038
C07CA03 (pindolol and other diuretics),C07CA03,1515,"C07CA (Beta blocking agents, non-selective, and other diuretics)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095039
C07CA17 (bopindolol and other diuretics),C07CA17,1516,"C07CA (Beta blocking agents, non-selective, and other diuretics)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095040
C07CA23 (penbutolol and other diuretics),C07CA23,1517,"C07CA (Beta blocking agents, non-selective, and other diuretics)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095041
"C07CB (Beta blocking agents, selective, and other diuretics)",C07CB,1518,C07C (BETA BLOCKING AGENTS AND OTHER DIURETICS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095042
C07CB02 (metoprolol and other diuretics),C07CB02,1519,"C07CB (Beta blocking agents, selective, and other diuretics)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095043
C07CB03 (atenolol and other diuretics),C07CB03,1520,"C07CB (Beta blocking agents, selective, and other diuretics)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095044
"C07CB53 (atenolol and other diuretics, combinations)",C07CB53,1521,"C07CB (Beta blocking agents, selective, and other diuretics)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095045
C07CG (Alpha and beta blocking agents and other diuretics),C07CG,1522,C07C (BETA BLOCKING AGENTS AND OTHER DIURETICS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095046
C07CG01 (labetalol and other diuretics),C07CG01,1523,C07CG (Alpha and beta blocking agents and other diuretics),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095047
"C07D (BETA BLOCKING AGENTS, THIAZIDES AND OTHER DIURETICS)",C07D,1524,C07 (BETA BLOCKING AGENTS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095048
"C07DA (Beta blocking agents, non-selective, thiazides and other diuretics)",C07DA,1525,"C07D (BETA BLOCKING AGENTS, THIAZIDES AND OTHER DIURETICS)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095049
"C07DA06 (timolol, thiazides and other diuretics)",C07DA06,1526,"C07DA (Beta blocking agents, non-selective, thiazides and other diuretics)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095050
"C07DB (Beta blocking agents, selective, thiazides and other diuretics)",C07DB,1527,"C07D (BETA BLOCKING AGENTS, THIAZIDES AND OTHER DIURETICS)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095051
"C07DB01 (atenolol, thiazides and other diuretics)",C07DB01,1528,"C07DB (Beta blocking agents, selective, thiazides and other diuretics)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095052
C07E (BETA BLOCKING AGENTS AND VASODILATORS),C07E,1529,C07 (BETA BLOCKING AGENTS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095053
"C07EA (Beta blocking agents, non-selective, and vasodilators)",C07EA,1530,C07E (BETA BLOCKING AGENTS AND VASODILATORS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095054
"C07EB (Beta blocking agents, selective, and vasodilators)",C07EB,1531,C07E (BETA BLOCKING AGENTS AND VASODILATORS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095055
"C07F (BETA BLOCKING AGENTS, OTHER COMBINATIONS)",C07F,1532,C07 (BETA BLOCKING AGENTS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095056
"C07FA (Beta blocking agents, non-selective, and other antihypertensives)",C07FA,1533,"C07F (BETA BLOCKING AGENTS, OTHER COMBINATIONS)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095057
C07FA05 (propranolol and other antihypertensives),C07FA05,1534,"C07FA (Beta blocking agents, non-selective, and other antihypertensives)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095058
