order,name,label,codesystem,code,definition,ontologyTermURI
,FAM86B2,FAM86B2,HGNC,HGNC:32222,family with sequence similarity 86 member B2,https://identifiers.org/hgnc:32222
,FAM86B2-DT,FAM86B2-DT,HGNC,HGNC:48726,FAM86B2 divergent transcript,https://identifiers.org/hgnc:48726
,FAM86B3P,FAM86B3P,HGNC,HGNC:44371,"family with sequence similarity 86 member B3, pseudogene",https://identifiers.org/hgnc:44371
,FAM86C1P,FAM86C1P,HGNC,HGNC:25561,"family with sequence similarity 86 member C1, pseudogene",https://identifiers.org/hgnc:25561
,FAM86C2P,FAM86C2P,HGNC,HGNC:42392,"family with sequence similarity 86 member C2, pseudogene",https://identifiers.org/hgnc:42392
,FAM86DP,FAM86DP,HGNC,HGNC:32659,"family with sequence similarity 86 member D, pseudogene",https://identifiers.org/hgnc:32659
,FAM86EP,FAM86EP,HGNC,HGNC:28017,"family with sequence similarity 86 member E, pseudogene",https://identifiers.org/hgnc:28017
,FAM86FP,FAM86FP,HGNC,HGNC:42357,"family with sequence similarity 86 member F, pseudogene",https://identifiers.org/hgnc:42357
,FAM86GP,FAM86GP,HGNC,HGNC:42358,"family with sequence similarity 86 member G, pseudogene",https://identifiers.org/hgnc:42358
,FAM86HP,FAM86HP,HGNC,HGNC:42359,"family with sequence similarity 86 member H, pseudogene",https://identifiers.org/hgnc:42359
,FAM86JP,FAM86JP,HGNC,HGNC:44097,"family with sequence similarity 86 member J, pseudogene",https://identifiers.org/hgnc:44097
,FAM86KP,FAM86KP,HGNC,HGNC:44098,"family with sequence similarity 86 member K, pseudogene",https://identifiers.org/hgnc:44098
,FAM86LP,FAM86LP,HGNC,HGNC:44099,"family with sequence similarity 86 member L, pseudogene",https://identifiers.org/hgnc:44099
,FAM86MP,FAM86MP,HGNC,HGNC:44100,"family with sequence similarity 86 member M, pseudogene",https://identifiers.org/hgnc:44100
,FAM87A,FAM87A,HGNC,HGNC:27233,family with sequence similarity 87 member A,https://identifiers.org/hgnc:27233
,FAM87B,FAM87B,HGNC,HGNC:32236,family with sequence similarity 87 member B,https://identifiers.org/hgnc:32236
,FAM88B,FAM88B,HGNC,HGNC:31457,family with sequence similarity 88 member B,https://identifiers.org/hgnc:31457
,FAM88C,FAM88C,HGNC,HGNC:56159,family with sequence similarity 88 member C,https://identifiers.org/hgnc:56159
,FAM88D,FAM88D,HGNC,HGNC:56160,family with sequence similarity 88 member D,https://identifiers.org/hgnc:56160
,FAM88E,FAM88E,HGNC,HGNC:56161,family with sequence similarity 88 member E,https://identifiers.org/hgnc:56161
,FAM88F,FAM88F,HGNC,HGNC:56162,family with sequence similarity 88 member F,https://identifiers.org/hgnc:56162
,FAM89A,FAM89A,HGNC,HGNC:25057,family with sequence similarity 89 member A,https://identifiers.org/hgnc:25057
,FAM89B,FAM89B,HGNC,HGNC:16708,family with sequence similarity 89 member B,https://identifiers.org/hgnc:16708
,FAM90A1,FAM90A1,HGNC,HGNC:25526,family with sequence similarity 90 member A1,https://identifiers.org/hgnc:25526
,FAM90A2P,FAM90A2P,HGNC,HGNC:32250,"family with sequence similarity 90 member A2, pseudogene",https://identifiers.org/hgnc:32250
,FAM90A3,FAM90A3,HGNC,HGNC:32251,family with sequence similarity 90 member A3,https://identifiers.org/hgnc:32251
,FAM90A4P,FAM90A4P,HGNC,HGNC:32252,"family with sequence similarity 90 member A4, pseudogene",https://identifiers.org/hgnc:32252
,FAM90A5,FAM90A5,HGNC,HGNC:32253,family with sequence similarity 90 member A5,https://identifiers.org/hgnc:32253
,FAM90A6P,FAM90A6P,HGNC,HGNC:32254,"family with sequence similarity 90 member A6, pseudogene",https://identifiers.org/hgnc:32254
,FAM90A7,FAM90A7,HGNC,HGNC:32255,family with sequence similarity 90 member A7,https://identifiers.org/hgnc:32255
,FAM90A8,FAM90A8,HGNC,HGNC:32256,family with sequence similarity 90 member A8,https://identifiers.org/hgnc:32256
,FAM90A9,FAM90A9,HGNC,HGNC:32257,family with sequence similarity 90 member A9,https://identifiers.org/hgnc:32257
,FAM90A10,FAM90A10,HGNC,HGNC:32258,family with sequence similarity 90 member A10,https://identifiers.org/hgnc:32258
,FAM90A11,FAM90A11,HGNC,HGNC:32259,family with sequence similarity 90 member A11,https://identifiers.org/hgnc:32259
,FAM90A12,FAM90A12,HGNC,HGNC:32260,family with sequence similarity 90 member A12,https://identifiers.org/hgnc:32260
,FAM90A13,FAM90A13,HGNC,HGNC:32261,family with sequence similarity 90 member A13,https://identifiers.org/hgnc:32261
,FAM90A14,FAM90A14,HGNC,HGNC:32262,family with sequence similarity 90 member A14,https://identifiers.org/hgnc:32262
,FAM90A15,FAM90A15,HGNC,HGNC:32263,family with sequence similarity 90 member A15,https://identifiers.org/hgnc:32263
,FAM90A16,FAM90A16,HGNC,HGNC:32264,family with sequence similarity 90 member A16,https://identifiers.org/hgnc:32264
,FAM90A17,FAM90A17,HGNC,HGNC:32265,family with sequence similarity 90 member A17,https://identifiers.org/hgnc:32265
,FAM90A18,FAM90A18,HGNC,HGNC:32266,family with sequence similarity 90 member A18,https://identifiers.org/hgnc:32266
,FAM90A19,FAM90A19,HGNC,HGNC:32267,family with sequence similarity 90 member A19,https://identifiers.org/hgnc:32267
,FAM90A20,FAM90A20,HGNC,HGNC:32268,family with sequence similarity 90 member A20,https://identifiers.org/hgnc:32268
,FAM90A21P,FAM90A21P,HGNC,HGNC:32269,"family with sequence similarity 90 member A21, pseudogene",https://identifiers.org/hgnc:32269
,FAM90A22,FAM90A22,HGNC,HGNC:32270,family with sequence similarity 90 member A22,https://identifiers.org/hgnc:32270
,FAM90A23,FAM90A23,HGNC,HGNC:32271,family with sequence similarity 90 member A23,https://identifiers.org/hgnc:32271
,FAM90A24,FAM90A24,HGNC,HGNC:32272,family with sequence similarity 90 member A24,https://identifiers.org/hgnc:32272
,FAM90A25P,FAM90A25P,HGNC,HGNC:32246,"family with sequence similarity 90 member A25, pseudogene",https://identifiers.org/hgnc:32246
,FAM90A26,FAM90A26,HGNC,HGNC:43746,family with sequence similarity 90 member A26,https://identifiers.org/hgnc:43746
,FAM90A27P,FAM90A27P,HGNC,HGNC:43617,"family with sequence similarity 90 member A27, pseudogene",https://identifiers.org/hgnc:43617
,FAM90A28P,FAM90A28P,HGNC,HGNC:43747,"family with sequence similarity 90 member A28, pseudogene",https://identifiers.org/hgnc:43747
,FAM91A1,FAM91A1,HGNC,HGNC:26306,family with sequence similarity 91 member A1,https://identifiers.org/hgnc:26306
,FAM91A2P,FAM91A2P,HGNC,HGNC:51523,"family with sequence similarity 91 member A2, pseudogene",https://identifiers.org/hgnc:51523
,FAM91A3P,FAM91A3P,HGNC,HGNC:32273,"family with sequence similarity 91 member A3, pseudogene",https://identifiers.org/hgnc:32273
,FAM91A4P,FAM91A4P,HGNC,HGNC:51524,"family with sequence similarity 91 member A4, pseudogene",https://identifiers.org/hgnc:51524
,FAM95A,FAM95A,HGNC,HGNC:28069,family with sequence similarity 95 member A,https://identifiers.org/hgnc:28069
,FAM95B1,FAM95B1,HGNC,HGNC:32318,family with sequence similarity 95 member B1,https://identifiers.org/hgnc:32318
,FAM95C,FAM95C,HGNC,HGNC:45272,family with sequence similarity 95 member C,https://identifiers.org/hgnc:45272
,FAM98BP1,FAM98BP1,HGNC,HGNC:58680,family with sequence similarity 98 member B pseudogene 1,https://identifiers.org/hgnc:58680
,FAM99A,FAM99A,HGNC,HGNC:32368,family with sequence similarity 99 member A,https://identifiers.org/hgnc:32368
,FAM99B,FAM99B,HGNC,HGNC:32369,family with sequence similarity 99 member B,https://identifiers.org/hgnc:32369
,FAM106A,FAM106A,HGNC,HGNC:25682,family with sequence similarity 106 member A,https://identifiers.org/hgnc:25682
,FAM106B,FAM106B,HGNC,HGNC:32450,family with sequence similarity 106 member B,https://identifiers.org/hgnc:32450
,FAM106C,FAM106C,HGNC,HGNC:38396,family with sequence similarity 106 member C,https://identifiers.org/hgnc:38396
,FAM106DP,FAM106DP,HGNC,HGNC:38397,"family with sequence similarity 106 member D, pseudogene",https://identifiers.org/hgnc:38397
,FAM107A,FAM107A,HGNC,HGNC:30827,family with sequence similarity 107 member A,https://identifiers.org/hgnc:30827
,FAM107B,FAM107B,HGNC,HGNC:23726,family with sequence similarity 107 member B,https://identifiers.org/hgnc:23726
,FAM110A,FAM110A,HGNC,HGNC:16188,family with sequence similarity 110 member A,https://identifiers.org/hgnc:16188
,FAM110B,FAM110B,HGNC,HGNC:28587,family with sequence similarity 110 member B,https://identifiers.org/hgnc:28587
,FAM110C,FAM110C,HGNC,HGNC:33340,family with sequence similarity 110 member C,https://identifiers.org/hgnc:33340
,FAM110D,FAM110D,HGNC,HGNC:25860,family with sequence similarity 110 member D,https://identifiers.org/hgnc:25860
,FAM111A,FAM111A,HGNC,HGNC:24725,FAM111 trypsin like peptidase A,https://identifiers.org/hgnc:24725
,FAM111A-DT,FAM111A-DT,HGNC,HGNC:53752,FAM111A divergent transcript,https://identifiers.org/hgnc:53752
,FAM111B,FAM111B,HGNC,HGNC:24200,FAM111 trypsin like peptidase B,https://identifiers.org/hgnc:24200
,FAM114A1,FAM114A1,HGNC,HGNC:25087,family with sequence similarity 114 member A1,https://identifiers.org/hgnc:25087
,FAM114A2,FAM114A2,HGNC,HGNC:1333,family with sequence similarity 114 member A2,https://identifiers.org/hgnc:1333
,FAM117A,FAM117A,HGNC,HGNC:24179,family with sequence similarity 117 member A,https://identifiers.org/hgnc:24179
,FAM117B,FAM117B,HGNC,HGNC:14440,family with sequence similarity 117 member B,https://identifiers.org/hgnc:14440
,FAM120A,FAM120A,HGNC,HGNC:13247,family with sequence similarity 120 member A,https://identifiers.org/hgnc:13247
,FAM120A2P,FAM120A2P,HGNC,HGNC:31116,"family with sequence similarity 120A2, pseudogene",https://identifiers.org/hgnc:31116
,FAM120AOS,FAM120AOS,HGNC,HGNC:23389,family with sequence similarity 120 member A opposite strand,https://identifiers.org/hgnc:23389
,FAM120B,FAM120B,HGNC,HGNC:21109,family with sequence similarity 120 member B,https://identifiers.org/hgnc:21109
,FAM120C,FAM120C,HGNC,HGNC:16949,family with sequence similarity 120 member C,https://identifiers.org/hgnc:16949
,FAM124A,FAM124A,HGNC,HGNC:26413,family with sequence similarity 124 member A,https://identifiers.org/hgnc:26413
,FAM124B,FAM124B,HGNC,HGNC:26224,family with sequence similarity 124 member B,https://identifiers.org/hgnc:26224
,FAM131A,FAM131A,HGNC,HGNC:28308,family with sequence similarity 131 member A,https://identifiers.org/hgnc:28308
,FAM131B,FAM131B,HGNC,HGNC:22202,family with sequence similarity 131 member B,https://identifiers.org/hgnc:22202
,FAM131B-AS1,FAM131B-AS1,HGNC,HGNC:55208,FAM131B antisense RNA 1,https://identifiers.org/hgnc:55208
,FAM131B-AS2,FAM131B-AS2,HGNC,HGNC:56141,FAM131B antisense RNA 2,https://identifiers.org/hgnc:56141
,FAM131C,FAM131C,HGNC,HGNC:26717,family with sequence similarity 131 member C,https://identifiers.org/hgnc:26717
,FAM131C2P,FAM131C2P,HGNC,HGNC:56213,"family with sequence similarity 131 member C2, pseudogene",https://identifiers.org/hgnc:56213
,FAM133A,FAM133A,HGNC,HGNC:26748,family with sequence similarity 133 member A,https://identifiers.org/hgnc:26748
,FAM133B,FAM133B,HGNC,HGNC:28629,family with sequence similarity 133 member B,https://identifiers.org/hgnc:28629
,FAM133CP,FAM133CP,HGNC,HGNC:44190,"family with sequence similarity 133 member C, pseudogene",https://identifiers.org/hgnc:44190
,FAM133DP,FAM133DP,HGNC,HGNC:44192,"family with sequence similarity 133 member D, pseudogene",https://identifiers.org/hgnc:44192
,FAM133EP,FAM133EP,HGNC,HGNC:54729,"family with sequence similarity 133 member E, pseudogene",https://identifiers.org/hgnc:54729
,FAM133FP,FAM133FP,HGNC,HGNC:54730,"family with sequence similarity 133 member F, pseudogene",https://identifiers.org/hgnc:54730
,FAM133GP,FAM133GP,HGNC,HGNC:54731,"family with sequence similarity 133 member G, pseudogene",https://identifiers.org/hgnc:54731
,FAM133HP,FAM133HP,HGNC,HGNC:58679,"family with sequence similarity 133 member H, pseudogene",https://identifiers.org/hgnc:58679
,FAM135A,FAM135A,HGNC,HGNC:21084,family with sequence similarity 135 member A,https://identifiers.org/hgnc:21084
,FAM135A-AS1,FAM135A-AS1,HGNC,HGNC:40955,FAM135A antisense RNA 1,https://identifiers.org/hgnc:40955
,FAM135B,FAM135B,HGNC,HGNC:28029,family with sequence similarity 135 member B,https://identifiers.org/hgnc:28029
,FAM138A,FAM138A,HGNC,HGNC:32334,family with sequence similarity 138 member A,https://identifiers.org/hgnc:32334
,FAM138B,FAM138B,HGNC,HGNC:33582,family with sequence similarity 138 member B,https://identifiers.org/hgnc:33582
,FAM138C,FAM138C,HGNC,HGNC:32333,family with sequence similarity 138 member C,https://identifiers.org/hgnc:32333
,FAM138D,FAM138D,HGNC,HGNC:33583,family with sequence similarity 138 member D,https://identifiers.org/hgnc:33583
,FAM138E,FAM138E,HGNC,HGNC:32335,family with sequence similarity 138 member E,https://identifiers.org/hgnc:32335
,FAM138F,FAM138F,HGNC,HGNC:33581,family with sequence similarity 138 member F,https://identifiers.org/hgnc:33581
,FAM149A,FAM149A,HGNC,HGNC:24527,family with sequence similarity 149 member A,https://identifiers.org/hgnc:24527
,FAM149B1,FAM149B1,HGNC,HGNC:29162,family with sequence similarity 149 member B1,https://identifiers.org/hgnc:29162
,FAM149B1P1,FAM149B1P1,HGNC,HGNC:31735,family with sequence similarity 149 member B1 pseudogene 1,https://identifiers.org/hgnc:31735
,FAM149DP,FAM149DP,HGNC,HGNC:55195,"family with sequence similarity 149 member D, pseudogene",https://identifiers.org/hgnc:55195
,FAM151A,FAM151A,HGNC,HGNC:25032,family with sequence similarity 151 member A,https://identifiers.org/hgnc:25032
,FAM151AP1,FAM151AP1,HGNC,HGNC:56626,FAM151A pseudogene 1,https://identifiers.org/hgnc:56626
,FAM151B,FAM151B,HGNC,HGNC:33716,family with sequence similarity 151 member B,https://identifiers.org/hgnc:33716
,FAM151B-DT,FAM151B-DT,HGNC,HGNC:55578,FAM151B divergent transcript,https://identifiers.org/hgnc:55578
,FAM153A,FAM153A,HGNC,HGNC:29940,family with sequence similarity 153 member A,https://identifiers.org/hgnc:29940
,FAM153A-AS1,FAM153A-AS1,HGNC,HGNC:59169,FAM153A antisense RNA 1,https://identifiers.org/hgnc:59169
,FAM153B,FAM153B,HGNC,HGNC:27323,family with sequence similarity 153 member B,https://identifiers.org/hgnc:27323
,FAM153CP,FAM153CP,HGNC,HGNC:33936,"family with sequence similarity 153 member C, pseudogene",https://identifiers.org/hgnc:33936
,FAM153DP,FAM153DP,HGNC,HGNC:55022,"family with sequence similarity 153 member D, pseudogene",https://identifiers.org/hgnc:55022
,FAM156A,FAM156A,HGNC,HGNC:30114,family with sequence similarity 156 member A,https://identifiers.org/hgnc:30114
,FAM156B,FAM156B,HGNC,HGNC:31962,family with sequence similarity 156 member B,https://identifiers.org/hgnc:31962
,FAM157A,FAM157A,HGNC,HGNC:34079,family with sequence similarity 157 member A,https://identifiers.org/hgnc:34079
,FAM157B,FAM157B,HGNC,HGNC:34080,family with sequence similarity 157 member B,https://identifiers.org/hgnc:34080
,FAM157C,FAM157C,HGNC,HGNC:34081,family with sequence similarity 157 member C,https://identifiers.org/hgnc:34081
,FAM157D,FAM157D,HGNC,HGNC:56252,family with sequence similarity 157 member D,https://identifiers.org/hgnc:56252
,FAM161A,FAM161A,HGNC,HGNC:25808,FAM161 centrosomal protein A,https://identifiers.org/hgnc:25808
,FAM161B,FAM161B,HGNC,HGNC:19854,FAM161 centrosomal protein B,https://identifiers.org/hgnc:19854
,FAM162A,FAM162A,HGNC,HGNC:17865,family with sequence similarity 162 member A,https://identifiers.org/hgnc:17865
,FAM162B,FAM162B,HGNC,HGNC:21549,family with sequence similarity 162 member B,https://identifiers.org/hgnc:21549
,FAM163A,FAM163A,HGNC,HGNC:28274,family with sequence similarity 163 member A,https://identifiers.org/hgnc:28274
,FAM163B,FAM163B,HGNC,HGNC:33277,family with sequence similarity 163 member B,https://identifiers.org/hgnc:33277
,FAM167A,FAM167A,HGNC,HGNC:15549,family with sequence similarity 167 member A,https://identifiers.org/hgnc:15549
,FAM167A-AS1,FAM167A-AS1,HGNC,HGNC:15548,FAM167A antisense RNA 1,https://identifiers.org/hgnc:15548
,FAM167B,FAM167B,HGNC,HGNC:28133,family with sequence similarity 167 member B,https://identifiers.org/hgnc:28133
,FAM168A,FAM168A,HGNC,HGNC:28999,family with sequence similarity 168 member A,https://identifiers.org/hgnc:28999
,FAM168A-AS1,FAM168A-AS1,HGNC,HGNC:58441,FAM168A antisense RNA 1,https://identifiers.org/hgnc:58441
,FAM168B,FAM168B,HGNC,HGNC:27016,family with sequence similarity 168 member B,https://identifiers.org/hgnc:27016
,FAM169A,FAM169A,HGNC,HGNC:29138,family with sequence similarity 169 member A,https://identifiers.org/hgnc:29138
,FAM169A-AS1,FAM169A-AS1,HGNC,HGNC:56226,FAM169A antisense RNA 1,https://identifiers.org/hgnc:56226
,FAM169BP,FAM169BP,HGNC,HGNC:26835,"family with sequence similarity 169 member B, pseudogene",https://identifiers.org/hgnc:26835
,FAM170A,FAM170A,HGNC,HGNC:27963,family with sequence similarity 170 member A,https://identifiers.org/hgnc:27963
,FAM170B,FAM170B,HGNC,HGNC:19736,family with sequence similarity 170 member B,https://identifiers.org/hgnc:19736
,FAM170B-AS1,FAM170B-AS1,HGNC,HGNC:45006,FAM170B antisense RNA 1,https://identifiers.org/hgnc:45006
,FAM171A1,FAM171A1,HGNC,HGNC:23522,family with sequence similarity 171 member A1,https://identifiers.org/hgnc:23522
,FAM171A1-AS1,FAM171A1-AS1,HGNC,HGNC:58382,FAM171A1 antisense RNA 1,https://identifiers.org/hgnc:58382
,FAM171A2,FAM171A2,HGNC,HGNC:30480,family with sequence similarity 171 member A2,https://identifiers.org/hgnc:30480
,FAM171B,FAM171B,HGNC,HGNC:29412,family with sequence similarity 171 member B,https://identifiers.org/hgnc:29412
,FAM171B-AS1,FAM171B-AS1,HGNC,HGNC:41242,FAM171B and ITGAV antisense RNA 1,https://identifiers.org/hgnc:41242
,FAM174A,FAM174A,HGNC,HGNC:24943,family with sequence similarity 174 member A,https://identifiers.org/hgnc:24943
,FAM174A-DT,FAM174A-DT,HGNC,HGNC:55584,FAM174A divergent transcript,https://identifiers.org/hgnc:55584
,FAM174B,FAM174B,HGNC,HGNC:34339,family with sequence similarity 174 member B,https://identifiers.org/hgnc:34339
,FAM174C,FAM174C,HGNC,HGNC:26073,family with sequence similarity 174 member C,https://identifiers.org/hgnc:26073
,FAM177A1,FAM177A1,HGNC,HGNC:19829,family with sequence similarity 177 member A1,https://identifiers.org/hgnc:19829
,FAM177A1P1,FAM177A1P1,HGNC,HGNC:34441,family with sequence similarity 177 member A1 pseudogene 1,https://identifiers.org/hgnc:34441
,FAM177B,FAM177B,HGNC,HGNC:34395,family with sequence similarity 177 member B,https://identifiers.org/hgnc:34395
,FAM178B,FAM178B,HGNC,HGNC:28036,family with sequence similarity 178 member B,https://identifiers.org/hgnc:28036
,FAM180A,FAM180A,HGNC,HGNC:33773,family with sequence similarity 180 member A,https://identifiers.org/hgnc:33773
,FAM180B,FAM180B,HGNC,HGNC:34451,family with sequence similarity 180 member B,https://identifiers.org/hgnc:34451
,FAM181A,FAM181A,HGNC,HGNC:20491,family with sequence similarity 181 member A,https://identifiers.org/hgnc:20491
,FAM181A-AS1,FAM181A-AS1,HGNC,HGNC:20133,FAM181A antisense RNA 1,https://identifiers.org/hgnc:20133
,FAM181B,FAM181B,HGNC,HGNC:28512,family with sequence similarity 181 member B,https://identifiers.org/hgnc:28512
,FAM182A,FAM182A,HGNC,HGNC:16222,family with sequence similarity 182 member A,https://identifiers.org/hgnc:16222
,FAM182B,FAM182B,HGNC,HGNC:34503,family with sequence similarity 182 member B,https://identifiers.org/hgnc:34503
,FAM184A,FAM184A,HGNC,HGNC:20991,family with sequence similarity 184 member A,https://identifiers.org/hgnc:20991
,FAM184B,FAM184B,HGNC,HGNC:29235,family with sequence similarity 184 member B,https://identifiers.org/hgnc:29235
,FAM185A,FAM185A,HGNC,HGNC:22412,family with sequence similarity 185 member A,https://identifiers.org/hgnc:22412
,FAM185BP,FAM185BP,HGNC,HGNC:21813,"family with sequence similarity 185 member B, pseudogene",https://identifiers.org/hgnc:21813
,FAM186A,FAM186A,HGNC,HGNC:26980,family with sequence similarity 186 member A,https://identifiers.org/hgnc:26980
,FAM186B,FAM186B,HGNC,HGNC:25296,family with sequence similarity 186 member B,https://identifiers.org/hgnc:25296
,FAM187A,FAM187A,HGNC,HGNC:35153,family with sequence similarity 187 member A,https://identifiers.org/hgnc:35153
,FAM187B,FAM187B,HGNC,HGNC:26366,family with sequence similarity 187 member B,https://identifiers.org/hgnc:26366
,FAM187B2P,FAM187B2P,HGNC,HGNC:49213,"family with sequence similarity 187 member B2, pseudogene",https://identifiers.org/hgnc:49213
,FAM193A,FAM193A,HGNC,HGNC:16822,family with sequence similarity 193 member A,https://identifiers.org/hgnc:16822
,FAM193B,FAM193B,HGNC,HGNC:25524,family with sequence similarity 193 member B,https://identifiers.org/hgnc:25524
,FAM193B-DT,FAM193B-DT,HGNC,HGNC:55212,FAM193B divergent transcript,https://identifiers.org/hgnc:55212
,FAM194C,FAM194C,HGNC,HGNC:25320,family with sequence similarity 149 member C,https://identifiers.org/hgnc:25320
,FAM197Y2,FAM197Y2,HGNC,HGNC:18848,family with sequence similarity 197 Y-linked member 2,https://identifiers.org/hgnc:18848
,FAM197Y3,FAM197Y3,HGNC,HGNC:37465,family with sequence similarity 197 Y-linked member 3,https://identifiers.org/hgnc:37465
,FAM197Y4,FAM197Y4,HGNC,HGNC:37466,family with sequence similarity 197 Y-linked member 4,https://identifiers.org/hgnc:37466
,FAM197Y5,FAM197Y5,HGNC,HGNC:37467,family with sequence similarity 197 Y-linked member 5,https://identifiers.org/hgnc:37467
,FAM197Y6,FAM197Y6,HGNC,HGNC:37468,family with sequence similarity 197 Y-linked member 6,https://identifiers.org/hgnc:37468
,FAM197Y7,FAM197Y7,HGNC,HGNC:37469,family with sequence similarity 197 Y-linked member 7,https://identifiers.org/hgnc:37469
,FAM197Y8,FAM197Y8,HGNC,HGNC:37470,family with sequence similarity 197 Y-linked member 8,https://identifiers.org/hgnc:37470
,FAM197Y9,FAM197Y9,HGNC,HGNC:37477,family with sequence similarity 197 Y-linked member 9,https://identifiers.org/hgnc:37477
,FAM199X,FAM199X,HGNC,HGNC:25195,"family with sequence similarity 199, X-linked",https://identifiers.org/hgnc:25195
,FAM199YP,FAM199YP,HGNC,HGNC:23951,"family with sequence similarity 199, Y-linked, pseudogene",https://identifiers.org/hgnc:23951
,FAM201A,FAM201A,HGNC,HGNC:27239,family with sequence similarity 201 member A,https://identifiers.org/hgnc:27239
,FAM201B,FAM201B,HGNC,HGNC:27933,family with sequence similarity 201 member B,https://identifiers.org/hgnc:27933
,FAM204A,FAM204A,HGNC,HGNC:25794,family with sequence similarity 204 member A,https://identifiers.org/hgnc:25794
,FAM204BP,FAM204BP,HGNC,HGNC:42011,"family with sequence similarity 204 member B, pseudogene",https://identifiers.org/hgnc:42011
,FAM204CP,FAM204CP,HGNC,HGNC:42012,"family with sequence similarity 204 member C, pseudogene",https://identifiers.org/hgnc:42012
,FAM204DP,FAM204DP,HGNC,HGNC:42013,"family with sequence similarity 204 member D, pseudogene",https://identifiers.org/hgnc:42013
,FAM209A,FAM209A,HGNC,HGNC:16100,family with sequence similarity 209 member A,https://identifiers.org/hgnc:16100
,FAM209B,FAM209B,HGNC,HGNC:16101,family with sequence similarity 209 member B,https://identifiers.org/hgnc:16101
,FAM215A,FAM215A,HGNC,HGNC:17505,family with sequence similarity 215 member A,https://identifiers.org/hgnc:17505
,FAM215B,FAM215B,HGNC,HGNC:43639,family with sequence similarity 215 member B,https://identifiers.org/hgnc:43639
,FAM216A,FAM216A,HGNC,HGNC:30180,family with sequence similarity 216 member A,https://identifiers.org/hgnc:30180
,FAM216B,FAM216B,HGNC,HGNC:26883,family with sequence similarity 216 member B,https://identifiers.org/hgnc:26883
,FAM217A,FAM217A,HGNC,HGNC:21362,family with sequence similarity 217 member A,https://identifiers.org/hgnc:21362
,FAM217AP1,FAM217AP1,HGNC,HGNC:49613,family with sequence similarity 217 member A pseudogene 1,https://identifiers.org/hgnc:49613
,FAM217B,FAM217B,HGNC,HGNC:16170,family with sequence similarity 217 member B,https://identifiers.org/hgnc:16170
,FAM218A,FAM218A,HGNC,HGNC:26466,family with sequence similarity 218 member A,https://identifiers.org/hgnc:26466
,FAM218BP,FAM218BP,HGNC,HGNC:43779,"family with sequence similarity 218 member B, pseudogene",https://identifiers.org/hgnc:43779
,FAM219A,FAM219A,HGNC,HGNC:19920,family with sequence similarity 219 member A,https://identifiers.org/hgnc:19920
,FAM219B,FAM219B,HGNC,HGNC:24695,family with sequence similarity 219 member B,https://identifiers.org/hgnc:24695
,FAM220A,FAM220A,HGNC,HGNC:22422,family with sequence similarity 220 member A,https://identifiers.org/hgnc:22422
,FAM220BP,FAM220BP,HGNC,HGNC:23678,"family with sequence similarity 220 member B, pseudogene",https://identifiers.org/hgnc:23678
,FAM220CP,FAM220CP,HGNC,HGNC:43640,"family with sequence similarity 220 member C, pseudogene",https://identifiers.org/hgnc:43640
,FAM221A,FAM221A,HGNC,HGNC:27977,family with sequence similarity 221 member A,https://identifiers.org/hgnc:27977
,FAM221B,FAM221B,HGNC,HGNC:30762,family with sequence similarity 221 member B,https://identifiers.org/hgnc:30762
,FAM222A,FAM222A,HGNC,HGNC:25915,family with sequence similarity 222 member A,https://identifiers.org/hgnc:25915
,FAM222A-AS1,FAM222A-AS1,HGNC,HGNC:28223,FAM222A antisense RNA 1,https://identifiers.org/hgnc:28223
,FAM222B,FAM222B,HGNC,HGNC:25563,family with sequence similarity 222 member B,https://identifiers.org/hgnc:25563
,FAM223A,FAM223A,HGNC,HGNC:30612,family with sequence similarity 223 member A,https://identifiers.org/hgnc:30612
,FAM223B,FAM223B,HGNC,HGNC:34048,family with sequence similarity 223 member B,https://identifiers.org/hgnc:34048
,FAM224A,FAM224A,HGNC,HGNC:37736,family with sequence similarity 224 member A,https://identifiers.org/hgnc:37736
,FAM224B,FAM224B,HGNC,HGNC:37737,family with sequence similarity 224 member B,https://identifiers.org/hgnc:37737
,FAM225A,FAM225A,HGNC,HGNC:27855,family with sequence similarity 225 member A,https://identifiers.org/hgnc:27855
,FAM225B,FAM225B,HGNC,HGNC:21865,family with sequence similarity 225 member B,https://identifiers.org/hgnc:21865
,FAM226A,FAM226A,HGNC,HGNC:28544,family with sequence similarity 226 member A,https://identifiers.org/hgnc:28544
,FAM226B,FAM226B,HGNC,HGNC:31964,family with sequence similarity 226 member B,https://identifiers.org/hgnc:31964
,FAM227A,FAM227A,HGNC,HGNC:44197,family with sequence similarity 227 member A,https://identifiers.org/hgnc:44197
,FAM227B,FAM227B,HGNC,HGNC:26543,family with sequence similarity 227 member B,https://identifiers.org/hgnc:26543
,FAM228A,FAM228A,HGNC,HGNC:34418,family with sequence similarity 228 member A,https://identifiers.org/hgnc:34418
,FAM228B,FAM228B,HGNC,HGNC:24736,family with sequence similarity 228 member B,https://identifiers.org/hgnc:24736
,FAM229A,FAM229A,HGNC,HGNC:44652,family with sequence similarity 229 member A,https://identifiers.org/hgnc:44652
,FAM229B,FAM229B,HGNC,HGNC:33858,family with sequence similarity 229 member B,https://identifiers.org/hgnc:33858
,FAM230A,FAM230A,HGNC,HGNC:45045,family with sequence similarity 230 member A,https://identifiers.org/hgnc:45045
