order,collection,research center,primary tumor site,metastasis,year of diagnosis,sex,n
618,FORCE-NEN collections,FORCE-NEN collections AUMC,SMALL INTESTINE,Unknown,2021-2025,Female,4
619,FORCE-NEN collections,FORCE-NEN collections AUMC,SMALL INTESTINE,Unknown,2016-2020,Male,19
620,FORCE-NEN collections,FORCE-NEN collections AUMC,SMALL INTESTINE,Unknown,2016-2020,Female,18
621,FORCE-NEN collections,FORCE-NEN collections AUMC,SMALL INTESTINE,Unknown,2011-2015,Male,18
622,FORCE-NEN collections,FORCE-NEN collections AUMC,SMALL INTESTINE,Unknown,2011-2015,Female,2
623,FORCE-NEN collections,FORCE-NEN collections AUMC,SMALL INTESTINE,Unknown,2006-2010,Male,6
624,FORCE-NEN collections,FORCE-NEN collections AUMC,SMALL INTESTINE,Unknown,2006-2010,Female,14
625,FORCE-NEN collections,FORCE-NEN collections AUMC,SMALL INTESTINE,Unknown,2001-2005,Male,6
626,FORCE-NEN collections,FORCE-NEN collections AUMC,SMALL INTESTINE,Unknown,2001-2005,Female,11
627,FORCE-NEN collections,FORCE-NEN collections AUMC,SMALL INTESTINE,Unknown,1991-2000,Male,0
628,FORCE-NEN collections,FORCE-NEN collections AUMC,SMALL INTESTINE,Unknown,1991-2000,Female,1
629,FORCE-NEN collections,FORCE-NEN collections AUMC,SMALL INTESTINE,Unknown,<1991,Male,3
630,FORCE-NEN collections,FORCE-NEN collections AUMC,SMALL INTESTINE,Unknown,<1991,Female,0
631,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,Yes,2021-2025,Male,1
632,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,Yes,2021-2025,Female,16
633,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,Yes,2016-2020,Male,2
634,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,Yes,2016-2020,Female,5
635,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,Yes,2011-2015,Male,10
636,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,Yes,2011-2015,Female,11
637,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,Yes,2006-2010,Male,5
638,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,Yes,2006-2010,Female,13
639,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,Yes,2001-2005,Male,6
640,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,Yes,2001-2005,Female,6
641,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,Yes,1991-2000,Male,17
642,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,Yes,1991-2000,Female,6
643,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,Yes,<1991,Male,11
644,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,Yes,<1991,Female,4
645,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,No,2021-2025,Male,16
646,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,No,2021-2025,Female,10
647,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,No,2016-2020,Male,14
648,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,No,2016-2020,Female,13
649,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,No,2011-2015,Male,19
650,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,No,2011-2015,Female,15
651,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,No,2006-2010,Male,6
652,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,No,2006-2010,Female,9
653,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,No,2001-2005,Male,19
654,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,No,2001-2005,Female,0
655,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,No,1991-2000,Male,1
656,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,No,1991-2000,Female,11
657,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,No,<1991,Male,12
658,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,No,<1991,Female,4
659,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,Unknown,2021-2025,Male,1
660,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,Unknown,2021-2025,Female,10
661,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,Unknown,2016-2020,Male,13
662,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,Unknown,2016-2020,Female,2
663,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,Unknown,2011-2015,Male,9
664,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,Unknown,2011-2015,Female,14
665,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,Unknown,2006-2010,Male,16
666,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,Unknown,2006-2010,Female,8
667,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,Unknown,2001-2005,Male,11
668,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,Unknown,2001-2005,Female,1
669,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,Unknown,1991-2000,Male,15
670,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,Unknown,1991-2000,Female,7
671,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,Unknown,<1991,Male,8
672,FORCE-NEN collections,FORCE-NEN collections AUMC,Unknown primary site,Unknown,<1991,Female,18
673,FORCE-NEN collections,EMC,ESOPHAGUS,Yes,2021-2025,Male,15
674,FORCE-NEN collections,EMC,ESOPHAGUS,Yes,2021-2025,Female,3
675,FORCE-NEN collections,EMC,ESOPHAGUS,Yes,2016-2020,Male,0
676,FORCE-NEN collections,EMC,ESOPHAGUS,Yes,2016-2020,Female,9
677,FORCE-NEN collections,EMC,ESOPHAGUS,Yes,2011-2015,Male,19
678,FORCE-NEN collections,EMC,ESOPHAGUS,Yes,2011-2015,Female,1
679,FORCE-NEN collections,EMC,ESOPHAGUS,Yes,2006-2010,Male,14
680,FORCE-NEN collections,EMC,ESOPHAGUS,Yes,2006-2010,Female,14
681,FORCE-NEN collections,EMC,ESOPHAGUS,Yes,2001-2005,Male,4
682,FORCE-NEN collections,EMC,ESOPHAGUS,Yes,2001-2005,Female,14
683,FORCE-NEN collections,EMC,ESOPHAGUS,Yes,1991-2000,Male,13
684,FORCE-NEN collections,EMC,ESOPHAGUS,Yes,1991-2000,Female,4
685,FORCE-NEN collections,EMC,ESOPHAGUS,Yes,<1991,Male,16
686,FORCE-NEN collections,EMC,ESOPHAGUS,Yes,<1991,Female,9
687,FORCE-NEN collections,EMC,ESOPHAGUS,No,2021-2025,Male,8
688,FORCE-NEN collections,EMC,ESOPHAGUS,No,2021-2025,Female,15
689,FORCE-NEN collections,EMC,ESOPHAGUS,No,2016-2020,Male,18
690,FORCE-NEN collections,EMC,ESOPHAGUS,No,2016-2020,Female,6
691,FORCE-NEN collections,EMC,ESOPHAGUS,No,2011-2015,Male,4
692,FORCE-NEN collections,EMC,ESOPHAGUS,No,2011-2015,Female,4
693,FORCE-NEN collections,EMC,ESOPHAGUS,No,2006-2010,Male,12
694,FORCE-NEN collections,EMC,ESOPHAGUS,No,2006-2010,Female,4
695,FORCE-NEN collections,EMC,ESOPHAGUS,No,2001-2005,Male,18
696,FORCE-NEN collections,EMC,ESOPHAGUS,No,2001-2005,Female,13
697,FORCE-NEN collections,EMC,ESOPHAGUS,No,1991-2000,Male,9
698,FORCE-NEN collections,EMC,ESOPHAGUS,No,1991-2000,Female,4
699,FORCE-NEN collections,EMC,ESOPHAGUS,No,<1991,Male,20
700,FORCE-NEN collections,EMC,ESOPHAGUS,No,<1991,Female,2
701,FORCE-NEN collections,EMC,ESOPHAGUS,Unknown,2021-2025,Male,18
702,FORCE-NEN collections,EMC,ESOPHAGUS,Unknown,2021-2025,Female,8
703,FORCE-NEN collections,EMC,ESOPHAGUS,Unknown,2016-2020,Male,7
704,FORCE-NEN collections,EMC,ESOPHAGUS,Unknown,2016-2020,Female,20
705,FORCE-NEN collections,EMC,ESOPHAGUS,Unknown,2011-2015,Male,0
706,FORCE-NEN collections,EMC,ESOPHAGUS,Unknown,2011-2015,Female,15
707,FORCE-NEN collections,EMC,ESOPHAGUS,Unknown,2006-2010,Male,8
708,FORCE-NEN collections,EMC,ESOPHAGUS,Unknown,2006-2010,Female,8
709,FORCE-NEN collections,EMC,ESOPHAGUS,Unknown,2001-2005,Male,2
710,FORCE-NEN collections,EMC,ESOPHAGUS,Unknown,2001-2005,Female,6
711,FORCE-NEN collections,EMC,ESOPHAGUS,Unknown,1991-2000,Male,7
712,FORCE-NEN collections,EMC,ESOPHAGUS,Unknown,1991-2000,Female,18
713,FORCE-NEN collections,EMC,ESOPHAGUS,Unknown,<1991,Male,6
714,FORCE-NEN collections,EMC,ESOPHAGUS,Unknown,<1991,Female,20
715,FORCE-NEN collections,EMC,COLON,Yes,2021-2025,Male,14
716,FORCE-NEN collections,EMC,COLON,Yes,2021-2025,Female,14
717,FORCE-NEN collections,EMC,COLON,Yes,2016-2020,Male,4
718,FORCE-NEN collections,EMC,COLON,Yes,2016-2020,Female,16
719,FORCE-NEN collections,EMC,COLON,Yes,2011-2015,Male,5
720,FORCE-NEN collections,EMC,COLON,Yes,2011-2015,Female,13
721,FORCE-NEN collections,EMC,COLON,Yes,2006-2010,Male,9
722,FORCE-NEN collections,EMC,COLON,Yes,2006-2010,Female,0
723,FORCE-NEN collections,EMC,COLON,Yes,2001-2005,Male,18
724,FORCE-NEN collections,EMC,COLON,Yes,2001-2005,Female,2
725,FORCE-NEN collections,EMC,COLON,Yes,1991-2000,Male,5
726,FORCE-NEN collections,EMC,COLON,Yes,1991-2000,Female,4
727,FORCE-NEN collections,EMC,COLON,Yes,<1991,Male,14
728,FORCE-NEN collections,EMC,COLON,Yes,<1991,Female,17
729,FORCE-NEN collections,EMC,COLON,No,2021-2025,Male,8
730,FORCE-NEN collections,EMC,COLON,No,2021-2025,Female,12
731,FORCE-NEN collections,EMC,COLON,No,2016-2020,Male,9
732,FORCE-NEN collections,EMC,COLON,No,2016-2020,Female,5
733,FORCE-NEN collections,EMC,COLON,No,2011-2015,Male,0
734,FORCE-NEN collections,EMC,COLON,No,2011-2015,Female,8
735,FORCE-NEN collections,EMC,COLON,No,2006-2010,Male,18
736,FORCE-NEN collections,EMC,COLON,No,2006-2010,Female,4
737,FORCE-NEN collections,EMC,COLON,No,2001-2005,Male,17
738,FORCE-NEN collections,EMC,COLON,No,2001-2005,Female,12
739,FORCE-NEN collections,EMC,COLON,No,1991-2000,Male,11
740,FORCE-NEN collections,EMC,COLON,No,1991-2000,Female,15
741,FORCE-NEN collections,EMC,COLON,No,<1991,Male,9
742,FORCE-NEN collections,EMC,COLON,No,<1991,Female,5
743,FORCE-NEN collections,EMC,COLON,Unknown,2021-2025,Male,3
744,FORCE-NEN collections,EMC,COLON,Unknown,2021-2025,Female,16
745,FORCE-NEN collections,EMC,COLON,Unknown,2016-2020,Male,2
746,FORCE-NEN collections,EMC,COLON,Unknown,2016-2020,Female,2
747,FORCE-NEN collections,EMC,COLON,Unknown,2011-2015,Male,6
748,FORCE-NEN collections,EMC,COLON,Unknown,2011-2015,Female,18
749,FORCE-NEN collections,EMC,COLON,Unknown,2006-2010,Male,11
750,FORCE-NEN collections,EMC,COLON,Unknown,2006-2010,Female,5
751,FORCE-NEN collections,EMC,COLON,Unknown,2001-2005,Male,20
752,FORCE-NEN collections,EMC,COLON,Unknown,2001-2005,Female,17
753,FORCE-NEN collections,EMC,COLON,Unknown,1991-2000,Male,19
754,FORCE-NEN collections,EMC,COLON,Unknown,1991-2000,Female,17
755,FORCE-NEN collections,EMC,COLON,Unknown,<1991,Male,10
756,FORCE-NEN collections,EMC,COLON,Unknown,<1991,Female,0
757,FORCE-NEN collections,EMC,RECTUM,Yes,2021-2025,Male,12
758,FORCE-NEN collections,EMC,RECTUM,Yes,2021-2025,Female,13
759,FORCE-NEN collections,EMC,RECTUM,Yes,2016-2020,Male,18
760,FORCE-NEN collections,EMC,RECTUM,Yes,2016-2020,Female,20
761,FORCE-NEN collections,EMC,RECTUM,Yes,2011-2015,Male,12
762,FORCE-NEN collections,EMC,RECTUM,Yes,2011-2015,Female,5
763,FORCE-NEN collections,EMC,RECTUM,Yes,2006-2010,Male,1
764,FORCE-NEN collections,EMC,RECTUM,Yes,2006-2010,Female,0
765,FORCE-NEN collections,EMC,RECTUM,Yes,2001-2005,Male,1
766,FORCE-NEN collections,EMC,RECTUM,Yes,2001-2005,Female,19
767,FORCE-NEN collections,EMC,RECTUM,Yes,1991-2000,Male,16
768,FORCE-NEN collections,EMC,RECTUM,Yes,1991-2000,Female,13
769,FORCE-NEN collections,EMC,RECTUM,Yes,<1991,Male,15
770,FORCE-NEN collections,EMC,RECTUM,Yes,<1991,Female,10
771,FORCE-NEN collections,EMC,RECTUM,No,2021-2025,Male,4
772,FORCE-NEN collections,EMC,RECTUM,No,2021-2025,Female,19
773,FORCE-NEN collections,EMC,RECTUM,No,2016-2020,Male,1
774,FORCE-NEN collections,EMC,RECTUM,No,2016-2020,Female,0
775,FORCE-NEN collections,EMC,RECTUM,No,2011-2015,Male,2
776,FORCE-NEN collections,EMC,RECTUM,No,2011-2015,Female,20
777,FORCE-NEN collections,EMC,RECTUM,No,2006-2010,Male,5
778,FORCE-NEN collections,EMC,RECTUM,No,2006-2010,Female,3
779,FORCE-NEN collections,EMC,RECTUM,No,2001-2005,Male,4
780,FORCE-NEN collections,EMC,RECTUM,No,2001-2005,Female,9
781,FORCE-NEN collections,EMC,RECTUM,No,1991-2000,Male,5
782,FORCE-NEN collections,EMC,RECTUM,No,1991-2000,Female,16
783,FORCE-NEN collections,EMC,RECTUM,No,<1991,Male,9
784,FORCE-NEN collections,EMC,RECTUM,No,<1991,Female,6
785,FORCE-NEN collections,EMC,RECTUM,Unknown,2021-2025,Male,7
786,FORCE-NEN collections,EMC,RECTUM,Unknown,2021-2025,Female,3
787,FORCE-NEN collections,EMC,RECTUM,Unknown,2016-2020,Male,7
788,FORCE-NEN collections,EMC,RECTUM,Unknown,2016-2020,Female,13
789,FORCE-NEN collections,EMC,RECTUM,Unknown,2011-2015,Male,14
790,FORCE-NEN collections,EMC,RECTUM,Unknown,2011-2015,Female,0
791,FORCE-NEN collections,EMC,RECTUM,Unknown,2006-2010,Male,15
792,FORCE-NEN collections,EMC,RECTUM,Unknown,2006-2010,Female,19
793,FORCE-NEN collections,EMC,RECTUM,Unknown,2001-2005,Male,19
794,FORCE-NEN collections,EMC,RECTUM,Unknown,2001-2005,Female,10
795,FORCE-NEN collections,EMC,RECTUM,Unknown,1991-2000,Male,19
796,FORCE-NEN collections,EMC,RECTUM,Unknown,1991-2000,Female,0
797,FORCE-NEN collections,EMC,RECTUM,Unknown,<1991,Male,7
798,FORCE-NEN collections,EMC,RECTUM,Unknown,<1991,Female,9
799,FORCE-NEN collections,EMC,Appendix,Yes,2021-2025,Male,18
800,FORCE-NEN collections,EMC,Appendix,Yes,2021-2025,Female,11
801,FORCE-NEN collections,EMC,Appendix,Yes,2016-2020,Male,5
802,FORCE-NEN collections,EMC,Appendix,Yes,2016-2020,Female,6
803,FORCE-NEN collections,EMC,Appendix,Yes,2011-2015,Male,17
804,FORCE-NEN collections,EMC,Appendix,Yes,2011-2015,Female,20
805,FORCE-NEN collections,EMC,Appendix,Yes,2006-2010,Male,0
806,FORCE-NEN collections,EMC,Appendix,Yes,2006-2010,Female,10
807,FORCE-NEN collections,EMC,Appendix,Yes,2001-2005,Male,3
808,FORCE-NEN collections,EMC,Appendix,Yes,2001-2005,Female,11
809,FORCE-NEN collections,EMC,Appendix,Yes,1991-2000,Male,9
810,FORCE-NEN collections,EMC,Appendix,Yes,1991-2000,Female,0
811,FORCE-NEN collections,EMC,Appendix,Yes,<1991,Male,15
812,FORCE-NEN collections,EMC,Appendix,Yes,<1991,Female,2
813,FORCE-NEN collections,EMC,Appendix,No,2021-2025,Male,19
814,FORCE-NEN collections,EMC,Appendix,No,2021-2025,Female,9
815,FORCE-NEN collections,EMC,Appendix,No,2016-2020,Male,20
816,FORCE-NEN collections,EMC,Appendix,No,2016-2020,Female,17
817,FORCE-NEN collections,EMC,Appendix,No,2011-2015,Male,3
818,FORCE-NEN collections,EMC,Appendix,No,2011-2015,Female,9
819,FORCE-NEN collections,EMC,Appendix,No,2006-2010,Male,10
820,FORCE-NEN collections,EMC,Appendix,No,2006-2010,Female,16
821,FORCE-NEN collections,EMC,Appendix,No,2001-2005,Male,10
822,FORCE-NEN collections,EMC,Appendix,No,2001-2005,Female,17
823,FORCE-NEN collections,EMC,Appendix,No,1991-2000,Male,12
824,FORCE-NEN collections,EMC,Appendix,No,1991-2000,Female,9
825,FORCE-NEN collections,EMC,Appendix,No,<1991,Male,0
826,FORCE-NEN collections,EMC,Appendix,No,<1991,Female,6
827,FORCE-NEN collections,EMC,Appendix,Unknown,2021-2025,Male,5
828,FORCE-NEN collections,EMC,Appendix,Unknown,2021-2025,Female,16
829,FORCE-NEN collections,EMC,Appendix,Unknown,2016-2020,Male,14
830,FORCE-NEN collections,EMC,Appendix,Unknown,2016-2020,Female,5
831,FORCE-NEN collections,EMC,Appendix,Unknown,2011-2015,Male,6
832,FORCE-NEN collections,EMC,Appendix,Unknown,2011-2015,Female,17
833,FORCE-NEN collections,EMC,Appendix,Unknown,2006-2010,Male,17
834,FORCE-NEN collections,EMC,Appendix,Unknown,2006-2010,Female,0
835,FORCE-NEN collections,EMC,Appendix,Unknown,2001-2005,Male,5
836,FORCE-NEN collections,EMC,Appendix,Unknown,2001-2005,Female,13
837,FORCE-NEN collections,EMC,Appendix,Unknown,1991-2000,Male,16
838,FORCE-NEN collections,EMC,Appendix,Unknown,1991-2000,Female,8
839,FORCE-NEN collections,EMC,Appendix,Unknown,<1991,Male,3
840,FORCE-NEN collections,EMC,Appendix,Unknown,<1991,Female,18
841,FORCE-NEN collections,EMC,STOMACH,Yes,2021-2025,Male,8
842,FORCE-NEN collections,EMC,STOMACH,Yes,2021-2025,Female,14
843,FORCE-NEN collections,EMC,STOMACH,Yes,2016-2020,Male,8
844,FORCE-NEN collections,EMC,STOMACH,Yes,2016-2020,Female,15
845,FORCE-NEN collections,EMC,STOMACH,Yes,2011-2015,Male,6
846,FORCE-NEN collections,EMC,STOMACH,Yes,2011-2015,Female,15
847,FORCE-NEN collections,EMC,STOMACH,Yes,2006-2010,Male,19
848,FORCE-NEN collections,EMC,STOMACH,Yes,2006-2010,Female,4
849,FORCE-NEN collections,EMC,STOMACH,Yes,2001-2005,Male,15
850,FORCE-NEN collections,EMC,STOMACH,Yes,2001-2005,Female,4
851,FORCE-NEN collections,EMC,STOMACH,Yes,1991-2000,Male,6
852,FORCE-NEN collections,EMC,STOMACH,Yes,1991-2000,Female,20
853,FORCE-NEN collections,EMC,STOMACH,Yes,<1991,Male,18
854,FORCE-NEN collections,EMC,STOMACH,Yes,<1991,Female,10
855,FORCE-NEN collections,EMC,STOMACH,No,2021-2025,Male,2
856,FORCE-NEN collections,EMC,STOMACH,No,2021-2025,Female,0
857,FORCE-NEN collections,EMC,STOMACH,No,2016-2020,Male,11
858,FORCE-NEN collections,EMC,STOMACH,No,2016-2020,Female,11
859,FORCE-NEN collections,EMC,STOMACH,No,2011-2015,Male,4
860,FORCE-NEN collections,EMC,STOMACH,No,2011-2015,Female,10
861,FORCE-NEN collections,EMC,STOMACH,No,2006-2010,Male,0
862,FORCE-NEN collections,EMC,STOMACH,No,2006-2010,Female,20
863,FORCE-NEN collections,EMC,STOMACH,No,2001-2005,Male,19
864,FORCE-NEN collections,EMC,STOMACH,No,2001-2005,Female,5
865,FORCE-NEN collections,EMC,STOMACH,No,1991-2000,Male,5
866,FORCE-NEN collections,EMC,STOMACH,No,1991-2000,Female,13
867,FORCE-NEN collections,EMC,STOMACH,No,<1991,Male,9
868,FORCE-NEN collections,EMC,STOMACH,No,<1991,Female,6
869,FORCE-NEN collections,EMC,STOMACH,Unknown,2021-2025,Male,3
870,FORCE-NEN collections,EMC,STOMACH,Unknown,2021-2025,Female,16
871,FORCE-NEN collections,EMC,STOMACH,Unknown,2016-2020,Male,3
872,FORCE-NEN collections,EMC,STOMACH,Unknown,2016-2020,Female,16
873,FORCE-NEN collections,EMC,STOMACH,Unknown,2011-2015,Male,7
874,FORCE-NEN collections,EMC,STOMACH,Unknown,2011-2015,Female,0
875,FORCE-NEN collections,EMC,STOMACH,Unknown,2006-2010,Male,16
876,FORCE-NEN collections,EMC,STOMACH,Unknown,2006-2010,Female,9
877,FORCE-NEN collections,EMC,STOMACH,Unknown,2001-2005,Male,0
878,FORCE-NEN collections,EMC,STOMACH,Unknown,2001-2005,Female,1
879,FORCE-NEN collections,EMC,STOMACH,Unknown,1991-2000,Male,1
880,FORCE-NEN collections,EMC,STOMACH,Unknown,1991-2000,Female,2
881,FORCE-NEN collections,EMC,STOMACH,Unknown,<1991,Male,11
882,FORCE-NEN collections,EMC,STOMACH,Unknown,<1991,Female,0
883,FORCE-NEN collections,EMC,PANCREAS,Yes,2021-2025,Male,12
884,FORCE-NEN collections,EMC,PANCREAS,Yes,2021-2025,Female,12
885,FORCE-NEN collections,EMC,PANCREAS,Yes,2016-2020,Male,16
886,FORCE-NEN collections,EMC,PANCREAS,Yes,2016-2020,Female,6
887,FORCE-NEN collections,EMC,PANCREAS,Yes,2011-2015,Male,13
888,FORCE-NEN collections,EMC,PANCREAS,Yes,2011-2015,Female,0
889,FORCE-NEN collections,EMC,PANCREAS,Yes,2006-2010,Male,13
890,FORCE-NEN collections,EMC,PANCREAS,Yes,2006-2010,Female,4
891,FORCE-NEN collections,EMC,PANCREAS,Yes,2001-2005,Male,10
892,FORCE-NEN collections,EMC,PANCREAS,Yes,2001-2005,Female,4
893,FORCE-NEN collections,EMC,PANCREAS,Yes,1991-2000,Male,3
894,FORCE-NEN collections,EMC,PANCREAS,Yes,1991-2000,Female,0
895,FORCE-NEN collections,EMC,PANCREAS,Yes,<1991,Male,14
896,FORCE-NEN collections,EMC,PANCREAS,Yes,<1991,Female,4
897,FORCE-NEN collections,EMC,PANCREAS,No,2021-2025,Male,5
898,FORCE-NEN collections,EMC,PANCREAS,No,2021-2025,Female,19
899,FORCE-NEN collections,EMC,PANCREAS,No,2016-2020,Male,0
900,FORCE-NEN collections,EMC,PANCREAS,No,2016-2020,Female,2
901,FORCE-NEN collections,EMC,PANCREAS,No,2011-2015,Male,12
902,FORCE-NEN collections,EMC,PANCREAS,No,2011-2015,Female,2
903,FORCE-NEN collections,EMC,PANCREAS,No,2006-2010,Male,1
904,FORCE-NEN collections,EMC,PANCREAS,No,2006-2010,Female,10
905,FORCE-NEN collections,EMC,PANCREAS,No,2001-2005,Male,12
906,FORCE-NEN collections,EMC,PANCREAS,No,2001-2005,Female,3
907,FORCE-NEN collections,EMC,PANCREAS,No,1991-2000,Male,8
908,FORCE-NEN collections,EMC,PANCREAS,No,1991-2000,Female,12
909,FORCE-NEN collections,EMC,PANCREAS,No,<1991,Male,1
910,FORCE-NEN collections,EMC,PANCREAS,No,<1991,Female,4
911,FORCE-NEN collections,EMC,PANCREAS,Unknown,2021-2025,Male,20
912,FORCE-NEN collections,EMC,PANCREAS,Unknown,2021-2025,Female,2
913,FORCE-NEN collections,EMC,PANCREAS,Unknown,2016-2020,Male,2
914,FORCE-NEN collections,EMC,PANCREAS,Unknown,2016-2020,Female,17
915,FORCE-NEN collections,EMC,PANCREAS,Unknown,2011-2015,Male,8
916,FORCE-NEN collections,EMC,PANCREAS,Unknown,2011-2015,Female,0
917,FORCE-NEN collections,EMC,PANCREAS,Unknown,2006-2010,Male,19
918,FORCE-NEN collections,EMC,PANCREAS,Unknown,2006-2010,Female,3
919,FORCE-NEN collections,EMC,PANCREAS,Unknown,2001-2005,Male,18
920,FORCE-NEN collections,EMC,PANCREAS,Unknown,2001-2005,Female,16
921,FORCE-NEN collections,EMC,PANCREAS,Unknown,1991-2000,Male,8
922,FORCE-NEN collections,EMC,PANCREAS,Unknown,1991-2000,Female,18
923,FORCE-NEN collections,EMC,PANCREAS,Unknown,<1991,Male,5
924,FORCE-NEN collections,EMC,PANCREAS,Unknown,<1991,Female,6
925,FORCE-NEN collections,EMC,SMALL INTESTINE,Yes,2021-2025,Male,13
926,FORCE-NEN collections,EMC,SMALL INTESTINE,Yes,2021-2025,Female,16
927,FORCE-NEN collections,EMC,SMALL INTESTINE,Yes,2016-2020,Male,15
928,FORCE-NEN collections,EMC,SMALL INTESTINE,Yes,2016-2020,Female,8
929,FORCE-NEN collections,EMC,SMALL INTESTINE,Yes,2011-2015,Male,8
930,FORCE-NEN collections,EMC,SMALL INTESTINE,Yes,2011-2015,Female,10
931,FORCE-NEN collections,EMC,SMALL INTESTINE,Yes,2006-2010,Male,18
932,FORCE-NEN collections,EMC,SMALL INTESTINE,Yes,2006-2010,Female,3
933,FORCE-NEN collections,EMC,SMALL INTESTINE,Yes,2001-2005,Male,20
934,FORCE-NEN collections,EMC,SMALL INTESTINE,Yes,2001-2005,Female,7
935,FORCE-NEN collections,EMC,SMALL INTESTINE,Yes,1991-2000,Male,9
936,FORCE-NEN collections,EMC,SMALL INTESTINE,Yes,1991-2000,Female,16
937,FORCE-NEN collections,EMC,SMALL INTESTINE,Yes,<1991,Male,2
938,FORCE-NEN collections,EMC,SMALL INTESTINE,Yes,<1991,Female,1
939,FORCE-NEN collections,EMC,SMALL INTESTINE,No,2021-2025,Male,9
940,FORCE-NEN collections,EMC,SMALL INTESTINE,No,2021-2025,Female,18
941,FORCE-NEN collections,EMC,SMALL INTESTINE,No,2016-2020,Male,7
942,FORCE-NEN collections,EMC,SMALL INTESTINE,No,2016-2020,Female,5
943,FORCE-NEN collections,EMC,SMALL INTESTINE,No,2011-2015,Male,4
944,FORCE-NEN collections,EMC,SMALL INTESTINE,No,2011-2015,Female,17
945,FORCE-NEN collections,EMC,SMALL INTESTINE,No,2006-2010,Male,5
946,FORCE-NEN collections,EMC,SMALL INTESTINE,No,2006-2010,Female,15
947,FORCE-NEN collections,EMC,SMALL INTESTINE,No,2001-2005,Male,15
948,FORCE-NEN collections,EMC,SMALL INTESTINE,No,2001-2005,Female,4
949,FORCE-NEN collections,EMC,SMALL INTESTINE,No,1991-2000,Male,9
950,FORCE-NEN collections,EMC,SMALL INTESTINE,No,1991-2000,Female,20
951,FORCE-NEN collections,EMC,SMALL INTESTINE,No,<1991,Male,13
952,FORCE-NEN collections,EMC,SMALL INTESTINE,No,<1991,Female,17
953,FORCE-NEN collections,EMC,SMALL INTESTINE,Unknown,2021-2025,Male,10
954,FORCE-NEN collections,EMC,SMALL INTESTINE,Unknown,2021-2025,Female,4
955,FORCE-NEN collections,EMC,SMALL INTESTINE,Unknown,2016-2020,Male,7
956,FORCE-NEN collections,EMC,SMALL INTESTINE,Unknown,2016-2020,Female,6
957,FORCE-NEN collections,EMC,SMALL INTESTINE,Unknown,2011-2015,Male,14
958,FORCE-NEN collections,EMC,SMALL INTESTINE,Unknown,2011-2015,Female,17
959,FORCE-NEN collections,EMC,SMALL INTESTINE,Unknown,2006-2010,Male,5
960,FORCE-NEN collections,EMC,SMALL INTESTINE,Unknown,2006-2010,Female,9
961,FORCE-NEN collections,EMC,SMALL INTESTINE,Unknown,2001-2005,Male,13
962,FORCE-NEN collections,EMC,SMALL INTESTINE,Unknown,2001-2005,Female,0
