id,pid,name,acronym,description,url,location,country,latitude,longitude,head,contact,juridical_person,network,also_known,capabilities,collaboration_commercial,collaboration_non_for_profit,national_node,withdrawn
bbmri-eric:ID:FI_010,21.12110/1.6854-14d8-79c8,Finnish Red Cross Blood Service Biobank,BSB,Sample collection based on blood donors,https://www.bloodservice.fi/Research%20Projects/biobanking,Helsinki,FI,60.211894,24.903688,bbmri-eric:contactID:FI_Partanen,bbmri-eric:contactID:FI_010,Finnish Red Cross Blood Service,"bbmri-eric:networkID:FI_bbmri_fi,bbmri-eric:networkID:FI_finbb",,"biomaterial-storage,data-analytics,data-storage,nucleic-acid-extraction,recontact",true,true,FI,false
bbmri-eric:ID:FI_012,21.12110/1.9287-5d97-e98b,Arctic Biobank - University of Oulu,ArcticBB,"Arctic Biobank – University of Oulu was established to host large population-based sample collections from Northern Finland: prospective birth and population cohorts NFBC1966, NFBC1986, Oulu1935 and Oulu1945.",https://www.oulu.fi/en/university/faculties-and-units/faculty-medicine/northern-finland-birth-cohorts-and-arctic-biobank,Oulu,FI,65.021545,25.469885,bbmri-eric:contactID:FI_012,bbmri-eric:contactID:FI_012,University of Oulu,"bbmri-eric:networkID:FI_bbmri_fi,bbmri-eric:networkID:FI_finbb",,"biomaterial-storage,cell-culture,data-storage,nucleic-acid-extraction,recontact",true,true,FI,false
bbmri-eric:ID:FR_BB-0033-00010,21.12110/1.40a9-cd30-891c,Banque ADN et de cellules - Genethon,BACG,"Since its creation in 1990, the goal of the Genethon DNA and Cell Bank has been to encourage advances in research in genetics by placing the high quality services of a cell and human material bank at the disposal of the scientific community.The objective of the DNA and Cell Bank at Genethon has always been to store the memory of genetic - mainly neuromuscular - diseases and to provide the human material necessary for the work of research teams, regardless of the pathology. It functions as a service provider for the scientific and medical community as a whole. The Bank collects blood samples that originate from sample collection campaigns run by research teams, biologists and geneticists in France and abroad. The management and traceability of the samples (processing, storage, distribution and partnerships) are provided by the database known as 'Stocky' - specially developed at Genethon for the DNA Bank.The activities of the DNA and Cell Bank are as follows: oCollecting blood or DNA from patients affected with genetic diseases and their families with the minimum identification data necessary for the monitoring and follow-up of samples. oProcessing the samples in order to make them available to the scientific community and perpetuating DNA preservation (serum isolation and DNA extraction), isolating lymphocytes and establishing lymphoblastoid B lines and primary cultures (myoblasts and fibroblasts). oStoring samples for future research and preserving the genetic heritage by ensuring the long-term physical security of the preserved samples. oDistributing samples as necessary for ongoing research while complying with the principles and laws of bioethics and using the best available technologies at minimum cost. All these activities are carried out following Standard Operating Procedures (SOP) validated by the Quality Assurance department at Genethon.The Bank's activity is exclusively one of research, not of diagnosis.",http://www.genethon.fr/rd/banque-dadn-et-de-cellules/,Évry-Courcouronnes,FR,48.620587,2.449548899999968,bbmri-eric:contactID:FR_BB-0033-00010,bbmri-eric:contactID:FR_BB-0033-00010,Banque ADN et de cellules - Genethon,,,,true,true,FR,true
bbmri-eric:ID:FR_BB-0033-00011,21.12110/1.d56b-5084-86de,GIE-Neuro-CEB,Neuro-CEB,"Created in 2006, the GIE Neuro-CEB biobank collects, stores and distributes post mortem human brain samples from patients with neurological disorders or without these diseases (controls).",http://www.neuroceb.org,Paris,FR,48.83840499999999,2.3611693999999943,bbmri-eric:contactID:FR_BB-0033-00011,bbmri-eric:contactID:FR_BB-0033-00011,GIE-Neuro-CEB,,,,true,true,FR,true
bbmri-eric:ID:NL_AAAACXPFROFN6ACQK2ME25QAAM,21.12110/1.fffd-c548-4f88,Leidsche Rijn Gezondheid Study Biobank,LGRP Biobank,,http://www.lrgp.nl/,,NL,,,,bbmri-eric:contactID:NL_AAAACXPFRLHBSACQK2ME25QAAE,No information,,,,,true,NL,false
bbmri-eric:ID:FR_BB-0033-00012,21.12110/1.74fd-a483-f7ad,Myobank-AFM de l'Institut de Myologie,Myobank-AFM,"Myobank-AFM Institut de Myologie is a non-profit  bank of tissue acting to the exclusive scope of scientific research  while  respecting  the fundamental  rights  of individuals. Il was created  in 1996  by the AFM in order to allow scientific research teams to work directly on human tissue. This bank is nowa service of the ""Association  Institut de Myologie"" (AIM). Myobank  - AFM is located within the ""Plate-Forme  Commun de Ressources  Biologiques"" of the Pitie-Salpetriere  Hospital in Paris (75013).Ils  goal   is  to  faveur   the  development   and   achievement   of  treatments   for   people   affected   with neuromuscular diseases through collecting and distributing human tissue.Myobank-AFM is useful to the French and foreign scientific community researching  in the field of neuromuscular diseases. On request from research  teams the bank ensures the collecting, preservation, storage,  distribution  or  hosting  of  the  collections   mainly  in  the  field  of  neuromuscular   or  connected diseases",http://www.institut-myologie.org,Paris,FR,48.8363637,2.3681446000000506,bbmri-eric:contactID:FR_BB-0033-00012,bbmri-eric:contactID:FR_BB-0033-00012,Myobank-AFM,,,,true,true,FR,true
bbmri-eric:ID:FR_BB-0033-00013,21.12110/1.7a72-72a7-69f5,GIS-CRB,-,"The Scientific Interest Group Centre de Ressources Biologiques de Touraine (GIS CRBT) was officially created in 2004, by the signature of a contract between the six members (detailed in Document 1).Several scientific themes were chosen (though they are not restrictive): Oncology (including Molecular and functional markers, Biotherapies and Pharmacogenetics of monoclonal antibodies), Nutrition and Metabolism, Infectiology and Vascular Pathologies.The type of scientific activity in which the CRB of Tours is involved depends on the services that solicit the CRB's help in constituting and conserving collections, mainly in the case of clinical research trials (total of 77 studies in 2010). The most frequently represented domains are Rheumatology, Oncology and Hepato-gastro-enterology.In the last five years, most of the collections have been in the constitution phase, not yet in the analytical phase. However, some collections have been analysed and the results seem interesting. This is the case for the following studies:-the FAKIR study promoted by the CHRU of Tours: Variability of the pharmacokinetics and the pharmacokinetics-pharmacodynamics relationship of infliximab in rheumatoid polyarthritis : this study involved a clinical service (the Rheumatology service) and a research team (the GICC : Genetique Immunotherapie Chimie et Cancer)-the PEPIT study promoted by the CHRU of Tours : Study protocole of the passage of immunoglobulins transplacentally : this study involved a clinical service (the Rheumatology service) and a research team (the GICC)-the STORI study promoted by the GETAID (Groupe d'Etudes Therapeutiques des Affections Inflammatoires du tube Digestif) : Prospective study of the predictive factors of remission maintenance in Crohn's disease after stopping the infliximab treatmentIn 2010, new clinical services have started to call upon the competencies of the CRB so we should be able to extend our scientific activity to the domains of Cardiology and Pneumology.",https://www.chu-tours.fr/presentation-du-crb-de-touraine.html,Tours,FR,47.3871068,0.6676873000000114,bbmri-eric:contactID:FR_BB-0033-00013,bbmri-eric:contactID:FR_BB-0033-00013,GIS-CRB,,,,true,true,FR,true
bbmri-eric:ID:FR_BB-0033-00014,21.12110/1.33b6-a9b7-8d02,Biobanque CHU de Toulouse,,"Since its creation in 2002, the biobank of Toulouse Hospital (BkT), led to its missions, mostly in research projects. The BkT followed the guideline of good practical and recommendations of INCa.The BkT has organized the collection, the freezing and the storage of human biological samples from which were prepared nucleic acid derivatives by standard procedures and technique.",https://www.iuct-oncopole.fr/le-centre-de-ressources-biologiques,Toulouse,FR,43.60105610000001,1.434644599999956,bbmri-eric:contactID:FR_BB-0033-00014,bbmri-eric:contactID:FR_BB-0033-00014,Biobanque CHU de Toulouse,,,,true,true,FR,true
bbmri-eric:ID:FR_BB-0033-00015,21.12110/1.cdf7-7cbe-0dab,Tumorotheque CLCC Paul Strauss,-,"The Center Paul Strauss is an Health Establishment of Private Collective Interest wich provides 3 missions or f health service in oncology: care, research and education.
Paul Strauss establishment is a center of expertise, remedy and innovation in oncology. It belongs to UNICANCER group, gathering 20 centers of fight against cancer distributed at national level.",http://www.centre-paul-strauss.fr/recherche/tumorotheque,Strasbourg,FR,48.5763817,7.7507375999999795,bbmri-eric:contactID:FR_BB-0033-00015,bbmri-eric:contactID:FR_BB-0033-00015,Tumorotheque CLCC Paul Strauss,,,,true,true,FR,true
bbmri-eric:ID:FR_BB-0033-00016,21.12110/1.7981-d762-4376,CRB de l'Institut Jerome Lejeune,CRB-BioJel,"CRB BioJel collects and stores samples of patients with genetic intellectual disabilities. The majority of the samples come from patients followed in consultation at the Institut Jerome Lejeune. In addition to making these samples available, the CRB BioJeL offers its technical platform:
- To meet specific needs of external research centers
- To take samples from patients not usually followed at the consultation of the Jerome Lejeune Institute",http://www.crb-institutlejeune.com,Paris,FR,48.8406945,2.309177399999953,bbmri-eric:contactID:FR_BB-0033-00016,bbmri-eric:contactID:FR_BB-0033-00016,CRB de l'Institut Jerome Lejeune,,,,true,true,FR,true
bbmri-eric:ID:FR_BB-0033-00017,21.12110/1.f9a6-9fe9-80a4,Biobanque de Picardie - Salouel,-,"The Biobank of Picardy has coordinated a pre-analytical project IBISA with nineteen French BRCs aiming to test pre analytical treatment effects on quality of biological resources. The Free Flow Electrophoresis program has assembled the Biobank's team who fractionate biological resources and the Pasteur's Institute which did mass spectrometry (article in preparation).  The Biobank was a partner of STORE and BBMRI European Projects aiming to share data by producing an online resource holding of data, a set of technique protocols for tissue analysis and access details to the original material.  Within the framework of regional projects, the Biobank participates to the MecoExpo program aiming to evaluate the transfer of pesticides from the mother to new born babies by analysing meconiums. Another pre-analytical project has been set in collaboration with the Nuclear Magnetic Resonance platform  to discover new preservation pre-analytical biomarkers.",https://www.biobanque-picardie.com/,Amiens,FR,49.87236120000001,2.253037899999981,bbmri-eric:contactID:FR_BB-0033-00017,bbmri-eric:contactID:FR_BB-0033-00017,Biobanque de Picardie - Salouel,,,,true,true,FR,true
bbmri-eric:ID:FR_BB-0033-00018,21.12110/1.237f-f9a2-32f4,CRB/CIC-P,CRB/CIC-P,"Over the last 15 years, the Nancy Clinical investigation Centre has set-up clinical studies (including randomized controlled trials, and cohorts) mainly in the field of cardiovascular diseases (heart failure, cardiovascular prevention...), leading to collect clinical and biological data. A biobank has been set up simultaneously, with the aim to get a Biological Resource Centre certification in a near future (ongoing certification process). The main publications involving the biobank are relative to  biomarkers of the cardiovascular remodeling, as well as genetic studies within the Stanislas Cohort.",http://www.chu-nancy.fr/cic/,Vandœuvre-lès-Nancy,FR,48.6471442,6.148825833333333,bbmri-eric:contactID:FR_BB-0033-00018,bbmri-eric:contactID:FR_BB-0033-00018,CRB/CIC-P,,,,true,true,FR,true
bbmri-eric:ID:FR_BB-0033-00019,21.12110/1.0114-7006-a124,Le Centre de Ressources Biologiques sur la Scleros,REFGENSEP,"The MS genetics centre of CRICM (REFGENSEP-BRC) is at the interface between clinical departments and research teams. It's a part of a national network including 21 sampling centers, a DNA extraction center and scientific collaborators. The BRC is open to collaborations and is allowed by the Ministry of research to provide biological resources to national or international requesters. The BRC has been evaluated by AERES and is now involved as a platform in the CRICM of Pitie-Salpetriere. The center is all ready organized with a quality management involving all actors of the systems to provide quality products and services.The BRC has already compiled DNA and lymphoblastoid cells from: 860 simplex, 130 multiplex families, 1332 cases and 790 controls which are available for genetic studies, and the collection is still going on. We demonstrated that our collection was representative of the natural history of MS (Cournu-Rebeix et al, 2008).This BRC is a resource of general interest which has been used in national and international collaborations as shown in the list of publications of the group. The high number of samples available in REFGENSEP-BRC and the good quality of associated clinical data allowed us to initiate large-scale genetic projects.The genome-wide project is an international collaborative study taking place through the International Multiple Sclerosis Genetics Consortium (IMSGC). The IMSGC is a collaborative group gathering 30 different teams from Europe and the USA. Our participation to the first phase of the project lead us to conclude that our biological resources were of sufficient quality to be involved in international projects. 97% of our samples have successfully passed the very stringent quality control at Sanger Center. Results of this collaborative effort will be published soon. More recently we initiated a collaboration with the ""The Multiple Autoimmune Diseases Genetic Consortium >> aiming to identify susceptibility regions common to several diseases.",http://icm-institute.org/fr/centres-de-ressources-biologiques/,Paris,FR,48.8368263,2.36006569999995,bbmri-eric:contactID:FR_BB-0033-00019,bbmri-eric:contactID:FR_BB-0033-00019,Le Centre de Ressources Biologiques sur la Scleros,,,,true,true,FR,true
bbmri-eric:ID:FR_BB-0033-00020,21.12110/1.3441-eec1-bb89,CRB-Bichat Claude Bernard,CRB-Bichat Claude Bernard,"The Bichat Hospital Biological Resources Centre is a dynamic multi-purpose structure of clinical research activities within the University-Hospital area. By its actions of collect, storage and distribution of biological samples, it plays an important role in the set-up of studies, and it is now housing several biological research collections already recognized nationally and internationally, leading to several international scientific publications",http://www.bichat.inserm.fr,Paris,FR,48.89871960000001,2.3325651000000107,bbmri-eric:contactID:FR_benessiano,bbmri-eric:contactID:FR_BB-0033-00020,CRB-Bichat Claude Bernard,,,,true,true,FR,true
bbmri-eric:ID:GR_HBOOCA,21.12110/1.0289-88a5-aa69,Hellenic Biobank of Overweight and Obesity in Childhood and Adolescence,HBOOCA,A collection of biological samples from patients living from overweight or obese children and adolescents living in Greece,,Athens,GR,37.991916,23.7802807,bbmri-eric:contactID:GR_echarmand,bbmri-eric:contactID:GR_echarmand,"Biomedical Research Foundation, Academy of Athens",bbmri-eric:networkID:GR_bbmri_gr,,"biomaterial-storage,nucleic-acid-extraction",true,true,GR,false
bbmri-eric:ID:FR_BB-0033-00021,21.12110/1.14cc-f676-607f,PRB Creteil,-,"The Henri Mondor BIobank (NF S96-900 certified) has been structured to ensure the collection and the management of the biological samples issued from patient care and clinical research activity of the Henri Mondor hospital. These collections are mainly based on two axes of excellence of our institution: reference centre for several rare diseases (neurofibromatosis, sickle cell disease, Huntington disease, neuromuscular disorders ...) and highly specialized centre for some cancer types (uro-genital cancer, digestive cancers, haematological malignancies...). The aim of the Henri Mondor Biobank is 1) to organize the reception, transformation, management and track of each biological sample issued from clinic research trials or patients care in order to constitute high quality and scientifically valuable collections of biological samples; 2) to guarantee a quality process as well as good laboratory practice in accordance with written and validated procedures and 3) to verify and apply the ethical and official regulations for protection of patients involved in biomedical and clinical research investigations. The Henri Mondor biobank is using a database software system (Biobase) for the management of the biological samples. To date, the numerous samples stored in the Plateform mostly concern rare diseases (neurofibromatosis, sickle cell disease, neuromuscular disorders) and cancer (uro-genital tumors, lymphomas, digestive cancers). This plateform is integrated into the clinical research activity of our institution and has strong relationships with the Clinical Investigation Center. Importantly, this biobank is in direct relationship with all the institutional research laboratories, mainly INSERM located within the hospital and Creteil Medical School. The Henri Mondor biobank is also connected to the laboratories of the hospital performing biological investigations through the Centre of Biomedical Investigation. The collections are also used by national or international research laboratories, through scientific collaborations and/or thematic networks. These activities have led to major publications with high impact factors.",http://prbmondor.aphp.fr/,Créteil,FR,48.7971278,2.453096388888889,bbmri-eric:contactID:FR_BB-0033-00021,bbmri-eric:contactID:FR_BB-0033-00021,PRB Creteil,,,,true,true,FR,true
bbmri-eric:ID:FR_BB-0033-00022,21.12110/1.541f-99cb-96c7,CRB SAT APHP.SU,CRB SAT APHP.SU,"Created in 2010, the CRB SAT APHP.SU is a cross structure at the disposal of all clinicians and researchers from the Hospital Group involved in research with constitution of collections of biological samples. It ensures the reception, preparation, storage and provision of biological collections from clinical protocols. The CRB SAT APHP.SU prepares samples from peripheral blood (serum, plasma, DNA, RNA, miRNA), and maintains all types of samples regardless of the clinical research theme.",http://saintantoine.aphp.fr/centre-de-ressources-biologiques/,Paris,FR,48.8496852,2.3841300000000274,bbmri-eric:contactID:FR_BB-0033-00022,bbmri-eric:contactID:FR_BB-0033-00022,CRB HUEP-UPMC,,,,true,true,FR,true
bbmri-eric:ID:FR_BB-0033-00023,21.12110/1.9cc0-0918-d21d,CRB-Pathologie-Cochin,-,"The tumour bank of Hopital Cochin has been created in 2004, inside the Pathology Unit. Human bio-specimens are collected and subsequently distributed following the operational procedures recommended by ANAES (Ann Pathol 2001; 21: 184-201). All procedures have been put in place to comply with the legal obligations concerning chiefly the traceability of tissue biopsies in the tumour bank. Although the computerised medical records of the Hopital Cochin and the tumour bank data are stored in independent software programmes, it is possible, via a protected access, to compare the two sources of information for medical and scientific purposes. Currently, the tumour bank of Hopital Cochin includes 14667 specimens (digestive, liver, pancreas, gynecologic and genitourinary systems, adrenal, skin, sarcoma and lymphoma). It has a double mission, medical (diagnostic, and therapeutic) and scientific by providing resource for research programmes.As a biological resource centre, we have supported 400 requests of samples corresponding to more than 20 research projects throughout 2004-2009. Locally, we actively participate in different oncology research projects, particularly on liver, pancreatic, colorectal and adrenal tumors. One of our main topic concerns the deregulation of the Wnt/b-catenin signalling pathway in these tumors. We have also provided samples and/or documental support for collaborative projects. We collaborate to the national virtual tumor project bank initiated by INCA and BBMRI.",http://hopitaux-paris-centre.aphp.fr/la-tumorotheque/,Paris,FR,48.8373986,2.338868899999966,bbmri-eric:contactID:FR_BB-0033-00023,bbmri-eric:contactID:FR_BB-0033-00023,CRB-Pathologie-Cochin,,,,true,true,FR,true
bbmri-eric:ID:FR_BB-0033-00024,21.12110/1.e11a-1c43-0308,TRFC,-,"Biobank's scientific projects :1)UROTHELIAL CARCINOMA The characterization of bladder tumours that will progress could lead to the identification of patients who might benefit from surgery to avoid muscle invasion and metastasisa)In a first study  we reported that in spite of the decreased expression of E-Cadherin in invasive bladder tumours, their cytoplasmic partners (catenines ) are still expressed, suggesting the presence of an other cadherin family member such as N-Cadherin (Clairotte A et al , 2006).b)N-Cadherin expression was evaluated in the same group of tumors (71 PT1 and 30 pT2/T3) by immunohistochemistry 5IHC) and in 28 fresh frozen tumours, by IHC and reverse transcrition-PCR analysis. This study identified N-Cadherin as a prognostic marker in superficial Urothelial tumours (Lascombe I, 2006).c)Twist is considered as a transcription factor that regulates epithelial mesenchymal transition (EMT) by at least inhibition of E-Cadherin expression. Our results demonstrated its involvement in progression and matastasis devlopement by the inverse relationship with the E-cadherin expression (Wallerand H, 2009). d)Our aim is to study N-Cadherine and A-FABP (Fatty acid Binding Protein) by IHC  on superficial bladder  urothelial carcinoma. In our hypothesis a group of aggressive tumours N-cadherin positive and A-FABP negative could be detected. In this group on the fresh frozen specimen, mARN N-cadherin positive and A-FABP could be evaluated. 2)COLORECTAL CARCINOMASignal transducer and activator of transcription3 (STAT3) has been implicated as an oncogene in several neoplastic diseases. The aim of our study was to explore the relation between the immunohistochemical expression of nuclear p-STAT3 in tumours cells and clinicopathological features and to investigate the prognosis significance of p-STAT3 in a cohort of patients included in the EORTC 22921 trial. In our study, the patients with tumours positive for p-STAT3 had significantly improved overall survival (Monnien F, 2010).",http://www.chu-besancon.fr/tumoro,Besançon,FR,47.22530159999999,5.961198500000023,bbmri-eric:contactID:FR_BB-0033-00024,bbmri-eric:contactID:FR_BB-0033-00024,TRFC,,,,true,true,FR,true
bbmri-eric:ID:IT_1590747895356557,21.12110/1.7d5b-4ec4-ebbf,COVID-19 ASST Bergamo,ASST-PG23,"The Hospital “Papa Giovanni XXIII” of Bergamo is a highly specialized, modern public hospital, the largest one in the Lombardy region. The Hospital Papa Giovanni XXIII actively collaborates with many prominent Italian and foreign research and clinical Institutions, and currently hosts 11 “Top Italian Scientists”. The hospital is continuously involved in several clinical and basic research studies (about 500 every year), that has led so far to a scientific production resulting in the publication of about 1.300 manuscripts in prestigious international scientific journals.",,,IT,,,bbmri-eric:contactID:IT_1590747895906659,bbmri-eric:contactID:IT_1590747895906659,Maria Beatrice Stasi,"bbmri-eric:networkID:IT_68e869d490ef443,bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19",,ProspectiveCollections,false,false,IT,false
bbmri-eric:ID:FR_BB-0033-00025,21.12110/1.3856-2655-1cb9,Biobanque du CHU de Nice,Biobank06,"The Biobank of the Nice Pasteur Hospital was set up in 2004 and its activity beginning at this time was initially strongly focused on three major biological collections concerning the lung, the thyroid and the head and neck pathologies (www.biobank06.com). Since the end of 2009, two additional collections oriented on melanomas and inflammatory bowel diseases have been started. The Nice Biobank is associated to the Canceropole PACA and tumour collections are integrated in this Nice-Marseille regional biobank (www.biobank-paca.com). The biobank of Nice is labelled by IBiSA since 2008 and is certified ISO S-96-900 by AFNOR since January 2010.",http://www.biobank06.com,Nice,FR,43.7243741,7.282146300000022,bbmri-eric:contactID:FR_BB-0033-00025,bbmri-eric:contactID:FR_BB-0033-00025,Biobanque du CHU de Nice,,,,true,true,FR,true
bbmri-eric:ID:FR_BB-0033-00026,21.12110/1.184a-9ac1-9047,CRB-Saint-Anne,CRB-NSPN,"Neurological and psychiatric disorders are among the most disabling disorders and represent a considerable human and societal burden and more than 25% of the population will suffer of a psychiatric disorder or neurovascular disorder. The cognitive and functional sequels are increasing with aging of the population. Despite their frequency, the origin of these disorders is multifactorial with both genetic and environmental factors. The Sainte Anne Hospital is the only site entirely devoted to treating CNS diseases and hosts the Inserm Center 'Centre de Psychiatrie et Neurosciences' CPN. The CRB NSPN is specialized in the collection  of samples from patients suffering of neurovascular or psychiatric disorders in order to facilitate translational projects on new therapeutic or predictive and diagnostic biomarkers. There are 38 biological collections in or ready to be included in the CRB. They cover neuropsychiatric diseases from developmental disorders (autism, mental retardation, Rett syndrom, attentional disorders, hyperactivity: 9) to degenerative disorders (Alzheimer,MCI, 4) and include neuroglia tumors (1), addiction (8) eating disorders (2), mood disorders (4) , schizophrenia and early psychosis (6), des metabolic syndrome (1), neurovascular disorders (5) and general population cohorts (2). All these collections contain rich clinical data, 5 include brain tissue and 12 cell lines. Fifteen include functional and / or structural  brain imaging acquisition. Several ongoing projects of the clinical research teams are based on large and / or prospective cohorts with such multiple approaches and the development of large data warehouses, able to integrate those data is needed. The CHSA has the objective to develop a platform of sample management and analysis that will be fully interoperable with other databases from the CHSA clinical research platforms (including neurophysiology, neuropsychology, brain imaging and genomic) in order to provide an integrated plateform devoted to the exploration of behavior, psychology, psychomotricity and cognition in human.",http://www.ch-sainte-anne.fr/,Paris,FR,48.8302314,2.3406311999999616,bbmri-eric:contactID:FR_BB-0033-00026,bbmri-eric:contactID:FR_BB-0033-00026,CRB-Saint-Anne,,,,true,true,FR,true
bbmri-eric:ID:FR_BB-0033-00027,21.12110/1.60ea-1727-a10c,CRB Foie (Jean Verdier),-,"The Liver BRC collects, stores and distributes human biological samples for biomedical research. The biobank focuses on chronic liver diseases, such as cirrhosis and hepatocellular carcinoma.",http://chu93.aphp.fr/centre-de-ressources-biologiques/,Bondy,FR,48.9096389,2.488226111111111,bbmri-eric:contactID:FR_BB-0033-00027,bbmri-eric:contactID:FR_BB-0033-00027,CRB Foie (Jean Verdier),,,,true,true,FR,true
bbmri-eric:ID:FR_BB-0033-00028,21.12110/1.47d1-ac47-93be,EREN,EREN,"Our research unit has been involved in many epidemiological works (observational and interventional studies) seeking to elucidate the nutritional status of the general population and the groups at risk, recognizing and estimating the impact of the potential involved determinants, understanding the relationship between nutrition and health, and in particular, identifying and evaluating the role of risk/protective factors associated with nutrition, and may play a role in the onset of chronic diseases. For the last 4 years our team have been analyzing the nutritional, clinical and biological data collected from large cohorts implemented on general populations (e.g the SUVIMAX2 cohort on nutrition and cognitive performance and age), from primary interventional trials in general population (the SU.VIMAX trial studying the effect of antioxidants on health) or from secondary prevention trials on patients (the SU.FOL.OM3 trial on the effects of B-vitamins and/or omega-3 polyunsaturated acids on recurrence of cardio and neuro-vascular diseases in patients with a history of cardiovascular diseases or stroke), from cross-sectional studies performed on general population (e.gENNS on a representative sample of the French population), or on vulnerable population (ABENA study performed on population  of food aid users). In all our epidemiologic studies blood samples were collected and archived in our local Biobank. Many collaborations have been developed with scientific teams at national and international levels in order to optimize the collection of data from cohorts.Last year our unit launched the Nutrinet-Sante Study, an observational prospective cohort (open cohort) designed to be carried outfor a scheduled period  follow-up of 10 years, on a large sample of volunteers (> 500 000 registered subjects with the objective to include 300 000 participants), to study the relation between nutriton and health. Clinical examination will be performed and biological data (blood, urine) will be collected from a sub-sample of 150 000 subjects.",http://info.etude-nutrinet-sante.fr/fr/biobanque,Bobigny,FR,48.91339749999999,2.4199604000000363,bbmri-eric:contactID:FR_BB-0033-00028,bbmri-eric:contactID:FR_BB-0033-00028,EREN,,,,true,true,FR,true
bbmri-eric:ID:FR_BB-0033-00029,21.12110/1.593e-bf2e-ae2f,Biobanque Cardiovasculaire - Hopital Bichat,-,"The Cardiovascular Biobank of the U1148 research unit collects, stores and distributes human biological samples from individuals with cardiovascular diseases, as well as controls.",http://lvts.fr/,Paris,FR,48.89871960000001,2.3325651000000107,bbmri-eric:contactID:FR_BB-0033-00029,bbmri-eric:contactID:FR_BB-0033-00029,Biobanque Cardiovasculaire - Hopital Bichat,,,,true,true,FR,true
bbmri-eric:ID:FR_BB-0033-00030,21.12110/1.a93b-306a-9b2c,CIC-CRB Lille,-,"Platform of the university hospital campus of Lille, the CRB / CIC1403 was created to support the management and conservation of biological samples from clinical research projects involving the creation of a biological resource collection. To ensure investigators the best conditions to support their samples, the CRB / CIC1403 is certified according to two standards: ISO9001v2008 and NF-S-96900 for the collection, preparation, storage, management and distribution of biological samples for research.",http://crb.chru-lille.fr,Lille,FR,50.6099648,3.0327663000000484,bbmri-eric:contactID:FR_BB-0033-00030,bbmri-eric:contactID:FR_BB-0033-00030,CIC-CRB Lille,,,,true,true,FR,true
bbmri-eric:ID:FR_BB-0033-00031,21.12110/1.ccc8-0a2a-a47e,CRB - CHU de Montpellier,CCBH-M,"The Center for Biological resources of Montpellier CCBH-M is responsible for building and enhancing the collections of biological samples of human origin. Under the supervision of Professor Valerie Costes, the CCBH-M includes in particular a tumor bank, led by Dr. Valerie Rigau, over 5000 cases (tumor tissues and non-tumor associated).",http://www.chu-montpellier.fr,Montpellier,FR,43.6302315,3.8624072999999726,bbmri-eric:contactID:FR_BB-0033-00031,bbmri-eric:contactID:FR_BB-0033-00031,CRB - CHU de Montpellier,,,,true,true,FR,true
bbmri-eric:ID:FR_BB-0033-00032,21.12110/1.d16e-5433-563f,Centre de Ressources Biologiques du CHU de Nimes,-,"The research pole activity located in Languedoc Roussillon is based on biology, healthcare and drug development.The Universities of Montpellier (Montpellier I and II) and Nimes, the CNRS and the INSERM are involved in the BioBanques-LR technology and competition project. Almost 50 private biotechnology companies +located in Montpellier and Nimes provide and develop collaborative subjects between institutional and private laboratories.The Biobanques-LR combine 3 sites : University Hospital of Montpellier, University Hospital of Nimes and CRLCC Val d'Aurelle in Montpellier.5 collections f belong to the University Hospital of Montpellier : a tumor bank, a cell collection, non tumoral tissues,  nucleic acids and biochemistry.  These collections are managed in a local CRB called CCBH-M. The Nimes' center works on 5 collections : a tumor bank, cytogenetic products, biochemistry, hematology (serum and plasma) and microbiology.The tumor bank at the CRLCC Val d'Aurelle is also part of the biological ressource center 'BioBanques-LR'.  It regroups a biological fluid collection (biochemistry department), a cell collection (genetic and cellular therapy unit) and a nucleic acids collection (genetic department). The  BioBanques-LR works with the Clinical Research Department to collect clinical results. We expect to increase the quality of collected samples and their associated parameters by using and harmonizing best processes. The ongoing plateform and its catalogue will answer to appropriated processes and regulatory requirements. A scientific committee in each center is in charge of the transfers from a common catalogue implemented by the 3 sites. A virtual tumor bank catalogue is in progress for the South West France area. We participate in its construction. The ""Region Languedoc Roussillon"" financialy supports the BioBanques-LR project.",http://www.chu-nimes.fr/espace-recherche-clinique/centre-de-ressources-biologiques-crb.html,Nîmes,FR,43.8238328,4.326247800000033,bbmri-eric:contactID:FR_BB-0033-00032,bbmri-eric:contactID:FR_BB-0033-00032,Centre de Ressources Biologiques du CHU de Nimes,,,,true,true,FR,true
