resource,identifier,external identifier type,external identifier type other
Utrecht Clamp Cohort Biobank,bbmri-eric:ID:NL_AAAACXPFOKGE6ACQK2ME25QAAE,,BBMRI id
UDES Biobank,bbmri-eric:ID:NL_AAAACXPFPWGMSACQK2ME25QAAE,,BBMRI id
LGRP Biobank,bbmri-eric:ID:NL_AAAACXPFROFN6ACQK2ME25QAAM,,BBMRI id
TB-Indonesia Biobank,bbmri-eric:ID:NL_AAAACXPFV6EUKACQK2ME25QAAM,,BBMRI id
FTD Biobank,bbmri-eric:ID:NL_AAAACXPFW2H7KACQK2ME25QAAE,,BBMRI id
HIV Host genetics cohort Biobank,bbmri-eric:ID:NL_AAAACXPFWJPCYACQK2ME25QAAE,,BBMRI id
Vrije Unversiteit Medisch Centrum Bacteriele Meningitis Biobank,bbmri-eric:ID:NL_AAAACXPFX7P3EACQK2ME25QAAE,,BBMRI id
LUMINA Biobank,bbmri-eric:ID:NL_AAAACXPFXCFPSACQK2ME25QAAI,,BBMRI id
ARGOS Biobank,bbmri-eric:ID:NL_AAAACXPJ3VCTUACQK2ME25QAAE,,BBMRI id
Diabetes care system West-Friesland Biobank,bbmri-eric:ID:NL_AAAACXPJW5GJ6ACQK2ME25QAAM,,BBMRI id
Biobank Data ILD,bbmri-eric:ID:NL_AAAACXPJX4UB6ACQK2ME25QAAE,,BBMRI id
Binnenstebuiten Biobank,bbmri-eric:ID:NL_AAAACXPJXQJHAACQK2ME25QAAE,,BBMRI id
Oogziekenhuis Biobank,bbmri-eric:ID:NL_AAAACXPJXYJXSACQK2ME25QAAE,,BBMRI id
MYST Biobank,bbmri-eric:ID:NL_AAAACXPJYFQTKACQK2ME25QAAE,,BBMRI id
Ghana Study Biobank,bbmri-eric:ID:NL_AAAACXPJYUZMIACQK2ME25QAAI,,BBMRI id
ID1000 Biobank,bbmri-eric:ID:NL_AAAACXPJZNKPOACQK2ME25QAAE,,BBMRI id
Hoorn Study Biobank,bbmri-eric:ID:NL_AAAACXPK6TQCOACQK2ME25QAAE,,BBMRI id
NEO Study Biobank,bbmri-eric:ID:NL_AAAACXPKCIJ6KACQK2ME25QAAE,,BBMRI id
NTR Biobank,bbmri-eric:ID:NL_AAAACXPKDOM6AACQK2ME25QAAE,,BBMRI id
Generation R Biobank,bbmri-eric:ID:NL_AAAACXPKEJXLSACQK2ME25QAAE,,BBMRI id
Erasmus Rucphen Family Study Biobank,bbmri-eric:ID:NL_AAAACXPKEZGNYACQK2ME25QAAE,,BBMRI id
Department of Molecular Epidemiology,bbmri-eric:ID:NL_AAAACXPKFIXU4ACQK2ME25QAAE,,BBMRI id
NESCOG Biobank,bbmri-eric:ID:NL_AAAACXPKGLJLKACQK2ME25QAAE,,BBMRI id
ERGO Biobank,bbmri-eric:ID:NL_AAAACXPKHAQOYACQK2ME25QAAI,,BBMRI id
U-TWIN Biobank,bbmri-eric:ID:NL_AAAACXPKIFC32ACQK2ME25QAAM,,BBMRI id
PIAMA Biobank,bbmri-eric:ID:NL_AAAACXPKKEALKACQK2ME25QAAE,,BBMRI id
WHISTLER Biobank,bbmri-eric:ID:NL_AAAACXPKLWV6CACQK2ME25QAAE,,BBMRI id
ORIGO Biobank,bbmri-eric:ID:NL_AAAACXPKM4ZVGACQK2ME25QAAE,,BBMRI id
ARREST Biobank,bbmri-eric:ID:NL_AAAACXPKMVPYIACQK2ME25QAAE,,BBMRI id
BOSOM Biobank,bbmri-eric:ID:NL_AAAACXPKPSTGWACQK2ME25QAAE,,BBMRI id
Occupational asthma Biobank,bbmri-eric:ID:NL_AAAACXPKSBQFGACQK2ME25QAAE,,BBMRI id
NELSON Biobank,bbmri-eric:ID:NL_AAAACXPKSH53MACQK2ME25QAAE,,BBMRI id
PPHVZ Biobank,bbmri-eric:ID:NL_AAAACXPKT6T6WACQK2ME25QAAM,,BBMRI id
GenoMEL Biobank,bbmri-eric:ID:NL_AAAACXPKTCIZGACQK2ME25QAAM,,BBMRI id
MINDACT Biobank,bbmri-eric:ID:NL_AAAACXPKTOQW6ACQK2ME25QAAE,,BBMRI id
SMART Biobank,bbmri-eric:ID:NL_AAAACXPKUTPDUACQK2ME25QAAE,,BBMRI id
Lipidpoli Biobank,bbmri-eric:ID:NL_AAAACXPLAX4VSACQK2ME25QAAI,,BBMRI id
The Nightingale Study Biobank,bbmri-eric:ID:NL_AAAACXPLBYGYCACQK2ME25QAAE,,BBMRI id
RIVM,bbmri-eric:ID:NL_AAAACXPRA5XCUACQK2ME25QAAE,,BBMRI id
Vascular Disease Biobank,bbmri-eric:ID:NL_AAAACXPRAIR7CACQK2ME25QAAI,,BBMRI id
PACMAN Biobank,bbmri-eric:ID:NL_AAAACXPRARQ4KACQK2ME25QAAE,,BBMRI id
Zutphen Biobank,bbmri-eric:ID:NL_AAAACXPRBD7XQACQK2ME25QAAE,,BBMRI id
LASA Biobank,bbmri-eric:ID:NL_AAAACXPRCP2M6ACQK2ME25QAAE,,BBMRI id
EPOZ Biobank,bbmri-eric:ID:NL_AAAACXPRDI7YOACQK2ME25QAAE,,BBMRI id
EUGENDA Biobank,bbmri-eric:ID:NL_AAAACXPRDNXUMACQK2ME25QAAE,,BBMRI id
Family and Health Biobank,bbmri-eric:ID:NL_AAAACXPRDRIO6ACQK2ME25QAAE,,BBMRI id
PAS Biobank,bbmri-eric:ID:NL_AAAACXS4EWC6CACQK2MBZ5YAAE,,BBMRI id
Genetic risk factors in Familial Hypercholesterolemia,bbmri-eric:ID:NL_AAAACXS4EZXBQACQK2MBZ5YAAE,,BBMRI id
BAVL,bbmri-eric:ID:NL_AAAACXSW447PSACQK2MBZ5YAAM,,BBMRI id
Hyperlipidemia Biobank,bbmri-eric:ID:NL_AAAACXTCGNZLWACQK2MBZ5YAAE,,BBMRI id
CDDSS Knowledge base,bbmri-eric:ID:NL_AAAACYAIDV754ACQK2MBZ5YAAI,,BBMRI id
AGNES Biobank,bbmri-eric:ID:NL_AAAACYWY5TBZGACQK2MDM4QAAE,,BBMRI id
PRECISION Biobank,bbmri-eric:ID:NL_AAAACYWYFU3V4ACQK2MDM4QAAM,,BBMRI id
AMC Biobank,bbmri-eric:ID:NL_AMCBB,,BBMRI id
BIG,bbmri-eric:ID:NL_BIG,,BBMRI id
CBB,bbmri-eric:ID:NL_CBB,,BBMRI id
COPP,bbmri-eric:ID:NL_COPP,,BBMRI id
Colorectal cancer research platform,bbmri-eric:ID:NL_CRC,,BBMRI id
Laboratory Experimental Internal Medicine,bbmri-eric:ID:NL_LEIM,,BBMRI id
MuCo,bbmri-eric:ID:NL_MuCo,,BBMRI id
STIBION,bbmri-eric:ID:NL_STIBION,,BBMRI id
"Amsterdam UMC, Location VUmc",bbmri-eric:ID:NL_VUmc,,BBMRI id
Fetal Aneuploidy Biobank,bbmri-eric:ID:NL_aaaac2dvrk2a6acqk2mpm4yaai,,BBMRI id
DIPAK,bbmri-eric:ID:NL_aaaac2dvrk2auacqk2mpm4yabe,,BBMRI id
Biobank Hemoglobinopathy,bbmri-eric:ID:NL_aaaac2dvrk2baacqk2mpm4yaae,,BBMRI id
Hoofd-halskanker Biobank,bbmri-eric:ID:NL_aaaac2dvrk2baacqk2mpm4yaai,,BBMRI id
Obesity Center CGG biobank,bbmri-eric:ID:NL_aaaac2dvrk2baacqk2mpm4yaam,,BBMRI id
Postpartum psychosis biobank,bbmri-eric:ID:NL_aaaac2dvrk2baacqk2mpm4yaau,,BBMRI id
Acutelines,bbmri-eric:ID:NL_aaaac56zz4iyz6qwh3dps4yaae,,BBMRI id
PALGA,bbmri-eric:ID:NL_aaaacz5gvxsieacqk2mgyyqaae,,BBMRI id
PARISK,bbmri-eric:ID:NL_aaaacz5nb2ytqacqk2mgyyqaae,,BBMRI id
PSI,bbmri-eric:ID:NL_aaaacz5nbabrsacqk2mgyyqaae,,BBMRI id
SIMPEL trials Biobank,bbmri-eric:ID:NL_aaaaczwp435cwacqk2mo6qaaae,,BBMRI id
UCORBIO,bbmri-eric:ID:NL_aaaaczwpyvddcacqk2mo6qaaae,,BBMRI id
Biobank of the department gerontology and nephrology - LUMC,bbmri-eric:ID:NL_aaaaczxoatpr2acqk2mo6qaaae,,BBMRI id
BBMRI-Omics,bbmri-eric:ID:NL_aaaaczxoioaeoacqk2mo6qaaae,,BBMRI id
CAPACITY registry,bbmri-eric:ID:NL_capacity,,BBMRI id
CovidPredict: central national database,bbmri-eric:ID:NL_covidpredict,,BBMRI id
hartenbank,bbmri-eric:ID:NL_hartenbank,,BBMRI id
Hartwig,bbmri-eric:ID:NL_hartwig,,BBMRI id
Maastricht Imaging,bbmri-eric:ID:NL_maastricht_imaging,,BBMRI id
reade,bbmri-eric:ID:NL_reade,,BBMRI id
The Maastricht Studie (Biobank),bbmri-eric:ID:NL_theMaastrichtBiobank,,BBMRI id
UvA,bbmri-eric:ID:NL_uva,,BBMRI id
Biobank1,bbmri-eric:ID:NO_BIOBANK1,,BBMRI id
Biobank Haukeland,bbmri-eric:ID:NO_BiobankHaukeland,,BBMRI id
Trøndelag,bbmri-eric:ID:NO_CoronaTrondelag,,BBMRI id
HUNT,bbmri-eric:ID:NO_HUNT,,BBMRI id
Stavanger,bbmri-eric:ID:NO_HelseStavanger,,BBMRI id
Janus,bbmri-eric:ID:NO_Janus,,BBMRI id
Cancer Biobank Sørlandet,bbmri-eric:ID:NO_SorlandetHospital,,BBMRI id
OUS,bbmri-eric:ID:NO_OUS,,BBMRI id
UNN,bbmri-eric:ID:NO_UNN,,BBMRI id
UiT biobank,bbmri-eric:ID:NO_UiT,,BBMRI id
GFIB,bbmri-eric:ID:PL_3THFK,,BBMRI id
PBKM,bbmri-eric:ID:PL_A1P0T,,BBMRI id
HARC,bbmri-eric:ID:PL_BIOBANK_HARC,,BBMRI id
MULCB,bbmri-eric:ID:PL_BIOBANK_MULCB,,BBMRI id
RCNT,bbmri-eric:ID:PL_BIOBANK_RCNT,,BBMRI id
BLUL,bbmri-eric:ID:PL_BLUL,,BBMRI id
BMPCC,bbmri-eric:ID:PL_BMPCC,,BBMRI id
UMW Biobank,bbmri-eric:ID:PL_JD16N,,BBMRI id
LBBK Biobank,bbmri-eric:ID:PL_LBBK,,BBMRI id
PMUDRBL,bbmri-eric:ID:PL_PMUDRBL,,BBMRI id
Łukasiewicz PORT-Biobank,bbmri-eric:ID:PL_PORT,,BBMRI id
TKFGB,bbmri-eric:ID:PL_TKFGB,,BBMRI id
LifeGene,bbmri-eric:ID:SE_1692,,BBMRI id
The Epidemiological Investigation of Multiple Sclerosis (EIMS),bbmri-eric:ID:SE_1705,,BBMRI id
Cardiovascular risks among 60 year old men and women in Stockholm,bbmri-eric:ID:SE_1711,,BBMRI id
Karolinska Mammography Project for Risk Prediction of Breast Cancer,bbmri-eric:ID:SE_1714,,BBMRI id
Cohort of Swedish Men (COSM),bbmri-eric:ID:SE_1716,,BBMRI id
Bbk-00331,bbmri-eric:ID:SE_1718,,BBMRI id
The Northern Swedish Cohort,bbmri-eric:ID:SE_1723,,BBMRI id
Vital Freezing of Lymphoma Cells - A biobank for development of novel therapies in patients with malignant lymphoma,bbmri-eric:ID:SE_1725,,BBMRI id
Periodontal disease and its relation to cardiovascular disease,bbmri-eric:ID:SE_1730,,BBMRI id
RATSS (Roots of Autism Twin Study Sweden),bbmri-eric:ID:SE_1732,,BBMRI id
SALTY,bbmri-eric:ID:SE_1737,,BBMRI id
Swedish Mammography Cohort (SMC),bbmri-eric:ID:SE_1746,,BBMRI id
Family studies of pediatric cancer,bbmri-eric:ID:SE_1750,,BBMRI id
Uppsala Biobank,bbmri-eric:ID:SE_827,,BBMRI id
Risk factors among consecutive breast cancer patients and controls,bbmri-eric:ID:SE_1752,,BBMRI id
Breast Cancer-metastases study,bbmri-eric:ID:SE_1753,,BBMRI id
The Child and Adolescent Twin Study in Sweden (CATSS),bbmri-eric:ID:SE_1756,,BBMRI id
RAPPER,bbmri-eric:ID:UK_GBR-1-106,,BBMRI id
"Developmental Outcomes of neurodevelopmental problem, a Genetic twin Study in Sweden (DOGSS)",bbmri-eric:ID:SE_1760,,BBMRI id
Risk factors studies in young women of high risk of breast or ovarian cancer,bbmri-eric:ID:SE_1768,,BBMRI id
Wife and husband DNA cohort,bbmri-eric:ID:SE_1770,,BBMRI id
"MPP, MFM biobanks",bbmri-eric:ID:SE_1771,,BBMRI id
MDCS Biobanks,bbmri-eric:ID:SE_1773,,BBMRI id
MOS Biobank,bbmri-eric:ID:SE_1774,,BBMRI id
MDS Biobank KI,bbmri-eric:ID:SE_1775,,BBMRI id
Case control study for risk factors of melanoma,bbmri-eric:ID:SE_1777,,BBMRI id
Melanoma Inquiry Study in South Sweden,bbmri-eric:ID:SE_1780,,BBMRI id
SHEEP,bbmri-eric:ID:SE_1783,,BBMRI id
Risk factors studies in hereditary breast cancer,bbmri-eric:ID:SE_1786,,BBMRI id
TwinGene,bbmri-eric:ID:SE_1789,,BBMRI id
WOLF,bbmri-eric:ID:SE_1802,,BBMRI id
The Northern Sweden MONICA study,bbmri-eric:ID:SE_1807,,BBMRI id
National Human Biological Environmental Biobank,bbmri-eric:ID:SE_1809,,BBMRI id
U-CAN,bbmri-eric:ID:SE_1812,,BBMRI id
SRQ,bbmri-eric:ID:SE_2188,,BBMRI id
Sleepy Brain: an fMRI study of sleep deprivation in healthy young and old humans,bbmri-eric:ID:SE_2245,,BBMRI id
Skolgen-2,bbmri-eric:ID:SE_2254,,BBMRI id
The Swedish National Cord Blood Bank,bbmri-eric:ID:SE_2269,,BBMRI id
TEDDY,bbmri-eric:ID:SE_2326,,BBMRI id
DiPiS,bbmri-eric:ID:SE_2328,,BBMRI id
Andis – Alla Nya Diabetiker I Skåne,bbmri-eric:ID:SE_2331,,BBMRI id
Ungdom 2000,bbmri-eric:ID:SE_2362,,BBMRI id
CABG,bbmri-eric:ID:SE_2382,,BBMRI id
EpiHealth,bbmri-eric:ID:SE_2383,,BBMRI id
IMSE II,bbmri-eric:ID:SE_2385,,BBMRI id
SCREESCO,bbmri-eric:ID:SE_2388,,BBMRI id
YATSS,bbmri-eric:ID:SE_2398,,BBMRI id
BBV,bbmri-eric:ID:SE_890,,BBMRI id
BD47,bbmri-eric:ID:SE_BD47,,BBMRI id
BBN,bbmri-eric:ID:SE_Biobank_North,,BBMRI id
KI biobank,bbmri-eric:ID:SE_KI_Biobank,,BBMRI id
BBF,bbmri-eric:ID:SE_Linkoping_Biobanksfacilitet,,BBMRI id
Region Skånes Biobank,bbmri-eric:ID:SE_Region_Skanes_Biobank,,BBMRI id
Children's Cancer and Leukaemia Group (CCLG) Tissue Bank,bbmri-eric:ID:UK_GBR-1-1,,BBMRI id
Oxford Radcliffe Biobank,bbmri-eric:ID:UK_GBR-1-10,,BBMRI id
BRAIN UK,bbmri-eric:ID:UK_GBR-1-101,,BBMRI id
Oxford Cell & Tissue Biobank,bbmri-eric:ID:UK_GBR-1-102,,BBMRI id
Infectious Diseases BioBank at King's College London,bbmri-eric:ID:UK_GBR-1-103,,BBMRI id
PHOTO Translational bladder cancer biorepository,bbmri-eric:ID:UK_GBR-1-104,,BBMRI id
PTCL Biobank,bbmri-eric:ID:UK_GBR-1-105,,BBMRI id
NIMRAD-TRANS,bbmri-eric:ID:UK_GBR-1-108,,BBMRI id
Baby Bio Bank,bbmri-eric:ID:UK_GBR-1-11,,BBMRI id
ICHTB,bbmri-eric:ID:UK_GBR-1-110,,BBMRI id
Bristol Biobank,bbmri-eric:ID:UK_GBR-1-112,,BBMRI id
POUT-T,bbmri-eric:ID:UK_GBR-1-114,,BBMRI id
Barts CTU,bbmri-eric:ID:UK_GBR-1-117,,BBMRI id
CEPA Biobank Newcastle,bbmri-eric:ID:UK_GBR-1-118,,BBMRI id
UK CLL Trials Biobank,bbmri-eric:ID:UK_GBR-1-119,,BBMRI id
"St Thomas' Hospitals Plasma, serum & DNA Bio bank from patients with antiphospholipid antibodies",bbmri-eric:ID:UK_GBR-1-121,,BBMRI id
REQUITE,bbmri-eric:ID:UK_GBR-1-122,,BBMRI id
UKCTOCS Longitudinal Women's Cohort (UKLWC),bbmri-eric:ID:UK_GBR-1-123,,BBMRI id
Extracted teeth Biobank,bbmri-eric:ID:UK_GBR-1-127,,BBMRI id
Barts Gynae Tissue Bank,bbmri-eric:ID:UK_GBR-1-128,,BBMRI id
Molecular Investigation of Haematopoietic Malignancy Study,bbmri-eric:ID:UK_GBR-1-129,,BBMRI id
STAMPEDE,bbmri-eric:ID:UK_GBR-1-178,,BBMRI id
Barts Cancer Institute Breast Tissue Bank,bbmri-eric:ID:UK_GBR-1-130,,BBMRI id
Orchid Tissue Bank,bbmri-eric:ID:UK_GBR-1-131,,BBMRI id
GoSHARE (Genetics of the Scottish Health Research Register),bbmri-eric:ID:UK_GBR-1-132,,BBMRI id
The Cleft Collective,bbmri-eric:ID:UK_GBR-1-133,,BBMRI id
VinCaP,bbmri-eric:ID:UK_GBR-1-134,,BBMRI id
DOC-MEK,bbmri-eric:ID:UK_GBR-1-136,,BBMRI id
University of Liverpool - GCP Laboratory Facility,bbmri-eric:ID:UK_GBR-1-137,,BBMRI id
The Airwave Health Monitoring Tissue Bank,bbmri-eric:ID:UK_GBR-1-139,,BBMRI id
Wales Cancer Bank,bbmri-eric:ID:UK_GBR-1-14,,BBMRI id
UK MND Collections,bbmri-eric:ID:UK_GBR-1-140,,BBMRI id
York Tissue Bank,bbmri-eric:ID:UK_GBR-1-142,,BBMRI id
National Unified Renal Translational Research Enterprise (NURTuRE),bbmri-eric:ID:UK_GBR-1-143,,BBMRI id
"Oncology Clinical Trials Office, University of Oxford",bbmri-eric:ID:UK_GBR-1-145,,BBMRI id
The PEACE Study,bbmri-eric:ID:UK_GBR-1-146,,BBMRI id
NIHR Exeter Clinical Research Facility,bbmri-eric:ID:UK_GBR-1-148,,BBMRI id
Obesity Research Biobank Syndicate (ORBiS),bbmri-eric:ID:UK_GBR-1-149,,BBMRI id
Leeds Breast Research Tissue Bank,bbmri-eric:ID:UK_GBR-1-150,,BBMRI id
TRICON8B,bbmri-eric:ID:UK_GBR-1-151,,BBMRI id
Cancer Group CTR Cardiff trials,bbmri-eric:ID:UK_GBR-1-153,,BBMRI id
Daisy Tumour Bank,bbmri-eric:ID:UK_GBR-1-154,,BBMRI id
King's Health Partners Cancer Biobank,bbmri-eric:ID:UK_GBR-1-156,,BBMRI id
King's Paediatric Liver Tissue Biobank,bbmri-eric:ID:UK_GBR-1-164,,BBMRI id
Donate For Research Initiative (DRI),bbmri-eric:ID:UK_GBR-1-165,,BBMRI id
UCL Infection DNA Bank,bbmri-eric:ID:UK_GBR-1-166,,BBMRI id
UK real-world lymphoid tissue bank,bbmri-eric:ID:UK_GBR-1-167,,BBMRI id
LBIH Biobank,bbmri-eric:ID:UK_GBR-1-17,,BBMRI id
eLIXIR - Early Life Data Cross-Linkage in Research,bbmri-eric:ID:UK_GBR-1-173,,BBMRI id
The Swansea Neurology Biobank,bbmri-eric:ID:UK_GBR-1-174,,BBMRI id
IoN Trial,bbmri-eric:ID:UK_GBR-1-176,,BBMRI id
Myeloma XII clinical trial samples,bbmri-eric:ID:UK_GBR-1-179,,BBMRI id
HCV Research UK,bbmri-eric:ID:UK_GBR-1-18,,BBMRI id
Oxford Musculoskeletal Biobank,bbmri-eric:ID:UK_GBR-1-181,,BBMRI id
"Newcastle Biobank, Newcastle University",bbmri-eric:ID:UK_GBR-1-182,,BBMRI id
RIO,bbmri-eric:ID:UK_GBR-1-183,,BBMRI id
UNIRAD UK Sample collection,bbmri-eric:ID:UK_GBR-1-184,,BBMRI id
IDRIS Trial,bbmri-eric:ID:UK_GBR-1-186,,BBMRI id
INCA Trial,bbmri-eric:ID:UK_GBR-1-188,,BBMRI id
UKALL14 Trial,bbmri-eric:ID:UK_GBR-1-189,,BBMRI id
Tayside Biorepository,bbmri-eric:ID:UK_GBR-1-19,,BBMRI id
RATHL Trial,bbmri-eric:ID:UK_GBR-1-190,,BBMRI id
Watch and Wait Trial,bbmri-eric:ID:UK_GBR-1-191,,BBMRI id
ICON9 Trial,bbmri-eric:ID:UK_GBR-1-192,,BBMRI id
DARWIN1 Trial,bbmri-eric:ID:UK_GBR-1-193,,BBMRI id
RJAH Biobank for Studying Health and Disease,bbmri-eric:ID:UK_GBR-1-196,,BBMRI id
Multiple Sclerosis and Parkinson's Tissue Bank,bbmri-eric:ID:UK_GBR-1-199,,BBMRI id
Biobank for patients with retinal degenerations & dystrophies,bbmri-eric:ID:UK_GBR-1-2,,BBMRI id
Cardamon Clinical Trial Samples,bbmri-eric:ID:UK_GBR-1-200,,BBMRI id
"Leeds Dental Institute/School of Dentistry Leeds,  Skeletal Tissues Bank",bbmri-eric:ID:UK_GBR-1-203,,BBMRI id
kings college Haemato -Oncology Tissue bank,bbmri-eric:ID:UK_GBR-1-205,,BBMRI id
GlaxoSmithKline Research Tissue Bank,bbmri-eric:ID:UK_GBR-1-206,,BBMRI id
Cardiff University Biobank,bbmri-eric:ID:UK_GBR-1-208,,BBMRI id
PHOENIX DDR-Anti-PD-L1 Trial,bbmri-eric:ID:UK_GBR-1-209,,BBMRI id
SWIFT-RTB,bbmri-eric:ID:UK_GBR-1-210,,BBMRI id
Royal Papworth Hospital Research Tissue Bank,bbmri-eric:ID:UK_GBR-1-213,,BBMRI id
NIHR Nottingham Digestive Diseases Collection,bbmri-eric:ID:UK_GBR-1-22,,BBMRI id
University of Sheffield,bbmri-eric:ID:UK_GBR-1-222,,BBMRI id
Sheffield Pulmonary Hypertension Biobank,bbmri-eric:ID:UK_GBR-1-225,,BBMRI id
Northern Ireland Biobank (NIB),bbmri-eric:ID:UK_GBR-1-23,,BBMRI id
Bristol Dental School Saliva Bank,bbmri-eric:ID:UK_GBR-1-234,,BBMRI id
SCOT translational sample collection,bbmri-eric:ID:UK_GBR-1-24,,BBMRI id
Sheffield Lung Research Tissue Bank,bbmri-eric:ID:UK_GBR-1-244,,BBMRI id
IMPORT HIGH trial blood samples,bbmri-eric:ID:UK_GBR-1-247,,BBMRI id
Norwich Research Park Biorepository,bbmri-eric:ID:UK_GBR-1-248,,BBMRI id
Sheffield Brain Tissue Bank (SBTB),bbmri-eric:ID:UK_GBR-1-249,,BBMRI id
Nostra feasibility trial,bbmri-eric:ID:UK_GBR-1-250,,BBMRI id
Tommy's National Reproductive Health Biobank,bbmri-eric:ID:UK_GBR-1-255,,BBMRI id
plasmaMATCH,bbmri-eric:ID:UK_GBR-1-26,,BBMRI id
Cardiff School of Dentistry Tooth Bank,bbmri-eric:ID:UK_GBR-1-29,,BBMRI id
Manchester Eye Tissue Repository,bbmri-eric:ID:UK_GBR-1-33,,BBMRI id
MRC Brain Banks Network,bbmri-eric:ID:UK_GBR-1-34,,BBMRI id
NHS Grampian Biorepository,bbmri-eric:ID:UK_GBR-1-35,,BBMRI id
UK ME/CFS Biobank,bbmri-eric:ID:UK_GBR-1-36,,BBMRI id
Ethical Tissue - University of Bradford,bbmri-eric:ID:UK_GBR-1-37,,BBMRI id
Cam-UroOnc Biorepository,bbmri-eric:ID:UK_GBR-1-39,,BBMRI id
Human Developmental Biology Resource (HDBR),bbmri-eric:ID:UK_GBR-1-4,,BBMRI id
BioDock,bbmri-eric:ID:UK_GBR-1-40,,BBMRI id
Tissue Access for Patient Benefit (TAPb),bbmri-eric:ID:UK_GBR-1-41,,BBMRI id
University of Southampton Faculty of Medicine Tissue Bank,bbmri-eric:ID:UK_GBR-1-42,,BBMRI id
HPB Biobank,bbmri-eric:ID:UK_GBR-1-44,,BBMRI id
MesobanK,bbmri-eric:ID:UK_GBR-1-47,,BBMRI id
UK primary Sjogren's syndrome Registry,bbmri-eric:ID:UK_GBR-1-48,,BBMRI id
Bloodwise Childhood Leukaemia Cell Bank,bbmri-eric:ID:UK_GBR-1-49,,BBMRI id
CMFT Biobank,bbmri-eric:ID:UK_GBR-1-50,,BBMRI id
Leeds Multidisciplinary Research Tissue Bank,bbmri-eric:ID:UK_GBR-1-51,,BBMRI id
NHS Greater Glasgow & Clyde Bio-Repository,bbmri-eric:ID:UK_GBR-1-52,,BBMRI id
The Christie NHS Foundation Trust,bbmri-eric:ID:UK_GBR-1-53,,BBMRI id
Arden Tissue Bank,bbmri-eric:ID:UK_GBR-1-56,,BBMRI id
QUOD - Quality in Organ Donation,bbmri-eric:ID:UK_GBR-1-54,,BBMRI id
ESPAC-TPlus,bbmri-eric:ID:UK_GBR-1-59,,BBMRI id
QTL Programme at MRC HGU,bbmri-eric:ID:UK_GBR-1-65,,BBMRI id
MDSBio,bbmri-eric:ID:UK_GBR-1-68,,BBMRI id
TwinsUK,bbmri-eric:ID:UK_GBR-1-69,,BBMRI id
Human Biomaterials Resource Centre,bbmri-eric:ID:UK_GBR-1-7,,BBMRI id
interNational Anaplastic Thyroid Cancer Tissue Bank (iNATT),bbmri-eric:ID:UK_GBR-1-70,,BBMRI id
Scottish Human Papillomavirus Archive,bbmri-eric:ID:UK_GBR-1-72,,BBMRI id
Leeds NIHR Biomarker Research Tissue Bank,bbmri-eric:ID:UK_GBR-1-74,,BBMRI id
NRS Lothian Bioresource,bbmri-eric:ID:UK_GBR-1-75,,BBMRI id
Generation Scotland,bbmri-eric:ID:UK_GBR-1-8,,BBMRI id
HYWEL DDA BIOBANK,bbmri-eric:ID:UK_GBR-1-81,,BBMRI id
SUN Study,bbmri-eric:ID:UK_GBR-1-82,,BBMRI id
National Diet and Nutrition Survey (NDNS),bbmri-eric:ID:UK_GBR-1-83,,BBMRI id
TOPARP: Ph. II Trial of Olaparib in Patients with advanced CRPC,bbmri-eric:ID:UK_GBR-1-85,,BBMRI id
TNT: Triple Negative breast cancer Trial,bbmri-eric:ID:UK_GBR-1-86,,BBMRI id
POETIC: Trial of perioperative endocrine therapy – individualising care,bbmri-eric:ID:UK_GBR-1-89,,BBMRI id
Cambridge Blood and Stem Cell Biobank,bbmri-eric:ID:UK_GBR-1-9,,BBMRI id
NICAM: Nilotinib treatment for c-KIT mutated advanced AMM,bbmri-eric:ID:UK_GBR-1-90,,BBMRI id
EPHOS-B Trial,bbmri-eric:ID:UK_GBR-1-91,,BBMRI id
CASPS: A Phase II trial of Cediranib in ASPS patients,bbmri-eric:ID:UK_GBR-1-92,,BBMRI id
RE-AKT,bbmri-eric:ID:UK_GBR-1-93,,BBMRI id
Public Health England Seroepidemiology Unit,bbmri-eric:ID:UK_GBR-1-95,,BBMRI id
Barts Bioresourse,bbmri-eric:ID:UK_GBR-1-96,,BBMRI id
UCL Royal Free Hospital Biobank,bbmri-eric:ID:UK_GBR-1-98,,BBMRI id
LSC,20210420-2560,,Innsbruck Clinical Trial Center
ENIGMA,NCT04427163,NCT number,
EXCEED study,bbmri-eric:ID:UK_GBR-1-256,,BBMRI id
Epilepsy Society Brain and Tissue Bank,bbmri-eric:ID:UK_GBR-1-61,,BBMRI id
UCL / UCLH Biobank for Studying Health and Disease,bbmri-eric:ID:UK_GBR-1-62,,BBMRI id
NIHR BioResource,bbmri-eric:ID:UK_GBR-1-67,,BBMRI id
