resource,variable.resource,variable.dataset,variable.name,mg_draft
LongITools,LifeCycle,core,pm25_,
LongITools,LifeCycle,core,pm25_preg,
LongITools,LifeCycle,core,pm25_t,
LongITools,LifeCycle,core,pm25abs_,
LongITools,LifeCycle,core,pm25abs_preg,
LongITools,LifeCycle,core,pm25abs_t,
LongITools,LifeCycle,core,pm25cu_,
LongITools,LifeCycle,core,pm25cu_preg,
LongITools,LifeCycle,core,pm25cu_t,
LongITools,LifeCycle,core,pm25fe_,
LongITools,LifeCycle,core,pm25fe_preg,
LongITools,LifeCycle,core,pm25fe_t,
LongITools,LifeCycle,core,pm25k_,
LongITools,LifeCycle,core,pm25k_preg,
LongITools,LifeCycle,core,pm25k_t,
LongITools,LifeCycle,core,pm25ni_,
LongITools,LifeCycle,core,pm25ni_preg,
LongITools,LifeCycle,core,pm25ni_t,
LongITools,LifeCycle,core,pm25s_,
LongITools,LifeCycle,core,pm25s_preg,
LongITools,LifeCycle,core,pm25s_t,
LongITools,LifeCycle,core,pm25si_,
LongITools,LifeCycle,core,pm25si_preg,
LongITools,LifeCycle,core,pm25si_t,
LongITools,LifeCycle,core,pm25v_,
LongITools,LifeCycle,core,pm25v_preg,
LongITools,LifeCycle,core,pm25v_t,
LongITools,LifeCycle,core,pm25zn_,
LongITools,LifeCycle,core,pm25zn_preg,
LongITools,LifeCycle,core,pm25zn_t,
LongITools,LifeCycle,core,pmcoarse_,
LongITools,LifeCycle,core,pmcoarse_preg,
LongITools,LifeCycle,core,pmcoarse_t,
LongITools,LifeCycle,core,popdens_,
LongITools,LifeCycle,core,popdens_preg,
LongITools,LifeCycle,core,popdens_t,
LongITools,LifeCycle,core,port_,
LongITools,LifeCycle,core,port_preg,
LongITools,LifeCycle,core,port_t,
LongITools,LifeCycle,core,potat_pgn,
LongITools,LifeCycle,core,potat_psc,
LongITools,LifeCycle,core,potat_sch,
LongITools,LifeCycle,core,preg_an,
LongITools,LifeCycle,core,preg_bn,
LongITools,LifeCycle,core,preg_ed,
LongITools,LifeCycle,core,preg_fever,
LongITools,LifeCycle,core,preg_gain,
LongITools,LifeCycle,core,preg_gain_mes,
LongITools,LifeCycle,core,preg_plan,
LongITools,LifeCycle,core,preg_psych,
LongITools,LifeCycle,core,preg_thyroid,
LongITools,LifeCycle,core,prepreg_an,
LongITools,LifeCycle,core,prepreg_anx,
LongITools,LifeCycle,core,prepreg_bn,
LongITools,LifeCycle,core,prepreg_dep,
LongITools,LifeCycle,core,prepreg_dia,
LongITools,LifeCycle,core,prepreg_ed,
LongITools,LifeCycle,core,prepreg_psych,
LongITools,LifeCycle,core,prepreg_weight_mes,
LongITools,LifeCycle,core,procmeat_pgn,
LongITools,LifeCycle,core,procmeat_psc,
LongITools,LifeCycle,core,procmeat_sch,
LongITools,LifeCycle,core,psych_bf,
LongITools,LifeCycle,core,pufas_pgn,
LongITools,LifeCycle,core,pufas_psc,
LongITools,LifeCycle,core,pufas_sch,
LongITools,LifeCycle,outcome,pulseage_,
LongITools,LifeCycle,outcome,pulsemessit_,
LongITools,LifeCycle,core,pulses_pgn,
LongITools,LifeCycle,core,pulses_psc,
LongITools,LifeCycle,core,pulses_sch,
LongITools,LifeCycle,outcome,rash_,
LongITools,LifeCycle,outcome,rash_loc_,
LongITools,LifeCycle,core,recruit_age,
LongITools,LifeCycle,core,redmeat_pgn,
LongITools,LifeCycle,core,redmeat_psc,
LongITools,LifeCycle,core,redmeat_sch,
LongITools,LifeCycle,core,reledu_fa,
LongITools,LifeCycle,core,reledu_mo,
LongITools,LifeCycle,outcome,repro_,
LongITools,LifeCycle,core,SAI_score_t,
LongITools,LifeCycle,core,satfat_pgn,
LongITools,LifeCycle,core,satfat_psc,
LongITools,LifeCycle,core,satfat_sch,
LongITools,LifeCycle,core,sav_pgn,
LongITools,LifeCycle,core,sav_psc,
LongITools,LifeCycle,core,sav_sch,
LongITools,LifeCycle,core,SCL_anx_score_t,
LongITools,LifeCycle,core,SCL_dep_score_t,
LongITools,LifeCycle,core,SCL_total_score_t,
LongITools,LifeCycle,core,screenage_psc,
LongITools,LifeCycle,core,screenoth_psc,
LongITools,LifeCycle,core,sibling_pos,
LongITools,LifeCycle,outcome,sittinght_,
LongITools,LifeCycle,outcome,sittinghtage_,
LongITools,LifeCycle,outcome,sittinghtmes_,
LongITools,LifeCycle,core,skipbreakf_psc,
LongITools,LifeCycle,core,skipbreakf_sch,
LongITools,LifeCycle,core,sleept_psc,
LongITools,LifeCycle,core,sleeptage_psc,
LongITools,LifeCycle,core,smk_cig_p,
LongITools,LifeCycle,core,smk_exp,
LongITools,LifeCycle,core,smk_fath,
LongITools,LifeCycle,core,smk_p,
LongITools,LifeCycle,core,snacks_psc,
LongITools,LifeCycle,core,snacks_sch,
LongITools,LifeCycle,outcome,subscapsf_,
LongITools,LifeCycle,outcome,subscapsfage_,
LongITools,LifeCycle,outcome,subscapsfmes_,
LongITools,LifeCycle,core,sugar_pgn,
LongITools,LifeCycle,core,sugar_psc,
LongITools,LifeCycle,core,sugar_sch,
LongITools,LifeCycle,core,supp_pgn,
LongITools,LifeCycle,core,supp_psc,
LongITools,LifeCycle,core,supp_sch,
LongITools,LifeCycle,outcome,suprasf_,
LongITools,LifeCycle,outcome,suprasfage_,
LongITools,LifeCycle,outcome,suprasfmes_,
LongITools,LifeCycle,core,swebev_pgn,
LongITools,LifeCycle,core,swebev_psc,
LongITools,LifeCycle,core,swebev_sch,
LongITools,LifeCycle,core,tm_,
LongITools,LifeCycle,core,tm_preg,
LongITools,LifeCycle,core,tm_t,
LongITools,LifeCycle,core,tmax_,
LongITools,LifeCycle,core,tmax_preg,
LongITools,LifeCycle,core,tmax_t,
LongITools,LifeCycle,core,tmin_,
LongITools,LifeCycle,core,tmin_preg,
LongITools,LifeCycle,core,tmin_t,
LongITools,LifeCycle,core,totcarb_pgn,
LongITools,LifeCycle,core,totcarb_psc,
LongITools,LifeCycle,core,totcarb_sch,
LongITools,LifeCycle,core,totfat_pgn,
LongITools,LifeCycle,core,totfat_psc,
LongITools,LifeCycle,core,totfat_sch,
LongITools,LifeCycle,core,totprot_pgn,
LongITools,LifeCycle,core,totprot_psc,
LongITools,LifeCycle,core,totprot_sch,
LongITools,LifeCycle,core,trafload100_,
LongITools,LifeCycle,core,trafload100_preg,
LongITools,LifeCycle,core,trafload100_t,
LongITools,LifeCycle,core,trafmajorload100_,
LongITools,LifeCycle,core,trafmajorload100_preg,
LongITools,LifeCycle,core,trafmajorload100_t,
LongITools,LifeCycle,core,trafnear_,
LongITools,LifeCycle,core,trafnear_preg,
LongITools,LifeCycle,core,trafnear_t,
LongITools,LifeCycle,core,trans_,
LongITools,LifeCycle,core,trans_preg,
LongITools,LifeCycle,core,trans_t,
LongITools,LifeCycle,core,transfat_pgn,
LongITools,LifeCycle,core,transfat_psc,
LongITools,LifeCycle,core,transfat_sch,
LongITools,LifeCycle,outcome,tricepsf_,
LongITools,LifeCycle,outcome,tricepsfage_,
LongITools,LifeCycle,outcome,tricepsfmes_,
LongITools,LifeCycle,outcome,triglyceridesage_,
LongITools,LifeCycle,outcome,wm_pc_,
LongITools,LifeCycle,outcome,triglyceridesmes_,
LongITools,LifeCycle,core,tv_psc,
LongITools,LifeCycle,core,tveat_psc,
LongITools,LifeCycle,core,tveat_sch,
LongITools,LifeCycle,core,urb_area_id,
LongITools,LifeCycle,core,urbgr_,
LongITools,LifeCycle,core,urbgr_preg,
LongITools,LifeCycle,core,urbgr_t,
LongITools,LifeCycle,outcome,URTI_,
LongITools,LifeCycle,outcome,urticaria,
LongITools,LifeCycle,core,uvddc_,
LongITools,LifeCycle,core,uvddc_preg,
LongITools,LifeCycle,core,uvddc_t,
LongITools,LifeCycle,core,uvdec_,
LongITools,LifeCycle,core,uvdec_preg,
LongITools,LifeCycle,core,uvdec_t,
LongITools,LifeCycle,core,uvdvc_,
LongITools,LifeCycle,core,uvdvc_preg,
LongITools,LifeCycle,core,uvdvc_t,
LongITools,LifeCycle,core,veg_pgn,
LongITools,LifeCycle,core,veg_psc,
LongITools,LifeCycle,core,veg_sch,
LongITools,LifeCycle,outcome,vldlcage_,
LongITools,LifeCycle,outcome,vldlcmes_,
LongITools,LifeCycle,core,vldres_,
LongITools,LifeCycle,core,vldres_preg,
LongITools,LifeCycle,core,vldres_t,
LongITools,LifeCycle,outcome,waistcircage_,
LongITools,LifeCycle,outcome,waistcircmes_,
LongITools,LifeCycle,core,walkability_mean_,
LongITools,LifeCycle,core,walkability_mean_preg,
LongITools,LifeCycle,core,walkability_mean_t,
LongITools,LifeCycle,core,water_,
LongITools,LifeCycle,core,water_preg,
LongITools,LifeCycle,core,water_t,
LongITools,LifeCycle,core,weight_age,
LongITools,LifeCycle,core,weight_mes_f,
LongITools,LifeCycle,core,weight_who_ga,
LongITools,LifeCycle,outcome,weightmes_,
LongITools,LifeCycle,outcome,whe_,
LongITools,LifeCycle,outcome,whe_ever,
LongITools,LifeCycle,outcome,whe_ever5_,
LongITools,LifeCycle,core,whgrains_pgn,
LongITools,LifeCycle,core,whgrains_psc,
LongITools,LifeCycle,core,whgrains_sch,
LongITools,LifeCycle,outcome,wm_age_,
LongITools,LifeCycle,outcome,wm_avg_,
LongITools,LifeCycle,outcome,wm_eval_,
LongITools,LifeCycle,outcome,wm_instr_,
LongITools,LifeCycle,outcome,wm_pro_,
LongITools,LifeCycle,outcome,wm_raw_,
LongITools,LifeCycle,outcome,wm_std_,
