id,pid,acronym,name,local name,keywords,website,lead organisation,additional organisations,description,contact email,type,type other,design,design description,design schematic,design schematic_filename,collection type,logo,logo_filename,number of participants,number of participants with samples,countries,regions,population age groups,inclusion criteria,other inclusion criteria,start year,end year,population disease,population oncology topology,population oncology morphology,prelinked,linkage possibility description,release type,release description,linkage options,data holder,data access conditions,data use conditions,data access conditions description,data access fee,design paper,publications,informed consent type,funding statement,acknowledgements,supplementary information
RHEA,,RHEA,"RHEA - Mother Child Cohort in Crete, Greece",,,http://www.rhea.gr/,UOC,,"The Rhea study was established in 2007 in the island of Crete, aiming to recruit a representative sample of mother-child pairs from early pregnancy and to follow them up to young adulthood. The uniqueness of this cohort is that it takes place in the island of Crete where the beneficial effect of the Mediterranean diet was first described during the Seven Countries Study of Cardiovascular Diseases, started at the end of the 1950s. The typical Cretan Mediterranean diet was associated with lower incidence and mortality from cardiovascular diseases and also with the lowest death rates and the greatest survival rates. This has changed dramatically over the last 50 years, and the Rhea cohort was created in response to the rising concerns about the high rates of childhood obesity in Greece (more than 40% overweight and obese children at school age according to recent estimates).",,Population cohort,,Longitudinal,,,,Prospective,,,1458,,Greece,Heraklion,,,,2007,,,,,,,Continuous,Upon completion of follow-up,No,,health or medical or biomedical research,,1. Submit a project proposal 2. Approval of the project ​3. Sign a data access agreement (DAA) 4. Data access with credentials (via DATASHIEL,,https://doi.org/10.1093/ije/dyx084,,,"Funding sources for the Rhea study: the European Union H2020 (LIFECYCLE, ATHLETE), FP7 (HELIX, CHICOS, EnviroGenomarkers, ENRIECO, ESCAPE) and FP6 (HiWate, NewGeneris) programmes. The National Strategic Reference Framework (ESPA) 2007–13, the General Secretariat for Research and Technology in Greece and the Research Committee of the University of Crete, Greece. Funders had no influence of any kind on analyses or results interpretatio","We are extremely grateful to all the families who took part in the Rhea study, the midwives, research assistants and psychologists for recruiting and following them, and the whole Rhea team, including research scientists, biologists and technicians for their commitment and their role in the success of the study.",
ID1000 Biobank,21.12110/1.9976-E731-344E,,ID1000 Biobank,,,,,,,h.s.scholte@uva.nl,Biobank,,,,,,,,,,,Netherlands (the),,,,,,,,,,,,,,,,,,,,,,,,,
"Developmental Outcomes of neurodevelopmental problem, a Genetic twin Study in Sweden (DOGSS)",21.12110/1.5EB5-FC95-747C,,"Developmental Outcomes of neurodevelopmental problem, a Genetic twin Study in Sweden (DOGSS)",,,,,,,britt-marie.hune@ki.se,Biobank,,,,,,,,,,,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,
Immune-Image_Task_4.1,,Task 4.1,Determination of the ideal set of multi-modality molecular imaging for immune cell trafficking,,,,"UMCG,EKUT,VUMC,Pfizer,WWU,VUB,UCAM,VHIR,Bayer",,"Each imaging modality has distinct advantages and disadvantages. While PET, PET/MRI (Judenhofer M.S. et al., 2008), PET/CT, SPECT/CT, OI or OI/CT are superior for whole body tracking of immune cells, the combination of various imaging modalities will allow for simultaneous acquisition of the anatomical localisation of the cells of interest (Griessinger C.M. et al., 2015), tissue cellularity, metabolic information and perfusion/diffusion as crucial parameters in tumourigenesis and inflammation. The spatiotemporal dynamics of the immunotracers will be studied. For OI we will employ near infrared fluorescent (NIRF) dyes with an optimal signal-to-background ratio, further enabling additional fluorescence microscopy and flow and mass cytometric analysis (deep immune phenotyping) for cross validation of in vivo measurements. For this task the chronic cutaneous DTHR, arthritis and MC38 adenocarcinoma models will be employed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GenR Next,,GenR Next,Generation R Next,,population-based prospective cohort study from preconception onwards,https://generationr.nl/next,EMC,,"The Generation R Next Study is a population-based cohort study from preconception onwards. In total, about 3600 women are being included in the period 2017-2021. Of all included couples, about 30% is included during the preconception, about 60% during the first trimester of pregnancy and about 10% in the third trimester of pregnancy.",v.jaddoe@erasmusmc.nl,"Population cohort,Birth cohort",,Longitudinal,"The Generation R Next Study is a population-based cohort study from preconception onwards. In total, about 3600 women are being included in the period 2017-2021. Of all included couples, about 30% is included during the preconception, about 60% during the first trimester of pregnancy and about 10% in the third trimester of pregnancy. 
Preconception recruitment is performed via social media, door-to-door mailings, mouth-to-mouth, and healthcare professionals. 
Measurements in the parents-to-be include physical examinations, questionnaires (lifestyle, diet) and biological samples at preconception, and 6 to 13 weeks pregnancy, as well as 30 weeks of pregnancy. The data collection includes innovative embryonic/fetal and placental assessments by repeated ultrasounds at around 6, 9, 12 and 30 weeks. 
Early childhood follow-up consisted of questionnaires at 1 month, 6 months and 12 months of age. A subgroup of children and their mothers was invited for measurements at the research center at ages 1 month, 6 months and 12 months.",,,"Retrospective,Prospective",15cc21a49c8b4846bf03a8a52410c6e3,,3604,,Netherlands (the),Rotterdam,"Prenatal,Infant (0-23 months),Newborn (0-1 months),Infants and toddlers (2-23 months),Child (2-12 years)",,,2017,,,,,,,Periodically,"Upon completion of follow-up, data will be cleaned for usage by the Generation R study group and then harmonized and uploaded for ECCN availability.",,,,"""not for profit, non commercial use only""","Data access conditions:
1. LifeCycle Project Research proposal has been discussed in the WP and distributed to all LifeCycle Project cohorts 
2. The lead researcher sends a request to Generation R contact (primary contact for internal discussion: LifeCycle Project manager lifecycle@erasmusmc.nl). If it concerns another proposal than a LifeCycle proposal please state this.
3. The proposal is discussed in the Generation R Management Team by the involved Generation R PI
4. The involved PI notifies the lead researcher and the LifeCycle project manager of the MT outcome, with lifecycle@erasmusmc.nl in the cc. 
5. In case of approval, the LifeCycle project manager will send the researcher the Generation R Data Use Agreement (DUA) or Data transfer agreement (DTA). 
6. If adaptations to the DUA are requested, the LifeCycle project manager forwards the DUA to Janine Felix who will liaise with the legal team if needed; once an agreement has been reached, the completed DUA is sent to the LifeCycle project manager
7. Lead researcher returns the DUA to lifecycle@erasmusmc.nl once completed
8. The LifeCycle project manager completes the DUA: checks the DUA and has it signed by Vincent
9. The project manager finalizes the Data Access Process: 
 - creates the Opal-views 
 - emails the researcher the fully signed DUA, and the Opal-login details to access the data 
 - Informs Generation R contact that data access has been granted",,,,,,,
LASA Biobank,21.12110/1.3FD3-0511-472E,,LASA Biobank,,,,,,,Nm.vanschoor@vumc.nl,Biobank,,,,,,,,,,,Netherlands (the),,,,,,,,,,,,,,,,,,,,,,,,,
Immune-Image_Task_3.8,,Task 3.8,"GMP-compliant labelling of nanobodies, peptides, small molecules, minibodies and antibodies",,,,"UMCG,EKUT,Takeda,VUMC",,"All compounds that will be the subject of clinical studies in WP6 will be labelled in a GMP-compliant manner (see section 4 describing radiochemistry experience and availability of techniques at GMP level at the different sites). Transfer of technologies will be set up between partners where the tracers will be applied. For all the tracers to be studied in patients in WP6, only for the anti-PD-L1 antibodytracer atezolizumab-IRDye800CW (Task 6.3) and for any new tracer (Tasks 3.7 and 6.8) is a GMP-labelling process not yet available. In general, this will require the development of a labelling method and analytical tests, validation of the production process, tracer formulation, stability studies and writing of regulatory documents such as Investigational Medicinal Product Dossier (IMPD) and Investigators Brochure (IB). Centres that do not have the capacity to perform GMP-compliant labelling will be supplied by other centres in the consortium. Most immunotracers are already GMPgrade and already available for use in WP6. This means that from the initiation of the Immune-Image project, several clinical trials can begin.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immune-Image_Task_6.1,,Task 6.1,Window of opportunity trial MMR-PET imaging in patients with NSCLC [M1-M60],,,,VUB,,"MMR-expressing tumour-associated macrophages are pro-tumourigenic and have a negative impact on therapy response. Moreover, several tumours show a variable and heterogeneous presence of MMR-expressing macrophages. In this task we intend to initiate a multi-site clinical trial evaluating 68Ga-MMR-PET/CT in patients with non-small cell lung cancer (NSCLC). First, we will produce the MMRkit formulation of the drug product under GMP conditions to allow simple on-site radiolabelling with 68Ga. Next, we will submit the clinical trial application for approval in three countries (Belgium, Spain, Germany). Aim: Assess safety, biodistribution, dosimetry and M2 macrophage targeting of 68Ga-MMR-PET/CT in patients with NSCLC. Study design: A multi-centre, open label, Phase I/II window of opportunity study. MMR-PET/CT uptake in tumour lesions and normal tissues will be correlated with immunohistochemistry (IHC) and RNA findings in samples collected across the whole resected lung tissue. The study will be performed with the following statistical considerations: the correlation between quantitative PET uptake and semi-quantitative IHC expression levels and RNA will be assessed using the correlation coefficient Rho. Statistical considerations We assume a minimal correlation with Rho ≥ 0.5 would warrant further investigation of MMR-PET/CT imaging. With a 1-sided type I error of 5% and a power of 90%, the sample 

size should be at least 31 patients.",robin.verjans@lygature.org,"Clinical cohort,Clinical trial",,Longitudinal,"Follow-up duration of 2 years. T=0, baseline; T=1 year, mid term assessment; T=3 years, end assessment;",,,Prospective,,,100,25,Netherlands (the),Groningen,"Aged (65-79 years),Aged (65+ years),Aged (80+ years)",,,2021,,,,,,,Continuous,,,,general research use,,Please contact the corresponding task leader to discuss the possibilities of utilizing the available biosample collections for further research.,false,,,,,,
Immune-Image_Task_3.2,,Task 3.2,Generation of bi-specific nanobodies targeting CD8β+/CD69+ activated cytotoxic T-lymphocytes (CTLs),,,,"VUB,Roche,Takeda,Pfizer",,"This task will be conducted by VUB, VIB together with expertise from Roche, Pfizer and Takeda. Bi-specific constructs will be generated by linking two lowaffinity nanobodies targeting CD8β and CD69 (from Task 3.1) with a genetic spacer into a design that only binds strongly to cells expressing both antigens on the cell surface but not when only one of them is expressed. Two approaches will be followed to identify the best performing constructs: (1) a rational approach based on structural data; (2) an unbiased cell selection approach. In method 1, the crystal structure of nanobody-antigen complexes will be determined by VIB of up to 5 anti-CD8β and 5 anti-CD69 nanobodies, and for all an in silico model of nanobody-binding orientation at the cell membrane will be determined. The recombinant proteins for these crystallisations will be provided by Roche. Nanobodies that bind to an antigen in an orientation parallel to the cell membrane will be selected. In these, nanobodyantigen interacting residues will be mutated so as to generate agents with reduced affinity but preserved stability. The low affinity-nanobodies from the CD8β screen will be cloned in a fusion (with peptide linkers) to a set of low affinity nanobodies from the CD69 screen, and vice versa. In method 2, a few low affinity nanobodies from the CD8β screen (from Task 3.1) will be connected, via flexible linkers, to an immune nanobody library from the CD69 screen, and vice versa. The intermediate bi-specific libraries will be phage displayed and subjected to biopanning on CD8+/CD69+ cells under stringent and competitive conditions. CD8+/CD69+ cells will be FACS-sorted and phages rescued by an acid wash. The bi-specific compounds from both methods will be subjected to similar in vitro and in vivo tests as in Task 3.1 by VUB, paying attention to the specificity of the compounds for CD8+/CD69+ cells in comparison with CD8-/CD69+and CD8+/CD69- cells.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immune-Image_Task_3.3,,Task 3.3,Development of a PET tracer against S100A9,,,,"Roche,Takeda,Pfizer,WWU",,"Alarmins S100A8 and S100A9 are expressed and secreted by activated phagocytes at the site of inflammation and are known to trigger sterile inflammatory processes. S100A8/S100A9 complexes (calprotectin) are widely used biomarkers for monitoring disease activity in IBD, vasculitis and RA and are good biomarkers for predicting response to therapy and risk of relapse due to residual disease activity. Local S100-concentrations are 10-fold higher than serum levels indicating that imaging of local S100A9-expression and release is an even better parameter to monitor inflammation. To assess locally activated phagocytes, S100A9-specific tracers labelled with cyanine-dyes for OI (antibody-based and a small non-peptidic ligand Cy5.5-CES271 that is based on a quinolinecarboxamide structure and binds both murine and human S100A9) have been developed (Vogl T. et al. 2014, Voeller T. et al. 2018). For PET imaging Immune-Image will develop 18F-labelled variants of the non-peptidic S100A9 tracer with modified polarities, including ionic charge, to improve tracer bioavailability and biodistribution. 99mTc-labelled derivatives that have already been synthesised show suboptimal pharmacokinetics (i.e. rapid clearance) and high hepatobiliary excretion, limiting tracer availability at the target (unpublished data). Alternating ionic charges in a universally applicable spacer between bioactive molecule and the label potentially facilitates higher tracer concentration at the target and longer in vivo circulation. These tracers are currently under development and will be applicable also for PET using the SiFAmethodology (mild 18F-labelling conditions, Wängler C. et al. 2012). Exchange of the SiFA-moiety with different chelating units offers also the labelling with 68Ga as cyclotron independent radionuclide as well as 89Zr to get a tracer with longer physical half-life and therefore longer time for investigation via PET. For more insights into the structureactivity-relationship and to improve binding affinity, co-crystallization studies with the S100A8/A9 heterodimer will be performed (supported by Roche), giving guidance in the variation on the quinoline motif. This will be supported by modelling studies with the target protein, providing more information on the possible sites for affinity improvements and manipulation of tracer biodistribution. As a second tracer for S100A9-targeting a new lead structure (N-(2-oxo-3-(trifluoromethyl)-2,3-dihydro-1H-benzo[d]imidazo[1,2-a]imidazol-3-yl)amides) with a reported ten times higher binding affinity to S100A9 (WO2015/177367), will also be labelled with 18F using a similar approach with guidance by modelling studies. The various [18F]F-S100A9 tracer variants developed in Task 3.3 will be validated in iterative biodistribution studies in WP4, including in available S100A9-deficient mice.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immune-Image_Task_4.3,,Task 4.3,Characterisation and validation of immunotracers in an experimental model of chronic inflammation,,,,"UMCG,EKUT,Roche,Bayer,WWU,VHIO,Janssen",,"Advanced PET/MRI, PET/CT and OI investigations for validation of novel and established immune cell tracers will be carried out using the optimal tracer dose and the newly established PET/MRI and OI imaging protocols (based on Tasks 4.1 and 4.2) in a well characterised and standardised, simplified and easy to implement experimental model of chronic cutaneous DTHR (contact dermatitis). This well-characterised mouse model shows reproducible rapid and intense infiltration of all cells of interest (CD4/CD8 T-lymphocytes, macrophages, B-lymphocytes, neutrophils) into the inflamed ears and draining lymph nodes (Thunemann M. et al., 2017). Mice will be sensitised in the abdomen with trinitrochlorobenzene (TNCB) and - starting seven days later - repetitively (five times, every two days) TNCB-challenged in the right ear to induce chronic cutaneous DTHR (Table 5). The contra-lateral, unchallenged, left ear will serve as an internal “healthy” control ear. The ear as well as the draining cervical lymph node is best suited for in vivo PET/MRI, OI/CT imaging
studies and intravital 2PM of the homing of fluorescently labelled cells of interest for in vivo correlation of tracer binding with cellular distribution patterns. Moreover, for cross-validation of the in vivo imaging results, we will track endogenous cells of interest using Cre-switchable sr39tk C57BL/6 PET reporter mice enabling us to follow the homing of endogenous CD4+/CD8+ T cells (sr39tkCD4/CD8-Cre) or monocyte/macrophage/neutrophils (sr39tkLysM-Cre) or other cells of interest into inflamed ears and the draining lymph nodes with PET/MRI (Thunemann M. et al., 2017). In addition, HoxB8-derived progenitor cells will be differentiated into monocytes (precursors of macrophages) and T-lymphocytes. These cells will be equipped with gene reporters (HSV-1-tk, NIS, luciferase) for tracking by PET, OI and intravital 2PM (Gran S. et al., 2018). We will adoptively transfer these cells as well as fluorescence dye, 89Zr- or 64Cu-labelled immune cells of interest (using established labelling approaches; (Griessinger C.M. et al., 2015) and new labelling approaches (Task 3.5; Vugts D. et al., 2017) into littermates for cross-validation (including in vivo PET/MRI, PET/CT, OI, intravital 2-PM) because of their bystander homing into inflamed ears and draining lymph nodes (Table 3). Ex vivo validation (histology, immunohistochemistry (Bayer). flow cytometry, autoradiography, gamma-counting, etc.) will be performed as described in Task 4.2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immune-Image_Task_4.2,,Task 4.2,Development and validation of imaging protocols for immunotracers,,,,"UMCG,VUB,EKUT,VHIR,Bayer,VUMC,UCAM,WWU,Roche",,"WP4 will help to select promising lead tracers that are generated in WP3 and immunotracers that are already available. The selection process will be based on in vivo imaging performance parameters, such as pharmacokinetics, retention, non-specific background, etc. In addition, we will implement an existing 80 kDa anti-CD4 minibody IAB41 with high affinity for CD4 which will be provided by ImaginAb. We will determine the optimal tracer dose and establish optimised PET/MRI, PET/CT, SPECT/CT and OI protocols for longitudinal studies. For dynamic PET, arterial blood sampling and metabolite analysis will be performed in mice and rats. Tracer kinetics in the target tissue will be analysed by pharmacokinetic modelling (e.g. BP, Vt, Ki) in WP2. Immunotracers with unsuitable pharmacokinetics will be returned to WP3 for potential optimisation. Kinetic parameters will be correlated with semi-quantitative parameters, to assess the feasibility of simplified acquisition and analysis protocols. PET and MR images will be co-registered in order to determine the sensitivity and specificity of immune cell targeting. Based on functional MR information, parameters such as diffusion or perfusion will be determined to reveal potential limitations of the immunotracer biodistribution. In vivo imaging in WT, KO or KI mice will be performed. As mentioned before, KI mice will be used in case cross-reactivity is not achievable (e.g. likely for CD8β and/or CD69 based on low homology); CD8β and CD69 KI mice will be developed by VUB and existing PD-1 and PD-L1 KI-mice will be provided by VUMC. CD20 nanobody is not cross-reactive but KI mice are available at VUB). The specificity of human antigen-specific tracers will be determined by comparisons of biodistribution in KI versus WT mice. In addition, the specificity of cross-reactive anti-CD163 and -CD206 nanobodies and the anti-S100A9 tracer will be determined in WT versus respectively CD163, CD206 or S100A9 KO mice, available at WWU, VIB. Imaging experiments, focusing mainly on the lymph nodes and spleen, will be followed by ex vivo metabolite analysis, biodistribution by gammacounter, autoradiography, immunohistochemistry (Bayer), fluorescence microscopy and flow cytometric analysis for cross-validation of in vivo PET or OI data. ID mice will be reconstituted with different amounts of genetically modified cells of interest with enhanced or abolished expression of the target of interest and optional additional expression of luciferase (bioluminescence imaging) or fluorescence proteins (for OI, fluorescence microscopy, flow cytometry) for cross-validation with the ex vivo methods. Finally, we will determine a sensitivity threshold to be based on the number of cells and their surface antigen density that can be identified non-invasively in vivo. Hereto, we will locally inject different amounts of immune cells of interest into the muscle or subcutaneous fatty tissue before immunotracer injection. In addition, we will inject different numbers of in vitro pre-labelled immune cells of interest (e.g. using the methodology developed in Task 3.5) followed by PET/MRI or PET/CT analysis. Multi-parametric image analysis will be performed with advanced, machine learning- supported methods using e.g. spectral clustering.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBK,21.12110/1.cd03-56a6-6f09,CBK,CIBERER Biobank,,,http://www.ciberer-biobank.es/,,,"The CIBERER Biobank (CBK) is a public, non-profit-making biobank that was set up in 2008 by the Biomedical Network Research Centre for Rare Diseases (CIBERER) and is located in Valencia at the Centro Superior de Investigación en Salud Pública (CSISP).
The CBK forms part of the structure of CIBER, a public Consortium set up at the initiative of the Carlos III Health Institute (Ministry of Economy, Industry and Competitiveness), and belonging to the Rare Diseases Area, created to act as a reference, coordinate and foster excellence research on rare diseases in Spain.
CBK was founded with the aim of serving diagnostic and therapeutic research, facilitating the availability of high-quality biological material to carry this out. Additionally, it was set up to contribute to solve one of the main problems encountered in research on these pathologies: the dispersion of samples due to the low prevalence of rare diseases. This point is of special relevance at a time when the proliferation of different biobanks could hinder the concentration of cases required to carry out research into rare diseases.
CIBERER Biobank adheres to principles for responsible custodianship, which require planning and transparent policies to ensure long-term physical integrity of samples as well as maintaining their privacy and confidentiality.
Biospecimen distribution to researchers is based on principles of scientific merit and access in a timely and equitable manner. Any researcher who wishes to request the CBK for a biological sample should fill in a sample request application form, enclosing a report on the research project for which this is required, as well as any relevant data on the evaluation of its viability (human and financial resources, infrastructure, etc.). The Ethics Committee and the Scientific Committee will proceed to evaluate the appropriateness of donating the biological sample requested and issue a report. If the decision is favorable, the sample will be sent to the applicant, after the researcher in charge has undertaken to comply with the conditions established by current legislation in Data Protection Act and Act 14/2007 on Biomedical Research by signing a Material Transfer Agreement (please refer to Appendix 7). The commitment refers to the proper use of samples, given that they constitute scarce research material with high scientific value and to the confidentiality of the associated information or any that may stem from its study.
The biobank was initially set up according to a centralized model, where all samples were processed, stored and given by the biobank's physical premises. Later on, CIBERER's Scientific Board decided to switch to a mixed centralized/decentralized model in order to include other CIBERER sample collections which are not deposited at the biobank. Thus, at present, the biobank works with both types of collections.",info-biobank@ciberer.es,Biobank,,,,,,,,,,,Spain,,,,,,,,,,,,,,,,,,,,,,,,,
AGNES Biobank,21.12110/1.D188-3405-AF93,,AGNES Biobank,,,,,,,c.r.bezzina@amc.uva.nl,Biobank,,,,,,,,,,,Netherlands (the),,,,,,,,,,,,,,,,,,,,,,,,,
PRECISION Biobank,21.12110/1.324B-657E-ABB0,,PRECISION Biobank,,,,,,,l.fu@nki.nl,Biobank,,,,,,,,,,,Netherlands (the),,,,,,,,,,,,,,,,,,,,,,,,,
Hoofd-halskanker Biobank,21.12110/1.B35B-12AC-985F,,Hoofd-halskanker Biobank,,,,,,,cr.leemans@vumc.nl,Biobank,,,,,,,,,,,Netherlands (the),,,,,,,,,,,,,,,,,,,,,,,,,
Obesity Center CGG biobank,21.12110/1.C066-5A52-86DC,,Obesity Center CGG biobank,,,,,,,a.vanderzwaan@erasmusmc.nl,Biobank,,,,,,,,,,,Netherlands (the),,,,,,,,,,,,,,,,,,,,,,,,,
Immune-Image_Task_6.6,,Task 6.6,Folate receptor PET and CD8 PET in patients with vasculitis,,,,UMCG,,"Giant cell arteriitis (GCA) is the most common form of vasculitis. Macrophages and T-cells play a major role in GCA development. Tocilizumab (IL-6 blocker) blocks the inflammatory response in GCA, underlining the need for visualizing macrophages and T-cells as inflammatory read outs. Aim Image macrophages with [18F]fluoro-PEG-folate and CD8 T-cells with [89Zr]Zr-anti-CD8 as markers of vessel wall/tissue inflammation in GCA before and after 1 year prednisolone treatment. Study design Patients will undergo [18F]fluoro-PEG-folate and [89Zr]Zr-anti-CD8 imaging before and 1 year after start of prednisolone. In parallel, biopsies from GCA temporal arteries and peripheral blood cells will be analysed with a focus on pro-inflammatory monocytes and T-cells. Statistical considerations Inclusion of 20 patients will allow comparison of [18F]fluoro-PEG-folate PET and [89Zr]Zr-anti-CD8 PET results and correlations with tissue/blood analyses.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genetic risk factors in Familial Hypercholesterolemia,21.12110/1.DD98-0D4D-A8DA,,Genetic risk factors in Familial Hypercholesterolemia,,,,,,,info@bbmri.nl,Biobank,,,,,,,,,,,Netherlands (the),,,,,,,,,,,,,,,,,,,,,,,,,
Immune-Image_Task_6.7,,Task 6.7,"Sorting, labelling and tracking of autologous immune cells from patients with cancer and IMIDs",,,,WWU,,"Besides targeting of molecular and cellular pathways by immunotracers in vivo a direct labelling of autologous immune cells from individual patients has great potential to describe whole-body immune cell dynamics in tumours and in IMIDs. In combination with sorting of immune cell subtypes before re-injection this should enable cell type-specific tracking of immune cells in patients as a reference of immune cell dynamics and an alternative imaging biomarker for monitoring immunotherapies as compared to ligandbased imaging. Approach Phase 1: At the start of Immune-Image we will set up the legal and instrumental framework for GMP-compliant harvesting (apheresis), sorting (cliniMACS, Miltenyi Biotech) and labelling of patient-derived immune cells by 89Zr at VUMC, WWU (M1-24). Phase 2: Pending the availability and feasibility of novel cell-membrane targeting strategies developed in WP3-5 (89Zr-DFO* technology) and on results from HoxB8 cell immune tracking in preclinical models in WP4, a multi-centre protocol for a first-in-human pilot study will be defined and executed. Statistical considerations Pilot studies, first-in-human.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALGA,21.12110/1.EE13-58D9-F0FC,PALGA,PALGA,,,,,,"The PALGA Portal is a one-stop online portal, combined with a logistic infrastructure, for the request and delivery of the pseudonymized data and samples (mostly FFPE blocks and tissue slides) that are available within the pathology labs (45+) in the Netherlands.",aanvraag@palga.nl,Biobank,,,,,,,,,,,Netherlands (the),,,,,,,,,,,,,,,,,,,,,,,,,
Immune-Image_Task_6.4,,Task 6.4,Molecular fluorescence endoscopy in patients with IBD,,,,UMCG,,"There are new treatment options for IBD but drug effects can only be measured after 3 months. Folate receptor (FR)β targeting is a promising MFE imaging biomarker for inflammation in IBD. PD-1 and PD-L1 play a clear role in innate immune cells to prevent gut inflammation. Aim Measure ratio of macrophages and/or PD-L1 uptake in the inflammatory gut lesion. Study design In this feasibility/safety study, Crohn's disease (CD) patients with an inflamed terminal ileum scheduled for biological therapy will undergo white light and quantitative MFE (see Task 6.3) after FR-targeted NIR dye OLT0038, atezolizumab-800CW or combined administration. Since the tracers have different fluorescence wavelengths, multispectral imaging can be performed during MFE (Nagengast W.B. et al. 2017). Hot spots will be identified and 5 biopsies of mildly inflamed mucosa will be obtained, 3 to be dissociated into single cells of the lamina propria and the epithelial layer. For each layer a fluorescent-labelled antibody panel will be applied followed by flow cytometric
analysis. Standard pathology and multiplexed advanced pathology imaging with Odyssey scanning and fluorescence microscopy allows fluorescence localization at a macroscopic and cellular level with co-localization of inflammatory cells. Statistical considerations Patients will undergo OLT0038 (n=10), atezolizumab-800CW (n=10) or both (n=10) which will provide insight into the feasibility of macrophage and PD-L1 imaging and the inflammatory phenotype.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immune-Image_Task_3.4,,Task 3.4,Development of small peptide tracers for imaging PD-1 and PD-L1,,,,"Roche,Takeda,Janssen,VUMC",,"Two 20 amino acid peptide lead sequences that bind to PD-L1 and one lead sequence that binds to PD-1 have been identified, based on the PD-1/PD-L1 binding domain. In recent publications this strategy has been used to design PD-1 or PD-L1 binding peptides (Caldwell C. et al., 2017; Li Q. et al., 2016), however, the peptides developed were not optimised for PET imaging. Initially, the peptides (synthesis performed by VUMC and supported by Janssen) will be fluorescently labelled and evaluated for their affinity and selectivity for PD-L1 and PD-1 using flow cytometry, immunostaining and cell binding assays on genetically engineered cells that express human and mouse PD-L1 or PD-1, and immune cells isolated from mice (WT, KO or KI, provided by VUMC) and humans. In addition, selectivity over PD-L2 will be determined. Peptides will be evaluated for cross reactivity between mouse and human, using recombinant proteins provided by Roche. The peptides will also be assessed for the absence of immune cell activation and in vitro toxicity, in analogy with the in vitro assays described in Task 3.1. These studies will be executed by Roche, supported by VUMC. The stability of the peptides will be evaluated in mouse and human serum. Based on the results, the peptides will be optimised by known chemical modification techniques like cyclisation, D-amino acid and peptidomimetic substitution. These second-generation peptides will again be evaluated for affinity, selectivity, stability and cross reactivity. One compound will be selected for each target and will be radiolabelled with fluorine-18, via well-known strain-promoted click reactions, Al[18F]F chemistry or 68Ga when appropriate. In WP4, the in vivo pharmacokinetics of the peptide(s) will be evaluated in naïve WT, KO and KI mice and in mice implanted with syngeneic tumours responding to CIT. The chemical structure will be optimised to meet PET tracer preferred criteria as good stability, less non-specific binding, and a pharmacokinetic profile appropriate for the radiolabel. Developing new peptide based PD-L1 and PD-1 tracers with optimised characteristics for PET tracers will provide a significant advantage in PET imaging over the currently available PD-L1/PD-1 tracers that are based on therapeutic antibodies or proteins (Maute R.L. et al., 2015). As such, a series of peptide-based PD-1 and PD-L1 radio- and potentially optical tracers will be developed that will be interactively investigated in vivo in WP4 and WP5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoorn Study Biobank,21.12110/1.5A2B-2F88-5C5F,,Hoorn Study Biobank,,,,,,,lmthart@lumc.nl,Biobank,,,,,,,,,,,Netherlands (the),,,,,,,,,,,,,,,,,,,,,,,,,
