tableName,tableExtends,tableType,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,refLabel,defaultValue,validation,visible,computed,semantics,profiles,label,description
Data resources,,,population oncology topology,ontology_array,,,CatalogueOntologies,ICDO topologies,,,,,,,,,"DataCatalogue,CohortStaging",,"Does the resource collect information on specific cancer subtype(s)? If yes, select topology specifications."
Data resources,,,population oncology morphology,ontology_array,,,CatalogueOntologies,ICDO morphologies,,,,,,,,,"DataCatalogue,CohortStaging",,"Does the resource collect information on specific cancer subtype(s)? If yes, select morphology specifications."
RWE resources,,,population coverage,text,,,,,,,,,,,,,"DataCatalogue,EMA",,Estimated percentage of the population covered by the data source in the catchment area. Please describe the denominator.
RWE resources,,,population not covered,text,,,,,,,,,,,,,"DataCatalogue,EMA",,"Description of the population covered by the data source in the catchment area whose data are not collected, where applicable (e.g.: people who are registered only for private care)"
RWE resources,,,quantantitative information,refback,,,,Quantitative information,,resource,,,,,,,"DataCatalogue,EMA",,Numerical summaries describing data bank population
Cohorts,,,subcohorts,refback,,,,Subcohorts,,resource,,,,,,,"DataCatalogue,CohortStaging",,List of subcohorts or subpopulations for this resource
Data resources,,,contents,heading,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,Data model and contents
Extended resources,,,datasets,refback,,,,Datasets,,resource,,,,,,,"DataCatalogue,CohortStaging",,
RWE resources,,,mappings to data models,refback,,,,Dataset mappings,,source,,,,,,,DataCatalogue,,overview of dataset mappings available
RWE resources,,,areas of information,ontology_array,,,CatalogueOntologies,Areas of information ds,,,,,,,,,"DataCatalogue,EMA",,Areas of information that were collected
RWE resources,,,quality of life other,text,,,,,,,,,,,,,"DataCatalogue,EMA",,"If other, specify additional quality of life measures"
RWE resources,,,cause of death code other,text,,,,,,,,,,,,,"DataCatalogue,EMA",,"If 'other,' what cause of death vocabulary is used?"
RWE resources,,,indication vocabulary other,text,,,,,,,,,,,,,"DataCatalogue,EMA",,"If 'other,' what indication for use vocabulary is used?"
RWE resources,,,genetic data vocabulary other,text,,,,,,,,,,,,,"DataCatalogue,EMA",,"If 'other,' what genetic data vocabulary is used?"
RWE resources,,,care setting other,text,,,,,,,,,,,,,"DataCatalogue,EMA",,"If 'other,' description of the setting of care"
RWE resources,,,medicinal product vocabulary other,text,,,,,,,,,,,,,"DataCatalogue,EMA",,"If 'other,' description of the medicinal product vocabulary"
RWE resources,,,prescriptions vocabulary other,text,,,,,,,,,,,,,"DataCatalogue,EMA",,"If 'other,' what vocabulary is used?"
RWE resources,,,dispensings vocabulary other,text,,,,,,,,,,,,,"DataCatalogue,EMA",,"If 'other,' what vocabulary is used?"
RWE resources,,,procedures vocabulary other,text,,,,,,,,,,,,,"DataCatalogue,EMA",,"If 'other,' what vocabulary is used?"
RWE resources,,,biomarker data vocabulary other,text,,,,,,,,,,,,,"DataCatalogue,EMA",,"If 'other,' what vocabulary is used?"
RWE resources,,,diagnosis medical event vocabulary other,text,,,,,,,,,,,,,"DataCatalogue,EMA",,"If 'other,' what vocabulary is used?"
Databanks,,,data dictionary available,bool,,,,,,,,,,,,,DataCatalogue,,Are a data dictionary and a data model available?
RWE resources,,,disease details,ontology_array,,,CatalogueOntologies,MedDRA,,,,,,,,,"DataCatalogue,EMA",,"If data on a specific disease is collected, which diseases does the data source collect information on"
RWE resources,,,disease details other,text,,,,,,,,,,,,,"DataCatalogue,EMA",,Specify disease details if not present in MedDRA
RWE resources,,,biospecimen collected,ontology_array,,,CatalogueOntologies,Biospecimens,,,,,,,,,DataCatalogue,,"If the data bank contains biospecimens, what types of specimen"
RWE resources,,,languages,ontology_array,,,CatalogueOntologies,Languages,,,,,,,,,"DataCatalogue,EMA",,"Languages in which that the records are recorded (in ISO 639, https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes)"
RWE resources,,,record trigger,text,,,,,,,,,,,,,"DataCatalogue,EMA",,"What triggers the creation of a record in the data bank? e.g., hospital discharge, specialist encounter, dispensation of a medicinal product, recording of a congenital anomaly"
Cohorts,,,collection events,refback,,,,Collection events,,resource,,,,,,,"DataCatalogue,CohortStaging",,List of collection events defined for this resource
Databanks,,,unit of observation,text,,,,,,,,,,,,,DataCatalogue,,"Based on the prompt, what is the unit of observation of a record (e.g., person, prescription)?"
Extended resources,,,aggregates,refback,,,,Aggregates,,resource,,,,,,,"DataCatalogue,CohortStaging",,Counts of e.g. samples defined for this resource
Databanks,,,multiple entries,bool,,,,,,,,,,,,,DataCatalogue,,"Can there be multiple entries for a single person in the data bank? For example, may a person contribute multiple records to the data bank?"
RWE resources,,,linkage,heading,,,,,,,,,,,,,DataCatalogue,,Data linkage
Databanks,,,has identifier,bool,,,,,,,,,,,,,DataCatalogue,,Is there a unique identifier for a person in the data bank?
Databanks,,,identifier description,text,,,,,,,,,,,,,DataCatalogue,,"Describe the variable that is used as a unique identifier for a person in the data bank? If the unique identifier is not at level of a person (for example hospital encounter), describe how this translated to an individual level"
Data resources,,,prelinked,bool,,,,,,,,,,,,,"DataCatalogue,EMA,CohortStaging",,Is the data from this data source linked to other data sources?
RWE resources,,,linkage description,text,,,,,,,,,,,,,"DataCatalogue,EMA",,Provide a high-level description of the linkages that are currently available between data sources in the data source (when pre-linked = yes)
RWE resources,,,linkage possibility,bool,,,,,,,,,,,,,"DataCatalogue,EMA",,Can this data source be linked to other data sources?
Data resources,,,linkage possibility description,text,,,,,,,,,,,,,"DataCatalogue,EMA,CohortStaging",,Can the data from this data source be linked to other data sources?
RWE resources,,,linked resources,refback,,,,Linked resources,,main resource,,,,,,,"DataCatalogue,EMA",,List of resources that are or can be linked to this main resource
Cohorts,,,release type,ontology,,,CatalogueOntologies,Release types,,,,,,,,,"DataCatalogue,CohortStaging",,Select whether this resource is a closed dataset or whether new data is released continuously or at a termly basis
Cohorts,,,release description,text,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,Description of the release cycle of this resource
Cohorts,,,linkage options,text,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,Linkage options with additional data sources that are available for this resource
Data resources,,,access,heading,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,Access and validation information
Data resources,,,data holder,ref,,,,Organisations,,,,,,,,,"DataCatalogue,EMA",,The name of the organisation that is responsible for governance of the data bank
Data resources,,,DAPs,refback,,,,DAPs,,resource,,,,,,,DataCatalogue,,List of DAPs that are listed in the catalogue as having (conditional) permission to access (an extract of) the data resource
Databanks,,,reason sustained,text,,,,,,,,,,,,,DataCatalogue,,"Description of the reason why the data bank is sustained by the organisation (e.g., for surveillance, clinical purposes, financial or administrative purposes, research purposes)"
Cohorts,,,data access conditions,ontology_array,,,CatalogueOntologies,Data access conditions,,,,,,,,,"DataCatalogue,CohortStaging",,Codes defining data access terms and conditions
Cohorts,,,data use conditions,ontology_array,,,CatalogueOntologies,Data use conditions,,,,,,,,,"DataCatalogue,CohortStaging",,Codes defining data use terms and conditions
Cohorts,,,data access conditions description,text,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,Description of data access terms and use conditions
Cohorts,,,data access fee,bool,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,Does a fee apply to gain access to data of this cohort?
RWE resources,,,informed consent,ontology,,,CatalogueOntologies,Informed consents,,,,,,,,,"DataCatalogue,EMA",,Is informed consent required for use of the data for research purposes?
RWE resources,,,informed consent other,text,,,,,,,,,,,,,"DataCatalogue,EMA",,"If other, describe the conditions when informed consent is required"
RWE resources,,,access identifiable data,text,,,,,,,,,,,,,DataCatalogue,,Can identifiable data be accessed in the data bank (including patient/practitioner name/practice name)?
RWE resources,,,access identifiable data route,text,,,,,,,,,,,,,DataCatalogue,,"If yes above, what is the route to access or process this information? What permission is required?"
RWE resources,,,access subject details,bool,,,,,,,,,,,,,"DataCatalogue,EMA",,Can individual patients/practitioners/practices be contacted in the data bank?
RWE resources,,,access subject details route,text,,,,,,,,,,,,,DataCatalogue,,"If yes above, what is the route to access or process this information? What permission is required?"
RWE resources,,,audit possible,bool,,,,,,,,,,,,,DataCatalogue,,"Are external parties allowed to audit the data? For example, is it possible for an external party to audit the quality or validity of the data source?"
Databanks,,,access third party,bool,,,,,,,,,,,,,DataCatalogue,,Can (an extract of) the data bank be accessed with permission by a third party?
Databanks,,,access third party conditions,text,,,,,,,,,,,,,DataCatalogue,,"If above is 'yes', describe the conditions under which third-party access may be granted"
Databanks,,,access non EU,bool,,,,,,,,,,,,,DataCatalogue,,Can (an extract of) the data bank be accessed with permission by a non-EU/EEA institution?
Databanks,,,access non EU conditions,text,,,,,,,,,,,,,DataCatalogue,,"If yes above, describe the conditions under which non-EU/EEA access may be granted"
RWE resources,,,standard operating procedures,bool,,,,,,,,,,,,,DataCatalogue,,Is there a standard operating procedure document that defines the processes and procedures for data capture and management?
RWE resources,,,biospecimen access,bool,,,,,,,,,,,,,"DataCatalogue,EMA",,"If the data bank contains biospecimens (e.g., tissue samples), can these be retrieved?"
RWE resources,,,biospecimen access conditions,text,,,,,,,,,,,,,"DataCatalogue,EMA",,"If yes above, describe the conditions under which permission to retrieve biospecimens may be granted"
RWE resources,,,governance details,text,,,,,,,,,,,,,DataCatalogue,,"If available, provide a link to documents or webpages that describe the overall governance of the data source bank (governing data access or utilisation for research purposes by existing DAPs)"
RWE resources,,,approval for publication,bool,,,,,,,,,,,,,"DataCatalogue,EMA",,Is an approval needed to publish the results of a study using the data
RWE resources,,,updates,heading,,,,,,,,,,,,,DataCatalogue,,Information on the regularity of updates and time lags
Databanks,,,refresh,int,,,,,,,,,,,,,DataCatalogue,,Average number of days between refresh of data bank with new records
Databanks,,,lag time,int,,,,,,,,,,,,,DataCatalogue,,"How many days is the lag time after refresh before a record can be extracted? (e.g., a lag time may occur if the originator conducts quality checks)"
RWE resources,,,preservation,bool,,,,,,,,,,,,,"DataCatalogue,EMA",,Are records preserved in the data bank indefinitely?
RWE resources,,,preservation duration,int,,,,,,,,,,,,,"DataCatalogue,EMA",,"If no to the above, for how long (in years) are records preserved in the data bank?"
RWE resources,,,refresh period,ontology_array,,,CatalogueOntologies,Refresh periods,,,,,,,,,"DataCatalogue,EMA",,"If data are refreshed on fixed dates (e.g., every June and December), when are the refreshes scheduled? Select all that apply from the following:"
RWE resources,,,date last refresh,date,,,,,,,,,,,,,"DataCatalogue,EMA",,Date of last update/refresh
RWE resources,,,quality,heading,,,,,,,,,,,,,DataCatalogue,,List of relevant studies conducted using the data bank
RWE resources,,,qualification,bool,,,,,,,,,,,,,"DataCatalogue,EMA",,"Has the data source successfully undergone a formal qualification process (e.g., from the EMA, or ISO or other certifications)?"
RWE resources,,,qualifications description,text,,,,,,,,,,,,,"DataCatalogue,EMA",,"Has the resource successfully undergone a qualification process (e.g., from the EMA)? If yes, describe the qualification(s) granted"
Databanks,,,number of records,int,,,,,,,,,,,,,DataCatalogue,,Total number of unique records captured in the data bank (most recent count)
Databanks,,,completeness,text,,,,,,,,,,,,,DataCatalogue,,"Describe the completeness of the data bank (e.g., variables with more or fewer missing values)"
Databanks,,,completeness over time,text,,,,,,,,,,,,,DataCatalogue,,"Describe any changes in completeness of the data bank (e.g., variables with more or fewer missing values) that have occurred  over time"
Databanks,,,completeness results,text,,,,,,,,,,,,,DataCatalogue,,What methods or processes are applied to check completeness of the data bank?
Databanks,,,quality description,text,,,,,,,,,,,,,DataCatalogue,,"Describe the quality of the data bank (e.g., variables with more or fewer missing values)"
Databanks,,,quality over time,text,,,,,,,,,,,,,DataCatalogue,,Describe any changes in quality of the data bank that have occurred  over time
RWE resources,,,access for validation,bool,,,,,,,,,,,,,"DataCatalogue,EMA",,"Can validity of the data in the data bank be verified, e.g., by review of origin medical charts?"
RWE resources,,,quality validation frequency,text,,,,,,,,,,,,,DataCatalogue,,How often are data quality checks and validation steps conducted on the data bank?
RWE resources,,,quality validation methods,text,,,,,,,,,,,,,DataCatalogue,,What methods or processes are applied for data quality checks and validation steps conducted on the data bank?
RWE resources,,,correction methods,text,,,,,,,,,,,,,DataCatalogue,,What methods or processes are applied to correct illogical values in the data bank?
RWE resources,,,quality validation results,,,,,,,,,,,,,,DataCatalogue,,"If available, provide a link to a publication of the data quality check and validation results"
RWE resources,,,standards,heading,,,,,,,,,,,,,DataCatalogue,,Use of standard data models and ontologies
RWE resources,,,cdms,refback,,,,Mappings,,source,,,,,,,"DataCatalogue,EMA",,Common data models used or ETL-ed to by this data source
RWE resources,,,cdms other,text,,,,,,,,,,,,,"DataCatalogue,EMA",,"If not in list above, give the name of cdm(s) used by this data source"
Databanks,,,ETL standard vocabularies,ontology_array,,,CatalogueOntologies,Vocabularies,,,,,,,,,DataCatalogue,,"Are data mapped to standardised vocabularies during ETL to the CDM? If yes, what vocabularies are used for events, such as diagnoses?"
Databanks,,,ETL standard vocabularies other,text,,,,,,,,,,,,,DataCatalogue,,"If other, what other vocabularies are used?"
Data resources,,,information,heading,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,Other information
Data resources,,,design paper,ref_array,,,,Publications,,,,,,,,,"DataCatalogue,CohortStaging",,Publication(s) that describe(s) the design of this resource
Extended resources,,,publications,ref_array,,,,Publications,,,,,,,,,"DataCatalogue,EMA,CohortStaging",,Other publication(s) about this resource
Data resources,,,informed consent type,ontology,,,CatalogueOntologies,Informed consent types,,,,,,,,,"DataCatalogue,CohortStaging",,What type of informed consent was given for data collection?
RWE resources,,,funding sources,ontology_array,,,CatalogueOntologies,Funding types,,,,,,,,,"DataCatalogue,EMA",,Specify the main financial support sources for the data source in the last 3 years. Select all that apply
Studies,,,funding scheme,ontology_array,,,CatalogueOntologies,Study funding,,,,,,,,,"DataCatalogue,EMA",,The source of funding for the study. Select all that apply
Extended resources,,,funding statement,text,,,,,,,,,,,,,"DataCatalogue,EMA,CohortStaging",,Statement listing funding that was obtained for this resource
Extended resources,,,acknowledgements,text,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,Acknowledgement statement and citation regulation for this resource
Extended resources,,,documentation,refback,,,,Documentation,,resource,,,,,,,"DataCatalogue,EMA,CohortStaging",,"Descriptive document(s) available for this resource, e.g. informed consent"
Data resources,,,supplementary information,text,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,Any other information that needs to be disclosed for this resource
Data resources,,,collaborations,heading,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,List of relevant collaborations
Cohorts,,,studies,refback,,,,Studies,,cohorts,,,,,,,DataCatalogue,,Listing of studies that used this cohort
Cohorts,,,networks,refback,,,,Networks,,cohorts,,,,,,,DataCatalogue,,The consortia or networks that this cohort is involved in
Studies,,,networks,ref_array,,,,Networks,,,,,,,,,"DataCatalogue,EMA",,The consortia or networks that this study is part of
Studies,,,networks other,text,,,,,,,,,,,,,DataCatalogue,,List the names of any other networks that are not listed and this resource is involved in
RWE resources,,,networks,refback,,,,Networks,,data sources,,,,,,,"DataCatalogue,EMA",,List of networks that this datasource is associated with
RWE resources,,,studies,refback,,,,Studies,,data sources,,,,,,,"DataCatalogue,EMA",,List of studies that this datasource is associated with
Networks,,,data sources,ref_array,,,,Data sources,,,,,,,,,"DataCatalogue,EMA",,
Networks,,,databanks,ref_array,,,,Databanks,,,,,,,,,DataCatalogue,,
Networks,,,cohorts,ref_array,,,,Cohorts,,,,,,,,,DataCatalogue,,
Networks,,,models,ref_array,,,,Models,,,,,,,,,DataCatalogue,,The common data model(s) used by this network
Networks,,,studies,refback,,,,Studies,,networks,,,,,,,"DataCatalogue,EMA",,
Networks,,,networks,ref_array,,,,Networks,,,,,,,,,DataCatalogue,,The consortia or networks that are involved in this network
Studies,,,study requirements,ontology_array,,,CatalogueOntologies,Study requirements,,,,,,,,,"DataCatalogue,EMA",,Study requirements
Studies,,,regulatory procedure number,,,,,,,,,,,,,,"DataCatalogue,EMA",,"Regulatory procedure number, for RMP Category 1 and 2 studies only"
Studies,,,date of signing funding contract planned,date,,,,,,,,,,,,,"DataCatalogue,EMA",,"Date when funding contract was signed, planned"
Studies,,,date of signing funding contract actual,date,,,,,,,,,,,,,"DataCatalogue,EMA",,"Date when funding contract was signed, actual"
Studies,,,collection start planned,date,,,,,,,,,,,,,"DataCatalogue,EMA",,When was the data collection planned to start?
Studies,,,collection start actual,date,,,,,,,,,,,,,"DataCatalogue,EMA",,When was the data collection actually start?
Studies,,,analysis start planned,date,,,,,,,,,,,,,"DataCatalogue,EMA",,When was the data analysis planned to start?
Studies,,,analysis start actual,date,,,,,,,,,,,,,"DataCatalogue,EMA",,When did the data analysis actually start?
Studies,,,interim report planned,date,,,,,,,,,,,,,"DataCatalogue,EMA",,"Planned date of interim report, if expected"
Studies,,,interim report actual,date,,,,,,,,,,,,,"DataCatalogue,EMA",,"Actual date of interim report, if expected"
Studies,,,final report planned,date,,,,,,,,,,,,,"DataCatalogue,EMA",,"Date of final study report, planned"
Studies,,,final report actual,date,,,,,,,,,,,,,"DataCatalogue,EMA",,"Date of final study report, actual"
Studies,,,data,heading,,,,,,,,,,,,,DataCatalogue,,Data management
Studies,,,data sources,ref_array,,,,Data sources,,,,,,,,,"DataCatalogue,EMA",,Data sources that provided data into this study
Studies,,,data sources other,text,,,,,,,,,,,,,"DataCatalogue,EMA",,Other not listed data sources that provided data into this study
Studies,,,databanks,ref_array,,,,Databanks,,,,,,,,,DataCatalogue,,Databanks that provided data into this study
Studies,,,databanks other,text,,,,,,,,,,,,,DataCatalogue,,Other not listed databanks that provided data into this study
Studies,,,cohorts,ref_array,,,,Cohorts,,,,,,,,,DataCatalogue,,Cohorts that provided data into this study
Studies,,,cdms,refback,,,,Mappings,,source,,,,,,,"DataCatalogue,EMA",,Common data model(s) used in this study
Studies,,,study features,ontology_array,,,CatalogueOntologies,Study features,,,,,,,,,"DataCatalogue,EMA",,Data features
Studies,,,data characterisation details,text,,,,,,,,,,,,,"DataCatalogue,EMA",,Provide a summary description of the data characterisation or quality check process
Studies,,,data source types,ontology_array,,,CatalogueOntologies,Study datasource types,,,,,,,,,"DataCatalogue,EMA",,Types of data sources used
Studies,,,data source types other,text,,,,,,,,,,,,,"DataCatalogue,EMA",,"Sources of data, if other"
Studies,,,quality marks,ontology_array,,,CatalogueOntologies,Study quality marks,,,,,,,,,"DataCatalogue,EMA",,"Quality marks, such as ENCePP seal"
Studies,,,number of data sources,,,,,,,,,,,,,,"DataCatalogue,EMA",,Total number of data sources included in the study
Studies,,,medicines studied INN codes,ontology_array,,,CatalogueOntologies,INN,,,,,,,,,"DataCatalogue,EMA",,INN codes of medicines studied
Studies,,,medicines studied ATC codes,ontology_array,,,CatalogueOntologies,ATC,,,,,,,,,"DataCatalogue,EMA",,ATC codes of medicines studied
Studies,,,medicines studies brands,ontology_array,,,CatalogueOntologies,Medicine brand names,,,,,,,,,"DataCatalogue,EMA",,Brand names of the medicines studied
Studies,,,medicines studied other,text,,,,,,,,,,,,,"DataCatalogue,EMA",,If the medicinal product information (e.g. brand name or active substance or ATC code) does not appear in the available look-ups please enter it here
Studies,,,medical conditions studied,ontology_array,,,CatalogueOntologies,MedDRA,,,,,,,,,"DataCatalogue,EMA",,Codes of the medical conditions studied
Studies,,,medical conditions studied other,text,,,,,,,,,,,,,"DataCatalogue,EMA",,Codes of the medical conditions studied
Studies,,,data extraction date,date,,,,,,,,,,,,,DataCatalogue,,Date on which the study data was extracted
Studies,,,methods,heading,,,,,,,,,,,,,DataCatalogue,,Methodological aspects
Studies,,,study setting,text,,,,,,,,,,,,,DataCatalogue,,A short description of the study setting
Studies,,,analysis plan,text,,,,,,,,,,,,,DataCatalogue,,"A brief summary of the analysis method (e.g. risk estimation, measures of risk, internal/external validity)"
Studies,,,population description,text,,,,,,,,,,,,,"DataCatalogue,EMA",,A short description of the study population
Studies,,,number of subjects,int,,,,,,,,,,,,,"DataCatalogue,EMA",,Estimated number of subjects
Studies,,,age groups,ontology_array,,,CatalogueOntologies,Age groups,,,,,,,,,"DataCatalogue,EMA",,Which population age groups are studied
Studies,,,objectives,text,,,,,,,,,,,,,"DataCatalogue,EMA",,A short description of the study objective
Studies,,,interventions,text,,,,,,,,,,,,,"DataCatalogue,EMA",,A short description of the study interventions
Studies,,,comparators,text,,,,,,,,,,,,,"DataCatalogue,EMA",,A short description of the study comparators
Studies,,,outcomes,text,,,,,,,,,,,,,"DataCatalogue,EMA",,A short description of the study outcomes
Studies,,,study design,text,,,,,,,,,,,,,"DataCatalogue,EMA",,A brief summary of the study design
Studies,,,results,text,,,,,,,,,,,,,"DataCatalogue,EMA",,A brief summary of the results of the study on study completion (from abstract)
Studies,,,topic,ontology_array,,,CatalogueOntologies,Study topics,,,,,,,,,"DataCatalogue,EMA",,An initial classification of the study purpose
Studies,,,topic other,text,,,,,,,,,,,,,"DataCatalogue,EMA",,"If the study is not concerning any of the proposed categories, please specify the details"
Studies,,,trial regulatory scope,ontology_array,,,CatalogueOntologies,Study trial regulatory scopes,,,,,,,,,"DataCatalogue,EMA",,Classification of the clinical trial in relation to the medicines authorisation
Studies,,,study design classification,ontology_array,,,CatalogueOntologies,Study design classification,,,,,,,,,"DataCatalogue,EMA",,Study design classifications
Studies,,,study design classification other,text,,,,,,,,,,,,,"DataCatalogue,EMA",,Further details on design
Studies,,,study scope,ontology_array,,,CatalogueOntologies,Study scopes,,,,,,,,,"DataCatalogue,EMA",,Scope of the study
Studies,,,study scope other,text,,,,,,,,,,,,,"DataCatalogue,EMA",,If scope 'other'
Studies,,,population of interest,ontology_array,,,CatalogueOntologies,Population of interest,,,,,,,,,"DataCatalogue,EMA",,"If population of interest is 'Other', please specify which other population has been studied"
Studies,,,population of interest other,text,,,,,,,,,,,,,"DataCatalogue,EMA",,"If population of interest is 'Other', please specify which other population has been studied"
Subcohort counts,,,subcohort,ref,1,true,,Subcohorts,,,,,,,,,"DataCatalogue,CohortStaging",,
Subcohort counts,,,age group,ontology,1,true,CatalogueOntologies,Age groups,,,,,,,,,"DataCatalogue,CohortStaging",,
Subcohort counts,,,N total,int,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,
Subcohort counts,,,N female,int,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,
Subcohort counts,,,N male,int,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,
Subcohorts,,,resource,ref,1,true,,Extended resources,,,,,,,,,"DataCatalogue,CohortStaging",,Resource this subcohort is part of
Subcohorts,,,name,,1,true,,,,,,,,,,,"DataCatalogue,CohortStaging",,"Subcohort name, e.g. 'mothers in first trimester','newborns'"
Subcohorts,,,description,text,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,Subcohort description
Subcohorts,,,number of participants,int,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,Number of participants in this subcohort
Subcohorts,,,counts,refback,,,,Subcohort counts,,subcohort,,,,,,,"DataCatalogue,CohortStaging",,"Total number of unique individuals per age(group), gender and year"
Subcohorts,,,inclusion start,int,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,Year of first included participant
Subcohorts,,,inclusion end,int,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,Year of last included participant. Leave empty if collection is ongoing
Subcohorts,,,age groups,ontology_array,,,CatalogueOntologies,Age groups,,,,,,,,,"DataCatalogue,CohortStaging",,Age groups within this subcohort
Subcohorts,,,main medical condition,ontology_array,,,CatalogueOntologies,Diseases,,,,,,,,,"DataCatalogue,CohortStaging",,"Disease groups within this subcohort, based on ICD-10 and ORPHA code classifications"
Subcohorts,,,comorbidity,ontology_array,,,CatalogueOntologies,Diseases,,,,,,,,,"DataCatalogue,CohortStaging",,"Comorbidity within this subcohort, based on ICD-10 classification"
Subcohorts,,,countries,ontology_array,,,CatalogueOntologies,Countries,,,,,,,,,"DataCatalogue,CohortStaging",,Countries where data from this subcohort largely originate from
Subcohorts,,,regions,ontology_array,,,CatalogueOntologies,Regions,,,,,,,,,"DataCatalogue,CohortStaging",,Geographical regions where data from this subcohort largely originate from
Subcohorts,,,inclusion criteria,text,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,Inclusion criteria applied to this subcohort
Subcohorts,,,supplementary information,text,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,Any other information that needs to be disclosed for this subcohort
Submissions,,,submission date,datetime,1,true,,,,,,,,,,,"DataCatalogue,EMA",,Date of submission
Submissions,,,submitter name,,1,true,,,,,,,,,,,DataCatalogue,,Name of person who submitted
Submissions,,,resources,ref_array,,True,,Extended resources,,,,,,,,,"DataCatalogue,EMA",,Resource(s) that this submission is related to
Submissions,,,submitter email,,,True,,,,,,,,,,,DataCatalogue,,Email of person who submitted
Submissions,,,submitter organisation,ref,,,,Organisations,,,,,,,,,DataCatalogue,,Organisation of submitter
Submissions,,,submitter role,ontology,,,CatalogueOntologies,Submitter roles,,,,,,,,,DataCatalogue,,Role of submitter in organisation
Submissions,,,submitter role other,text,,,,,,,,,,,,,DataCatalogue,,"Role of submitter in organisation, if other than above"
Submissions,,,submission type,ontology,,,CatalogueOntologies,Submission types,,,,,,,,,"DataCatalogue,EMA",,"Type of submission, e.g. 'new entry', 'correction'"
Submissions,,,submission description,text,,,,,,,,,,,,,"DataCatalogue,EMA",,"Description of the submission, if applicable"
Submissions,,,responsible persons,text,,,,,,,,,,,,,DataCatalogue,,List of responsible persons related to this submission
Submissions,,,acceptance date,datetime,,,,,,,,,,,,,"DataCatalogue,EMA",,Date submission was accepted
Variable mappings,,,source,ref,1,true,,Extended resources,,,,,,,,,"DataCatalogue,CohortStaging",,
Variable mappings,,,source dataset,ref,1,true,,Datasets,source,,,,,,,,"DataCatalogue,CohortStaging",,
Variable mappings,,,source variables,ref_array,,,,All variables,source dataset,,,,,,,,"DataCatalogue,CohortStaging",,"Optional, source variable that was mapped from. You may also indicate that a mapping to a target variable was not done and leave this field empty (match = na)"
Variable mappings,,,source variables other datasets,ref_array,,,,All variables,source,,,,,,,,"DataCatalogue,CohortStaging",,"optional, variable from other source datasets. Initially one may only define mapping between releases"
Variable mappings,,,target,ref,1,true,,Extended resources,,,,,,,,,DataCatalogue,,
Variable mappings,,,target dataset,ref,1,true,,Datasets,target,,,,,,,,DataCatalogue,,
Variable mappings,,,target variable,ref,1,true,,All variables,target dataset,,,,,,,,DataCatalogue,,"in UI this is then one lookup field. In Excel it will be two columns. Value of 'targetVariable' is filtered based on selected 'targetCollection' and together be used for fkey(collection,dataset,name) in Variable"
Variable mappings,,,match,ontology,,True,CatalogueOntologies,Status details,,,,,,,,,"DataCatalogue,CohortStaging",,"e.g. 'complete, partial, planned, no-match'"
Variable mappings,,,status,ontology,,,CatalogueOntologies,Status,,,,,,,,,"DataCatalogue,CohortStaging",,whether harmonisation is still draft or final
Variable mappings,,,description,text,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,human readible description of the mapping
Variable mappings,,,syntax,text,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,"formal definition of the mapping, ideally executable code"
Variable mappings,,,comments,text,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,additional notes and comments
Variable values,,,resource,ref,1,true,,Extended resources,,,,,,,,,"DataCatalogue,CohortStaging",,
Variable values,,,variable,ref,1,true,,Variables,resource,,,,,,,,"DataCatalogue,CohortStaging",,e.g. PATO
Variable values,,,value,,1,true,,,,,,,,,,,"DataCatalogue,CohortStaging",,e.g. '1'
Variable values,,,label,,,True,,,,,,,,,,,"DataCatalogue,CohortStaging",,
Variable values,,,order,int,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,
Variable values,,,is missing,bool,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,
Variable values,,,ontology term URI,,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,reference to ontology term that defines this categorical value
Variable values,,,since version,,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,When this variable value was introduced if applicable
Variable values,,,until version,,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,When this variable value was removed if applicable
