id,pid,acronym,name,type,features,website,lead organisation,additional organisations,description,logo,logo_filename,countries,start year,end year,publications,funding statement,acknowledgements,data sources,databanks,cohorts,models,networks
EOSC4Cancer,,,European Open Science Cloud for Cancer,h2020,,https://eosc4cancer.eu/,BSC,,"EOSC4Cancer will make diverse types of cancer data accessible: genomics, imaging, medical, clinical, environmental and socio-economic. It will use and enhance federated and interoperable systems for securely identifying, sharing, processing and reusing FAIR data across borders and offer them via community-driven analysis environments.
Cancer’s complex nature requires integration of advanced research data across national boundaries to enable progress. The Horizon Europe mission board for cancer has identified access to data, knowledge, and digital services – accessible across the European Research Area through federated infrastructures – as a key enabling condition for success. The better we organise cancer data across Europe, the better and faster we can bring the fruits of new biological and technical innovations to the benefit of EU citizens/patients.
EOSC4Cancer’s well curated data sets will be essential input for reproducible and robust analytics and computational methods – including machine learning and artificial intelligence. EOSC4Cancer’s five use cases will cover the patient journey from cancer prevention over diagnosis to treatment, laying the foundation of data trajectories and workflows for future European Cancer Mission projects.
EOSC4Cancer brings together a consortium of 29 organisations from 13 countries, including cancer research centres, research infrastructures, leading research groups, hospitals, and supercomputing centres. To make the developments sustainable, EOSC4Cancer will leverage the partners’ research infrastructures partners and the EOSC ecosystem. It will also serve the European Cancer Mission, by engaging with large international coalitions (e.g., ICGC-Argo, GA4GH, 1+MG/B1MG, Cancer Core Europe, European Cancer Information System, European Network of Cancer Registries, Innovative Partnership for Action Against Cancer Joint Action) and patients/survivors associations.",9f88c4becc6049168e065cae625cdb3e,,,,,,,,"NKR,EIRENE-NL,EIRENE-CZ,CR_CROB,CRASLNa3Sud,CNCR",,"mCRC-VHIO,CRC-Cohort,BioBank Bonn,mtFIT study,PLCRC,ENIGMA,BBD,BBM,BBR,BIPS Biobank Bremen,P2N-TRIBanK,BMBH,BMBN,BMBUKE,BioMaSOTA,Biobank Graz,MedUni Wien Biobank,CBIB,UBiLim,Biobank Antwerpen,HIRUZ Biobank,BBUZL,BBOR,BBRU,BCHA,BERA,BIPG,CUSL,CGOD,Jessa Biobank,LCHU,Biothèque UCLouvain,MMC biobank,CHUV,UK_HK,UK_LF1,UK_PILS,MMCI,UPOL,ACBB,ASK-Tx,CBBMR,CeBE,CoBi,FREEZE-Biobank,HUB,IBBJ,ICB-L,IPA-Biobank,LMB,NRCHD,PATH,RWTH cBMB,UGMLC GI Biobank,Central Biobank UMG,UTZBD,ZBR,ZeBanC,cBMB-CCCT,iBDF,MTBIO,IGTP-HUGTP Biobanc,IVO,CC BBMRI-ERIC,Hacettepe DNA/Cell Bank for Rare Diseases,BioNER,CBK,DwarnaBio,clINABdb,IBB,CRB-HSM,IGG-GB,daVEB,CRB-OSR,SATURNE,Biobanca Bruno Boerci,BIT-Gaslini,BBI Bari,BBIRE,BB-OPBG,BCU-IB,VSK Biobank,LGDB,LUKPMI,BioBank Maastricht UMC,DC,WUR,CBCH,TEAM Biobank,ERGO Biobank,ORIGO Biobank,BOSOM Biobank,NELSON Biobank,GenoMEL Biobank,MINDACT Biobank,The Nightingale Study Biobank,PRECISION Biobank,AMC Biobank,Colorectal cancer research platform,Hoofd-halskanker Biobank,Hartwig,Biobank1,OUS,Cancer Biobank Sørlandet,GFIB,BLUL,Łukasiewicz PORT-Biobank,Children's Cancer and Leukaemia Group (CCLG) Tissue Bank,PHOTO Translational bladder cancer biorepository,RAPPER,NIMRAD-TRANS,POUT-T,Barts CTU,UK CLL Trials Biobank,REQUITE,UKCTOCS Longitudinal Women's Cohort (UKLWC),Wales Cancer Bank,""Oncology Clinical Trials Office, University of Oxford"",The PEACE Study,Leeds Breast Research Tissue Bank,Cancer Group CTR Cardiff trials,King's Health Partners Cancer Biobank,UK real-world lymphoid tissue bank,LBIH Biobank,Myeloma XII clinical trial samples,Tayside Biorepository,ICON9 Trial,Northern Ireland Biobank (NIB),SCOT translational sample collection,MRC Brain Banks Network,NHS Grampian Biorepository,Ethical Tissue - University of Bradford,Cam-UroOnc Biorepository,University of Southampton Faculty of Medicine Tissue Bank,HPB Biobank,MesobanK,Bloodwise Childhood Leukaemia Cell Bank,CMFT Biobank,Leeds Multidisciplinary Research Tissue Bank,NHS Greater Glasgow & Clyde Bio-Repository,The Christie NHS Foundation Trust,Arden Tissue Bank,UCL / UCLH Biobank for Studying Health and Disease,interNational Anaplastic Thyroid Cancer Tissue Bank (iNATT),Scottish Human Papillomavirus Archive,Leeds NIHR Biomarker Research Tissue Bank,Cambridge Blood and Stem Cell Biobank",CRC Screening CDM,"UNCAN.eu,4.UNCAN.EU,AACR GENIE,can.HEAL,canSERV,CAPABLE,CCI4EU,Chaimeleon,CO-CAPTAIN,CPW,DE-ESCALATE,DIOPTRA,EUCAIM,EUCanImagine,EUonQoL,GDI,GENIAL,GlycoMap,HARMONY Plus,Health Big Data,IDEA4RC,IMMUCAN,IMPORTANT,imSAVAR,Incisive,ITCC-P4,LEGATO,LIVERATION,LUCIA,MammoScreen,MyPath,ONCODIR,ONCOSCREEN,ONCOVALUE,OPTIMA,PANCAID,PCAVISION,PERSIST-SEQ,PIONEER,PragmaTIL,PRECODE,PREVENT,PRIME-ROSE,ProCancer-I,PROSCOPE,PROTECT- trial,REBECCA,Sagittarius,SALVOVAR,SANGUINE,SISAQOL-IMI,STREXIT2,T2EVOLVE,ThermoBreast,CLASSICA,OperA,AIDAVA,BUMPER,TOGAS,PRAISE-U,SOLACE,EUROHELICAN,VH-COMSAVAC,PERCH,PROTECT-EUROPE,ECAC5,CanScreen-ECIS,EU-CanIneq,JANE,INTERACT-EUROPE,BEACON,JA CraNE,i-Violin,NEWROAD,PCM4EU,CHIP-AML22,OACCUs,SmartCARE,EU-CAYAS-NET,eCAN,IMAGIO,AIS-CaP,CGI-Clinics,CCE_DART,EuroClonality-NGS,ERICLL,Guide.MRD,DigiCanTrain,Bigpicture,TAIPO,CANCER-RADIOMICS"
LongITools,,LongITools,LongITools health & environment dynamics,h2020,,https://longitools.org/,,,"LongITools is a European research project studying the interactions between the environment, lifestyle and health in determining the risks of chronic cardiovascular and metabolic diseases.",0e736f4e2d1245cb82316c3e513edebc,,,,,,,,,,"EDEN,NOMA,FinnGeDi,ELFE,ELIPA,RS2,NFBC1966,SYSDIMET,RS1,NORDCAP,CONSTANCES,NFBC1986,RS3,FEF,GenR,DFBC,PANIC,ALSPAC","LongITools_CDM,LifeCycle_CDM",
IPEC,,IPEC,International Psychosis Epidemiology Consortium,harmonization,,https://www.ipec-project.com/,UMCG,"UMCG,GGZ Drenthe,GGZ Friesland,Lentis Research,UCPH","There are many early psychosis cohorts in the world. Epidemiological research with these cohorts over the past decades has greatly increased the understanding of distribution and mechanisms of psychotic disorders. Carrying out cross-country comparisons on a larger scale is extremely costly. An alternative strategy is to pool the existing large amount of data from high-quality early psychosis studies at an individual patient level. This approach has multiple advantages: it allows for examining psychosis determinants with greater precision, also including rare exposures and outcomes, focusing on (long-term) follow-up, and making optimal use of already existing data. To achieve this, the International Psychosis Epidemiology Consortium (IPEC) has catalogued and harmonized data from early psychosis cohorts and set up a virtual databank. With this databank, multiple (epidemiological) studies within the scope of the following research question will be conducted: “What drives the course of functional, existential and clinical outcomes of (early) psychosis and how does the social and geographical context shape these patterns?”.",d761d5673e83437c85d3646d5b2b3e2e,,"Denmark,Netherlands (the)",2023,,,"IPEC was supported by the 2020 SIRS Research Harmonization Group Award which included a grant in the amount of $5000 USD to Prof. Wim Veling and Prof. Craig Morgan; an internal MD-PhD research grant of the University Medical Center Groningen (grant number 18-41) to Vera Brink, MSc; a grant in the amount of 400,000 DKK of the Capital Regions Research council to Dr Nikolai Albert; and the participating institutions (Lentis Psychiatric Institute, GGZ Drenthe, GGZ Friesland, University Center Psychiatry of University Medical Center Groningen, Bispebjerg hospital, Psychiatric Hospital Risskov, and Psychiatric Centre Copenhagen).","IPEC wishes to acknowledge the services of all the study participants, staff, research groups, and institutions collaborating in IPEC, and of MOLGENIS and RoQua, who helped build and maintain the technical infrastructure.",,,"PSYCONN,OPUS",IPEC_CDM,
EHEN,,EHEN,European Human Exposome Network,harmonization,,https://www.humanexposome.eu,,,"The European Human Exposome Network (EHEN) is the world’s largest network of projects studying the impact of environmental exposures across a lifetime - the exposome - on human health. Collectively, the EHEN projects are working in 24 countries across Europe and the USA. There are over 100 data sets being used including cohorts, cross-sectional studies, biobanks, randomised controlled trials (RCTs), case control studies and health or occupational registries.",3622faf7d67747a1a91c33a4f6199d95,,,,,,,,,,"HELIX,DNBC,NFBC1966,RS2,RHEA,SYSDIMET,RS1,BIB,CONSTANCES,NFBC1986,BiSC,NFBC1966 G0,RS3,FEF,DFBC,CELSPAC-TNG,KANC,PANIC,ALSPAC,RCGP RSC,EDEN,NOMA,PCL,FinnGeDi,CEANS",,"EPHOR,EXPANSE,Equal-Life,HEAP,ATHLETE,LongITools"
LifeCycle,,LifeCycle,The LifeCycle Project,,,https://lifecycle-project.eu/,,,"A Europe-wide network of cohort studies started in early life Cohort studies started from pregnancy or childhood give the unique opportunity to relate early-life stressors with variation in development, health and disease throughout the life course. Moreover, advanced analytical approaches used in observational studies can help identify causality and potential for early-life interventions on factors that cannot be easily studied in experimental settings. These factors include socioeconomic circumstances, migration, urban environment as well as lifestyle-related determinants and will be given particular focus in our project. We will set up a European pregnancy and childhood cohort, the EU Child Cohort Network, which brings together extensive existing data from more than 250,000 European children and their parents. These cohorts enable studies in multiple generations because of their detailed phenotyping of both parents and children. The network will bring together existing successful multidisciplinary cohort studies, which all started before or during pregnancy or in childhood. Together, they span the full life course and contain detailed phenotypical information as well as biological samples. The EU Child Cohort Network will optimize exploitation of more than 40 available cohort resources in Europe and will enable innovative research on identification of novel markers of early-life stressors related to health trajectories throughout the full life cycle. Although LifeCycle partners and their cohorts have taken the initiative for this unique collaboration, the network is open to other partners with population-based cohorts started in early life, specifically those from Eastern and Southern Europe. To ensure that this will be a Europe-wide, open and sustainable network, which exceeds the LifeCycle Project duration, we will introduce a data sharing platform taking account of ethical, legal and societal implications, we will organize yearly meetings open to all European pregnancy and child cohort researchers and we will start a fellowship programme for exchange between these European cohorts.",5631862014d145f8b34edde1a37c8a77,,,,,,,,,,"ELFE,CHOP,GenR Next,DNBC,NFBC1966,RHEA,MoBa,RAINE,INMA,BIB,NFBC1986,HBCS,NINFEA,SWS,GECKO,GenR,ALSPAC,EDEN",LifeCycle_CDM,
FORCE-NEN,,,InFrastructure fOr Rare Cancers in the nEtherlands – Neuroendocrine Neoplasms,,,,,,,f42acf5f9bb446e1bb2f3d9daf8b224a,,,,,,,,,,"FORCE-NEN collections,FORCE-NEN Clinical Biobank",,
EUROHELICAN,,EUROHELICAN,Accelerating gastric cancer reduction in Europe through Helicobacter pylori eradication,EU4health - Prevention,,https://nijz.si/projekti/eurohelican/,,,"Gastric cancer poses a major public health challenge worldwide. In Europe, there is a significant geographical variation in Helicobacter pylori (H. pylori) related gastric cancer incidence, with the regions of Central and Eastern Europe having the highest burden. This situation warrants urgent preventative action and EUROHELICAN aims to address that.",,,,2022,2025,,,,,,,,
CCI4EU,,CCI4EU,Comprehensive Cancer Infrastructures 4 EUrope,CSA - Data science,,http://cci4eu.eu/,,,"""Cancer is the second leading cause of death in Europe with an expected increase of about 25% by 2035. A wide and unacceptable variability in terms of access to research, innovation and quality care exists between and within countries. Possible solutions are an increase in knowledge by funding research, and a more equitable transfer of what we already know to everyone. Comprehensive Cancer Centers and Comprehensive Cancer Care Networks may be the core of CCIs that deliver quality care and provide resources to improve and integrate care, research and education. Data already available confirm that the level of """"CCI maturity"""" in Member States is widely different, from some countries lacking CCIs completely. A European initiative, implemented in all Member States, based on a capacity building programme (CBP), will help reduce inequalities, in the context of other actions ongoing, such as CRANE, JANE and UNCAN. CBP is a complex intervention that requires multiple and integrated actions delivered to all the relevant stakeholders. CBP will be designed with an inclusive approach, tailored to the baseline status, capable of creating a change and improvement in research and care, with greater integration between them, supported by an education programme. It will operate at various levels: Individuals, Institutions and Systems. The CSA will implement the following steps: define CCI Maturity Model including quality indicators; profile the CCIs in each MS and a few ACs in terms of CCI presence and levels of maturity; design tailored CBP interventions, giving priority to MSs without any CCI; deliver online training courses open to teams in all MSs and ACs, implement targeted onsite interventions; scale up and sustain development; disseminate, exploit and report results. The CSA will maximize impact by bridging with the work of ongoing EU cancer research projects. National focal points will be key informants in making the links between the CSA, the EC and MSs.""",,,,2023,2026,,,,,,,,
Chaimeleon,,Chaimeleon,Accelerating the lab to market transition of AI tools for cancer management,RIA - Data science,,https://chaimeleon.eu/,,,CHAIMELEON aims to set up a structured repository for health imaging data to be openly reused in AI experimentation for cancer management. An EU-wide repository will be built as a distributed infrastructure in full compliance with legal and ethics regulations in the involved countries.,,,,2020,2024,,,,,,,,
CO-CAPTAIN,,CO-CAPTAIN,Cancer Prevention among Individuals with Mental Ill-Health: Co-Adapting and Implementing Patient Navigation for Primary Cancer Prevention,RIA - Prevention and Early Detection,,,,,"Cancer and mental ill-health constitute leading public health problems in Europe, with more than 80 million people reporting mental health issues in Europe and around 4 million new cases of cancer diagnosed per year. The aim of the Co-CAPTAIN project is to deliver an innovative solution based on the Patient Navigation Model. The Patient Navigation Model is an evidence-based patient-centred intervention which supports patient empowerment through removal of systemic barriers, providing social support and promoting timely access to primary prevention services.",,,,2023,2026,,,,,,,,
CPW,,CPW,Cancer Prevention at Work (CPW): Occupational health surveillance in the implementation of prevention of infection-related cancer.,RIA - Prevention and Early Detection,,,,,"Chronic infections represent a major cause of human cancer: on a global scale, they are responsible for an estimated 13% of human cancers. Helicobacter pylori (Hp), Hepatitis C virus (HCV), and Human Papilloma Virus (HPV) are responsible together for 75% of these cases, or 10% of total cancer burden [De Martel et al.,2020]. Occupation health surveillance is mandatory in all European countries: although the mechanisms of its implementation vary between the countries, these programs are in general aimed at diagnosing and preventing work-related diseases. Prevention of occupational cancers has therefore been a component of occupational health surveillance. In recent years, however, there has been a movement towards including in occupational health surveillance aspects of health promotion which are not occupational in a strict sense. This approach stems from several considerations: (i) the contact between the worker and the health professional in charge of the surveillance can be seen as a privileged opportunity for health promotion in general; (ii) through the worker, the health promotion initiative may reach other groups of the population; (iii) because of the periodic nature of the visits entailed by the occupational health surveillance, it is possible to efficiently implement follow-up mechanisms. The conceptual framework of the proposed research is based on the incorporation into on-going occupational surveillance schemes of primary prevention programs against infection with Hp, HCV and HPV. The overarching objectives of the proposed research are:
- to conduct a series of pilot projects aimed at assessing the effectiveness (including cost-effectiveness) of incorporating primary prevention interventions against Hp, HCV and HPV into existing occupational surveillance systems in high-risk populations, including its impact beyond the workers directly involved in the pilot projects;
- to identify barriers and bottlenecks for the implementation of such interventions.
This action is part of the Cancer Mission cluster of projects on ‘Prevention and early detection'.",,,,2023,2027,,,,,,,,
DE-ESCALATE,,DE-ESCALATE,Inermittent Androgen Deprivation Therapy in the Era of Androgen Receptor Pathway Inhibitors; A Phase 3 Pragmatic Randomised Trial,RIA - Diagnosis and treatment,,,,,"Prostate Cancer is the most common cancer in European men. Despite dramatic improvements in early diagnostic and local treatment, one out of five prostate cancer patients will die from their disease. Despite progress in the past years, it remains critical to improve on the present strategy for advanced and metastatic prostate cancer. Within the proposed project, we will evaluate whether intermittent intensified androgen deprivation treatment (iADT) in metastatic prostate cancer is not inferior to continuous treatment in terms of oncological benefit while minimizing side effects and resource utilization and improving patient quality of life. The proposed clinical trial is designed to detect early if iADT has a negative impact on overall survival compared to continuous therapy. If successful, the outcomes of the project will define a new evidence-based standard of care for metastatic hormone sensitive prostate cancer. The proposed research could lead to improved patient survival and quality of life but also improve health system sustainability. This is a multidisciplinary and multistakeholder consortium involving clinical oncologists, surgeons, health economists and patient representatives. The study design was successfully discussed with patients. This action is part of the Cancer Mission cluster of projects on ‘Diagnosis and treatment’.",,,,2023,2028,,,,,,,,
DIOPTRA,,DIOPTRA,Early Dynamic Screening for Colorectal Cancer via Novel Protein Biomarkers Reflecting Biological Initiation Mechanisms,RIA - Prevention and Early Detection,,https://www.dioptra-project.eu/,,,"The EU-funded DIOPTRA project aims to introduce a front-line screening tool that will consider risk factors and protein biomarkers for pinpointing individuals at a high risk for developing colorectal cancer (CRC). Tissue and blood samples will be examined for a discriminative set of prognostic proteins that are detectable via standard blood work and can indicate a need for further evaluation (i.e. colonoscopy). Other data (e.g. medical, behavioural) will also be considered as potential risk factors. AI will be leveraged for assessing prognostic power, while personalised behavioural changes will be promoted based on modifiable risk factors. Given the low citizen participation in CRC screening across the EU, DIOPTRA seeks to broaden the evaluated population, boosting participation rates and bypassing age screening thresholds.
DIOPTRA inspires to address the aforementioned issues by incorporating new technologies for Colorectal Cancer (CRC) risk assessment, screening and progression, while providing robust evidence-based indications of CUP relationships to CRC. We aim to build a strong evidence base toward a unified holistic protocol for primary CRC screening, applicable both to undiagnosed cancer patients (via scheduled screening recommendations) and CUP patients corresponding to the CRC phenotype. Toward this goal, we will incorporate lifestyle and environmental factors and gauge the predictive power of investigated biomarkers and gene-expression profiling, seeking to unveil molecular mechanisms of CRC development and CUP incidence. In this context, we will also examine the efficacy of network modeling and AI-based DSS for early primary CRC identification, training a set of models on large volumes of primary CRC data including in-situ and metastatic carcinomas, using the latter as a knowledge base for CUP analysis.",,,,2023,2026,,,,,,,,
EUCAIM,,EUCAIM,EUropean Federation for CAncer IMages,RIA - Data science,,https://eucanimage.eu/,,,"aims to foster innovation and deployment of digital technologies in cancer treatment and care to achieve more precise and faster clinical decision making, diagnostics, treatment and predictive medicine for cancer patients.",,,,2023,2026,,,,,,,,
EUCanImagine,,EUCanImagine,A European Cancer Image Platform Linked to Biological and Health Data for Next-Generation Artificial Intelligence and Precision Medicine in Oncology,RIA - Data science,,https://eucanimage.eu/,,,"The goal of EuCanImage is to build a highly secure, federated and large-scale European cancer imaging platform, with capabilities that will greatly enhance the potential of artificial intelligence (AI) in oncology.",,,,2020,2024,,,,,,,,
EUonQoL,,EUonQoL,Quality of Life in Oncology: measuring what matters for cancer patients and survivors in Europe,RIA - Quality of Life,,https://www.euonqol.eu/,,,"Cancer patients experience a variety of symptoms that include physical pain and emotional distress. In this context, the EU-funded EUonQoL project will develop, pilot and validate a unified system for the assessment of quality of life (QoL), the EUonQoL-Kit.",,,,2023,2026,,,,,,,,
GDI,,GDI,European Genomic data infrastructure,Research and development,,https://gdi.onemilliongenomes.eu/,,,The aim of the GDI project is to realise the 1+MG initiative’s ambition of creating a data infrastructure that will enable secure access to genomics and corresponding clinical data across Europe.,,,,2022,2026,,,,,,,,
GENIAL,,GENIAL,Understanding Gene ENvironment Interaction in ALcohol-related hepatocellular carcinoma,RIA - Diagnosis and treatment,,https://www.genial-project.com/en/,,,The EU-funded GENIAL project aims to identify genetic and environmental determinants in ALD-HCC onset. Researchers will investigate the mechanism by which specific genetic and environmental factors may promote liver carcinogenesis and how they increase the risk of individuals.,,,,2023,2027,,,,,,,,
GlycoMap,,GlycoMap,Integrated Glycomics for Cancer Precision Medicine,RIA - Diagnosis and treatment,,,,,"Breast Cancer is the most commonly diagnosed cancer in Europe and remains the first cause of cancer death in women (nearly 92,000 deaths in 2020). Precision medicine uses data-driven insights to reflect the heterogeneity of patients and improve cancer care by offering actionable oncology treatment options. Tumour tissue heterogeneity is the leading cause for inter-patient variation in treatment response. One of the largest sources of tissue heterogeneity arises from post-translational glycosylation of proteins and aberrant glycosylation is a hallmark of breast and other cancers. Yet, substantial gaps remain in our knowledge of cancer glycans. Glycomics (the comprehensive study of the glycome) offers the potential to provide the global glycosylation status (GlycoMap) of a patient and shed new light on tumour heterogeneity to guide precision medicine. This project aims to address the substantial knowledge gap in breast cancer tumour glycosylation data by developing an integrated glycomics workflow to produce patient-specific 'GlycoMaps'. By including glycosaminoglycan (GAG) 'omics from intact GAGs for the first time, combined with other glycan analyses will enable the generation of Breast Cancer GlycoMaps from resistant and drug-sensitive patient-derived organoids (mini avatars of tumour tissue), defining residual tumour tissue following treatment that causes relapse and metastasis. The mission and design of the GlycoMap project is to train the researcher, who has a background in GAGomics, proteoglycan biology and bioinformatics, with expanded skills and expertise in N-/O-glycomics, organoid culture, hi-resolution 3D imaging and advanced bioinformatics in the context of breast cancer, augmenting her future career opportunities, as well as establishing unbiased top-down integrated glycomics to support breast cancer analyses, diagnostics and the development of novel treatments.",,,,2023,2025,,,,,,,,
HARMONY Plus,,HARMONY Plus,Healthcare alliance for resourceful medicines offensive against neoplasms in hematology – PLUS,IMI - Research and Innovation,,https://www.harmony-alliance.eu/harmony-plus/story,,,"The aim of HARMONY PLUS is to build on HARMONY’s work. Firstly, it will add the following blood cancers to the list of diseases under study: chronic myeloid leukemia, polycythaemia vera, essential thrombocythaemia, and myelofibrosis; as well as Hodgkin’s lymphoma, Waldenström macroglobulinemia and other rare blood cancers not covered by HARMONY.",,,,2020,2023,,,,,,,,
Health Big Data,,Health Big Data,Health Big Data,RIA - Data science,,https://www.alleanzacontroilcancro.it/en/progetti/italia/health-big-data/,,,"The project provides for the creation or enhancement of: i) a set of local IT platforms in each participating IRCCS to ensure extraction, integration and interoperability of clinical and scientific data;",,,,2019,2029,,,,,,,,
IDEA4RC,,IDEA4RC,"Intelligent Ecosystem to improve the governance, the sharing and the re-use of health Data for Rare Cancers",RIA - Data science,,https://www.idea4rc.eu/,,,"The main objective of this project is to establish a Data Space for rare cancers (RC) that will make possible the re-use of existing multisource health data (cancer registry data, national registries, data from biobanks etc.) across European healthcare systems leveraging emerging interoperability technologies and AI approaches",,,,2020,2026,,,,,,,,
IMMUCAN,,IMMUCAN,Integrated immunoprofiling of large adaptive cancer patients cohorts,RIA - Diagnosis and treatment,,https://immucan.eu/,,,IMMUCAN aims to study the tumour microenvironment in a bid to gain a deeper understanding of how the immune system and cancer cells interact at the molecular level.,,,,2019,2025,,,,,,,,
IMPORTANT,,IMPORTANT,IMPlementing geriatric assessment for dose Optimization of CDK 4/6-inhibitors in older bReasT cAncer patieNTs,RIA - Diagnosis and treatment,,,,,"Current evidence from both randomized trials and real-world evidence studies suggests that older breast cancer patients derive clinical benefit from the addition of CDK 4/6-inhibitors to endocrine therapy but with higher risk for adverse events and treatment discontinuation compared to younger patients. The IMPORTANT project will design and conduct a pragmatic clinical study with a decentralised approach for older patients with advanced breast cancer aiming at high level of evidence (level I) with multi-layer results that can enable changes in current clinical practice. This study will be conducted across 6 (six) EU countries, and will include more than 500 female and male patients. The project will also perform a series of analyses over a) a wide range of clinical-relevant primary and secondary endpoints targeting to contribute to current clinical practice and b) the implementation of specific strategies aiming at more individualized treatment and follow-up approaches to a clinical trial setting that highly resembles real-world setting due to the trial's pragmatic design.
The project will be developed in 60 months by a competitive consortium of 19 partners from 11 countries, which corresponds to a well-balanced structure, involving clinical sites, SMEs, universities and patient advocacy organizations. Despite the great diversity of entities within the proposal, IMPORTANT partners bring state-of-the-art complementary skills ensuring the ability of the consortium to successfully complete the proposed work.This action is part of the Cancer Mission cluster of projects on ‘Diagnosis and treatment’.",,,,2023,2028,,,,,,,,
imSAVAR,,imSAVAR,Immune safety avatar: nonclinical mimicking of the immune system effects of immunomodulatory therapies,RIA - Diagnosis and treatment,,https://imsavar.eu/,,,The imSAVAR project aims to deliver a range of tools that will enhance our ability to assess the efficacy and safety of these immunomodulatory therapies.,,,,2019,2025,,,,,,,,
Incisive,,Incisive,Improving cancer diagnosis and prediction with artificial intelligence,RIA - Diagnosis and treatment,,https://incisive-project.eu/,,,"The EU-funded INCISIVE project aims to develop a toolbox for enhancing the accuracy, specificity and sensitivity of existing cancer imaging methods.",,,,2020,2024,,,,,,,,
ITCC-P4,,ITCC-P4,ITCC pediatric preclinical POC platform,IMI - Research and Innovation,,https://www.itccp4.eu/,,,"Today, 20% of childhood cancers remain incurable and cancer kills 6 000 young people in Europe every year, making it the leading cause of disease-related death in the under-19s. Moreover, two thirds of those who survive a cancer in childhood experience long-term side effects as a result of their treatment. The challenge for scientists seeking to develop new treatments is the lack of tools to study childhood cancers, which are quite different in nature to most cancers found in adults.
The ITCC-P4 project will develop a large-scale platform comprising 400 novel research tools based on cells and tissues from patients covering 10 common childhood cancers, including neuroblastoma, high grade glioma, and osteosarcoma. The tools will allow researchers to explore the biology of paediatric cancers, identify sub-groups of patients that might respond better to certain treatments, and carry out tests on potential drugs.
Ultimately, the platform should significantly add to our understanding of childhood cancers and speed up the development of new treatments.",,,,2017,2023,,,,,,,,
LEGATO,,LEGATO,Lomustine with or without reirradiation for first progression of glioblastoma: a pragmatic randomized phase III study,RIA - Diagnosis and treatment,,,,,"Recurrent glioblastoma is an invariably fatal refractory cancer with dismal prognosis. Patients suffer from low quality of life and very burdensome symptoms. This project is proposing an investigator-initiated phase III randomised pragmatic clinical trial. We will assess whether the addition of radiation treatment to lomustine chemotherapy has superior efficacy as compared to lomustine chemotherapy alone for treatment of patients with recurrent glioblastoma. The study will apply minimal patient eligibility criteria, and thus be as close as possible to the routine clinical setting. Cost-effectiveness analysis will be performed to investigate the economic value of adding radiation treatment to lomustine chemotherapy in different countries to support evidence-informed policy decisions. If successful, the outcomes of the project will define a new evidence-based standard of care for recurrent glioblastoma. The proposed research could lead to improved patient survival and quality of life but also improving health system sustainability. This is a multidisciplinary and multistakeholder consortium involving clinical oncologists, radiation oncologists, health economists and patient representatives. The study design was successfully discussed with patients. This action is part of the Cancer Mission cluster of projects on ‘Diagnosis and treatment.”",,,,2023,2028,,,,,,,,
LIVERATION,,LIVERATION,Unravelling the impact of Radiofrequency in liver surgery: the key to decrease local recurrence?,RIA - Diagnosis and treatment,,http://liveration.eu/,,,"Colorectal cancer (CRC) ranks fourth in cancer deaths worldwide. Between 20% and 30% of patients with advanced CRC have liver metastases (CRLM). Liver cancer ranks second in cancer deaths worldwide, including hepatocellular carcinoma (HCC). Despite recent advances, liver resection offers the only chance of cure for patients with liver metastases. However, the recurrence rate of these tumours is high even after post-resection. The presence of positive margins in the remaining liver after resection correlates with increased local recurrence and decreased overall survival, the only factor where prognosis could be influenced by the performance of surgery. However, at present, the extent of an R-negative status remains debatable and varies widely from one publication to another. Currently, there are radiofrequency ablation studies that, based on preliminary retrospective human clinical trials, are able to correlate an additional coagulation of tumor margins with a reduction on local recurrence. However, there is no prospective and pragmatic controlled study that accurately measures this additional margin and its impact on oncological outcomes. The aim of LIVERATION is to conduct an ambitious, pragmatic multicenter clinical trial with 720 patients with CRLM and HCC at 24 clinical centres in 6 different countries to determine whether additional ablated margin produced by radiofrequency can decrease the recurrence rate and improve patient survival. We will also evaluate the patient-centredness of the intervention and its comparativeness with other therapeutic alternatives in terms of quality of life and patient experience in real-world settings. To this end, the consortium has been formed by highly experienced, highly qualified and multidisciplinary entities to carry out the project successfully. The results will not only have a major impact on a social and scientific level but also on an economic level for the EU. This action is part of the Cancer Mission cluster of projects on ‘Diagnosis and treatment’.",,,,2023,2028,,,,,,,,
