order,name,code,parent,ontologyTermURI
1231,"C02LA52 (rescinnamine and diuretics, combinations with other drugs)",C02LA52,C02LA (Rauwolfia alkaloids and diuretics in combination),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094755
1232,"C02LA71 (reserpine and diuretics, combinations with psycholeptics)",C02LA71,C02LA (Rauwolfia alkaloids and diuretics in combination),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094756
1233,C02LB (Methyldopa and diuretics in combination),C02LB,C02L (ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094757
1234,C02LB01 (methyldopa (levorotatory) and diuretics),C02LB01,C02LB (Methyldopa and diuretics in combination),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094758
1235,C02LC (Imidazoline receptor agonists in combination with diuretics),C02LC,C02L (ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094759
1236,C02LC01 (clonidine and diuretics),C02LC01,C02LC (Imidazoline receptor agonists in combination with diuretics),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094760
1237,C02LC05 (moxonidine and diuretics),C02LC05,C02LC (Imidazoline receptor agonists in combination with diuretics),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094761
1238,"C02LC51 (clonidine and diuretics, combinations with other drugs)",C02LC51,C02LC (Imidazoline receptor agonists in combination with diuretics),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094762
1239,C02LE (Alpha-adrenoreceptor antagonists and diuretics),C02LE,C02L (ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094763
1240,C02LE01 (prazosin and diuretics),C02LE01,C02LE (Alpha-adrenoreceptor antagonists and diuretics),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094764
1241,C02LF (Guanidine derivatives and diuretics),C02LF,C02L (ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094765
1242,C02LF01 (guanethidine and diuretics),C02LF01,C02LF (Guanidine derivatives and diuretics),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094766
1243,C02LG (Hydrazinophthalazine derivatives and diuretics),C02LG,C02L (ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094767
1244,C02LG01 (dihydralazine and diuretics),C02LG01,C02LG (Hydrazinophthalazine derivatives and diuretics),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094768
1245,C02LG02 (hydralazine and diuretics),C02LG02,C02LG (Hydrazinophthalazine derivatives and diuretics),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094769
1246,C02LG03 (picodralazine and diuretics),C02LG03,C02LG (Hydrazinophthalazine derivatives and diuretics),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094770
1247,"C02LG51 (dihydralazine and diuretics, combinations with other drugs)",C02LG51,C02LG (Hydrazinophthalazine derivatives and diuretics),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094771
1248,"C02LG73 (picodralazine and diuretics, combinations with psycholeptics)",C02LG73,C02LG (Hydrazinophthalazine derivatives and diuretics),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094772
1249,"C02LK (Alkaloids, excl. rauwolfia, in combination with diuretics)",C02LK,C02L (ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094773
1250,C02LK01 (veratrum and diuretics),C02LK01,"C02LK (Alkaloids, excl. rauwolfia, in combination with diuretics)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094774
1251,C02LL (MAO inhibitors and diuretics),C02LL,C02L (ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094775
1252,C02LL01 (pargyline and diuretics),C02LL01,C02LL (MAO inhibitors and diuretics),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094776
1253,C02LN (Serotonin antagonists and diuretics),C02LN,C02L (ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094777
1254,C02LX (Other antihypertensives and diuretics),C02LX,C02L (ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094778
1255,C02LX01 (pinacidil and diuretics),C02LX01,C02LX (Other antihypertensives and diuretics),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094779
1256,C02N (COMBINATIONS OF ANTIHYPERTENSIVES IN ATC-GR. C02),C02N,C02 (ANTIHYPERTENSIVES),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094780
1257,C03 (DIURETICS),C03,C (CARDIOVASCULAR SYSTEM),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094781
1258,"C03A (LOW-CEILING DIURETICS, THIAZIDES)",C03A,C03 (DIURETICS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094782
1259,"C03AA (Thiazides, plain)",C03AA,"C03A (LOW-CEILING DIURETICS, THIAZIDES)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094783
1260,C03AA01 (bendroflumethiazide),C03AA01,"C03AA (Thiazides, plain)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094784
1261,C03AA02 (hydroflumethiazide),C03AA02,"C03AA (Thiazides, plain)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094785
1262,C03AA03 (hydrochlorothiazide),C03AA03,"C03AA (Thiazides, plain)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094786
1263,C03AA04 (chlorothiazide),C03AA04,"C03AA (Thiazides, plain)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094787
1264,C03AA05 (polythiazide),C03AA05,"C03AA (Thiazides, plain)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094788
1265,C03AA06 (trichlormethiazide),C03AA06,"C03AA (Thiazides, plain)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094789
1266,C03AA07 (cyclopenthiazide),C03AA07,"C03AA (Thiazides, plain)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094790
1267,C03AA08 (methyclothiazide),C03AA08,"C03AA (Thiazides, plain)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094791
1268,C03AA09 (cyclothiazide),C03AA09,"C03AA (Thiazides, plain)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094792
1269,C03AA13 (mebutizide),C03AA13,"C03AA (Thiazides, plain)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094793
1270,C03AB (Thiazides and potassium in combination),C03AB,"C03A (LOW-CEILING DIURETICS, THIAZIDES)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094794
1271,C03AB01 (bendroflumethiazide and potassium),C03AB01,C03AB (Thiazides and potassium in combination),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094795
1272,C03AB02 (hydroflumethiazide and potassium),C03AB02,C03AB (Thiazides and potassium in combination),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094796
1273,C03AB03 (hydrochlorothiazide and potassium),C03AB03,C03AB (Thiazides and potassium in combination),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094797
1274,C03AB04 (chlorothiazide and potassium),C03AB04,C03AB (Thiazides and potassium in combination),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094798
1275,C03AB05 (polythiazide and potassium),C03AB05,C03AB (Thiazides and potassium in combination),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094799
1276,C03AB06 (trichlormethiazide and potassium),C03AB06,C03AB (Thiazides and potassium in combination),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094800
1277,C03AB07 (cyclopenthiazide and potassium),C03AB07,C03AB (Thiazides and potassium in combination),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094801
1278,C03AB08 (methyclothiazide and potassium),C03AB08,C03AB (Thiazides and potassium in combination),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094802
1279,C03AB09 (cyclothiazide and potassium),C03AB09,C03AB (Thiazides and potassium in combination),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094803
1280,"C03AH (Thiazides, combinations with psycholeptics and/or analgesics)",C03AH,"C03A (LOW-CEILING DIURETICS, THIAZIDES)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094804
1281,"C03AH01 (chlorothiazide, combinations)",C03AH01,"C03AH (Thiazides, combinations with psycholeptics and/or analgesics)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094805
1282,"C03AH02 (hydroflumethiazide, combinations)",C03AH02,"C03AH (Thiazides, combinations with psycholeptics and/or analgesics)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094806
1283,"C03AX (Thiazides, combinations with other drugs)",C03AX,"C03A (LOW-CEILING DIURETICS, THIAZIDES)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094807
1284,"C03AX01 (hydrochlorothiazide, combinations)",C03AX01,"C03AX (Thiazides, combinations with other drugs)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094808
1285,"C03B (LOW-CEILING DIURETICS, EXCL. THIAZIDES)",C03B,C03 (DIURETICS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094809
1286,"C03BA (Sulfonamides, plain)",C03BA,"C03B (LOW-CEILING DIURETICS, EXCL. THIAZIDES)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094810
1287,C03BA02 (quinethazone),C03BA02,"C03BA (Sulfonamides, plain)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094811
1288,C03BA03 (clopamide),C03BA03,"C03BA (Sulfonamides, plain)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094812
1289,C03BA04 (chlortalidone),C03BA04,"C03BA (Sulfonamides, plain)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094813
1290,C03BA05 (mefruside),C03BA05,"C03BA (Sulfonamides, plain)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094814
1291,C03BA07 (clofenamide),C03BA07,"C03BA (Sulfonamides, plain)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094815
1292,C03BA08 (metolazone),C03BA08,"C03BA (Sulfonamides, plain)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094816
1293,C03BA09 (meticrane),C03BA09,"C03BA (Sulfonamides, plain)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094817
1294,C03BA10 (xipamide),C03BA10,"C03BA (Sulfonamides, plain)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094818
1295,C03BA11 (indapamide),C03BA11,"C03BA (Sulfonamides, plain)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094819
1296,C03BA12 (clorexolone),C03BA12,"C03BA (Sulfonamides, plain)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094820
1297,C03BA13 (fenquizone),C03BA13,"C03BA (Sulfonamides, plain)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094821
1298,"C03BA82 (clorexolone, combinations with psycholeptics)",C03BA82,"C03BA (Sulfonamides, plain)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094822
1299,C03BB (Sulfonamides and potassium in combination),C03BB,"C03B (LOW-CEILING DIURETICS, EXCL. THIAZIDES)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094823
1300,C03BB02 (quinethazone and potassium),C03BB02,C03BB (Sulfonamides and potassium in combination),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094824
1301,C03BB03 (clopamide and potassium),C03BB03,C03BB (Sulfonamides and potassium in combination),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094825
1302,C03BB04 (chlortalidone and potassium),C03BB04,C03BB (Sulfonamides and potassium in combination),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094826
1303,C03BB05 (mefruside and potassium),C03BB05,C03BB (Sulfonamides and potassium in combination),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094827
1304,C03BB07 (clofenamide and potassium),C03BB07,C03BB (Sulfonamides and potassium in combination),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094828
1305,C03BC (Mercurial diuretics),C03BC,"C03B (LOW-CEILING DIURETICS, EXCL. THIAZIDES)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094829
1306,C03BC01 (mersalyl),C03BC01,C03BC (Mercurial diuretics),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094830
1307,C03BD (Xanthine derivatives),C03BD,"C03B (LOW-CEILING DIURETICS, EXCL. THIAZIDES)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094831
1308,C03BD01 (theobromine),C03BD01,C03BD (Xanthine derivatives),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094832
1309,"C03BK (Sulfonamides, combinations with other drugs)",C03BK,"C03B (LOW-CEILING DIURETICS, EXCL. THIAZIDES)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094833
1310,C03BX (Other low-ceiling diuretics),C03BX,"C03B (LOW-CEILING DIURETICS, EXCL. THIAZIDES)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094834
1311,C03BX03 (cicletanine),C03BX03,C03BX (Other low-ceiling diuretics),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094835
1312,C03C (HIGH-CEILING DIURETICS),C03C,C03 (DIURETICS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094836
1313,"C03CA (Sulfonamides, plain)",C03CA,C03C (HIGH-CEILING DIURETICS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094837
1314,C03CA01 (furosemide),C03CA01,"C03CA (Sulfonamides, plain)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094838
1315,C03CA02 (bumetanide),C03CA02,"C03CA (Sulfonamides, plain)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094839
1316,C03CA03 (piretanide),C03CA03,"C03CA (Sulfonamides, plain)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094840
1317,C03CA04 (torasemide),C03CA04,"C03CA (Sulfonamides, plain)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094841
1318,C03CB (Sulfonamides and potassium in combination),C03CB,C03C (HIGH-CEILING DIURETICS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094842
1319,C03CB01 (furosemide and potassium),C03CB01,C03CB (Sulfonamides and potassium in combination),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094843
1320,C03CB02 (bumetanide and potassium),C03CB02,C03CB (Sulfonamides and potassium in combination),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094844
1321,C03CC (Aryloxyacetic acid derivatives),C03CC,C03C (HIGH-CEILING DIURETICS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094845
1322,C03CC01 (etacrynic acid),C03CC01,C03CC (Aryloxyacetic acid derivatives),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094846
1323,C03CC02 (tienilic acid),C03CC02,C03CC (Aryloxyacetic acid derivatives),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094847
1324,C03CD (Pyrazolone derivatives),C03CD,C03C (HIGH-CEILING DIURETICS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094848
1325,C03CD01 (muzolimine),C03CD01,C03CD (Pyrazolone derivatives),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094849
1326,C03CX (Other high-ceiling diuretics),C03CX,C03C (HIGH-CEILING DIURETICS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094850
1327,C03CX01 (etozolin),C03CX01,C03CX (Other high-ceiling diuretics),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094851
1328,C03D (ALDOSTERONE ANTAGONISTS AND OTHER POTASSIUM-SPARING AGENTS),C03D,C03 (DIURETICS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094852
1329,C03DA (Aldosterone antagonists),C03DA,C03D (ALDOSTERONE ANTAGONISTS AND OTHER POTASSIUM-SPARING AGENTS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094853
1330,C03DA01 (spironolactone),C03DA01,C03DA (Aldosterone antagonists),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094854
1331,C03DA02 (potassium canrenoate),C03DA02,C03DA (Aldosterone antagonists),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094855
1332,C03DA03 (canrenone),C03DA03,C03DA (Aldosterone antagonists),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094856
1333,C03DA04 (eplerenone),C03DA04,C03DA (Aldosterone antagonists),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094857
1334,C03DB (Other potassium-sparing agents),C03DB,C03D (ALDOSTERONE ANTAGONISTS AND OTHER POTASSIUM-SPARING AGENTS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094858
1335,C03DB01 (amiloride),C03DB01,C03DB (Other potassium-sparing agents),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094859
1336,C03DB02 (triamterene),C03DB02,C03DB (Other potassium-sparing agents),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094860
1337,C03E (DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION),C03E,C03 (DIURETICS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094861
1338,C03EA (Low-ceiling diuretics and potassium-sparing agents),C03EA,C03E (DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094862
1339,C03EA01 (hydrochlorothiazide and potassium-sparing agents),C03EA01,C03EA (Low-ceiling diuretics and potassium-sparing agents),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094863
1340,C03EA02 (trichlormethiazide and potassium-sparing agents),C03EA02,C03EA (Low-ceiling diuretics and potassium-sparing agents),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094864
1341,C03EA03 (epitizide and potassium-sparing agents),C03EA03,C03EA (Low-ceiling diuretics and potassium-sparing agents),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094865
1342,C03EA04 (altizide and potassium-sparing agents),C03EA04,C03EA (Low-ceiling diuretics and potassium-sparing agents),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094866
1343,C03EA05 (mebutizide and potassium-sparing agents),C03EA05,C03EA (Low-ceiling diuretics and potassium-sparing agents),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094867
1344,C03EA06 (chlortalidone and potassium-sparing agents),C03EA06,C03EA (Low-ceiling diuretics and potassium-sparing agents),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094868
1345,C03EA07 (cyclopenthiazide and potassium-sparing agents),C03EA07,C03EA (Low-ceiling diuretics and potassium-sparing agents),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094869
1346,C03EA12 (metolazone and potassium-sparing agents),C03EA12,C03EA (Low-ceiling diuretics and potassium-sparing agents),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094870
1347,C03EA13 (bendroflumethiazide and potassium-sparing agents),C03EA13,C03EA (Low-ceiling diuretics and potassium-sparing agents),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094871
1348,C03EA14 (butizide and potassium-sparing agents),C03EA14,C03EA (Low-ceiling diuretics and potassium-sparing agents),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094872
1349,C03EB (High-ceiling diuretics and potassium-sparing agents),C03EB,C03E (DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094873
1350,C03EB01 (furosemide and potassium-sparing agents),C03EB01,C03EB (High-ceiling diuretics and potassium-sparing agents),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094874
1351,C03EB02 (bumetanide and potassium-sparing agents),C03EB02,C03EB (High-ceiling diuretics and potassium-sparing agents),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094875
1352,C03X (OTHER DIURETICS),C03X,C03 (DIURETICS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094876
1353,C03XA (Vasopressin antagonists),C03XA,C03X (OTHER DIURETICS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094877
1354,C03XA01 (tolvaptan),C03XA01,C03XA (Vasopressin antagonists),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094878
1355,C03XA02 (conivaptan),C03XA02,C03XA (Vasopressin antagonists),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094879
1356,C04 (PERIPHERAL VASODILATORS),C04,C (CARDIOVASCULAR SYSTEM),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094880
1357,C04A (PERIPHERAL VASODILATORS),C04A,C04 (PERIPHERAL VASODILATORS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094881
1358,C04AA (2-amino-1-phenylethanol derivatives),C04AA,C04A (PERIPHERAL VASODILATORS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094882
1359,C04AA01 (isoxsuprine),C04AA01,C04AA (2-amino-1-phenylethanol derivatives),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094883
1360,C04AA02 (buphenine),C04AA02,C04AA (2-amino-1-phenylethanol derivatives),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094884
1361,C04AA31 (bamethan),C04AA31,C04AA (2-amino-1-phenylethanol derivatives),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094885
1362,C04AB (Imidazoline derivatives),C04AB,C04A (PERIPHERAL VASODILATORS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094886
1363,C04AB01 (phentolamine),C04AB01,C04AB (Imidazoline derivatives),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094887
1364,C04AB02 (tolazoline),C04AB02,C04AB (Imidazoline derivatives),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094888
1365,C04AC (Nicotinic acid and derivatives),C04AC,C04A (PERIPHERAL VASODILATORS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094889
1366,C04AC01 (nicotinic acid),C04AC01,C04AC (Nicotinic acid and derivatives),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094890
1367,C04AC02 (nicotinyl alcohol (pyridylcarbinol)),C04AC02,C04AC (Nicotinic acid and derivatives),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094891
1368,C04AC03 (inositol nicotinate),C04AC03,C04AC (Nicotinic acid and derivatives),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094892
1369,C04AC07 (ciclonicate),C04AC07,C04AC (Nicotinic acid and derivatives),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094893
1370,C04AD (Purine derivatives),C04AD,C04A (PERIPHERAL VASODILATORS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094894
1371,C04AD01 (pentifylline),C04AD01,C04AD (Purine derivatives),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094895
1372,C04AD02 (xantinol nicotinate),C04AD02,C04AD (Purine derivatives),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094896
1373,C04AD03 (pentoxifylline),C04AD03,C04AD (Purine derivatives),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094897
1374,C04AD04 (etofylline nicotinate),C04AD04,C04AD (Purine derivatives),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094898
1375,C04AE (Ergot alkaloids),C04AE,C04A (PERIPHERAL VASODILATORS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094899
1376,C04AE01 (ergoloid mesylates),C04AE01,C04AE (Ergot alkaloids),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094900
1377,C04AE02 (nicergoline),C04AE02,C04AE (Ergot alkaloids),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094901
1378,C04AE04 (dihydroergocristine),C04AE04,C04AE (Ergot alkaloids),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094902
1379,"C04AE51 (ergoloid mesylates, combinations)",C04AE51,C04AE (Ergot alkaloids),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094903
1380,"C04AE54 (dihydroergocristine, combinations)",C04AE54,C04AE (Ergot alkaloids),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094904
1381,C04AF (Enzymes),C04AF,C04A (PERIPHERAL VASODILATORS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094905
1382,C04AF01 (kallidinogenase),C04AF01,C04AF (Enzymes),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094906
1383,C04AX (Other peripheral vasodilators),C04AX,C04A (PERIPHERAL VASODILATORS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094907
1384,C04AX01 (cyclandelate),C04AX01,C04AX (Other peripheral vasodilators),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094908
1385,C04AX02 (phenoxybenzamine),C04AX02,C04AX (Other peripheral vasodilators),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094909
1386,C04AX07 (vincamine),C04AX07,C04AX (Other peripheral vasodilators),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094910
1387,C04AX10 (moxisylyte),C04AX10,C04AX (Other peripheral vasodilators),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094911
1388,C04AX11 (bencyclane),C04AX11,C04AX (Other peripheral vasodilators),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094912
1389,C04AX17 (vinburnine),C04AX17,C04AX (Other peripheral vasodilators),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094913
1390,C04AX19 (suloctidil),C04AX19,C04AX (Other peripheral vasodilators),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094914
1391,C04AX20 (buflomedil),C04AX20,C04AX (Other peripheral vasodilators),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094915
1392,C04AX21 (naftidrofuryl),C04AX21,C04AX (Other peripheral vasodilators),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094916
1393,C04AX23 (butalamine),C04AX23,C04AX (Other peripheral vasodilators),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094917
