name,parent,ontologyTermURI,definition
visualization of contiguous regions,visualization method,http://purl.obolibrary.org/obo/FBbi_00000396,methods of visualization that differentiate between different regions or surfaces of the specimen based on contiguity
esterase,enzyme label,http://purl.obolibrary.org/obo/FBbi_00000176,
coherent illumination,illumination method,http://purl.obolibrary.org/obo/FBbi_00000279,
aurothioglucose,negative staining,http://purl.obolibrary.org/obo/FBbi_00000576,
camera lucida assisted graphic,graphic illustration,http://purl.obolibrary.org/obo/FBbi_00000228,
multiple point scanning,narrowfield illumination,http://purl.obolibrary.org/obo/FBbi_00000287,illumination by multiple points of light simultaneously
Dronpa-3,photoswitchable fluorescent protein,http://purl.obolibrary.org/obo/FBbi_00000559,
antibody,macromolecular probe,http://purl.obolibrary.org/obo/FBbi_00000401,
tdRFP611,Red fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000530,
AmCyanFP,Cyan fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000487,
multi-photon microscopy,fluorescence microscopy,http://purl.obolibrary.org/obo/FBbi_00000255,
OCT,light microscopy,http://purl.obolibrary.org/obo/FBbi_00000371,optical coherence tomography; an interferometric method of imaging using back-scattered photons (elastic scattering)
biotin,fluorescent label,http://purl.obolibrary.org/obo/FBbi_00000458,
fuchsin,optically-dense stain,http://purl.obolibrary.org/obo/FBbi_00000039,
Fast-FT,fluorescent protein timer,http://purl.obolibrary.org/obo/FBbi_00000541,
PAINT (point accumulation for imaging in nanoscale topography),point-localization method,http://purl.obolibrary.org/obo/FBbi_00000339,
EBFP,Blue fluorescent protein from Aequorea victoria,http://purl.obolibrary.org/obo/FBbi_00000080,
X-ray tomography,X-ray radiography,http://purl.obolibrary.org/obo/FBbi_00001003,Tomography using X-ray illumination.
elevation,imaged parameter,http://purl.obolibrary.org/obo/FBbi_00000320,
PALM (photoactivation localization microscopy),point-localization method,http://purl.obolibrary.org/obo/FBbi_00000335,
lyophilized specimen,cryofixed tissue,http://purl.obolibrary.org/obo/FBbi_00000583,specimen from which water has been removed by evaporation under vacuum at a temperature below freezing.
phalloidin,affinity for specific proteins,http://purl.obolibrary.org/obo/FBbi_00000100,
graphic illustration,portrayed image,http://purl.obolibrary.org/obo/FBbi_00000223,
point-localization method,resolution-enhancing method,http://purl.obolibrary.org/obo/FBbi_00000333,
formaldehyde fixed tissue,crosslinking-fixative fixed tissue,http://purl.obolibrary.org/obo/FBbi_00000010,
Green fluorescent proteins from Anthozoa,fluorescent protein derived from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000481,
computed tomography,tomography,http://purl.obolibrary.org/obo/FBbi_00001005,Tomography in which virtual sections are taken from multiple angles and the results are processed via tomographic reconstruction software to produce 2 or 3D images.
fluorescent dextran fill,intracellular filling,http://purl.obolibrary.org/obo/FBbi_00000404,
YO-PRO-1,membrane impermeant probe,http://purl.obolibrary.org/obo/FBbi_00000068,
line art graphic,graphic illustration,http://purl.obolibrary.org/obo/FBbi_00000230,
phototropin 2,fluorescent protein derived from Arabidopsis,http://purl.obolibrary.org/obo/FBbi_00000614,
oil painted graphic,painted graphic,http://purl.obolibrary.org/obo/FBbi_00000237,
silver-intensified cobalt fill,cobalt fill,http://purl.obolibrary.org/obo/FBbi_00000121,
scanning tunneling microscopy,scanning probe microscopy,http://purl.obolibrary.org/obo/FBbi_00000347,
atomic force microscopy,scanning probe microscopy,http://purl.obolibrary.org/obo/FBbi_00000259,the scanning probe is maintained at a fixed distance above the surface e of the specimen by van der Waals forces
tetrodotoxin,affinity for specific proteins,http://purl.obolibrary.org/obo/FBbi_00000466,
rhodamine 123,probe for mitochondria,http://purl.obolibrary.org/obo/FBbi_00000062,
Hoechst 33258,membrane-permeant probe,http://purl.obolibrary.org/obo/FBbi_00000417,
mKikGR,photoconvertible fluorescent protein,http://purl.obolibrary.org/obo/FBbi_00000553,
T-SapphireFP,Green fluorescent protein from Aequorea,http://purl.obolibrary.org/obo/FBbi_00000473,
FLIP,fluorescence microscopy,http://purl.obolibrary.org/obo/FBbi_00000365,Fluorescence loss in photobleaching; a method of determining whether two populations of fluorophore are in diffusive communication with one another by observing the decrease in brightness of one population when the other population is subjected to continuous photobleaching.
uncaging illumination,specimen_modifying_illumination,http://purl.obolibrary.org/obo/FBbi_00000388,
form birefringence,source of contrast,http://purl.obolibrary.org/obo/FBbi_00000593,
cryostat-sectioned tissue,sectioned tissue,http://purl.obolibrary.org/obo/FBbi_00000027,
methylene blue,optically-dense stain,http://purl.obolibrary.org/obo/FBbi_00000058,
compartmentalization of stain or label,source of contrast,http://purl.obolibrary.org/obo/FBbi_00000604,
Phamret,photoactivatable fluorescent protein,http://purl.obolibrary.org/obo/FBbi_00000548,
osmium tetroxide fixed tissue,crosslinking-fixative fixed tissue,http://purl.obolibrary.org/obo/FBbi_00000012,
Arachis hypogaea (PNA),lectin,http://purl.obolibrary.org/obo/FBbi_00000428,
differences in deposition of metal shadow,source of contrast,http://purl.obolibrary.org/obo/FBbi_00000601,
array scanning,multiple point scanning,http://purl.obolibrary.org/obo/FBbi_00000289,Multiple points of illumination generated by a fixed array of sources.
fluor conjugated actin fill,fluor labeled protein fill,http://purl.obolibrary.org/obo/FBbi_00000095,
probes for nucleic acid,small-molecule probe,http://purl.obolibrary.org/obo/FBbi_00000406,
radiography,recorded image,http://purl.obolibrary.org/obo/FBbi_00001000,"An imaging technique that uses high energy electromagnetic radiation, typically X-rays, as a source of illumination."
grey scale graphic,computer graphic,http://purl.obolibrary.org/obo/FBbi_00000227,
mTagBFP,Blue fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000486,
stiffness,imaged parameter,http://purl.obolibrary.org/obo/FBbi_00000314,
evanescent wave microscopy,fluorescence microscopy,http://purl.obolibrary.org/obo/FBbi_00000617,
SYTO Red,membrane-permeant probe,http://purl.obolibrary.org/obo/FBbi_00000067,
photoconvertible fluorescent protein,optical highlighter,http://purl.obolibrary.org/obo/FBbi_00000537,
phase contrast microscopy,light microscopy,http://purl.obolibrary.org/obo/FBbi_00000247,
photoactivatable fluorescent protein,optical highlighter,http://purl.obolibrary.org/obo/FBbi_00000536,
nearfield scanning optical microscopy (ANSOM),scanning probe microscopy,http://purl.obolibrary.org/obo/FBbi_00000348,
Dendra2FP,photoconvertible fluorescent protein,http://purl.obolibrary.org/obo/FBbi_00000549,
affinity for specific proteins,probe for protein,http://purl.obolibrary.org/obo/FBbi_00000459,
Orange fluorescent proteins from Anthozoa,fluorescent protein derived from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000482,
tdTomatoFP,Orange fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000518,
mRubyFP,Red fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000528,
visualization method,,http://purl.obolibrary.org/obo/FBbi_00000031,
Yellow fluorescent proteins from Anthozoa,fluorescent protein derived from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000485,
optical method,contrast-enhancing method,http://purl.obolibrary.org/obo/FBbi_00000322,
Nile blue A,optically-dense stain,http://purl.obolibrary.org/obo/FBbi_00000059,
detection of current induced in the specimen,detection method,http://purl.obolibrary.org/obo/FBbi_00000377,
CMX rosamine (Mitotracker Red),probe for mitochondria,http://purl.obolibrary.org/obo/FBbi_00000054,
computer graphic,graphic illustration,http://purl.obolibrary.org/obo/FBbi_00000224,
X-ray illumination,x-ray/gamma ray illumination,http://purl.obolibrary.org/obo/FBbi_00000342,
secondary_electron imaging,scanning electron microscopy (SEM),http://purl.obolibrary.org/obo/FBbi_00000372,image created using the electrons generated by ionization of a sample due to inelastic scattering of the primary beam of radiation
black and white graphic,computer graphic,http://purl.obolibrary.org/obo/FBbi_00000225,
dispersed cells in vitro,sample preparation method,http://purl.obolibrary.org/obo/FBbi_00000611,
Red fluorescent proteins from Anthozoa,fluorescent protein derived from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000483,
molybdenum compound,negative staining,http://purl.obolibrary.org/obo/FBbi_00000574,
solvent permeabilized,permeabilized tissue,http://purl.obolibrary.org/obo/FBbi_00000263,permeabilization due to extraction of lipid from membranes by an organic solvent such as acetone or methanol.
DiIC16,probe for lipid,http://purl.obolibrary.org/obo/FBbi_00000438,
PA-mRFP,photoactivatable fluorescent protein,http://purl.obolibrary.org/obo/FBbi_00000547,
"DiOC6 (3,3'-dihexyloxacarbocyanine iodide)",probe for lipid,http://purl.obolibrary.org/obo/FBbi_00000055,
SYFP,Yellow fluorescent protein from Aequorea,http://purl.obolibrary.org/obo/FBbi_00000475,
photodiode,spot detector,http://purl.obolibrary.org/obo/FBbi_00000296,
botulinum toxin,non-immunological protein probe,http://purl.obolibrary.org/obo/FBbi_00000465,
incoherent illumination,illumination method,http://purl.obolibrary.org/obo/FBbi_00000280,
diagram,portrayed image,http://purl.obolibrary.org/obo/FBbi_00000033,
non-immunological protein probe,macromolecular probe,http://purl.obolibrary.org/obo/FBbi_00000463,
DsRed-ES FP,fluorescent protein timer,http://purl.obolibrary.org/obo/FBbi_00000540,
probe for Golgi,organelle-specific probe,http://purl.obolibrary.org/obo/FBbi_00000413,
electron dense label,vizualization of label conjugated to probe,http://purl.obolibrary.org/obo/FBbi_00000457,
methyl violet,optically-dense stain,http://purl.obolibrary.org/obo/FBbi_00000043,
FRAP,fluorescence microscopy,http://purl.obolibrary.org/obo/FBbi_00000366,"Fluorescence loss in photobleaching; a method of determining the rate and extent of exchange between a localized population of fluorophore and a non-localized diffusible pool, by observing the rate of recovery of brightness of the localized population after photobleaching."
FLAG peptide tag,small genetically encoded tag,http://purl.obolibrary.org/obo/FBbi_00000087,
miscellaneous fill,intracellular filling,http://purl.obolibrary.org/obo/FBbi_00000118,
blind deconvolution,3D-deconvolution,http://purl.obolibrary.org/obo/FBbi_00000362,
intrinsic mass distribution,source of contrast,http://purl.obolibrary.org/obo/FBbi_00000607,
turboRFP,Orange fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000519,
X-rhodamine RNA fill,fluor labeled RNA fill,http://purl.obolibrary.org/obo/FBbi_00000092,
propidium iodide,membrane impermeant probe,http://purl.obolibrary.org/obo/FBbi_00000047,
X-ray computed tomography,X-ray tomography,http://purl.obolibrary.org/obo/FBbi_00001002,
Cyan fluorescent protein from Aequorea,fluorescent protein derived from Aequorea victoria,http://purl.obolibrary.org/obo/FBbi_00000436,
single sideband edge enhancement (SSBE),modified objective lens,http://purl.obolibrary.org/obo/FBbi_00000328,
specimen_modifying_illumination,illumination method,http://purl.obolibrary.org/obo/FBbi_00000383,Illumination used for the purpose of inducing some observable change in the specimen during the course of an imaging session. This illumination may or may not be the same as the illumination used for imaging. Typically used in conjunction with live-cell imaging
contrast-enhancing method,,http://purl.obolibrary.org/obo/FBbi_00000271,
glycerol permeabilized,permeabilized tissue,http://purl.obolibrary.org/obo/FBbi_00000129,tissue made permeable by the action of glycerol
farfield illumination,illumination method,http://purl.obolibrary.org/obo/FBbi_00000282,
CitrineFP,Yellow fluorescent protein from Aequorea,http://purl.obolibrary.org/obo/FBbi_00000474,
yPet,Yellow fluorescent protein from Aequorea,http://purl.obolibrary.org/obo/FBbi_00000478,
vidicon tube camera,area detector,http://purl.obolibrary.org/obo/FBbi_00000613,
glucose oxidase,enzyme label,http://purl.obolibrary.org/obo/FBbi_00000178,
Alexa Fluor 610,fluorescent label,http://purl.obolibrary.org/obo/FBbi_00000445,
Alexa Fluor 488,fluorescent label,http://purl.obolibrary.org/obo/FBbi_00000440,
mRFP1,Red fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000527,
FLIM,fluorescence microscopy,http://purl.obolibrary.org/obo/FBbi_00000368,
genetically encoded enzyme,genetically encoded tag,http://purl.obolibrary.org/obo/FBbi_00000076,
elastic scattering,imaged parameter,http://purl.obolibrary.org/obo/FBbi_00000310,
EGFP,Green fluorescent protein from Aequorea,http://purl.obolibrary.org/obo/FBbi_00000082,
polarization contrast,optical method,http://purl.obolibrary.org/obo/FBbi_00000331,
Fluorescein (FITC),fluorescent label,http://purl.obolibrary.org/obo/FBbi_00000451,
evanescent wave scattering,dark-field microscopy,http://purl.obolibrary.org/obo/FBbi_00000616,
intensified SIT (ISIT),area detector,http://purl.obolibrary.org/obo/FBbi_00000299,
saturated structured-illumination microscopy (SSIM),structured illumination microscopy (SIM),http://purl.obolibrary.org/obo/FBbi_00000340,"structured illumination used at sufficiently high power to cause significant ground-state depletion of the imaged fluorophore, thus allowing for non-linear resolution enhancement"
[33]P,metabolically incorporated radioisotope,http://purl.obolibrary.org/obo/FBbi_00000125,
Wiener filter,linear method,http://purl.obolibrary.org/obo/FBbi_00000356,
fluorescent protein timer,optical highlighter,http://purl.obolibrary.org/obo/FBbi_00000535,
JRedFP,Red fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000523,
watercolor painted graphic,painted graphic,http://purl.obolibrary.org/obo/FBbi_00000239,
alkaline phosphatase,enzyme label,http://purl.obolibrary.org/obo/FBbi_00000132,
"4',6-diamidino-2-phenylindole (DAPI)",membrane impermeant probe,http://purl.obolibrary.org/obo/FBbi_00000056,
inelastic scattering,imaged parameter,http://purl.obolibrary.org/obo/FBbi_00000309,
fluorescent protein derived from Anthozoa,fluorescent protein tag,http://purl.obolibrary.org/obo/FBbi_00000433,
fluor labeled RNA fill,intracellular filling,http://purl.obolibrary.org/obo/FBbi_00000090,
EDAX imaging,electron microscopy,http://purl.obolibrary.org/obo/FBbi_00000382,
elastic scattering of electrons,elastic scattering,http://purl.obolibrary.org/obo/FBbi_00000586,
emission-depletion illumination,specimen_modifying_illumination,http://purl.obolibrary.org/obo/FBbi_00000390,
Slow-FT,fluorescent protein timer,http://purl.obolibrary.org/obo/FBbi_00000543,
unembedded tissue,sample preparation method,http://purl.obolibrary.org/obo/FBbi_00000023,
[14]C,metabolically incorporated radioisotope,http://purl.obolibrary.org/obo/FBbi_00000123,
c-MYC peptide tag,small genetically encoded tag,http://purl.obolibrary.org/obo/FBbi_00000086,
sample preparation method,,http://purl.obolibrary.org/obo/FBbi_00000001,
peptide-nucleic acid probe,sequence-specific nucleic acid probe,http://purl.obolibrary.org/obo/FBbi_00000432,
Yellow fluorescent protein from Aequorea,fluorescent protein derived from Aequorea victoria,http://purl.obolibrary.org/obo/FBbi_00000439,
material entity,independent continuant,http://purl.obolibrary.org/obo/BFO_0000040,An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.
distribution of a specific nucleic acid sequence,source of contrast,http://purl.obolibrary.org/obo/FBbi_00000596,
mEOS2FP,photoconvertible fluorescent protein,http://purl.obolibrary.org/obo/FBbi_00000552,
tomography,recorded image,http://purl.obolibrary.org/obo/FBbi_00001004,An imaging technique that creates virtual sections through the use of any kind of penetrating wave.
computational method,contrast-enhancing method,http://purl.obolibrary.org/obo/FBbi_00000323,
beta-galactosidase,genetically encoded enzyme,http://purl.obolibrary.org/obo/FBbi_00000077,
vizualization of label conjugated to probe,visualization method,http://purl.obolibrary.org/obo/FBbi_00000128,
continuant,,http://purl.obolibrary.org/obo/BFO_0000002,"An entity that exists in full at any time in which it exists at all, persists through time while maintaining its identity and has no temporal parts."
mPlumFP,Far-red fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000496,
freeze_fracture/freeze_etch,cryofixed tissue,http://purl.obolibrary.org/obo/FBbi_00000419,
animation,computer graphic,http://purl.obolibrary.org/obo/FBbi_00000267,A form of graphical illustration that changes with time to give a sense of motion or represent dynamic changes in the portrayal.
uranium compound,negative staining,http://purl.obolibrary.org/obo/FBbi_00000573,
Cascade blue,fluorescent label,http://purl.obolibrary.org/obo/FBbi_00000192,
TagYFP,Yellow fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000532,
slit-scanning illumination,narrowfield illumination,http://purl.obolibrary.org/obo/FBbi_00000391,illumination in the shape of a thin line that is swept over the field of view
Medium-FT,fluorescent protein timer,http://purl.obolibrary.org/obo/FBbi_00000542,
acid phosphatase,enzyme label,http://purl.obolibrary.org/obo/FBbi_00000158,
imaging method,,http://purl.obolibrary.org/obo/FBbi_00000222,
mRasberryFP,Red fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000526,
non-linear method,computational method,http://purl.obolibrary.org/obo/FBbi_00000355,"computational method that are mathematically non-linear; image intensity is not conserved, and the data are in general not suitable for quantitative analyses of pixel values"
Alexa Fluor 633,fluorescent label,http://purl.obolibrary.org/obo/FBbi_00000446,
Hoffman modulation,modified objective lens,http://purl.obolibrary.org/obo/FBbi_00000327,
DsRed,Orange fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000085,
detection of photons,detection method,http://purl.obolibrary.org/obo/FBbi_00000374,
scanning-transmission electron microscopy,electron microscopy,http://purl.obolibrary.org/obo/FBbi_00000380,
acrolein fixed tissue,coagulating-fixative fixed tissue,http://purl.obolibrary.org/obo/FBbi_00000005,
differences in orientation of fluorophore,source of contrast,http://purl.obolibrary.org/obo/FBbi_00000606,
electron multiplying CCD (EMCCD),area detector,http://purl.obolibrary.org/obo/FBbi_00000301,
bright-field microscopy,light microscopy,http://purl.obolibrary.org/obo/FBbi_00000243,
silicon intensified target tube (SIT),area detector,http://purl.obolibrary.org/obo/FBbi_00000298,
Cy3,fluorescent label,http://purl.obolibrary.org/obo/FBbi_00000449,
probe for lipid,small-molecule probe,http://purl.obolibrary.org/obo/FBbi_00000112,
SuperfolderFP,Green fluorescent protein from Aequorea,http://purl.obolibrary.org/obo/FBbi_00000472,
tissue in paraffin embedment,tissue in wax embedment,http://purl.obolibrary.org/obo/FBbi_00000020,
maximum likelihood deconvolution,3D-deconvolution,http://purl.obolibrary.org/obo/FBbi_00000361,
avalanche photodiode (APD),spot detector,http://purl.obolibrary.org/obo/FBbi_00000297,
VenusFP,Yellow fluorescent protein from Aequorea,http://purl.obolibrary.org/obo/FBbi_00000477,
photoconvertible/photoswitchable fluorescent protein,optical highlighter,http://purl.obolibrary.org/obo/FBbi_00000538,
charge coupled device (CCD),area detector,http://purl.obolibrary.org/obo/FBbi_00000294,
tungsten compound,negative staining,http://purl.obolibrary.org/obo/FBbi_00000575,
illumination by electrons,illumination method,http://purl.obolibrary.org/obo/FBbi_00000273,
3D-deconvolution,linear method,http://purl.obolibrary.org/obo/FBbi_00000357,
Kusabira OrangeFP,Orange fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000512,
detergent permeabilized,permeabilized tissue,http://purl.obolibrary.org/obo/FBbi_00000262,Membrane permeabilization by the action of ionic or non-ionic detergents
transmission electron microscopy (TEM),electron microscopy,http://purl.obolibrary.org/obo/FBbi_00000258,
fluorescence polarization (polarization angle resolved fluorescence emission),fluorescence emission,http://purl.obolibrary.org/obo/FBbi_00000318,
soybean agglutinin,lectin,http://purl.obolibrary.org/obo/FBbi_00000430,
TopazFP,Yellow fluorescent protein from Aequorea,http://purl.obolibrary.org/obo/FBbi_00000476,
aminomethylcoumarin,fluorescent label,http://purl.obolibrary.org/obo/FBbi_00000191,
potassium permanganate,electron-dense stain,http://purl.obolibrary.org/obo/FBbi_00000572,
Dronpa,photoswitchable fluorescent protein,http://purl.obolibrary.org/obo/FBbi_00000558,
scanning electron microscopy (SEM),electron microscopy,http://purl.obolibrary.org/obo/FBbi_00000257,image is formed by scanning the surface of the specimen with a beam of electrons in a raster pattern
oblique illumination,illumination method,http://purl.obolibrary.org/obo/FBbi_00000285,
other negative stain,negative staining,http://purl.obolibrary.org/obo/FBbi_00000577,
DiO,probe for lipid,http://purl.obolibrary.org/obo/FBbi_00000116,
Green fluorescent protein from Aequorea,fluorescent protein derived from Aequorea victoria,http://purl.obolibrary.org/obo/FBbi_00000437,
FIONA (fluorescence imaging with one nanometer accuracy),point-localization method,http://purl.obolibrary.org/obo/FBbi_00000337,
dTomatoFP,Orange fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000511,
alpha-bungarotoxin,non-immunological protein probe,http://purl.obolibrary.org/obo/FBbi_00000464,
crosslinking-fixative fixed tissue,chemically fixed tissue,http://purl.obolibrary.org/obo/FBbi_00000008,
back-scattered_electron imaging,scanning electron microscopy (SEM),http://purl.obolibrary.org/obo/FBbi_00000373,"imaged formed using electrons undergoing elastic scattering at very high angles, with emission of characteristic X-rays"
TagRFP,Orange fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000516,
wtKIikGR,photoconvertible fluorescent protein,http://purl.obolibrary.org/obo/FBbi_00000555,
two-photon laser scanning microscopy,multi-photon microscopy,http://purl.obolibrary.org/obo/FBbi_00000254,
color graphic,computer graphic,http://purl.obolibrary.org/obo/FBbi_00000226,
rsCherryFP,photoswitchable fluorescent protein,http://purl.obolibrary.org/obo/FBbi_00000564,
cresyl fast violet,optically-dense stain,http://purl.obolibrary.org/obo/FBbi_00000035,
TagRFP-T,Orange fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000517,
retardance,imaged parameter,http://purl.obolibrary.org/obo/FBbi_00000313,
EYFP,Yellow fluorescent protein from Aequorea,http://purl.obolibrary.org/obo/FBbi_00000084,
film,area detector,http://purl.obolibrary.org/obo/FBbi_00000303,
interference reflection contrast (IRM),optical method,http://purl.obolibrary.org/obo/FBbi_00000329,
photo-ablation illumination,specimen_modifying_illumination,http://purl.obolibrary.org/obo/FBbi_00000385,
x-ray/gamma ray illumination,illumination by photons,http://purl.obolibrary.org/obo/FBbi_00001006,
optical path length gradient,imaged parameter,http://purl.obolibrary.org/obo/FBbi_00000312,
X-ray fluorescence,fluorescence emission,http://purl.obolibrary.org/obo/FBbi_00000608,
electron density,imaged parameter,http://purl.obolibrary.org/obo/FBbi_00000315,
portrayed image,imaging method,http://purl.obolibrary.org/obo/FBbi_00000266,"methods and devices used for creating images by some form of artwork, as distinct from capturing images by means of some recording device"
[3]H,metabolically incorporated radioisotope,http://purl.obolibrary.org/obo/FBbi_00000127,
saponin permeabilized,permeabilized tissue,http://purl.obolibrary.org/obo/FBbi_00000264,"Saponin, a detergent-like molecule, preferentially forms holes in membranes that contain cholesterol."
primary antibody plus labeled secondary antibody,antibody,http://purl.obolibrary.org/obo/FBbi_00000156,
dEOSFP,photoconvertible fluorescent protein,http://purl.obolibrary.org/obo/FBbi_00000550,
isolated subcellular component,sample preparation method,http://purl.obolibrary.org/obo/FBbi_00000579,"A fragment of a cell, subcellular organelle, or macromolecular complex."
Helix pomatia agglutinin,lectin,http://purl.obolibrary.org/obo/FBbi_00000429,
eosin,non-specific protein affinity,http://purl.obolibrary.org/obo/FBbi_00000037,"Staining with an aqueous or alcoholic solution of eosin Y,colors eosinophilic structures in various shades of red, pink and orange. The eosinophilic structures are generally composed of intracellular or extracellular protein. The Lewy bodies and Mallory bodies are examples of eosinophilic structures. Most of the cytoplasm is eosinophilic. Red blood cells are stained intensely red."
probe for protein,small-molecule probe,http://purl.obolibrary.org/obo/FBbi_00000408,
osmium tetroxide,electron-dense stain,http://purl.obolibrary.org/obo/FBbi_00000571,
pen and ink graphic,line art graphic,http://purl.obolibrary.org/obo/FBbi_00000234,
ECFP,Cyan fluorescent protein from Aequorea,http://purl.obolibrary.org/obo/FBbi_00000081,
fluorescence emission,imaged parameter,http://purl.obolibrary.org/obo/FBbi_00000316,
mWasabiFP,Green fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000502,
miniSOG,phototropin 2,http://purl.obolibrary.org/obo/FBbi_00000615,
CeruleanFP,Cyan fluorescent protein from Aequorea,http://purl.obolibrary.org/obo/FBbi_00000468,
sequence-specific nucleic acid probe,macromolecular probe,http://purl.obolibrary.org/obo/FBbi_00000400,
linear method,computational method,http://purl.obolibrary.org/obo/FBbi_00000354,"a computational method that is linear in the mathematical sense, meaning that image intensity is conserved and the data remain suitable for all quantitative analyses"
wheat germ agglutinin,lectin,http://purl.obolibrary.org/obo/FBbi_00000426,
ground state depletion scanning  (GSD),resolution-enhancing method,http://purl.obolibrary.org/obo/FBbi_00000618,
source of contrast,,http://purl.obolibrary.org/obo/FBbi_00000590,The source of the variation in the imaged parameter across the field of view.
orientation-independent polarization microscopy,polarization microscopy,http://purl.obolibrary.org/obo/FBbi_00000351,
lectin,macromolecular probe,http://purl.obolibrary.org/obo/FBbi_00000402,
light microscopy,microscopy with lenses,http://purl.obolibrary.org/obo/FBbi_00000345,
hematoxylin,non-specific protein affinity,http://purl.obolibrary.org/obo/FBbi_00000041,"The staining method involves application of hemalum, which is a complex formed from aluminium ions and oxidized haematoxylin. This colors nuclei of cells (and a few other objects, such as keratohyalin granules) blue. The staining of nuclei by hemalum does not require the presence of DNA and is probably due to binding of the dye-metal complex to arginine-rich basic nucleoproteins such as histones. The mechanism is different from that of nuclear staining by basic (cationic) dyes such as thionine or toluidine blue. Staining by basic dyes is prevented by chemical or enzymatic extraction of nucleic acids. Such extractions do not prevent staining of nuclei by hemalum."
light-sheet illumination,oblique illumination,http://purl.obolibrary.org/obo/FBbi_00000364,illumination in the form of a thin sheet of light directed perpendicular to the optic axis
illumination method,,http://purl.obolibrary.org/obo/FBbi_00000268,sources and methods for illumination
detection of electrons,detection method,http://purl.obolibrary.org/obo/FBbi_00000375,
acridine orange,membrane-permeant probe,http://purl.obolibrary.org/obo/FBbi_00000051,
differential interference contrast microscopy,light microscopy,http://purl.obolibrary.org/obo/FBbi_00000245,
charcoal pencil graphic,line art graphic,http://purl.obolibrary.org/obo/FBbi_00000231,
Cy2,fluorescent label,http://purl.obolibrary.org/obo/FBbi_00000448,
microscopy,recorded image,http://purl.obolibrary.org/obo/FBbi_00000241,methods for forming images of objects too small to be observed with the unaided eye
biotin ethylenediamine fill,miscellaneous fill,http://purl.obolibrary.org/obo/FBbi_00000119,
detection of acoustic waves,detection method,http://purl.obolibrary.org/obo/FBbi_00000376,
