name,order,code,parent,ontologyTermURI,definition
G70.0 Myasthenia gravis,3119,G70.0,G70-G73 Diseases of myoneural junction and muscle,http://identifiers.org/icd/G70.0,ORPHAcode: 589 Myasthenia gravis
G70.1 Toxic myoneural disorders,3120,G70.1,G70-G73 Diseases of myoneural junction and muscle,http://identifiers.org/icd/G70.1,
G70.2 Congenital and developmental myasthenia,3121,G70.2,G70-G73 Diseases of myoneural junction and muscle,http://identifiers.org/icd/G70.2,ORPHAcode: 590 Congenital myasthenic syndrome
G70.8 Other specified myoneural disorders,3122,G70.8,G70-G73 Diseases of myoneural junction and muscle,http://identifiers.org/icd/G70.8,ORPHAcode: 206575 Rippling muscle disease with myasthenia gravis
"G70.9 Myoneural disorder, unspecified",3123,G70.9,G70-G73 Diseases of myoneural junction and muscle,http://identifiers.org/icd/G70.9,
G71 Primary disorders of muscles,3124,G71,G70-G73 Diseases of myoneural junction and muscle,http://identifiers.org/icd/G71,
G71.0 Primary disorders of muscles - Muscular dystrophy,3125,G71.0,G70-G73 Diseases of myoneural junction and muscle,http://identifiers.org/icd/G71.0,ORPHAcode: 62 Alpha-sarcoglycan-related  limb-girdle muscular dystrophy R3
G71.1 Myotonic disorders,3126,G71.1,G70-G73 Diseases of myoneural junction and muscle,http://identifiers.org/icd/G71.1,ORPHAcode: 273 Steinert myotonic dystrophy
G71.2 Primary disorders of muscles - Congenital myopathies,3127,G71.2,G70-G73 Diseases of myoneural junction and muscle,http://identifiers.org/icd/G71.2,ORPHAcode: 258 Laminin subunit alpha 2-related congenital muscular dystrophy
"G71.3 Primary disorders of muscles - Mitochondrial myopathy, not elsewhere classified",3128,G71.3,G70-G73 Diseases of myoneural junction and muscle,http://identifiers.org/icd/G71.3,ORPHAcode: 45 Adenosine monophosphate deaminase deficiency
G71.8 Other primary disorders of muscles,3129,G71.8,G70-G73 Diseases of myoneural junction and muscle,http://identifiers.org/icd/G71.8,ORPHAcode: 602 GNE myopathy
"G71.9 Primary disorder of muscle, unspecified",3130,G71.9,G70-G73 Diseases of myoneural junction and muscle,http://identifiers.org/icd/G71.9,
G72 Other myopathies,3131,G72,G70-G73 Diseases of myoneural junction and muscle,http://identifiers.org/icd/G72,
G72.0 Other myopathies - Drug-induced myopathy,3132,G72.0,G70-G73 Diseases of myoneural junction and muscle,http://identifiers.org/icd/G72.0,
G72.1 Other myopathies - Alcoholic myopathy,3133,G72.1,G70-G73 Diseases of myoneural junction and muscle,http://identifiers.org/icd/G72.1,
G72.2 Myopathy due to other toxic agents,3134,G72.2,G70-G73 Diseases of myoneural junction and muscle,http://identifiers.org/icd/G72.2,
G72.3 Other myopathies - Periodic paralysis,3135,G72.3,G70-G73 Diseases of myoneural junction and muscle,http://identifiers.org/icd/G72.3,ORPHAcode: 681 Hypokalemic periodic paralysis
"G72.4 Other myopathies - Inflammatory myopathy, not elsewhere classified",3136,G72.4,G70-G73 Diseases of myoneural junction and muscle,http://identifiers.org/icd/G72.4,ORPHAcode: 206569 Immune-mediated necrotizing myopathy
G72.8 Other specified myopathies,3137,G72.8,G70-G73 Diseases of myoneural junction and muscle,http://identifiers.org/icd/G72.8,ORPHAcode: 171690 Metabolic myopathy due to lactate transporter defect
"G72.9 Other myopathies - Myopathy, unspecified",3138,G72.9,G70-G73 Diseases of myoneural junction and muscle,http://identifiers.org/icd/G72.9,
G73 Disorders of myoneural junction and muscle in diseases classified elsewhere,3139,G73,G70-G73 Diseases of myoneural junction and muscle,http://identifiers.org/icd/G73,
G73.0 Myasthenic syndromes in endocrine diseases,3140,G73.0,G70-G73 Diseases of myoneural junction and muscle,http://identifiers.org/icd/G73.0,
G73.1 Disorders of myoneural junction and muscle in diseases classified elsewhere - Lambert-Eaton syndrome,3141,G73.1,G70-G73 Diseases of myoneural junction and muscle,http://identifiers.org/icd/G73.1,ORPHAcode: 43393 Lambert-Eaton myasthenic syndrome
G73.2 Other myasthenic syndromes in neoplastic disease,3142,G73.2,G70-G73 Diseases of myoneural junction and muscle,http://identifiers.org/icd/G73.2,
G73.3 Myasthenic syndromes in other diseases classified elsewhere,3143,G73.3,G70-G73 Diseases of myoneural junction and muscle,http://identifiers.org/icd/G73.3,
G73.4 Myopathy in infectious and parasitic diseases classified elsewhere,3144,G73.4,G70-G73 Diseases of myoneural junction and muscle,http://identifiers.org/icd/G73.4,
G73.7 Myopathy in other diseases classified elsewhere,3145,G73.7,G70-G73 Diseases of myoneural junction and muscle,http://identifiers.org/icd/G73.7,
G80-G83 Cerebral palsy and other paralytic syndromes,3146,,VI Diseases of the nervous system,,
G80 Cerebral palsy,3147,G80,G80-G83 Cerebral palsy and other paralytic syndromes,http://identifiers.org/icd/G80,
G80.0 Spastic quadriplegic cerebral palsy,3148,G80.0,G80-G83 Cerebral palsy and other paralytic syndromes,http://identifiers.org/icd/G80.0,
G80.1 Spastic diplegic cerebral palsy,3149,G80.1,G80-G83 Cerebral palsy and other paralytic syndromes,http://identifiers.org/icd/G80.1,ORPHAcode: 404473 Severe intellectual disability-progressive spastic diplegia syndrome
G80.2 Spastic hemiplegic cerebral palsy,3150,G80.2,G80-G83 Cerebral palsy and other paralytic syndromes,http://identifiers.org/icd/G80.2,
G80.3 Dyskinetic cerebral palsy,3151,G80.3,G80-G83 Cerebral palsy and other paralytic syndromes,http://identifiers.org/icd/G80.3,
G80.4 Ataxic cerebral palsy,3152,G80.4,G80-G83 Cerebral palsy and other paralytic syndromes,http://identifiers.org/icd/G80.4,
G80.8 Other cerebral palsy,3153,G80.8,G80-G83 Cerebral palsy and other paralytic syndromes,http://identifiers.org/icd/G80.8,ORPHAcode: 3465 Worster-Drought syndrome
"G80.9 Cerebral palsy, unspecified",3154,G80.9,G80-G83 Cerebral palsy and other paralytic syndromes,http://identifiers.org/icd/G80.9,
G81 Hemiplegia,3155,G81,G80-G83 Cerebral palsy and other paralytic syndromes,http://identifiers.org/icd/G81,
G81.0 Flaccid hemiplegia,3156,G81.0,G80-G83 Cerebral palsy and other paralytic syndromes,http://identifiers.org/icd/G81.0,
G81.1 Spastic hemiplegia,3157,G81.1,G80-G83 Cerebral palsy and other paralytic syndromes,http://identifiers.org/icd/G81.1,
"G81.9 Hemiplegia, unspecified",3158,G81.9,G80-G83 Cerebral palsy and other paralytic syndromes,http://identifiers.org/icd/G81.9,ORPHAcode: 209973 Benign nocturnal alternating hemiplegia of childhood
G82 Paraplegia and tetraplegia,3159,G82,G80-G83 Cerebral palsy and other paralytic syndromes,http://identifiers.org/icd/G82,
G82.0 Flaccid paraplegia,3160,G82.0,G80-G83 Cerebral palsy and other paralytic syndromes,http://identifiers.org/icd/G82.0,
G82.1 Spastic paraplegia,3161,G82.1,G80-G83 Cerebral palsy and other paralytic syndromes,http://identifiers.org/icd/G82.1,ORPHAcode: 2824 Paraplegia-intellectual disability-hyperkeratosis syndrome
"G82.2 Paraplegia, unspecified",3162,G82.2,G80-G83 Cerebral palsy and other paralytic syndromes,http://identifiers.org/icd/G82.2,
G82.3 Flaccid tetraplegia,3163,G82.3,G80-G83 Cerebral palsy and other paralytic syndromes,http://identifiers.org/icd/G82.3,
"G82.5 Tetraplegia, unspecified",3164,G82.5,G80-G83 Cerebral palsy and other paralytic syndromes,http://identifiers.org/icd/G82.5,
G83 Other paralytic syndromes,3165,G83,G80-G83 Cerebral palsy and other paralytic syndromes,http://identifiers.org/icd/G83,
G83.0 Other paralytic syndromes - Diplegia of upper limbs,3166,G83.0,G80-G83 Cerebral palsy and other paralytic syndromes,http://identifiers.org/icd/G83.0,
G83.1 Other paralytic syndromes - Monoplegia of lower limb,3167,G83.1,G80-G83 Cerebral palsy and other paralytic syndromes,http://identifiers.org/icd/G83.1,
G83.2 Other paralytic syndromes - Monoplegia of upper limb,3168,G83.2,G80-G83 Cerebral palsy and other paralytic syndromes,http://identifiers.org/icd/G83.2,
"G83.3 Other paralytic syndromes - Monoplegia, unspecified",3169,G83.3,G80-G83 Cerebral palsy and other paralytic syndromes,http://identifiers.org/icd/G83.3,
G83.4 Other paralytic syndromes - Cauda equina syndrome,3170,G83.4,G80-G83 Cerebral palsy and other paralytic syndromes,http://identifiers.org/icd/G83.4,
G83.5 Other paralytic syndromes - Locked-in syndrome,3171,G83.5,G80-G83 Cerebral palsy and other paralytic syndromes,http://identifiers.org/icd/G83.5,
G83.8 Other specified paralytic syndromes,3172,G83.8,G80-G83 Cerebral palsy and other paralytic syndromes,http://identifiers.org/icd/G83.8,ORPHAcode: 2406 Locked-in syndrome
"G83.9 Paralytic syndrome, unspecified",3173,G83.9,G80-G83 Cerebral palsy and other paralytic syndromes,http://identifiers.org/icd/G83.9,
G90-G99 Other disorders of the nervous system,3174,,VI Diseases of the nervous system,,
G90 Disorders of autonomic nervous system,3175,G90,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G90,
G90.0 Idiopathic peripheral autonomic neuropathy,3176,G90.0,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G90.0,
G90.1 Disorders of autonomic nervous system - Familial dysautonomia [Riley-Day],3177,G90.1,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G90.1,ORPHAcode: 1764 Familial dysautonomia
G90.2 Disorders of autonomic nervous system - Horner syndrome,3178,G90.2,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G90.2,ORPHAcode: 91413 Congenital Horner syndrome
G90.3 Multi-system degeneration,3179,G90.3,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G90.3,ORPHAcode: 441 Pure autonomic failure
G90.4 Autonomic dysreflexia,3180,G90.4,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G90.4,ORPHAcode: 443084 Baroreflex failure
G90.8 Other disorders of autonomic nervous system,3181,G90.8,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G90.8,ORPHAcode: 230 Dopamine beta-hydroxylase deficiency
"G90.9 Disorder of autonomic nervous system, unspecified",3182,G90.9,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G90.9,
G91 Hydrocephalus,3183,G91,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G91,
G91.0 Communicating hydrocephalus,3184,G91.0,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G91.0,
G91.1 Obstructive hydrocephalus,3185,G91.1,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G91.1,
G91.2 Normal-pressure hydrocephalus,3186,G91.2,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G91.2,
"G91.3 Post-traumatic hydrocephalus, unspecified",3187,G91.3,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G91.3,
G91.8 Other hydrocephalus,3188,G91.8,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G91.8,
"G91.9 Hydrocephalus, unspecified",3189,G91.9,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G91.9,
G92 Toxic encephalopathy,3190,G92,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G92,
G93 Other disorders of brain,3191,G93,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G93,
G93.0 Other disorders of brain - Cerebral cysts,3192,G93.0,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G93.0,ORPHAcode: 2356 Arachnoid cyst
"G93.1 Anoxic brain damage, not elsewhere classified",3193,G93.1,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G93.1,
G93.2 Other disorders of brain - Benign intracranial hypertension,3194,G93.2,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G93.2,ORPHAcode: 238624 Idiopathic intracranial hypertension
G93.3 Other disorders of brain - Postviral fatigue syndrome,3195,G93.3,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G93.3,
"G93.4 Other disorders of brain - Encephalopathy, unspecified",3196,G93.4,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G93.4,ORPHAcode: 436271 Non-progressive predominantly posterior cavitating leukoencephalopathy with peripheral neuropathy
G93.5 Compression of brain,3197,G93.5,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G93.5,
G93.6 Other disorders of brain - Cerebral oedema,3198,G93.6,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G93.6,
G93.7 Other disorders of brain - Reye syndrome,3199,G93.7,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G93.7,ORPHAcode: 3096 Reye syndrome
H01 Other inflammation of eyelid,3200,H01,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H01,
G93.8 Other specified disorders of brain,3201,G93.8,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G93.8,ORPHAcode: 1313 Infantile choroidocerebral calcification syndrome
"G93.9 Disorder of brain, unspecified",3202,G93.9,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G93.9,
G94 Other disorders of brain in diseases classified elsewhere,3203,G94,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G94,
G94.0 Hydrocephalus in infectious and parasitic diseases classified elsewhere,3204,G94.0,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G94.0,
G94.1 Hydrocephalus in neoplastic disease,3205,G94.1,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G94.1,
G94.2 Hydrocephalus in other diseases classified elsewhere,3206,G94.2,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G94.2,
G94.8 Other specified disorders of brain in diseases classified elsewhere,3207,G94.8,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G94.8,
G95 Other diseases of spinal cord,3208,G95,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G95,
G95.0 Other diseases of spinal cord - Syringomyelia and syringobulbia,3209,G95.0,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G95.0,ORPHAcode: 99857 Secondary syringomyelia
G95.1 Other diseases of spinal cord - Vascular myelopathies,3210,G95.1,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G95.1,
"G95.2 Cord compression, unspecified",3211,G95.2,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G95.2,
G95.8 Other specified diseases of spinal cord,3212,G95.8,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G95.8,
"G95.9 Disease of spinal cord, unspecified",3213,G95.9,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G95.9,
G96 Other disorders of central nervous system,3214,G96,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G96,
G96.0 Other disorders of central nervous system - Cerebrospinal fluid leak,3215,G96.0,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G96.0,ORPHAcode: 443180 Spontaneous intracranial hypotension
"G96.1 Disorders of meninges, not elsewhere classified",3216,G96.1,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G96.1,
G96.8 Other specified disorders of central nervous system,3217,G96.8,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G96.8,ORPHAcode: 1179 Benign paroxysmal tonic upgaze of childhood with ataxia
"G96.9 Disorder of central nervous system, unspecified",3218,G96.9,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G96.9,
"G97 Postprocedural disorders of nervous system, not elsewhere classified",3219,G97,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G97,
"G97.0 Postprocedural disorders of nervous system, not elsewhere classified - Cerebrospinal fluid leak from spinal puncture",3220,G97.0,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G97.0,
"G97.1 Postprocedural disorders of nervous system, not elsewhere classified - Other reaction to spinal and lumbar puncture",3221,G97.1,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G97.1,
"G97.2 Postprocedural disorders of nervous system, not elsewhere classified - Intracranial hypotension following ventricular shunting",3222,G97.2,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G97.2,
G97.8 Other postprocedural disorders of nervous system,3223,G97.8,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G97.8,ORPHAcode: 90021 Radiation myelitis
"G97.9 Postprocedural disorder of nervous system, unspecified",3224,G97.9,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G97.9,
"G98 Other disorders of nervous system, not elsewhere classified",3225,G98,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G98,ORPHAcode: 2131 Alternating hemiplegia of childhood
G99 Other disorders of nervous system in diseases classified elsewhere,3226,G99,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G99,
G99.0 Autonomic neuropathy in endocrine and metabolic diseases,3227,G99.0,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G99.0,
G99.1 Other disorders of autonomic nervous system in other diseases classified elsewhere,3228,G99.1,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G99.1,ORPHAcode: 306577 Sodium channelopathy-related small fiber neuropathy
G99.2 Myelopathy in diseases classified elsewhere,3229,G99.2,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G99.2,
G99.8 Other specified disorders of nervous system in diseases classified elsewhere,3230,G99.8,G90-G99 Other disorders of the nervous system,http://identifiers.org/icd/G99.8,
VII Diseases of the eye and adnexa,3231,,,,
"H00-H06 Disorders of eyelid, lacrimal system and orbit",3232,,VII Diseases of the eye and adnexa,,
H00 Hordeolum and chalazion,3233,H00,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H00,
H00.0 Hordeolum and other deep inflammation of eyelid,3234,H00.0,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H00.0,
H00.1 Chalazion,3235,H00.1,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H00.1,
H01.0 Other inflammation of eyelid - Blepharitis,3236,H01.0,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H01.0,
H01.1 Noninfectious dermatoses of eyelid,3237,H01.1,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H01.1,
H01.8 Other specified inflammation of eyelid,3238,H01.8,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H01.8,
"H01.9 Inflammation of eyelid, unspecified",3239,H01.9,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H01.9,
H02 Other disorders of eyelid,3240,H02,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H02,
H02.0 Entropion and trichiasis of eyelid,3241,H02.0,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H02.0,
H02.1 Ectropion of eyelid,3242,H02.1,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H02.1,
H02.2 Other disorders of eyelid - Lagophthalmos,3243,H02.2,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H02.2,
H02.3 Other disorders of eyelid - Blepharochalasis,3244,H02.3,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H02.3,
H02.4 Ptosis of eyelid,3245,H02.4,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H02.4,
H02.5 Other disorders affecting eyelid function,3246,H02.5,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H02.5,
H02.6 Xanthelasma of eyelid,3247,H02.6,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H02.6,
H02.7 Other degenerative disorders of eyelid and periocular area,3248,H02.7,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H02.7,
H02.8 Other specified disorders of eyelid,3249,H02.8,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H02.8,
"H02.9 Disorder of eyelid, unspecified",3250,H02.9,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H02.9,
H03 Disorders of eyelid in diseases classified elsewhere,3251,H03,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H03,
H03.0 Parasitic infestation of eyelid in diseases classified elsewhere,3252,H03.0,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H03.0,
H03.1 Involvement of eyelid in other infectious diseases classified elsewhere,3253,H03.1,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H03.1,
H11.2 Conjunctival scars,3254,H11.2,H10-H13 Disorders of conjunctiva,http://identifiers.org/icd/H11.2,
H03.8 Involvement of eyelid in other diseases classified elsewhere,3255,H03.8,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H03.8,
H04 Disorders of lacrimal system,3256,H04,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H04,
H04.0 Disorders of lacrimal system - Dacryoadenitis,3257,H04.0,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H04.0,
H04.1 Other disorders of lacrimal gland,3258,H04.1,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H04.1,
H04.2 Disorders of lacrimal system - Epiphora,3259,H04.2,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H04.2,
H04.3 Acute and unspecified inflammation of lacrimal passages,3260,H04.3,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H04.3,
H04.4 Chronic inflammation of lacrimal passages,3261,H04.4,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H04.4,
H04.5 Stenosis and insufficiency of lacrimal passages,3262,H04.5,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H04.5,
H04.6 Other changes in lacrimal passages,3263,H04.6,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H04.6,ORPHAcode: 141083 Nasolacrimal duct cyst
H04.8 Other disorders of lacrimal system,3264,H04.8,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H04.8,
"H04.9 Disorder of lacrimal system, unspecified",3265,H04.9,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H04.9,
H05 Disorders of orbit,3266,H05,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H05,
H05.0 Acute inflammation of orbit,3267,H05.0,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H05.0,
H05.1 Chronic inflammatory disorders of orbit,3268,H05.1,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H05.1,
H05.2 Disorders of orbit - Exophthalmic conditions,3269,H05.2,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H05.2,ORPHAcode: 466682 Euthyroid Graves orbitopathy
H05.3 Deformity of orbit,3270,H05.3,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H05.3,
H05.4 Disorders of orbit - Enophthalmos,3271,H05.4,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H05.4,
H05.5 Retained (old) foreign body following penetrating wound of orbit,3272,H05.5,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H05.5,
H05.8 Other disorders of orbit,3273,H05.8,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H05.8,
"H05.9 Disorder of orbit, unspecified",3274,H05.9,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H05.9,
H06 Disorders of lacrimal system and orbit in diseases classified elsewhere,3275,H06,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H06,
H06.0 Disorders of lacrimal system in diseases classified elsewhere,3276,H06.0,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H06.0,
H06.1 Parasitic infestation of orbit in diseases classified elsewhere,3277,H06.1,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H06.1,
H06.2 Disorders of lacrimal system and orbit in diseases classified elsewhere - Dysthyroid exophthalmos,3278,H06.2,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H06.2,
H06.3 Other disorders of orbit in diseases classified elsewhere,3279,H06.3,"H00-H06 Disorders of eyelid, lacrimal system and orbit",http://identifiers.org/icd/H06.3,
H10-H13 Disorders of conjunctiva,3280,,VII Diseases of the eye and adnexa,,
H10 Conjunctivitis,3281,H10,H10-H13 Disorders of conjunctiva,http://identifiers.org/icd/H10,
H10.0 Mucopurulent conjunctivitis,3282,H10.0,H10-H13 Disorders of conjunctiva,http://identifiers.org/icd/H10.0,
H10.1 Acute atopic conjunctivitis,3283,H10.1,H10-H13 Disorders of conjunctiva,http://identifiers.org/icd/H10.1,
H10.2 Other acute conjunctivitis,3284,H10.2,H10-H13 Disorders of conjunctiva,http://identifiers.org/icd/H10.2,
"H10.3 Acute conjunctivitis, unspecified",3285,H10.3,H10-H13 Disorders of conjunctiva,http://identifiers.org/icd/H10.3,
H10.4 Chronic conjunctivitis,3286,H10.4,H10-H13 Disorders of conjunctiva,http://identifiers.org/icd/H10.4,
H10.5 Blepharoconjunctivitis,3287,H10.5,H10-H13 Disorders of conjunctiva,http://identifiers.org/icd/H10.5,
H10.8 Other conjunctivitis,3288,H10.8,H10-H13 Disorders of conjunctiva,http://identifiers.org/icd/H10.8,
"H10.9 Conjunctivitis, unspecified",3289,H10.9,H10-H13 Disorders of conjunctiva,http://identifiers.org/icd/H10.9,
H11 Other disorders of conjunctiva,3290,H11,H10-H13 Disorders of conjunctiva,http://identifiers.org/icd/H11,
H11.0 Other disorders of conjunctiva - Pterygium,3291,H11.0,H10-H13 Disorders of conjunctiva,http://identifiers.org/icd/H11.0,
H11.1 Conjunctival degenerations and deposits,3292,H11.1,H10-H13 Disorders of conjunctiva,http://identifiers.org/icd/H11.1,
H11.4 Other conjunctival vascular disorders and cysts,3293,H11.4,H10-H13 Disorders of conjunctiva,http://identifiers.org/icd/H11.4,
H11.8 Other specified disorders of conjunctiva,3294,H11.8,H10-H13 Disorders of conjunctiva,http://identifiers.org/icd/H11.8,
"H11.9 Disorder of conjunctiva, unspecified",3295,H11.9,H10-H13 Disorders of conjunctiva,http://identifiers.org/icd/H11.9,
H13 Disorders of conjunctiva in diseases classified elsewhere,3296,H13,H10-H13 Disorders of conjunctiva,http://identifiers.org/icd/H13,
H13.0 Filarial infection of conjunctiva,3297,H13.0,H10-H13 Disorders of conjunctiva,http://identifiers.org/icd/H13.0,
H13.1 Conjunctivitis in infectious and parasitic diseases classified elsewhere,3298,H13.1,H10-H13 Disorders of conjunctiva,http://identifiers.org/icd/H13.1,
H13.2 Conjunctivitis in other diseases classified elsewhere,3299,H13.2,H10-H13 Disorders of conjunctiva,http://identifiers.org/icd/H13.2,
H13.3 Disorders of conjunctiva in diseases classified elsewhere - Ocular pemphigoid,3300,H13.3,H10-H13 Disorders of conjunctiva,http://identifiers.org/icd/H13.3,
H13.8 Other disorders of conjunctiva in diseases classified elsewhere,3301,H13.8,H10-H13 Disorders of conjunctiva,http://identifiers.org/icd/H13.8,
"H15-H22 Disorders of sclera, cornea, iris and ciliary body",3302,,VII Diseases of the eye and adnexa,,
H15 Disorders of sclera,3303,H15,"H15-H22 Disorders of sclera, cornea, iris and ciliary body",http://identifiers.org/icd/H15,
H15.0 Disorders of sclera - Scleritis,3304,H15.0,"H15-H22 Disorders of sclera, cornea, iris and ciliary body",http://identifiers.org/icd/H15.0,
H15.1 Disorders of sclera - Episcleritis,3305,H15.1,"H15-H22 Disorders of sclera, cornea, iris and ciliary body",http://identifiers.org/icd/H15.1,
H15.8 Other disorders of sclera,3306,H15.8,"H15-H22 Disorders of sclera, cornea, iris and ciliary body",http://identifiers.org/icd/H15.8,
