id,PID,Name,Acronym,Description,URL,Juridical Person,Country,Head of Biobank,Latitude,Longitude,Also Known In,Contact Person,Networks,Commercial Collaboration,Non Profit Collaboration,Capabilities,National Node
bbmri-eric:ID:FR_BB-0033-00015,21.T12995/1.fec5-a62a-58e3,Tumorotheque CLCC Paul Strauss,-,"The Center Paul Strauss is an Health Establishment of Private Collective Interest wich provides 3 missions or f health service in oncology: care, research and education.
Paul Strauss establishment is a center of expertise, remedy and innovation in oncology. It belongs to UNICANCER group, gathering 20 centers of fight against cancer distributed at national level.",http://www.centre-paul-strauss.fr/recherche/tumorotheque,Tumorotheque CLCC Paul Strauss,FR,bbmri-eric:contactID:FR_BB-0033-00015,48.5763817,7.7507375999999795,,bbmri-eric:contactID:FR_BB-0033-00015,,true,true,,FR
bbmri-eric:ID:FR_BB-0033-00016,21.T12995/1.d87d-8bf1-cf23,CRB de l'Institut Jerome Lejeune,CRB-BioJel,"CRB BioJel collects and stores samples of patients with genetic intellectual disabilities. The majority of the samples come from patients followed in consultation at the Institut Jerome Lejeune. In addition to making these samples available, the CRB BioJeL offers its technical platform:
- To meet specific needs of external research centers
- To take samples from patients not usually followed at the consultation of the Jerome Lejeune Institute",http://www.crb-institutlejeune.com,CRB de l'Institut Jerome Lejeune,FR,bbmri-eric:contactID:FR_BB-0033-00016,48.8406945,2.309177399999953,,bbmri-eric:contactID:FR_BB-0033-00016,,true,true,,FR
bbmri-eric:ID:FR_BB-0033-00017,21.T12995/1.9610-221a-81d6,Biobanque de Picardie - Salouel,-,"The Biobank of Picardy has coordinated a pre-analytical project IBISA with nineteen French BRCs aiming to test pre analytical treatment effects on quality of biological resources. The Free Flow Electrophoresis program has assembled the Biobank's team who fractionate biological resources and the Pasteur's Institute which did mass spectrometry (article in preparation).  The Biobank was a partner of STORE and BBMRI European Projects aiming to share data by producing an online resource holding of data, a set of technique protocols for tissue analysis and access details to the original material.  Within the framework of regional projects, the Biobank participates to the MecoExpo program aiming to evaluate the transfer of pesticides from the mother to new born babies by analysing meconiums. Another pre-analytical project has been set in collaboration with the Nuclear Magnetic Resonance platform  to discover new preservation pre-analytical biomarkers.",https://www.biobanque-picardie.com/,Biobanque de Picardie - Salouel,FR,bbmri-eric:contactID:FR_BB-0033-00017,49.87236120000001,2.253037899999981,,bbmri-eric:contactID:FR_BB-0033-00017,,true,true,,FR
bbmri-eric:ID:FR_BB-0033-00018,21.T12995/1.744f-5cd0-2c2b,CRB/CIC-P,CRB/CIC-P,"Over the last 15 years, the Nancy Clinical investigation Centre has set-up clinical studies (including randomized controlled trials, and cohorts) mainly in the field of cardiovascular diseases (heart failure, cardiovascular prevention...), leading to collect clinical and biological data. A biobank has been set up simultaneously, with the aim to get a Biological Resource Centre certification in a near future (ongoing certification process). The main publications involving the biobank are relative to  biomarkers of the cardiovascular remodeling, as well as genetic studies within the Stanislas Cohort.",http://www.chu-nancy.fr/cic/,CRB/CIC-P,FR,bbmri-eric:contactID:FR_BB-0033-00018,48.6471442,6.148825833333333,,bbmri-eric:contactID:FR_BB-0033-00018,,true,true,,FR
bbmri-eric:ID:UK_GBR-1-213,21.T12995/1.9dd3-fdfa-aaa9,Royal Papworth Hospital Research Tissue Bank,,"We collect all tissue arising from cardio-thoracic procedures, including, but not limited to: aorta, myocardium, heart valves, cardiac and peripheral vessels, lung, airways, blood vessels pulmonary,blood, sputum and tumour samples. We also provide relevant routine clinical data such as previous medical history and certain treatment details.",,Royal Papworth Hospital,UK,,,,,bbmri-eric:contactID:UK_GBR-1-213,,,,,UK
bbmri-eric:ID:FR_BB-0033-00019,21.T12995/1.3a3e-913a-f168,Le Centre de Ressources Biologiques sur la Scleros,REFGENSEP,"The MS genetics centre of CRICM (REFGENSEP-BRC) is at the interface between clinical departments and research teams. It's a part of a national network including 21 sampling centers, a DNA extraction center and scientific collaborators. The BRC is open to collaborations and is allowed by the Ministry of research to provide biological resources to national or international requesters. The BRC has been evaluated by AERES and is now involved as a platform in the CRICM of Pitie-Salpetriere. The center is all ready organized with a quality management involving all actors of the systems to provide quality products and services.The BRC has already compiled DNA and lymphoblastoid cells from: 860 simplex, 130 multiplex families, 1332 cases and 790 controls which are available for genetic studies, and the collection is still going on. We demonstrated that our collection was representative of the natural history of MS (Cournu-Rebeix et al, 2008).This BRC is a resource of general interest which has been used in national and international collaborations as shown in the list of publications of the group. The high number of samples available in REFGENSEP-BRC and the good quality of associated clinical data allowed us to initiate large-scale genetic projects.The genome-wide project is an international collaborative study taking place through the International Multiple Sclerosis Genetics Consortium (IMSGC). The IMSGC is a collaborative group gathering 30 different teams from Europe and the USA. Our participation to the first phase of the project lead us to conclude that our biological resources were of sufficient quality to be involved in international projects. 97% of our samples have successfully passed the very stringent quality control at Sanger Center. Results of this collaborative effort will be published soon. More recently we initiated a collaboration with the ""The Multiple Autoimmune Diseases Genetic Consortium >> aiming to identify susceptibility regions common to several diseases.",http://icm-institute.org/fr/centres-de-ressources-biologiques/,Le Centre de Ressources Biologiques sur la Scleros,FR,bbmri-eric:contactID:FR_BB-0033-00012,48.8368263,2.36006569999995,,bbmri-eric:contactID:FR_BB-0033-00019,,true,true,,FR
bbmri-eric:ID:FR_BB-0033-00020,21.T12995/1.db9f-1f25-de7e,CRB-Bichat Claude Bernard,CRB-Bichat Claude Bernard,"The Bichat Hospital Biological Resources Centre is a dynamic multi-purpose structure of clinical research activities within the University-Hospital area. By its actions of collect, storage and distribution of biological samples, it plays an important role in the set-up of studies, and it is now housing several biological research collections already recognized nationally and internationally, leading to several international scientific publications",http://www.bichat.inserm.fr,CRB-Bichat Claude Bernard,FR,bbmri-eric:contactID:FR_benessianojoelle,48.89871960000001,2.3325651000000107,,bbmri-eric:contactID:FR_BB-0033-00020,,true,true,,FR
bbmri-eric:ID:FR_BB-0033-00021,21.T12995/1.d14c-e84f-274e,PRB Creteil,-,"The Henri Mondor BIobank (NF S96-900 certified) has been structured to ensure the collection and the management of the biological samples issued from patient care and clinical research activity of the Henri Mondor hospital. These collections are mainly based on two axes of excellence of our institution: reference centre for several rare diseases (neurofibromatosis, sickle cell disease, Huntington disease, neuromuscular disorders ...) and highly specialized centre for some cancer types (uro-genital cancer, digestive cancers, haematological malignancies...). The aim of the Henri Mondor Biobank is 1) to organize the reception, transformation, management and track of each biological sample issued from clinic research trials or patients care in order to constitute high quality and scientifically valuable collections of biological samples; 2) to guarantee a quality process as well as good laboratory practice in accordance with written and validated procedures and 3) to verify and apply the ethical and official regulations for protection of patients involved in biomedical and clinical research investigations. The Henri Mondor biobank is using a database software system (Biobase) for the management of the biological samples. To date, the numerous samples stored in the Plateform mostly concern rare diseases (neurofibromatosis, sickle cell disease, neuromuscular disorders) and cancer (uro-genital tumors, lymphomas, digestive cancers). This plateform is integrated into the clinical research activity of our institution and has strong relationships with the Clinical Investigation Center. Importantly, this biobank is in direct relationship with all the institutional research laboratories, mainly INSERM located within the hospital and Creteil Medical School. The Henri Mondor biobank is also connected to the laboratories of the hospital performing biological investigations through the Centre of Biomedical Investigation. The collections are also used by national or international research laboratories, through scientific collaborations and/or thematic networks. These activities have led to major publications with high impact factors.",http://prbmondor.aphp.fr/,PRB Creteil,FR,bbmri-eric:contactID:FR_BB-0033-00021,48.7971278,2.453096388888889,,bbmri-eric:contactID:FR_BB-0033-00021,,true,true,,FR
bbmri-eric:ID:FR_BB-0033-00022,21.T12995/1.319d-f0ee-043f,CRB SAT APHP.SU,CRB SAT APHP.SU,"Created in 2010, the CRB SAT APHP.SU is a cross structure at the disposal of all clinicians and researchers from the Hospital Group involved in research with constitution of collections of biological samples. It ensures the reception, preparation, storage and provision of biological collections from clinical protocols. The CRB SAT APHP.SU prepares samples from peripheral blood (serum, plasma, DNA, RNA, miRNA), and maintains all types of samples regardless of the clinical research theme.",http://saintantoine.aphp.fr/centre-de-ressources-biologiques/,CRB HUEP-UPMC,FR,bbmri-eric:contactID:FR_BB-0033-00022,48.8496852,2.3841300000000274,,bbmri-eric:contactID:FR_BB-0033-00022,,true,true,,FR
bbmri-eric:ID:FR_BB-0033-00023,21.T12995/1.96c7-e2b2-8099,CRB-Pathologie-Cochin,-,"The tumour bank of Hopital Cochin has been created in 2004, inside the Pathology Unit. Human bio-specimens are collected and subsequently distributed following the operational procedures recommended by ANAES (Ann Pathol 2001; 21: 184-201). All procedures have been put in place to comply with the legal obligations concerning chiefly the traceability of tissue biopsies in the tumour bank. Although the computerised medical records of the Hopital Cochin and the tumour bank data are stored in independent software programmes, it is possible, via a protected access, to compare the two sources of information for medical and scientific purposes. Currently, the tumour bank of Hopital Cochin includes 14667 specimens (digestive, liver, pancreas, gynecologic and genitourinary systems, adrenal, skin, sarcoma and lymphoma). It has a double mission, medical (diagnostic, and therapeutic) and scientific by providing resource for research programmes.As a biological resource centre, we have supported 400 requests of samples corresponding to more than 20 research projects throughout 2004-2009. Locally, we actively participate in different oncology research projects, particularly on liver, pancreatic, colorectal and adrenal tumors. One of our main topic concerns the deregulation of the Wnt/b-catenin signalling pathway in these tumors. We have also provided samples and/or documental support for collaborative projects. We collaborate to the national virtual tumor project bank initiated by INCA and BBMRI.",http://hopitaux-paris-centre.aphp.fr/la-tumorotheque/,CRB-Pathologie-Cochin,FR,bbmri-eric:contactID:FR_BB-0033-00023,48.8373986,2.338868899999966,,bbmri-eric:contactID:FR_BB-0033-00023,,true,true,,FR
bbmri-eric:ID:FR_BB-0033-00024,21.T12995/1.5166-cabd-4c90,TRFC,-,"Biobank's scientific projects :1)UROTHELIAL CARCINOMA The characterization of bladder tumours that will progress could lead to the identification of patients who might benefit from surgery to avoid muscle invasion and metastasisa)In a first study  we reported that in spite of the decreased expression of E-Cadherin in invasive bladder tumours, their cytoplasmic partners (catenines ) are still expressed, suggesting the presence of an other cadherin family member such as N-Cadherin (Clairotte A et al , 2006).b)N-Cadherin expression was evaluated in the same group of tumors (71 PT1 and 30 pT2/T3) by immunohistochemistry 5IHC) and in 28 fresh frozen tumours, by IHC and reverse transcrition-PCR analysis. This study identified N-Cadherin as a prognostic marker in superficial Urothelial tumours (Lascombe I, 2006).c)Twist is considered as a transcription factor that regulates epithelial mesenchymal transition (EMT) by at least inhibition of E-Cadherin expression. Our results demonstrated its involvement in progression and matastasis devlopement by the inverse relationship with the E-cadherin expression (Wallerand H, 2009). d)Our aim is to study N-Cadherine and A-FABP (Fatty acid Binding Protein) by IHC  on superficial bladder  urothelial carcinoma. In our hypothesis a group of aggressive tumours N-cadherin positive and A-FABP negative could be detected. In this group on the fresh frozen specimen, mARN N-cadherin positive and A-FABP could be evaluated. 2)COLORECTAL CARCINOMASignal transducer and activator of transcription3 (STAT3) has been implicated as an oncogene in several neoplastic diseases. The aim of our study was to explore the relation between the immunohistochemical expression of nuclear p-STAT3 in tumours cells and clinicopathological features and to investigate the prognosis significance of p-STAT3 in a cohort of patients included in the EORTC 22921 trial. In our study, the patients with tumours positive for p-STAT3 had significantly improved overall survival (Monnien F, 2010).",http://www.chu-besancon.fr/tumoro,TRFC,FR,bbmri-eric:contactID:FR_BB-0033-00024,47.22530159999999,5.961198500000023,,bbmri-eric:contactID:FR_BB-0033-00024,,true,true,,FR
bbmri-eric:ID:FR_BB-0033-00025,21.T12995/1.abf4-0aca-4eb9,Biobanque du CHU de Nice,Biobank06,"The Biobank of the Nice Pasteur Hospital was set up in 2004 and its activity beginning at this time was initially strongly focused on three major biological collections concerning the lung, the thyroid and the head and neck pathologies (www.biobank06.com). Since the end of 2009, two additional collections oriented on melanomas and inflammatory bowel diseases have been started. The Nice Biobank is associated to the Canceropole PACA and tumour collections are integrated in this Nice-Marseille regional biobank (www.biobank-paca.com). The biobank of Nice is labelled by IBiSA since 2008 and is certified ISO S-96-900 by AFNOR since January 2010.",http://www.biobank06.com,Biobanque du CHU de Nice,FR,bbmri-eric:contactID:FR_BB-0033-00025,43.7243741,7.282146300000022,,bbmri-eric:contactID:FR_BB-0033-00025,,true,true,,FR
bbmri-eric:ID:FR_BB-0033-00026,21.T12995/1.4f28-af68-27c7,CRB-Saint-Anne,CRB-NSPN,"Neurological and psychiatric disorders are among the most disabling disorders and represent a considerable human and societal burden and more than 25% of the population will suffer of a psychiatric disorder or neurovascular disorder. The cognitive and functional sequels are increasing with aging of the population. Despite their frequency, the origin of these disorders is multifactorial with both genetic and environmental factors. The Sainte Anne Hospital is the only site entirely devoted to treating CNS diseases and hosts the Inserm Center 'Centre de Psychiatrie et Neurosciences' CPN. The CRB NSPN is specialized in the collection  of samples from patients suffering of neurovascular or psychiatric disorders in order to facilitate translational projects on new therapeutic or predictive and diagnostic biomarkers. There are 38 biological collections in or ready to be included in the CRB. They cover neuropsychiatric diseases from developmental disorders (autism, mental retardation, Rett syndrom, attentional disorders, hyperactivity: 9) to degenerative disorders (Alzheimer,MCI, 4) and include neuroglia tumors (1), addiction (8) eating disorders (2), mood disorders (4) , schizophrenia and early psychosis (6), des metabolic syndrome (1), neurovascular disorders (5) and general population cohorts (2). All these collections contain rich clinical data, 5 include brain tissue and 12 cell lines. Fifteen include functional and / or structural  brain imaging acquisition. Several ongoing projects of the clinical research teams are based on large and / or prospective cohorts with such multiple approaches and the development of large data warehouses, able to integrate those data is needed. The CHSA has the objective to develop a platform of sample management and analysis that will be fully interoperable with other databases from the CHSA clinical research platforms (including neurophysiology, neuropsychology, brain imaging and genomic) in order to provide an integrated plateform devoted to the exploration of behavior, psychology, psychomotricity and cognition in human.",http://www.ch-sainte-anne.fr/,CRB-Saint-Anne,FR,bbmri-eric:contactID:FR_BB-0033-00026,48.8302314,2.3406311999999616,,bbmri-eric:contactID:FR_BB-0033-00026,,true,true,,FR
bbmri-eric:ID:FR_BB-0033-00027,21.T12995/1.12db-b29e-e450,CRB Foie (Jean Verdier),-,"The Liver BRC collects, stores and distributes human biological samples for biomedical research. The biobank focuses on chronic liver diseases, such as cirrhosis and hepatocellular carcinoma.",http://chu93.aphp.fr/centre-de-ressources-biologiques/,CRB Foie (Jean Verdier),FR,bbmri-eric:contactID:FR_BB-0033-00027,48.9096389,2.488226111111111,,bbmri-eric:contactID:FR_BB-0033-00027,,true,true,,FR
bbmri-eric:ID:FR_BB-0033-00028,21.T12995/1.9596-0109-d058,EREN,EREN,"Our research unit has been involved in many epidemiological works (observational and interventional studies) seeking to elucidate the nutritional status of the general population and the groups at risk, recognizing and estimating the impact of the potential involved determinants, understanding the relationship between nutrition and health, and in particular, identifying and evaluating the role of risk/protective factors associated with nutrition, and may play a role in the onset of chronic diseases. For the last 4 years our team have been analyzing the nutritional, clinical and biological data collected from large cohorts implemented on general populations (e.g the SUVIMAX2 cohort on nutrition and cognitive performance and age), from primary interventional trials in general population (the SU.VIMAX trial studying the effect of antioxidants on health) or from secondary prevention trials on patients (the SU.FOL.OM3 trial on the effects of B-vitamins and/or omega-3 polyunsaturated acids on recurrence of cardio and neuro-vascular diseases in patients with a history of cardiovascular diseases or stroke), from cross-sectional studies performed on general population (e.gENNS on a representative sample of the French population), or on vulnerable population (ABENA study performed on population  of food aid users). In all our epidemiologic studies blood samples were collected and archived in our local Biobank. Many collaborations have been developed with scientific teams at national and international levels in order to optimize the collection of data from cohorts.Last year our unit launched the Nutrinet-Sante Study, an observational prospective cohort (open cohort) designed to be carried outfor a scheduled period  follow-up of 10 years, on a large sample of volunteers (> 500 000 registered subjects with the objective to include 300 000 participants), to study the relation between nutriton and health. Clinical examination will be performed and biological data (blood, urine) will be collected from a sub-sample of 150 000 subjects.",http://info.etude-nutrinet-sante.fr/fr/biobanque,EREN,FR,bbmri-eric:contactID:FR_BB-0033-00028,48.91339749999999,2.4199604000000363,,bbmri-eric:contactID:FR_BB-0033-00028,,true,true,,FR
bbmri-eric:ID:FR_BB-0033-00029,21.T12995/1.d121-1d12-5951,Biobanque Cardiovasculaire - Hopital Bichat,-,"The Cardiovascular Biobank of the U1148 research unit collects, stores and distributes human biological samples from individuals with cardiovascular diseases, as well as controls.",http://lvts.fr/,Biobanque Cardiovasculaire - Hopital Bichat,FR,bbmri-eric:contactID:FR_BB-0033-00029,48.89871960000001,2.3325651000000107,,bbmri-eric:contactID:FR_BB-0033-00029,,true,true,,FR
bbmri-eric:ID:FR_BB-0033-00030,21.T12995/1.3d83-4d1b-d060,CIC-CRB Lille,-,"Platform of the university hospital campus of Lille, the CRB / CIC1403 was created to support the management and conservation of biological samples from clinical research projects involving the creation of a biological resource collection. To ensure investigators the best conditions to support their samples, the CRB / CIC1403 is certified according to two standards: ISO9001v2008 and NF-S-96900 for the collection, preparation, storage, management and distribution of biological samples for research.",http://crb.chru-lille.fr,CIC-CRB Lille,FR,bbmri-eric:contactID:FR_BB-0033-00030,50.6099648,3.0327663000000484,,bbmri-eric:contactID:FR_BB-0033-00030,,true,true,,FR
bbmri-eric:ID:FR_BB-0033-00031,21.T12995/1.802b-79b5-8330,CRB - CHU de Montpellier,CCBH-M,"The Center for Biological resources of Montpellier CCBH-M is responsible for building and enhancing the collections of biological samples of human origin. Under the supervision of Professor Valerie Costes, the CCBH-M includes in particular a tumor bank, led by Dr. Valerie Rigau, over 5000 cases (tumor tissues and non-tumor associated).",http://www.chu-montpellier.fr,CRB - CHU de Montpellier,FR,bbmri-eric:contactID:FR_BB-0033-00031,43.6302315,3.8624072999999726,,bbmri-eric:contactID:FR_BB-0033-00031,,true,true,,FR
bbmri-eric:ID:FR_BB-0033-00032,21.T12995/1.04e2-5ce6-aac7,Centre de Ressources Biologiques du CHU de Nimes,-,"The research pole activity located in Languedoc Roussillon is based on biology, healthcare and drug development.The Universities of Montpellier (Montpellier I and II) and Nimes, the CNRS and the INSERM are involved in the BioBanques-LR technology and competition project. Almost 50 private biotechnology companies +located in Montpellier and Nimes provide and develop collaborative subjects between institutional and private laboratories.The Biobanques-LR combine 3 sites : University Hospital of Montpellier, University Hospital of Nimes and CRLCC Val d'Aurelle in Montpellier.5 collections f belong to the University Hospital of Montpellier : a tumor bank, a cell collection, non tumoral tissues,  nucleic acids and biochemistry.  These collections are managed in a local CRB called CCBH-M. The Nimes' center works on 5 collections : a tumor bank, cytogenetic products, biochemistry, hematology (serum and plasma) and microbiology.The tumor bank at the CRLCC Val d'Aurelle is also part of the biological ressource center 'BioBanques-LR'.  It regroups a biological fluid collection (biochemistry department), a cell collection (genetic and cellular therapy unit) and a nucleic acids collection (genetic department). The  BioBanques-LR works with the Clinical Research Department to collect clinical results. We expect to increase the quality of collected samples and their associated parameters by using and harmonizing best processes. The ongoing plateform and its catalogue will answer to appropriated processes and regulatory requirements. A scientific committee in each center is in charge of the transfers from a common catalogue implemented by the 3 sites. A virtual tumor bank catalogue is in progress for the South West France area. We participate in its construction. The ""Region Languedoc Roussillon"" financialy supports the BioBanques-LR project.",http://www.chu-nimes.fr/espace-recherche-clinique/centre-de-ressources-biologiques-crb.html,Centre de Ressources Biologiques du CHU de Nimes,FR,bbmri-eric:contactID:FR_BB-0033-00032,43.8238328,4.326247800000033,,bbmri-eric:contactID:FR_BB-0033-00032,,true,true,,FR
bbmri-eric:ID:FR_BB-0033-00033,21.T12995/1.4fe7-128d-7fa3,Cerebrotheque Toulouse,-,"Neurodegenerative diseases from Alzheimer disease to Creutzfeldt Jakob disease share many common features and allow the scientific team associated to the Cerebrotheque du CHU de Toulouse to initiate or participate to high impact research concerning these diseases.We develop a refined characterization of Fronto-temporal dementia with Parkinsonism linked to chromosome 17. Using a biochemical assay with successive protein enrichment from frozen brain slices, we isolated ferritin light and heavy chains in a so far not known dominant autosomal disease. Our studies have provided additional knowledge and insights in the growing area of ferritin-related neurodegeneration disease. In the field of Creutzfeldt jakob disease, we provide an alternative biochemical definition of PrPSc diversity and new insights in the perception of Human TSE agents' variability. Different brain areas from 41 sCJD and 12 iatrogenic CJD (iCJD) cases (mainly from the Cerebrotheque de Toulouse) were investigated, using two new biochemical assays. We developed several clinical research projects on Alzheimer disease regarding different points: - Anti-amyloid-beta immunization. Besides descrpition of neuropathological lesions, we contributed to a work concluding on the impact of amyloid clearance restablishment on neurite curvature. These data agree with preclinical animal studies and demonstrate that vaccination does not merely clear amyloid from the Alzheimer's disease brain, but reduces some of the neuronal alterations that characterize Alzheimer's disease.- Sphingoloipid molecules implicated in apoptosis. Sphingosine kinase-1 (SphK1) has a critical role in regulation of survival of neurons. A previous work on culture cells in our research team (INSERM U858), showed that in vitro, neuronal loss was induced by ?-amyloid peptide 25-35 and it was correlated with alteration of sphingolipid biostat. Our hypothesis is that SphK1 is differentially expressed in neurons regarding their location in the vicinity or far from amyloid deposits in the brain of patients affected with AD. In an on-going national clinical research project (directed by Pr MB Delisle), our general objective is to precise on human brain material, the role of SphK1 in relation to neuronal loss and ?-amyloid location.",http://www.chu-toulouse.fr/catalogue-du-crb-tbr,Cerebrotheque Toulouse,FR,bbmri-eric:contactID:FR_BB-0033-00033,47.3871111,0.6676944444444444,,bbmri-eric:contactID:FR_BB-0033-00033,,true,true,,FR
bbmri-eric:ID:FR_BB-0033-00034,21.T12995/1.b72c-a9fb-cdda,Neurosenscol,Neurosenscol,"The Biological Resources Centre NeuroSensCol is a DNA biobank established in 2007. It now contains 10000 DNA samples from patients who have neurosensory diseases, mainly retinal disorders, and from control subjects. These DNA samples are included in various research projects at the Institut de la Vision, in university hospitals and research institutes in France and abroad. The high quality DNA is easily used for Sanger sequencing, Next Generation Sequencing (NGS), whole exome and whole genome sequencing as well as microarray analysis.

Its main partner is the Clinical Investigation Center 1423 / Center for Rare Diseases Referet of the Quinze-Vingts hospital, a platform for precise retinal phenotyping. The CRB NeuroSensCol and the CIC1423 / Center for Rare Diseases make sure of the ethical compliance for the safety of the subjects.
The CRB NeuroSensCol is certified NF S 96-900.",http://www.institut-vision.org/fr/plateformes-scientifiques/8-platforms-institute/19-.html,Neurosenscol,FR,bbmri-eric:contactID:FR_BB-0033-00034,48.850131,2.3725200000000086,,bbmri-eric:contactID:FR_BB-0033-00034,,true,true,"biomaterial-storage,nucleic-acid-extraction",FR
bbmri-eric:ID:FR_BB-0033-00035,21.T12995/1.dd85-ba88-41e9,CRB-CBMP Nancy,CRB-CBMP,"The Centre de Ressources Biologiques (CRB) of the CHU of Nancy devotes itself to research in cancerology and more particularly to lung cancer.The CRB was selected for the project of the Ligue Nationale contre le cancer/Institut National du Cancer: ""Indentity card of the pulmonary Tumours or CIT"". For this reason the ""indentity card"" of genes of 80 tumours is initially established to specify ""the distinguishing marks"" of the 40 most aggressive tumours. The CRB human samples were dissected under a microscope to separate tumoral tissue from healthy tissue, then their genome (DNA) was extracted and analyzed on the chip ""indentity card the tumours"" of the Ligue Nationale Contre le Cancer. Samples were analyzed again to confirm the first. This work coordinated by the CRB of Nancy, is completed in collaboration with the Institute of Genetics and Molecular biology of Strasbourg (Dr. Stanislas Du Manoir), the CHU of Caen (pr. Francoise Galateau Salle) and CNRS in Poitiers (Dr. Joelle Roche).The CRB is strongly impliqued in the Programme National d'Excellence Scientifique (PNES) ""molecular Epidemiology of lung cancers professional"" where it is a question of identifying association between the occupational hazards and the clinical results, histological, anatomical, and prognostic and between molecular deteriorations and the exposures to the professionals carcinogenics.The CRB is implied in the research of the ""mutations of the EGFR gene in lung cancer: description of a molecular target allowing a specific access to the targeted therapies"" initiated by the Institut National du Cancer. So the CRB developed the protocols to detect the mutations in exons 19 (by analysis of fragments), 20 (by PCR of sequencing) and 21 (by enzymatic digestion). For each sample the tumoral zone is dissected and an evaluation of the percentage of tumoral cells is carried out.",,CRB-CBMP Nancy,FR,bbmri-eric:contactID:FR_BB-0033-00035,48.684667,6.19148610000002,,bbmri-eric:contactID:FR_BB-0033-00035,,true,true,,FR
bbmri-eric:ID:FR_BB-0033-00036,21.T12995/1.cb7d-1779-bbd8,CRB-Cancer Bordeaux Biothèques Santé,CRB-Cancer CHU de Bordeaux,"The tumor bank of Bordeaux University Hospital was established in 2003 and shared with the Tumor Biology service, cellular service and Hematology Pathology Service to accommodate frozen tissue collections, cells and biological fluids in oncology. All of these services represents a platform pathobiology and genetics of cancer and blood diseases to manage (for the same sample) the analyzes and health research and profit conservation activities in accordance with regulatory requirements, traceability and anonymization to the research subject to patient consent.",https://www.chu-bordeaux.fr/Professionnels-recherche/Activit%C3%A9-de-canc%C3%A9rologie-au-CHU-de-Bordeaux/Dynamique-de-recherche-sur-la-canc%C3%A9rologie/La-tumoroth%C3%A8que-et-le-Centre-de-ressources-biologiques-Cancer/,CRB-Cancer Bordeaux Biothèques Santé,FR,bbmri-eric:contactID:FR_BB-0033-00036,44.784447,-0.6634999999999991,,bbmri-eric:contactID:FR_BB-0033-00036,,true,true,,FR
bbmri-eric:ID:FR_BB-0033-00037,21.T12995/1.531b-751d-357e,CRB-Sante-Brest,CRB-Sante-Brest,"Brest CRB Sante, managed by Pr. Valerie Ugo, is constituted of 3 storage site and certified according the French standard NFS 96 900 since January 2015. Our activity is to help collection setting up, sample preparation, conservation and access for Brest Hospital within hospital network. The access of biological resources is available for all request, from Brest hospital or not, private or public.",https://crbsante.chu-brest.fr/,CRB-Sante-Brest,FR,bbmri-eric:contactID:FR_ugo,48.40151090000001,-4.528394899999967,,bbmri-eric:contactID:FR_BB-0033-00037,,true,true,,FR
bbmri-eric:ID:FR_BB-0033-00038,21.T12995/1.e42d-bc7c-6f25,CRB CHU d'Angers,-,"The Bio-bank CRB-CHU Angers was established to organize and to manage the collections of human biological resources at the university Hospital of Angers since September 2008. 
The CRB has decided to gradually structure based on two major and interrelated tools, a powerful software information system, TD-Biobank and the response to the obligations of the AFNOR NF S96-900. The CRB is plurithematic and includes the CRB and the Biobank research CHU d'Angers.",https://www.chu-angers.fr/recherche-et-innovation-en-sante/soutien-a-la-recherche/crb-centre-de-ressources-biologiques/,CRB CHU d'Angers,FR,bbmri-eric:contactID:FR_BB-0033-00038,47.4815099,-0.5548297000000275,,bbmri-eric:contactID:FR_BB-0033-00038,,true,true,,FR
bbmri-eric:ID:FR_BB-0033-00039,21.T12995/1.a009-2f9c-0f2e,CRB-Clermont-Ferrand,-,"Clermont-Ferrand University Hospital Center Biobank focuses on four types of sample-related activity:1) Setting up a tumour bank (leader: Prof. P Dechelotte) that was certified in 2003. This tumourbank specializes in the following conditions: digestive oncology (colorectal cancer), skin lymphoma,endometriosis and peritoneum, fetopathology.2) Developing diagnosis and monitoring tools for chronic blood diseases, Gaucher disease,neuroblastoma, premature membrane rupture.3) Collecting biological samples within the framework of certified research groups (GReD UMR6247 CNRS/931INSERM, EA3846, EA3843, EA975).4) Collecting biological samples on a temporary basis in the framework of clinical researchprotocols conducted by various teams at Clermont-Ferrand University Hospital Center. These samplesundergo the same processing as those in the tumour bank.Special biological sample collections include: ""Endometriosis and peritoneum"" (Prof. M Canis and Prof.P Dechelotte), ""Neuroblastoma"" (Prof. J Kanold and Prof. A Tchirkov), ""Amniotic membranes"" (Prof. DGallot and Prof. V Sapin), ""Gaucher disease"" (Prof. M Berger). We shall soon receive samples from the""Family Study of Rheumatoid Arthritis"" (Prof. F Cornelis and Prof. I Creveaux).Current activity has generated about 48 publications (mean IF= 4.455); the activity linked to samplecollection from Prof. F Cornelis adds 29 publications (total IF mean: 4.599)A project to develop a single platform (with a single access process) to prepare and preserve biologicalsamples has been validated by the University Hospital Center's governing body. This structure willfacilitate research activities, partnerships with industry, and research and technological developmentactivities related to Biobanking.",http://www.chu-clermontferrand.fr/Internet/sites/CRB/Default.aspx,CRB-Clermont-Ferrand,FR,bbmri-eric:contactID:FR_BB-0033-00039,45.78542210000001,3.110160800000017,,bbmri-eric:contactID:FR_BB-0033-00039,,true,true,,FR
