tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles,tableName_old,columnName_old
Studies,,regulatoryProcedureNumber,string,,,,,,,,,"Regulatory procedure number, for RMP Category 1 and 2 studies only",,,
Studies,,dateOfSiginingFundingContractPlanned,date,,,,,,,,,"Date when funding contract was signed, planned",,,
Studies,,dateOfSiginingFundingContractActual,date,,,,,,,,,"Date when funding contract was signed, actual",,,
Studies,,collectionStartPlanned,date,,,,,,,,,When was the data collection planned to start?,,,
Studies,,collectionStartActual,date,,,,,,,,,When was the data collection actually start?,,,
Studies,,analysisStartPlanned,date,,,,,,,,,When was the data analysis planned to start?,,,
Studies,,analysisStartActual,date,,,,,,,,,When did the data analysis actually start?,,,
Studies,,interimReportPlanned,date,,,,,,,,,"Planned date of interim report, if expected",,,
Studies,,interimReportActual,date,,,,,,,,,"Actual date of interim report, if expected",,,
Studies,,finalReportPlanned,date,,,,,,,,,"Date of final study report, planned",,,
Studies,,finalReportActual,date,,,,,,,,,"Date of final study report, actual",,,
Studies,,data,heading,,,,,,,,,Data management,,,
Studies,,datasources,ref_array,,,,Datasources,,,,,Datasources that provided data into this study,,,
Studies,,cohorts,ref_array,,,,Cohorts,,,,,Cohorts that provided data into this study,,,
Studies,,cdms,refback,,,,Mappings,,source,,,Common data model(s) used in this study,,,
Studies,,studyFeatures,ontology_array,,,CatalogueOntologies,StudyFeatures,,,,,Data features,,,
Studies,,dataCharacterisationDetails,text,,,,,,,,,Provide a summary description of the data characterisation or quality check process,,,
Studies,,dataSourceTypes,ontology_array,,,CatalogueOntologies,StudyDatasourceTypes,,,,,Types of data sources used,,,
Studies,,dataSourceTypes,ontology_array,,,CatalogueOntologies,StudyDatasourceTypes,,,,,Types of data sources used,,,
Studies,,dataSourceTypesOther,text,,,,,,,,,"Sources of data, if other",,,
Studies,,qualityMarks,ontology_array,,,CatalogueOntologies,StudyQualityMarks,,,,,"Quality marks, such as ENCePP seal",,,
Studies,,numberOfDataSources,,,,,,,,,,Total number of data sources included in the study,,,
Studies,,medicinesStudiedCodes,ontology_array,,,CatalogueOntologies,MedicineCodes,,,,,Codes of medicines studied,,,
Studies,,medicinesStudiedBrands,text,,,,,,,,,Brand names of medicines studied,,,
Studies,,medicalConditionsStudied,ontology_array,,,CatalogueOntologies,MedicalConditions,,,,,Codes of the medical conditions studied,,,
Studies,,medicalConditionsStudiedOther,text,,,,,,,,,Codes of the medical conditions studied,,,
Studies,,dateCollectionEndPlanned,date,,,,,,,,,The date of the end of the data collection for the study- planned,,,
Studies,,dateCollectionEndActual,date,,,,,,,,,"Data collection end, actual",,,
Studies,,dataExtractionDate,date,,,,,,,,,Date on which the study data was extracted,,,
Studies,,methods,heading,,,,,,,,,Methodological aspects,,,
Studies,,studySetting,text,,,,,,,,,A short description of the study setting,,,
Studies,,analysisPlan,text,,,,,,,,,"A brief summary of the analysis method (e.g. risk estimation, measures of risk, internal/external validity)",,,
Studies,,populationDescription,text,,,,,,,,,A short description of the study population,,,
Studies,,numberOfSubjects,int,,,,,,,,,Estimated number of subjects,,,
Studies,,ageGroups,ontology_array,,,CatalogueOntologies,AgeGroups,,,,,Which population age groups are studied,,,
Studies,,objectives,text,,,,,,,,,A short description of the study objective,,,
Studies,,interventions,text,,,,,,,,,A short description of the study interventions,,,
Studies,,comparators,text,,,,,,,,,A short description of the study comparators,,,
Studies,,outcomes,text,,,,,,,,,A short description of the study outcomes,,,
Studies,,studyDesign,text,,,,,,,,,A brief summary of the study design,,,
Studies,,results,text,,,,,,,,,A brief summary of the results of the study on study completion (from abstract),,,
Studies,,topic,ontology,,,CatalogueOntologies,StudyTopics,,,,,An initial classification of the study purpose,,,
Studies,,topicOther,text,,,,,,,,,"If the study is not concerning any of the proposed categories, please specify the details",,,
Studies,,trialRegulatoryScope,ontology_array,,,CatalogueOntologies,StudyTrialRegulatoryScopes,,,,,Classification of the clinical trial in relation to the medicines authorisation,,,
Studies,,studyDesignClassification,ontology,,,CatalogueOntologies,StudyDesignClassification,,,,,If Study type: clinical trials. Select one of the following,,,
Studies,,studyDesignClassificationOther,text,,,,,,,,,Further details on design,,,
Studies,,studyScope,ontology_array,,,CatalogueOntologies,StudyScopes,,,,,Scope of the study,,,
Studies,,studyScopeOther,text,,,,,,,,,If scope 'other',,,
Studies,,populationOfInterest,ontology_array,,,CatalogueOntologies,PopulationOfInterest,,,,,"If population of interest is 'Other', please specify which other population has been studied",,,
Studies,,populationOfInterestOther,text,,,,,,,,,"If population of interest is 'Other', please specify which other population has been studied",,,
Datasets,,,,,,,,,,,,Definition of a table within a (common) data model,,,
Datasets,,source,ref,1,TRUE,,ExtendedResources,,,,,resources that these variables are part of,,TargetTables,dataDictionary
Datasets,,name,,1,TRUE,,,,,,,unique dataset name in the model,,,
Datasets,,label,,,,,,,,,,short human readable description,,,
Datasets,,unitOfObservation,ontology,,,CatalogueOntologies,ObservationTargets,,,,,defines what each record in this table describes,,,
Datasets,,keywords,ontology_array,,,CatalogueOntologies,Keywords,,,,,enables grouping of table list into topic and to display tables in a tree,,,
Datasets,,description,text,,,,,,,,,description of the role/function of this table,,,
Datasets,,numberOfRows,int,,,,,,,,,count of the numbe of records in this table,,,
AllVariables,,,,,,,,,,,,"Generic listing of all source variables. Should not be used directly, please use SourceVariables or RepeatedSourceVariables instead",,,
AllVariables,,source,ref,1,TRUE,,ExtendedResources,,,,,Data source that this variable was collected in,,AllVariables,dataDictionary
AllVariables,,dataset,ref,1,TRUE,,Datasets,source,,,,Dataset this variable is part of,,,
AllVariables,,name,,1,TRUE,,,,,,,"name of the variable, unique within a table",,,
AllVariables,,label,,,,,,,,,,"Human friendly longer name, if applicable",,,
AllVariables,,collectionEvent,ref,,,,CollectionEvents,,,,,in case of protocolised data collection this defines the moment in time this variable is collected on,,,
Variables,AllVariables,,,,,,,,,,,"Definition of a non-repeated variable, or of the first variable from a repeated range",,,
Variables,,format,ontology,,,CatalogueOntologies,Formats,,,,,"string,int,decimal,date,datetime etc",,,
Variables,,unit,ontology,,,CatalogueOntologies,Units,,,,,,,,
Variables,,references,ref,,,,AllVariables,source,,,,to define foreign key relationships between variables within or across tables,,,
Variables,,mandatory,bool,,,,,,,,,whether this variable is required within this collection,,,
Variables,,description,text,,,,,,,,,,,,
Variables,,order,int,,,,,,,,,to sort variables you can optionally add an order value,,,
Variables,,exampleValues,string_array,,,,,,,,,,,,
Variables,,permittedValues,refback,,,,VariableValues,,variable,,,,,,
Variables,,keywords,ontology_array,,,CatalogueOntologies,Keywords,,,,,,,,
Variables,,repeats,refback,,,,RepeatedVariables,,isRepeatOf,,,listing of all repeated variables defined for this variable,,,
Variables,,vocabularies,ontology_array,,,CatalogueOntologies,Vocabularies,,,,,,,,
Variables,,notes,text,,,,,,,,,Any other information on this variable,,,
Variables,,sinceVersion,,,,,,,,,,When this variable was introduced,,,
Variables,,untilVersion,,,,,,,,,,When this variable was removed if applicable,,,
VariableValues,,,,,,,,,,,,Listing of categorical value+label definition in case of a categorical variable,,,
VariableValues,,source,ref,1,TRUE,,ExtendedResources,,,,,,,SourceVariableValues,dataDictionary
VariableValues,,variable,ref,1,TRUE,,Variables,source,,,,e.g. PATO,,,
VariableValues,,value,,1,TRUE,,,,,,,e.g. '1',,,
VariableValues,,label,,,TRUE,,,,,,,,,,
VariableValues,,order,int,,,,,,,,,,,,
VariableValues,,isMissing,bool,,,,,,,,,,,,
VariableValues,,ontologyTermURI,,,,,,,,,,reference to ontology term that defines this categorical value,,,
VariableValues,,sinceVersion,,,,,,,,,,When this variable value was introduced if applicable,,,
VariableValues,,untilVersion,,,,,,,,,,When this variable value was removed if applicable,,,
RepeatedVariables,AllVariables,,,,,,,,,,,Definition of a repeated sourceVariable. Refers to another variable for its definition,,,
RepeatedVariables,,isRepeatOf,ref,,TRUE,,Variables,source,,,,reference to the definition of the sourceVariable that is being repeated,,,
Mappings,,,,,,,,,,,,"Mapping from collected datasets to standard/harmonized datasets, optionally including ETL syntaxes",,,
Mappings,,source,ref,1,TRUE,,ExtendedResources,,,,,Data source that is being mapped to a (common) data model,,,
Mappings,,sourceVersion,string,,TRUE,,,,,,,version of the datasource that is being mapped,,,
Mappings,,target,ref,1,TRUE,,Models,,,,,model being mapped to,,,
Mappings,,targetVersion,string,,TRUE,,,,,,,version of the model being mapped to,,,
Mappings,,mappingStatus,ontology,,,CatalogueOntologies,MappingStatus,,,,,"Mapping from collected datasets to standard/harmonized datasets, optionally including ETL syntaxes",TableMappings,,
DatasetMappings,,source,ref,1,TRUE,,ExtendedResources,,,,,datasource being mapped from,,TableMappings,fromDataDictionary
DatasetMappings,,sourceDataset,ref,1,TRUE,,Datasets,source,,,,name of the table being mapped from,,TableMappings,fromTable
DatasetMappings,,target,ref,1,TRUE,,Models,,,,,"model being mapped to, i.e. toModel.resource + toModel.version",,TableMappings,toDataDictionary
DatasetMappings,,targetDataset,ref,1,TRUE,,Datasets,target,,,,name of the table being mapped to,,TableMappings,toTable
DatasetMappings,,order,int,,,,,,,,,Order in which table ETLs should be executed for this source-target combination,,,
DatasetMappings,,description,text,,,,,,,,,human readible description of the mapping,,,
DatasetMappings,,syntax,text,,,,,,,,,"formal definition of the mapping, ideally executable code",,,
VariableMappings,,,,,,,,,,,,"Mappings from collected variables to standard/harmonized variables, optionally including ETL syntax",,,
VariableMappings,,source,ref,1,TRUE,,ExtendedResources,,,,,,,VariableMappings,fromDataDictionary
VariableMappings,,sourceDataset,ref,1,TRUE,,Datasets,source,,,,,,VariableMappings,fromTable
VariableMappings,,sourceVariables,ref_array,,,,AllVariables,sourceDataset,,,,"Optional, source variable that was mapped from. You may also indicate that a mapping to a target variable was not done and leave this field empty (match = na)",,VariableMappings,fromVariable
VariableMappings,,sourceVariablesOtherDatasets,ref_array,,,,AllVariables,source,,,,"optional, variable from other source datasets. Initially one may only define mapping between releases",,VariableMappings,fromVariablesOtherTables
VariableMappings,,target,ref,1,TRUE,,ExtendedResources,,,,,,,VariableMappings,toDataDictionary
VariableMappings,,targetDataset,ref,1,TRUE,,Datasets,target,,,,,,VariableMappings,toTable
VariableMappings,,targetVariable,ref,1,TRUE,,AllVariables,targetDataset,,,,"in UI this is then one lookup field. In Excel it will be two columns. Value of 'targetVariable' is filtered based on selected 'targetCollection' and together be used for fkey(collection,dataset,name) in Variable",,VariableMappings,toVariable
VariableMappings,,match,ontology,,TRUE,CatalogueOntologies,StatusDetails,,,,,"e.g. 'complete, partial, planned, no-match'",,,
VariableMappings,,status,ontology,,,CatalogueOntologies,Status,,,,,whether harmonisation is still draft or final,,,
VariableMappings,,description,text,,,,,,,,,human readible description of the mapping,,,
VariableMappings,,syntax,text,,,,,,,,,"formal definition of the mapping, ideally executable code",,,
VariableMappings,,comments,text,,,,,,,,,additional notes and comments,,,
NetworkVariables,,,,,,,,,,,,Listing of the variables used in a network,,,
NetworkVariables,,network,ref,1,TRUE,,Networks,,,,,,,,
NetworkVariables,,variable,ref,1,TRUE,,Variables,,,,,,,,
SubcohortCounts,,subcohort,ref,1,TRUE,,Subcohorts,,,,,,,,
SubcohortCounts,,ageGroup,ref,1,TRUE,CatalogueOntologies,AgeGroups,,,,,,,,
SubcohortCounts,,N total,int,,,,,,,,,,,,
SubcohortCounts,,N female,int,,,,,,,,,,,,
SubcohortCounts,,N male,int,,,,,,,,,,,,
Submissions,,,,,,,,,,,,Documentation of data submissions related to a resource,,,
Submissions,,submissionDate,datetime,1,TRUE,,,,,,,Date of submission,,,
Submissions,,submitterName,string,1,TRUE,,,,,,,Name of person who submitted,,,
Submissions,,resources,ref_array,,TRUE,,ExtendedResources,,,,,Resource(s) that this submission is related to,,,
Submissions,,submitterEmail,string,,TRUE,,,,,,,Email of person who submitted,,,
Submissions,,submitterOrganisation,ref,,,,Organisations,,,,,Organisation of submitter,,,
Submissions,,submitterRole,ontology,,,CatalogueOntologies,SubmitterRoles,,,,,Role of submitter in organisation,,,
Submissions,,submitterRoleOther,text,,,,SubmitterRoles,,,,,"Role of submitter in organisation, if other than above",,,
Submissions,,submissionType,ontology,,,CatalogueOntologies,SubmissionTypes,,,,,"Type of submission, e.g. 'new entry', 'correction'",,,
Submissions,,submissionDescription,text,,,,SubmissionTypes,,,,,"Description of the submission, if applicable",,,
Submissions,,responsiblePersons,text,,,,,,,,,List of responsible persons related to this submission,,,
Submissions,,acceptanceDate,datetime,,,,,,,,,Date submission was accepted,,,
ExternalIdentifiers,,resource,ref,1,TRUE,,ExtendedResources,,,,,Resource that this external identifier belongs to,,,
ExternalIdentifiers,,identifier,text,1,TRUE,,,,,,,External identifier,,,
ExternalIdentifiers,,externalIdentifierType,ontology,,,CatalogueOntologies,ExternalIdentifierTypes,,,,,External identifier type,,,
ExternalIdentifiers,,externalIdentifierTypeOther,text,,,,,,,,,"If other, enter external identifier type",,,
