name,label,codesystem,code,definition
HP_0002964,HP_0002964,HPO,HP_0002964,
Cutaneous anergy,Cutaneous anergy,HPO,HP_0002965,"Inability to react to a delayed hypersensitivity skin test.|Anergy skin testing assesses the responses to skin-test antigens to which a cell-mediated, delayed-type hypersensitivity (DTH) response is expected."
HP_0002966,HP_0002966,HPO,HP_0002966,
Cubitus valgus,Cubitus valgus,HPO,HP_0002967,Abnormal positioning in which the elbows are turned out.
HP_0002968,HP_0002968,HPO,HP_0002968,
HP_0002969,HP_0002969,HPO,HP_0002969,
Genu varum,Genu varum,HPO,HP_0002970,A positional abnormality marked by outward bowing of the legs in which the knees stay wide apart when a person stands with the feet and ankles together.
Absent microvilli on the surface of peripheral blood lymphocytes,Absent microvilli on the surface of peripheral blood lymphocytes,HPO,HP_0002971,"Absence of the fingerlike protrusive, actin-dependent structures found on the surface of peripheral blood lymphocytes."
Reduced delayed hypersensitivity,Reduced delayed hypersensitivity,HPO,HP_0002972,Decreased ability to react to a delayed hypersensitivity skin test.
Abnormality of the forearm,Abnormality of the forearm,HPO,HP_0002973,An abnormality of the lower arm.
Radioulnar synostosis,Radioulnar synostosis,HPO,HP_0002974,An abnormal osseous union (fusion) between the radius and the ulna.
HP_0002975,HP_0002975,HPO,HP_0002975,
HP_0002976,HP_0002976,HPO,HP_0002976,
Aplasia/Hypoplasia involving the central nervous system,Aplasia/Hypoplasia involving the central nervous system,HPO,HP_0002977,Absence or underdevelopment of tissue in the central nervous system.
HP_0002978,HP_0002978,HPO,HP_0002978,
Bowing of the legs,Bowing of the legs,HPO,HP_0002979,A bending or abnormal curvature affecting a long bone of the leg.
Femoral bowing,Femoral bowing,HPO,HP_0002980,Bowing (abnormal curvature) of the femur.
Abnormality of the calf,Abnormality of the calf,HPO,HP_0002981,"An abnormality of the calf, i.e. of the posterior part of the lower leg."
Tibial bowing,Tibial bowing,HPO,HP_0002982,A bending or abnormal curvature of the tibia.|A developmental defect with posteromedial tibial angulation.
Micromelia,Micromelia,HPO,HP_0002983,The presence of abnormally small extremities.
Hypoplasia of the radius,Hypoplasia of the radius,HPO,HP_0002984,Underdevelopment of the radius.
HP_0002985,HP_0002985,HPO,HP_0002985,
Radial bowing,Radial bowing,HPO,HP_0002986,A bending or abnormal curvature of the radius.
Elbow flexion contracture,Elbow flexion contracture,HPO,HP_0002987,"A chronic loss of elbow joint motion due to structural changes in muscle, tendons, ligaments, or skin that prevent normal movement of the joints of the elbow."
HP_0002988,HP_0002988,HPO,HP_0002988,
HP_0002989,HP_0002989,HPO,HP_0002989,
Fibular aplasia,Fibular aplasia,HPO,HP_0002990,Absence of the fibula.
Abnormality of fibula morphology,Abnormality of fibula morphology,HPO,HP_0002991,"An anomaly of the calf bone (fibula), one of the two bones of the calf."
Abnormality of tibia morphology,Abnormality of tibia morphology,HPO,HP_0002992,Abnormality of the tibia (shinbone).
HP_0002993,HP_0002993,HPO,HP_0002993,
HP_0002994,HP_0002994,HPO,HP_0002994,
HP_0002995,HP_0002995,HPO,HP_0002995,
Limited elbow movement,Limited elbow movement,HPO,HP_0002996,
Abnormality of the ulna,Abnormality of the ulna,HPO,HP_0002997,An abnormality of the ulna bone of the forearm.
HP_0002998,HP_0002998,HPO,HP_0002998,
Patellar dislocation,Patellar dislocation,HPO,HP_0002999,The kneecap normally is located within the groove termed trochlea on the distal femur and can slide up and down in it. Patellar dislocation occurs if the patella fully dislocates out of the groove.
HP_0003000,HP_0003000,HPO,HP_0003000,
Glomus jugular tumor,Glomus jugular tumor,HPO,HP_0003001,
Breast carcinoma,Breast carcinoma,HPO,HP_0003002,The presence of a carcinoma of the breast.
Colon cancer,Colon cancer,HPO,HP_0003003,
HP_0003004,HP_0003004,HPO,HP_0003004,
Ganglioneuroma,Ganglioneuroma,HPO,HP_0003005,"A benign neoplasm that usually arises from the sympathetic trunk in the mediastinum, representing a tumor of the sympathetic nerve fibers arising from neural crest cells.|Ganglioneuromas and ganglioneuroblastomas are tumors of the sympathetic nervous system. They originate from neural crest sympathogonia, which are completely undifferentiated cells of the sympathetic nervous system."
Neuroblastoma,Neuroblastoma,HPO,HP_0003006,"Neuroblastoma is a solid tumor that originate in neural crest cells of the sympathetic nervous system. Most neuroblastomas originate in the abdomen, and most abdominal neuroblastomas originate in the adrenal gland. Neuroblastomas can also originate in the thorax, usually in the posterior mediastinum."
HP_0003007,HP_0003007,HPO,HP_0003007,
HP_0003008,HP_0003008,HPO,HP_0003008,
Enhanced neurotoxicity of vincristine,Enhanced neurotoxicity of vincristine,HPO,HP_0003009,
Prolonged bleeding time,Prolonged bleeding time,HPO,HP_0003010,"Prolongation of the time taken for a standardized skin cut of fixed depth and length to stop bleeding.|The bleeding time test measures the time taken for blood vessel constriction and platelet plug formation to occur. No clot is allowed to form, so that the arrest of bleeding depends exclusively on blood vessel constriction and platelet action. To perform the test, pressure is maintained throughout the test by inflating a sphygmomanometer cuff on the upper arm. The dorsal surface of the forearm is then cleaned, and the bleeding time device placed onto the skin and the trigger is depressed. At 30-second intervals, the flow of blood is blotted with filter paper. The time from puncture to cessation of bleeding is then recorded as the bleeding time. Normal values depend on the device used and other parameters, but are around 2 to 9 minutes."
Abnormality of the musculature,Abnormality of the musculature,HPO,HP_0003011,"Abnormality originating in one or more muscles, i.e., of the set of muscles of body."
HP_0003012,HP_0003012,HPO,HP_0003012,
Bulging epiphyses,Bulging epiphyses,HPO,HP_0003013,A morphological abnormality of epiphyses whereby they are abnormally outwardly curving (protuberant).
HP_0003014,HP_0003014,HPO,HP_0003014,
Flared metaphysis,Flared metaphysis,HPO,HP_0003015,"The presence of a splayed (i.e.,flared) metaphyseal segment of one or more long bones.|Figure 11 of PMID:12853662 shows metaphyseal flaring."
Metaphyseal widening,Metaphyseal widening,HPO,HP_0003016,Abnormal widening of the metaphyseal regions of long bones.
HP_0003017,HP_0003017,HPO,HP_0003017,
HP_0003018,HP_0003018,HPO,HP_0003018,
Abnormality of the wrist,Abnormality of the wrist,HPO,HP_0003019,"Abnormality of the wrist, the structure connecting the hand and the forearm."
Enlargement of the wrists,Enlargement of the wrists,HPO,HP_0003020,
Metaphyseal cupping,Metaphyseal cupping,HPO,HP_0003021,Metaphyseal cupping refers to an inward bulging of the metaphyseal profile giving the metaphysis a cup-like appearance.
Hypoplasia of the ulna,Hypoplasia of the ulna,HPO,HP_0003022,Underdevelopment of the ulna.
Bowing of limbs due to multiple fractures,Bowing of limbs due to multiple fractures,HPO,HP_0003023,Curvature of the shafts of the long bones due to multiple fractures.
HP_0003024,HP_0003024,HPO,HP_0003024,
Metaphyseal irregularity,Metaphyseal irregularity,HPO,HP_0003025,Irregularity of the normally smooth surface of the metaphyses.
Short long bone,Short long bone,HPO,HP_0003026,One or more abnormally short long bone.|Long bones are also known as tubular bones.
Mesomelia,Mesomelia,HPO,HP_0003027,Shortening of the middle parts of the limbs (forearm and lower leg) in relation to the upper and terminal segments.|Shortening of the limbs where the predominant shortness is in the middle bones.
Abnormality of the ankles,Abnormality of the ankles,HPO,HP_0003028,
Enlargement of the ankles,Enlargement of the ankles,HPO,HP_0003029,
HP_0003030,HP_0003030,HPO,HP_0003030,
Ulnar bowing,Ulnar bowing,HPO,HP_0003031,Bending of the diaphysis (shaft) of the ulna.|Ulnar bowing is usually in the convex posterior direction.
HP_0003032,HP_0003032,HPO,HP_0003032,
HP_0003033,HP_0003033,HPO,HP_0003033,
Diaphyseal sclerosis,Diaphyseal sclerosis,HPO,HP_0003034,An elevation in bone density in one or more diaphyses. Sclerosis is normally detected on a radiograph as an area of increased opacity.
HP_0003035,HP_0003035,HPO,HP_0003035,
HP_0003036,HP_0003036,HPO,HP_0003036,
Enlarged joints,Enlarged joints,HPO,HP_0003037,Increase in size of one or more joints.
Fibular hypoplasia,Fibular hypoplasia,HPO,HP_0003038,Underdevelopment of the fibula.
HP_0003039,HP_0003039,HPO,HP_0003039,
Arthropathy,Arthropathy,HPO,HP_0003040,
Humeroradial synostosis,Humeroradial synostosis,HPO,HP_0003041,An abnormal osseous union (fusion) between the radius and the humerus.
Elbow dislocation,Elbow dislocation,HPO,HP_0003042,"Dislocation of the distal humerus out of the elbow joint, where the radius, ulna, and humerus meet."
Abnormality of the shoulder,Abnormality of the shoulder,HPO,HP_0003043,"An abnormality of the shoulder, which is defined as the structures surrounding the shoulder joint where the humerus attaches to the scapula."
Shoulder flexion contracture,Shoulder flexion contracture,HPO,HP_0003044,"Chronic reduction in active and passive mobility of the shoulder joint due to structural changes in muscle, tendons, ligaments, or skin that prevents normal movement."
Abnormal patella morphology,Abnormal patella morphology,HPO,HP_0003045,Abnormality of the patella (knee cap).
HP_0003046,HP_0003046,HPO,HP_0003046,
HP_0003047,HP_0003047,HPO,HP_0003047,
Radial head subluxation,Radial head subluxation,HPO,HP_0003048,Partial dislocation of the head of the radius.
Ulnar deviation of the wrist,Ulnar deviation of the wrist,HPO,HP_0003049,
HP_0003050,HP_0003050,HPO,HP_0003050,
Enlarged metaphyses,Enlarged metaphyses,HPO,HP_0003051,Abnormal increase in size of one or more metaphyses.
HP_0003052,HP_0003052,HPO,HP_0003052,
Epiphyseal deformities of tubular bones,Epiphyseal deformities of tubular bones,HPO,HP_0003053,
HP_0003054,HP_0003054,HPO,HP_0003054,
HP_0003055,HP_0003055,HPO,HP_0003055,
HP_0003056,HP_0003056,HPO,HP_0003056,
Tetraamelia,Tetraamelia,HPO,HP_0003057,Amelia of all four limbs.
HP_0003058,HP_0003058,HPO,HP_0003058,
Abnormality of the radioulnar joints,Abnormality of the radioulnar joints,HPO,HP_0003059,
HP_0003060,HP_0003060,HPO,HP_0003060,
HP_0003061,HP_0003061,HPO,HP_0003061,
HP_0003062,HP_0003062,HPO,HP_0003062,
Abnormality of the humerus,Abnormality of the humerus,HPO,HP_0003063,"An abnormality of the humerus (i.e., upper arm bone)."
HP_0003064,HP_0003064,HPO,HP_0003064,
Patellar hypoplasia,Patellar hypoplasia,HPO,HP_0003065,Underdevelopment of the patella.
Limited knee extension,Limited knee extension,HPO,HP_0003066,
Madelung deformity,Madelung deformity,HPO,HP_0003067,"An anomaly related to partial closure, or failure of development of the ulnar side of the distal radial growth plate, which results in an arrest of epiphyseal growth of the medial and volar portions of the distal radius. This leads to shortening of the radius and relative overgrowth of the ulna."
Madelung-like forearm deformities,Madelung-like forearm deformities,HPO,HP_0003068,
HP_0003069,HP_0003069,HPO,HP_0003069,
Elbow ankylosis,Elbow ankylosis,HPO,HP_0003070,
Flattened epiphysis,Flattened epiphysis,HPO,HP_0003071,Abnormal flatness (decreased height) of epiphyses.
Hypercalcemia,Hypercalcemia,HPO,HP_0003072,An abnormally increased calcium concentration in the blood.
Hypoalbuminemia,Hypoalbuminemia,HPO,HP_0003073,Reduction in the concentration of albumin in the blood.
Hyperglycemia,Hyperglycemia,HPO,HP_0003074,An increased concentration of glucose in the blood.
Hypoproteinemia,Hypoproteinemia,HPO,HP_0003075,A decreased concentration of protein in the blood.
Glycosuria,Glycosuria,HPO,HP_0003076,"An increased concentration of glucose in the urine.|Glycosuria, the excretion of abnormal amounts of glucose in the urine, generally results in osmotic diuresis."
Hyperlipidemia,Hyperlipidemia,HPO,HP_0003077,"An elevated lipid concentration in the blood.|Hyperlipidemia is an elevation of the blood levels of lipids including primarily cholesterol, phospholipids and triglycerides and cholesterol esters. The lipids are transported on lipoproteins some of which are commonly used for clinical measurements, including chylomicrons, very-low density lipoproteins (VLDL), intermediate-density lipoproteins (IDL), low-density lipoproteins, and high-density lipoproteins (HDL)."
HP_0003078,HP_0003078,HPO,HP_0003078,
Defective DNA repair after ultraviolet radiation damage,Defective DNA repair after ultraviolet radiation damage,HPO,HP_0003079,
Hydroxyprolinuria,Hydroxyprolinuria,HPO,HP_0003080,An increased concentration of 4-hydroxy-L-proline in the urine.
Increased urinary potassium,Increased urinary potassium,HPO,HP_0003081,An increased concentration of potassium(1+) in the urine.
HP_0003082,HP_0003082,HPO,HP_0003082,
Dislocated radial head,Dislocated radial head,HPO,HP_0003083,A dislocation of the head of the radius from its socket in the elbow joint.
Fractures of the long bones,Fractures of the long bones,HPO,HP_0003084,"An increased tendency to fractures of the long bones (Mainly, the femur, tibia, fibula,humerus, radius, and ulna)."
Long fibula,Long fibula,HPO,HP_0003085,Disproportionately long fibulae.
Acromesomelia,Acromesomelia,HPO,HP_0003086,Small hands and feet.
HP_0003087,HP_0003087,HPO,HP_0003087,
Premature osteoarthritis,Premature osteoarthritis,HPO,HP_0003088,
Hamstring contractures,Hamstring contractures,HPO,HP_0003089,
Hypoplasia of the capital femoral epiphysis,Hypoplasia of the capital femoral epiphysis,HPO,HP_0003090,Underdevelopment of the proximal epiphysis of the femur.
Trophic limb changes,Trophic limb changes,HPO,HP_0003091,Trophic changes occurring in a limb.
HP_0003092,HP_0003092,HPO,HP_0003092,
Limited hip extension,Limited hip extension,HPO,HP_0003093,"Limitation of the extension of the hip, i.e., decreased ability to straighten the hip joint and thereby increase the angle between torso and thigh; moving the thigh or top of the pelvis backward.|Reduced ability to straighten out the femur."
HP_0003094,HP_0003094,HPO,HP_0003094,
Septic arthritis,Septic arthritis,HPO,HP_0003095,
HP_0003096,HP_0003096,HPO,HP_0003096,
Short femur,Short femur,HPO,HP_0003097,An abnormal shortening of the femur.
HP_0003098,HP_0003098,HPO,HP_0003098,
Fibular overgrowth,Fibular overgrowth,HPO,HP_0003099,Relatively increased growth of the fibula compared to that of the tibia.
Slender long bone,Slender long bone,HPO,HP_0003100,Reduced diameter of a long bone.
HP_0003101,HP_0003101,HPO,HP_0003101,
Increased carrying angle,Increased carrying angle,HPO,HP_0003102,"An abnormal increase in the carrying angle, which is the angle he long axis of the extended forearm as it lies lateral to the long axis of the arm.|Anatomically, the carrying angle in human adults is approximately 10 degrees in men and 13 degrees in women. Increasing the carrying angle may lead to elbow instability and pain during exercise or in throwing activities of sports, may reduce function of elbow flexion, predispose to risk of elbow dislocation, and increase evidence of elbow fracture when falling on the outstretched hand and fracture of the distal humeral epiphysis."
Abnormal cortical bone morphology,Abnormal cortical bone morphology,HPO,HP_0003103,"An abnormality of compact bone (also known as cortical bone), which forms the dense surface of bones."
HP_0003104,HP_0003104,HPO,HP_0003104,
Protuberances at ends of long bones,Protuberances at ends of long bones,HPO,HP_0003105,"The presence of multiple protuberances (bulges, or knobs) at the ends of the long bones."
Subperiosteal bone resorption,Subperiosteal bone resorption,HPO,HP_0003106,Loss of bone mass occurring beneath the periosteum (the periosteum is the connective-tissue membrane that surrounds all bones except at the articular surfaces). This process may create a serrated and lace-like appearance in periosteal cortical bone.
Abnormal circulating cholesterol concentration,Abnormal circulating cholesterol concentration,HPO,HP_0003107,Any deviation from the normal concentration of cholesterol in the blood circulation.
Hyperglycinuria,Hyperglycinuria,HPO,HP_0003108,An increased concentration of glycine in the urine.|Normal urinary glycine total (free and combined form) excretion is around 450 mg per 24 hours.
Hyperphosphaturia,Hyperphosphaturia,HPO,HP_0003109,An increased excretion of phosphates in the urine.
Abnormality of urine homeostasis,Abnormality of urine homeostasis,HPO,HP_0003110,An abnormality of the composition of urine or the levels of its components.
Abnormal blood ion concentration,Abnormal blood ion concentration,HPO,HP_0003111,Abnormality of the homeostasis (concentration) of a monoatomic ion.
Abnormality of serum amino acid level,Abnormality of serum amino acid level,HPO,HP_0003112,The presence of an abnormal decrease or increase of one or more amino acids in the blood circulation.
Hypochloremia,Hypochloremia,HPO,HP_0003113,An abnormally decreased chloride concentration in the blood.
obsolete Abnormal cardiological findings,obsolete Abnormal cardiological findings,HPO,HP_0003114,
Abnormal EKG,Abnormal EKG,HPO,HP_0003115,Abnormal rhythm of the heart.
Abnormal echocardiogram,Abnormal echocardiogram,HPO,HP_0003116,"An abnormality detectable by sonography of the heart (echocardiography).|Note that while structural heart anomalies can cause abnormal echocardiograpy findings, structural abnormalities are detectable by multiple imaging modalities and should be coded using terms from the hierarchy under 'Abnormality of cardiac morphology' (HP:0001627)."
Abnormal circulating hormone level,Abnormal circulating hormone level,HPO,HP_0003117,An abnormal concentration of a hormone in the blood.
Increased circulating cortisol level,Increased circulating cortisol level,HPO,HP_0003118,"Overproduction of the hormone of cortisol by the adrenal cortex, resulting in a characteristic combination of clinical symptoms termed Cushing syndrome, with truncal obesity, a round, full face, striae atrophicae and acne, muscle weakness, and other features."
Abnormal circulating lipid concentration,Abnormal circulating lipid concentration,HPO,HP_0003119,"An abnormality in the of lipid metabolism.|According to CHEBI:18059 'Lipids' is a loosely defined term for substances of biological origin that are soluble in nonpolar solvents. They consist of saponifiable lipids, such as glycerides (fats and oils) and phospholipids, as well as nonsaponifiable lipids, principally steroids."
HP_0003120,HP_0003120,HPO,HP_0003120,
Limb joint contracture,Limb joint contracture,HPO,HP_0003121,"A contrqacture (chronic loss of joint motion due to structural changes in muscle, tendons, ligaments, or skin) that prevent normal movement of one or more joints of the limbs."
HP_0003122,HP_0003122,HPO,HP_0003122,
HP_0003123,HP_0003123,HPO,HP_0003123,
Hypercholesterolemia,Hypercholesterolemia,HPO,HP_0003124,An increased concentration of cholesterol in the blood.
Reduced factor VIII activity,Reduced factor VIII activity,HPO,HP_0003125,"Reduced activity of coagulation factor VIII. Factor VIII (fVIII) is a cofactor in the intrinsic clotting cascade that is activated to fVIIIa in the presence of minute quantities of thrombin. fVIIIa acts as a receptor, for factors IXa and X."
Low-molecular-weight proteinuria,Low-molecular-weight proteinuria,HPO,HP_0003126,Excretion in urine of proteins of a size smaller than albumin (molecular weight 69 kD).
Hypocalciuria,Hypocalciuria,HPO,HP_0003127,An abnormally decreased calcium concentration in the urine.
Lactic acidosis,Lactic acidosis,HPO,HP_0003128,"An abnormal buildup of lactic acid in the body, leading to acidification of the blood and other bodily fluids.|Note that the term acidemia is used to describe the state of low pH in the blood, whereas acidosis is used to describe the processes that lead to acidemia. In medical jargon, however, the two terms are used interchangeably."
HP_0003129,HP_0003129,HPO,HP_0003129,
Abnormal peripheral myelination,Abnormal peripheral myelination,HPO,HP_0003130,"An abnormality of the myelination of motor and sensory peripheral nerves. These are axons for motor nerves and dendrites for sensory nerves in the strict anatomic sense.|This finding may be observed upon biopsy of the sural nerve. Myelination, i.e., the presence of a segmented lipid-rich sheath (myelin), enables faster and more energetically efficient conduction of electrical impulses. The sheath is formed by the cell membranes of Schwann cells in the peripheral nervous system (GO:0022011)."
Cystinuria,Cystinuria,HPO,HP_0003131,An increased concentration of cystine in the urine.|Cystine is a sulfur-containing amino acid.
HP_0003132,HP_0003132,HPO,HP_0003132,
Abnormality of the spinocerebellar tracts,Abnormality of the spinocerebellar tracts,HPO,HP_0003133,"An abnormality of the spinocerebellar tracts, a set of axonal fibers originating in the spinal cord and terminating in the ipsilateral cerebellum. The spinocerebellar tract convey information to the cerebellum about limb and joint position (proprioception). They comprise the ventral spinocerebellar tract, the anterior spinocerebellar tract, and the posterior spinocerebellar tract."
Abnormality of peripheral nerve conduction,Abnormality of peripheral nerve conduction,HPO,HP_0003134,"An abnormality of the conduction of electrical impulses by peripheral (motor or sensory) nerves. This finding is elicited by a nerve conduction study (NCS).|A nerve conduction study (NCS) is commonly conducted together with electromyography in order to evaluate muscle disorders. For the NCS, dermal electrodes are placed at intervals over the nerve to be examined, and a low-intensity current is introducted to generate action potentials. The velocity of the action potential is related to the diameter of the nerve fiber and the presence of a myelin sheath. Diseases of the myelin sheath characteristically reduce the nerve conduction velocity (NCV). The amplitude of the response is also measured."
HP_0003135,HP_0003135,HPO,HP_0003135,
HP_0003136,HP_0003136,HPO,HP_0003136,
Prolinuria,Prolinuria,HPO,HP_0003137,An increased concentration of proline in the urine.|Normal urinary proline total (free and combined form) excretion is around 40 mg per 24 hours.
Increased blood urea nitrogen,Increased blood urea nitrogen,HPO,HP_0003138,An increased amount of nitrogen in the form of urea in the blood.
Panhypogammaglobulinemia,Panhypogammaglobulinemia,HPO,HP_0003139,A reduction in the circulating levels of all the major classes of immunoglobulin. is characterized by profound decreases in all classes of immunoglobulin with an absence of circulating B lymphocytes.
T-wave inversion in the right precordial leads,T-wave inversion in the right precordial leads,HPO,HP_0003140,
Increased LDL cholesterol concentration,Increased LDL cholesterol concentration,HPO,HP_0003141,An elevated concentration of low-density lipoprotein cholesterol in the blood.
Excessive purine production,Excessive purine production,HPO,HP_0003142,
HP_0003143,HP_0003143,HPO,HP_0003143,
Increased serum serotonin,Increased serum serotonin,HPO,HP_0003144,A increased concentration of serotonin in the blood.
Decreased adenosylcobalamin,Decreased adenosylcobalamin,HPO,HP_0003145,Decreased concentration of adenosylcobalamin. Adenosylcobalamin is one of the active forms of vitamin B12.
Hypocholesterolemia,Hypocholesterolemia,HPO,HP_0003146,An decreased concentration of cholesterol in the blood.
HP_0003147,HP_0003147,HPO,HP_0003147,
Elevated serum acid phosphatase,Elevated serum acid phosphatase,HPO,HP_0003148,Acid phosphatase can free attached phosphate groups from other molecules. It is a lysosomal enzyme.
Hyperuricosuria,Hyperuricosuria,HPO,HP_0003149,An abnormally high level of uric acid in the urine.
Glutaric aciduria,Glutaric aciduria,HPO,HP_0003150,An increased concentration of glutaric acid in the urine.
HP_0003151,HP_0003151,HPO,HP_0003151,
"Increased serum 1,25-dihydroxyvitamin D3","Increased serum 1,25-dihydroxyvitamin D3",HPO,HP_0003152,
Cystathioninuria,Cystathioninuria,HPO,HP_0003153,An elevated urinary concentration of cystathionine.|Cystathionine can be directly interconverted to cysteine. Normal cystathione urinary values are under 150 micromole per gram creatinine.
Increased circulating ACTH level,Increased circulating ACTH level,HPO,HP_0003154,"An abnormal increased in the concentration of corticotropin, also known as adrenocorticotropic hormone (ACTH), in the blood."
Elevated alkaline phosphatase,Elevated alkaline phosphatase,HPO,HP_0003155,Abnormally increased serum levels of alkaline phosphatase activity.
HP_0003156,HP_0003156,HPO,HP_0003156,
HP_0003157,HP_0003157,HPO,HP_0003157,
Hyposthenuria,Hyposthenuria,HPO,HP_0003158,"An abnormally low urinary specific gravity, i.e., reduced concentration of solutes in the urine.|Hyposthenuria may occur with impaired renal concentrating power or upon abnormally low hormonal stimulation, as in diabetes insipidus."
Hyperoxaluria,Hyperoxaluria,HPO,HP_0003159,Increased excretion of oxalates in the urine.
Abnormal isoelectric focusing of serum transferrin,Abnormal isoelectric focusing of serum transferrin,HPO,HP_0003160,"Glycosylated transferrin concentrations can be measured in serum as a marker of N-linked glycosylation fidelity. In the traditional nomenclature for congenital disorders of glycosylation, absence of entire glycans was designated type I, and loss of one or more monosaccharides as type II. These terms are retained for historical reasons but for new annotations the precise glycosylation defect should be recorded.|Human serum transferrin has two N-glycosylation sites, which are normally both fully occupied by disialylated biantennary glycans to generate tetrasialotransferrin."
4-Hydroxyphenylpyruvic aciduria,4-Hydroxyphenylpyruvic aciduria,HPO,HP_0003161,Increased concentration of pyruvic acid in the urine.
Fasting hypoglycemia,Fasting hypoglycemia,HPO,HP_0003162,
Elevated urinary delta-aminolevulinic acid,Elevated urinary delta-aminolevulinic acid,HPO,HP_0003163,An increased concentration of 5-aminolevulinic acid (CHEBI:17549) in the urine.|Delta-aminolevulinic acid synthesis is a rate-controlling step in heme synthesis.
Hypothalamic gonadotropin-releasing hormone deficiency,Hypothalamic gonadotropin-releasing hormone deficiency,HPO,HP_0003164,
Elevated circulating parathyroid hormone level,Elevated circulating parathyroid hormone level,HPO,HP_0003165,An abnormal increased concentration of parathyroid hormone.
Increased urinary taurine,Increased urinary taurine,HPO,HP_0003166,Increased concentration of taurine in the urine.
Carnosinuria,Carnosinuria,HPO,HP_0003167,An increased concentration of carnosine in the urine.|Carnosine is the N-(beta-alanyl) derivative of L-histidine.
Dibasicaminoaciduria,Dibasicaminoaciduria,HPO,HP_0003168,
HP_0003169,HP_0003169,HPO,HP_0003169,
Abnormality of the acetabulum,Abnormality of the acetabulum,HPO,HP_0003170,"An abnormality of the acetabulum, i.e., the Acetabular part of hip bone, which together with the head of the femur forms the hip joint."
HP_0003171,HP_0003171,HPO,HP_0003171,
Abnormality of the pubic bone,Abnormality of the pubic bone,HPO,HP_0003172,"An anomaly of the the pubic bone, i.e., of the ventral and anterior of the three principal components (publis, ilium, ischium) of the hip bone."
Hypoplastic pubic bone,Hypoplastic pubic bone,HPO,HP_0003173,"Underdevelopment of the pubis, which together with the ilium and the ischium, is one of the three bones that make up the hip bone."
Abnormality of the ischium,Abnormality of the ischium,HPO,HP_0003174,"An anomaly of the ischium, which forms the lower and back part of the hip bone.|The ischium, together with the ilium and the pubis, forms the hip bone (os coxae)."
Hypoplastic ischia,Hypoplastic ischia,HPO,HP_0003175,"Underdevelopment of the ischium, which forms the lower and back part of the hip bone."
HP_0003176,HP_0003176,HPO,HP_0003176,
Squared iliac bones,Squared iliac bones,HPO,HP_0003177,A shift from the normally round (convex) appearance of the iliac wing towards a square-like appearance.
HP_0003178,HP_0003178,HPO,HP_0003178,
Protrusio acetabuli,Protrusio acetabuli,HPO,HP_0003179,"Intrapelvic bulging of the medial acetabular wall.|Protrusion of the acetabulum, which is the socket that together with the head of the femur forms the hip joint. The protrusion is the result of increased depth of the socket and results in medial displacement of the femoral head."
Flat acetabular roof,Flat acetabular roof,HPO,HP_0003180,"Flattening of the superior part of the acetabulum, which is a cup-shaped cavity at the base of the hipbone into which the ball-shaped head of the femur fits. The acetabular roof thereby appears horizontal rather than arched, as it normally does."
HP_0003181,HP_0003181,HPO,HP_0003181,
Shallow acetabular fossae,Shallow acetabular fossae,HPO,HP_0003182,
Wide pubic symphysis,Wide pubic symphysis,HPO,HP_0003183,Abnormally increased width of the pubic symphysis is the midline cartilaginous joint uniting the superior rami of the left and right pubic bones.
Decreased hip abduction,Decreased hip abduction,HPO,HP_0003184,Reduced ability to move the femur outward to the side.
Short greater sciatic notch,Short greater sciatic notch,HPO,HP_0003185,"The sacroiliac joint in the bony pelvis connects the sacrum and the ilium of the pelvis, which are joined by strong ligaments. The notch is located directly superior to the joint. This term refers to a reduction in the height of the notch."
Inverted nipples,Inverted nipples,HPO,HP_0003186,The presence of nipples that instead of pointing outward are retracted inwards.
Breast hypoplasia,Breast hypoplasia,HPO,HP_0003187,Underdevelopment of the breast.
HP_0003188,HP_0003188,HPO,HP_0003188,
Long nose,Long nose,HPO,HP_0003189,"Distance from nasion to subnasale more than two standard deviations above the mean, or alternatively, an apparently increased length from the nasal root to the nasal base."
HP_0003190,HP_0003190,HPO,HP_0003190,
Cleft ala nasi,Cleft ala nasi,HPO,HP_0003191,"The presence of a notch in the margin of the ala nasi.|The alae nasi are the lateral portions of the nose or the wings of the nostrils, which partly encircle the nostrils (nares). They are usually about the width of the columella, but vary greatly depending on the shape of the nostril. Note that individuals may be described as having a cleft ala nasi, but have a severely Underdeveloped ala nasi. In an underdeveloped ala the continuity of the tissue encircling the nostril is undisturbed while in a cleft it is disrupted. The term coloboma has been replaced because a coloboma is a remnant of a physiologically occurring discontinuity of tissue; the alae nasi do not have such a discontinuity."
HP_0003192,HP_0003192,HPO,HP_0003192,
Allergic rhinitis,Allergic rhinitis,HPO,HP_0003193,"It is characterized by one or more symptoms including sneezing, itching, nasal congestion, and rhinorrhea."
Short nasal bridge,Short nasal bridge,HPO,HP_0003194,
HP_0003195,HP_0003195,HPO,HP_0003195,
Short nose,Short nose,HPO,HP_0003196,"Distance from nasion to subnasale more than two standard deviations below the mean, or alternatively, an apparently decreased length from the nasal root to the nasal tip.|Note: a small nose has both decreased height and a decreased width. These should be coded separately."
HP_0003197,HP_0003197,HPO,HP_0003197,
Myopathy,Myopathy,HPO,HP_0003198,A disorder of muscle unrelated to impairment of innervation or neuromuscular junction.|The diagnosis of myopathy is often confirmed on the basis of myopathic changes in muscle biopsy.
Decreased muscle mass,Decreased muscle mass,HPO,HP_0003199,
