providerIdentifier,organisation,hasSubmittedData
00vr94b03,"Katholisches Klinikum Lünen/Werne , St.-Marien-Hospital Lünen",False
0270sxy44,Paracelsus Elena Klinik Kassel,False
043yfh051,Prof. Hess Kinderklinik,True
05yj9kv10,Salus-Fachklinikum Uchtspringe Klinik für Allgemeine Psychiatrie und Psychotherapie,False
019jjbt65,St. Josefs Hospital,True
05ydfbx15,Klinikum St. Marien Amberg,False
01p51xv55,St. Marien Hospital,True
038p55355,Altonaer Kinderkrankenhaus,True
00b06cz11,Kinderkrankenhaus auf der Bult,True
02av38n71,HELIOS St. Elisabeth Klinik Oberhausen,False
00pbgsg09,Asklepios Klinik Altona,False
02q7ym472,Helios Park-Klinikum Leipzig,True
00hpwje09,Tierärztliche Praxis für Neurologie,True
00pz7qc35,Ortenau Klinikum,False
01hpg6340,Grönemeyer Institute for MicroTherapy,False
0184f7469,Alb Fils Kliniken,False
0387raj07,Asklepios Klinik St. Georg,False
05jw2mx52,BG Klinikum Hamburg,False
01ybqnp73,Katholisches Klinikum Essen,True
05w0gx844,Kinderklinik Regensburg,True
00b06cz11,Kinderkrankenhaus auf der Bult,False
02av38n71,HELIOS St. Elisabeth Klinik Oberhausen,True
00pbgsg09,Asklepios Klinik Altona,True
02q7ym472,Helios Park-Klinikum Leipzig,False
00hpwje09,Tierärztliche Praxis für Neurologie,False
00pz7qc35,Ortenau Klinikum,True
01hpg6340,Grönemeyer Institute for MicroTherapy,False
0184f7469,Alb Fils Kliniken,False
0387raj07,Asklepios Klinik St. Georg,False
05jw2mx52,BG Klinikum Hamburg,True
01ybqnp73,Katholisches Klinikum Essen,True
05w0gx844,Kinderklinik Regensburg,False
033kyng81,Diakonissenkrankenhaus,True
0257syp95,Friedrich-Ebert-Krankenhaus,False
02506kf89,Klinikum Weiden,True
05wx3dm75,Krankenhaus Köln-Holweide,False
02f5aec20,Hegau-Bodensee-Klinikum Singen,True
056agx034,"Krankenhaus Neuwerk ""Maria von den Aposteln""",False
04wkp4f46,Klinikum Chemnitz,True
0360yvh71,Krankenhaus Lindenbrunn,True
03rfk3a08,St. Vincenz-Krankenhaus Limburg,True
04tf09b52,St.-Johannes-Hospital Dortmund,True
01s3wfa18,Schüchtermann-Klinik,False
0360rgf68,Sophien-und Hufeland Klinikum,False
01t4pxk43,St. Bernward Krankenhaus,False
04jhrwr82,St. Joseph-Krankenhaus,True
010mck520,Universitäres Kinderwunschzentrum Lübeck,False
011zjcv36,Unfallkrankenhaus Berlin,True
030xgr181,Vinzenz Pallotti Hospital Bensberg,False
0551mkt91,St. Remigius Krankenhaus Opladen,True
05k5t2r42,Katholisches Klinikum Bochum,False
03hxbk195,Kliniken der Stadt Köln,True
051nfce45,Endokrinologikum,False
03v958f45,Kliniken Essen-Mitte,False
04bkje958,Kliniken Schmieder,False
00nrggp23,Klinikum Vest,False
02b8bdw43,"Praxisklinik für Orthopädie, Unfall- und Neurochirurgie",False
050phcn63,LVR-Klinik Köln,False
00xv9sn23,Martin-Luther-Krankenhaus,False
036d7m178,Klinikum Bielefeld,True
030xgr181,Vinzenz Pallotti Hospital Bensberg,False
0551mkt91,St. Remigius Krankenhaus Opladen,True
05k5t2r42,Katholisches Klinikum Bochum,True
03hxbk195,Kliniken der Stadt Köln,False
051nfce45,Endokrinologikum,True
03v958f45,Kliniken Essen-Mitte,True
04bkje958,Kliniken Schmieder,False
00nrggp23,Klinikum Vest,False
02b8bdw43,"Praxisklinik für Orthopädie, Unfall- und Neurochirurgie",False
050phcn63,LVR-Klinik Köln,False
00xv9sn23,Martin-Luther-Krankenhaus,False
036d7m178,Klinikum Bielefeld,False
04fe46645,University Hospital in Halle,False
003tsz145,Frauenklinik der Technischen Universität München,False
02dnes125,Knappschaftskrankenhaus Recklinghausen,False
024j3hn90,Universitätsklinikum Knappschaftskrankenhaus Bochum,False
02rppq041,Krankenhaus Nordwest,False
01abhta88,Aus- und Weiterbildungseinrichtung für Klinische Verhaltenstherapie,False
0205x2f04,Allgemeines Krankenhaus Celle,False
05fe3fx56,Chirurgische Universitätsklinik Heidelberg,False
01fgmnw14,Berufsgenossenschaftliche Unfallklinik Murnau,True
05s18kz11,Fachklinik Hornheide,True
02pdsdw78,Krankenhaus Barmherzige Brüder,False
0446n1b44,Schwarzwald-Baar Klinikum,True
03ftwc024,Marienhospital Arnsberg,False
00gw6fh23,Klinikum Hanau,True
005j0cx32,Augenklinik Heidelberg,True
02js38076,Frauenklinik Heidelberg,True
023m9rp24,Hautklinik Heidelberg,True
0246zee65,Hals- Nasen- und Ohrenklinik Gießen,False
037tkh273,"Universitätsklinik für Hals-, Nasen- und Ohrenheilkunde",True
03941w909,Zentrum für Kinderheilkunde,False
009nhnc47,"Klinik und Poliklinik für Hals-, Nasen-, Ohrenheilkunde",False
00zfe1b87,Zentralklinik Bad Berka,False
00qcpjs09,Klinikum Görlitz,True
02y8hn179,Klinikum St. Georg,False
05qfkt964,Fördergemeinschaft Deutsche Kinderherzzentren,True
008htsm20,Sana Kliniken Duisburg,False
007y22n43,Gesundheitszentrum Bitterfeld,True
04hbwba26,German Heart Centre,False
056bp6y70,Nuklearmedizinische Klinik des Klinikums rechts der Isar,False
00gj8pr18,Städtisches Klinikum Dessau,True
02k8pys83,Christophorus Kliniken,True
03v2aht94,Franziskushospital Aachen,False
04fjdwh53,Institut für Krankenhaushygiene & Infektionsprävention,True
01hmams76,Klinik Friedenweiler,False
0070x6033,Klinik Preetz,True
037pq2a43,Klinikum Dortmund,False
01kkgy069,Klinikum Itzehoe,True
01trdns33,Klinikum Magdeburg,False
00k01hv15,Regionalverbund kirchlicher Krankenhäuser,True
02xwjjw58,Agaplesion Bethesda Krankenhaus,False
014vqnj59,Krankenhaus der Augustinerinnen,False
055z45c63,Immanuel Krankenhaus,False
05kvypp26,Medias Klinikum,False
01bb7mj11,Ostalb-Klinikum Aalen,True
03aervg81,Klinik für Psychosomatik,False
04qva2v49,LVR-Klinik für Orthopädie Viersen,False
05tyzry72,Werner-Wicker-Klinik,False
039v0g264,Zentrum für Psychotherapie Wiesbaden,False
04gh6x779,Caritas-Krankenhaus Bad Mergentheim,False
00a1cc659,Asklepios Fachklinikum Brandenburg,False
040f4cr30,Asklepios Klinik Weißenfels,False
008vra347,DIAKO,False
0124s1j61,Evangelisches Krankenhaus Kalk,False
01vnr7x82,Diabetes-Zentrum Quakenbrück,True
008xb1b94,Elisabeth-Krankenhaus Essen,True
04zf2bt80,Diakonie-Klinikum Stuttgart,False
03h07zp96,Evangelisches Krankenhaus Alsterdorf,False
04ncnj403,HELIOS Albert-Schweitzer-Klinik Northeim,False
01p35qm90,HNO-Praxis,False
02jsxnc12,Klinikum Arnsberg,True
05d89kr76,Johannes Wesling Klinikum Minden,True
00q0pf015,Krankenhaus vom Roten Kreuz,False
010xk1v64,Klinik Schongau,False
05aar4096,Krankenhaus Porz am Rhein,False
03egnwz74,Krankenhaus Reinbek - Startseite,False
033ngjs02,Migräne Klinik Königstein,False
00eh6xk55,Klinikum Altenburger Land,False
03avbdx23,Pius Hospital Oldenburg,False
03h07zp96,Evangelisches Krankenhaus Alsterdorf,False
04ncnj403,HELIOS Albert-Schweitzer-Klinik Northeim,True
01p35qm90,HNO-Praxis,False
02jsxnc12,Klinikum Arnsberg,False
05d89kr76,Johannes Wesling Klinikum Minden,True
00q0pf015,Krankenhaus vom Roten Kreuz,False
010xk1v64,Klinik Schongau,True
05aar4096,Krankenhaus Porz am Rhein,True
03egnwz74,Krankenhaus Reinbek - Startseite,True
033ngjs02,Migräne Klinik Königstein,False
00eh6xk55,Klinikum Altenburger Land,False
03avbdx23,Pius Hospital Oldenburg,False
03wgek846,Praxis für Hämatologie und Onkologie,False
00kz26j88,Praxiszentrum Orthopädie Unfallchirurgie Nordrhein,False
036rgb954,RoMed Kliniken,True
006c8a128,Ruhrlandklinik,False
053zny898,SAPHIR Radiochirurgie,False
04tcsrf14,Schmerzklinik Kiel,False
05p1sde72,St. Bonifatius Hospital,True
01ah9ym33,Krankenhaus St. Elisabeth und St. Barbara,True
01zvtwr46,Medizin Campus Bodensee,False
019ygn834,Zentrum für Sprachtherapie,True
02j45y774,St. Hedwig-Krankenhaus,True
03esvmb28,"University Children's Hospital Tübingen",False
00a0bqh48,Klinik für Frauenheilkunde,True
0248h4s70,Universitäts Hautklinik Kiel,False
043yx1v14,University and Rehabilitation Clinics Ulm,True
015e4mc09,Universitäts Kinder Frauenzentrum,False
000ph9k36,Universitäts-Kinderklinik Würzburg,False
056gvz809,Klinik und Poliklinik für Augenheilkunde am Universitätsklinikum Carl Gustav Carus,False
01vzx5p25,Universitätsaugenklinik Magdeburg,False
02zmrd443,Klinik und Poliklinik für Augenheilkunde Universitätsklinikum Regensburg,False
00rwpbm87,Augenklinik Universitätsklinikum Würzburg,False
02veq1j93,Universitäts Frauenklinik,False
0501yf769,George Huntington Institute,True
01d14z762,Forschungsinstitut der Diabetes Akademie Mergentheim,False
05yjkn316,Hamburg Institute for Therapy Research,False
019wxyf39,Helios Klinik Hagen Ambrock,False
03tr83233,Institute for Interdisciplinary Medicine,True
05am1q986,Pharmalog (Germany),False
03ndabk35,Krankenhaus Bethanien,False
02nn2tc47,Arbeitsgemeinschaft Urologische Onkologie,False
02r8sh830,Helios Universitätsklinikum Wuppertal,True
03247yf20,Hernienzentrum Rottenburg am Neckar,False
05gt5r361,Marienhospital Osnabrück,True
02gg23171,"Medizinisches Versorgungszentrum Prof. Mathey, Prof. Schofer",False
03r29tc70,Lungenklinik Hemer,True
012xv2c39,Paracelsus-Harz-Klinik Bad Suderode,True
04fr6kc62,Schön Klinik Bad Aibling,True
00kpegb17,St.-Antonius-Hospital Gronau,False
03aysbj82,OncoRay,False
00s8c9279,Knappschaftsklinikum Saar,True
02ccsj972,Cnopf´sche Kinderklinik,False
02v8db677,KRH Klinikum Agnes Karll Laatzen,True
057schw20,Schön Klinik Berchtesgadener Land,False
049sttw47,STZ eyetrial,True
035btw704,Johanna-Etienne-Krankenhaus,False
018g01631,Salus Klinik,True
04dhrzj96,Aturo,True
01c127k53,Clinical Research Services,False
04fr6kc62,Schön Klinik Bad Aibling,True
00kpegb17,St.-Antonius-Hospital Gronau,True
03aysbj82,OncoRay,False
00s8c9279,Knappschaftsklinikum Saar,True
02ccsj972,Cnopf´sche Kinderklinik,True
02v8db677,KRH Klinikum Agnes Karll Laatzen,True
057schw20,Schön Klinik Berchtesgadener Land,True
049sttw47,STZ eyetrial,False
035btw704,Johanna-Etienne-Krankenhaus,True
018g01631,Salus Klinik,False
04dhrzj96,Aturo,False
01c127k53,Clinical Research Services,False
01ap05s72,Bundeswehrkrankenhaus,False
04a7kqd39,Asklepios Klinik Langen,False
036qh8f11,Augencentrum Rosenheim,False
0431amh23,Ophthalmology Clinic,True
04x747113,Evangelisches Krankenhaus Hamm,True
05fdgz909,Evangelische Kliniken Gelsenkirchen,True
037rv3j62,Klinik Blankenstein,True
05y6zv446,Capio Clinic in the Park,False
02a2sfd38,Klinikum Esslingen,True
00dvqrz49,Helios Amper-Klinikum Dachau,True
01kkj4786,BARMER GEK,True
04dg4zc02,Gemeinschaftskrankenhaus Herdecke,False
03p371b74,Herford Hospital,False
04w9ddv64,Caritas-Krankenhaus St. Josef,False
00pz61m54,Schön Klinik Hamburg Eilbek,False
03weyyh46,Asklepios Klinikum Harburg,False
054ey2125,Behandlungszentrum Aschau,True
03famzf42,Acqua Klinik,False
054fev274,Evangelisches Diakoniekrankenhaus,False
04kt7f841,Berufsgenossenschaftliche Unfallklinik Frankfurt am Main,False
058n6ep94,Bethlehem Gesundheitszentrum Stolberg,True
04w4jta18,Acura Kliniken,True
03vc76c84,BG Klinikum Duisburg,False
042g9vq32,BG Klinikum Bergmannstrost Halle,False
04x84m665,Adipositas Zentrum Oberhausen,False
04y5tkt43,BIG Direkt Gesund,True
01xfewa62,Arbeitsgemeinschaft Dermatologische Onkologie,True
05hnk1p44,Klinik für Herzchirurgie Karlsruhe,True
00pvgnv60,Fachklinik Weinböhla,False
01545pc85,Fachkrankenhaus Hubertusburg,True
05cc53v60,Fachverband SAPV Hessen,True
00ha4p191,Diakonie Klinikum Jung-Stilling,False
02x8kf546,ARCUS Sports Clinic,False
04qa46285,Dietrich Bonhoeffer Klinikum,False
049n8jv26,Diagnostic and Treatment Centre Berlin,False
03qafw071,Vitos,True
01m5mwt22,Asklepios Fachklinikum Tiefenbrunn,False
0041kxp69,Dr.Heiko Pult Optometry and Vision Research,False
02zkjhv23,Eifelklinik Manderscheid,True
05rtjbe93,Asklepios Orthopädische Klinik Lindenlohe,False
02b3z0y06,Asklepios Kliniken Schildautal,True
050pcsr04,Dr. Becker Rhein-Sieg Clinic,False
04psvb108,Elbe Kliniken Stade-Buxtehude,False
036gpm141,Asklepios Neurologische Klinik Falkenstein,False
055tk9p53,Asklepios,False
053x0fn40,IKK Classic,False
05epfm497,Hautok + Hautok Cosmetics,False
05dx5b564,Immanuel Klinikum Bernau,True
0525jdx88,Diakonie Kork,False
00g63xj11,Helios Klinik Kipfenberg,False
026rvyt77,Klinik Bavaria,False
04sr0hc76,Helios Kliniken Mittelweser,False
04y18m106,Helios Klinikum Erfurt,False
018gc9r78,Helios Hospital Schwerin,False
05hgh1g19,Helios Hospital Berlin-Buch,False
05ktfmr66,Helios Vogtland Klinikum Plauen,True
029cqm867,Hospital Krefeld-Düsseldorf,False
028v8ft65,Helios Hospital Bad Saarow,True
00jp3t114,Helios Hospital Siegburg,False
048kfq149,HIZ Berlin,False
00td6v066,Helios Klinikum Emil von Behring,False
00vppgp96,Marienhaus Klinikum Hetzelstift Neustadt,False
04b85d432,Universitäts-HNO-Klinik Heidelberg,False
01pndgw26,Klinik und Poliklinik für Hals-Nasen-Ohren-Heilkunde,True
04yx65w97,Institut für Palliative Care,False
033gvjm02,Klinik Lüneburger Heide,True
03h1j4f11,Krankenhäuser Landkreis Freudenstadt,False
02722xq19,Klinik Niederrhein,True
029cqm867,Hospital Krefeld-Düsseldorf,False
028v8ft65,Helios Hospital Bad Saarow,False
00jp3t114,Helios Hospital Siegburg,True
048kfq149,HIZ Berlin,True
00td6v066,Helios Klinikum Emil von Behring,False
00vppgp96,Marienhaus Klinikum Hetzelstift Neustadt,True
04b85d432,Universitäts-HNO-Klinik Heidelberg,False
01pndgw26,Klinik und Poliklinik für Hals-Nasen-Ohren-Heilkunde,False
04yx65w97,Institut für Palliative Care,False
033gvjm02,Klinik Lüneburger Heide,False
03h1j4f11,Krankenhäuser Landkreis Freudenstadt,True
02722xq19,Klinik Niederrhein,False
04s366p63,Klinikum Sindelfingen-Böblingen,False
00x1td960,Klinik Roderbirke,False
0059k0c96,Krankenhaus Düren,True
033x1wr64,Klinik Rosenberg,False
01dgzjt17,Krankenhaus Märkisch-Oderland,True
00esbf302,St. Elisabeth-Krankenhaus Leipzig,True
04ztvxe73,Kreiskrankenhaus Emmendingen,True
0417z1990,Klinikum Bremerhaven-Reinkenheide,True
02d6kbk83,Marienhospital Bottrop,False
01ddazc14,Marienkrankenhaus Kassel,False
02psykc67,Marienkrankenhaus Hamburg,True
02bxvq813,Klinik und Poliklinik für Frauenheilkunde und Fortpflanzungsmedizin,False
01vb5ks25,Martini-Klinik,True
04p94z953,Klinikum Rheine,False
03cr5e788,"Klinik und Poliklinik für Hals-, Nasen-, Ohrenheilkunde",False
05k64t167,Lahntalklinik,False
00za3wc71,Klinik und Poliklinik für Hautkrankheiten,True
02j0fhg41,Moritz Klinik,False
04hd04g86,Agaplesion Markus Hospital,False
0101mv631,Klinik und Poliklinik für Kinder- und Jugendmedizin,True
049g3g548,Sana Kliniken Leipziger Land,False
04pse2556,Klinik und Poliklinik für Kinder- und Jugendpsychiatrie,True
02kbfhq14,Laserklinik Karlsruhe,True
04dbahf95,"Klinik und Poliklinik für Mund-, Kiefer- und Gesichtschirurgie",True
019a9a780,Klinik König-Ludwig Haus,False
04s3ast04,Klinik und Poliklinik für Neurologie,False
00qqw1b44,Klinik und Poliklinik für Nuklearmedizin,False
05fw3y429,"Klinik und Poliklinik für Orthopädie, Physikalische Medizin und Rehabilitation",False
02mqqja67,Lungenheilkunde München-Pasing,True
01ec7fw73,Klinik und Poliklinik für Psychosomatische Medizin und Psychotherapie,True
03qv69876,Lungenklinik Köln-Merheim,True
01nwbp351,Nierenzentrum Heidelberg,False
04h616z85,LVR-Klinik Bonn,True
01trny179,Klinik und Poliklinik für Strahlentherapie und Radioonkologie,False
00gfym921,Klinik und Poliklinik für Urologie,False
0467x3v78,Orthopädische Praxis,True
056efxn58,"Klinik und Poliklinik für Urologie, Kinderurologie und Andrologie",False
002hjb015,"Klinik und Poliklinik für Mund-, Kiefer- und Plastische Gesichtschirurgie",False
01awb6242,Kliniken des Bezirks Oberbayern,True
05wsbcr05,Medprevent Ottobrunn,False
04mj3zw98,Klinikum Fürth,False
05f0cz467,Garmisch-Partenkirchen Medical Center,True
035d65343,Klinikum Ingolstadt,False
01anv7k29,Klinikum am Weissenhof,True
03z5ka349,Klinikum Konstanz,True
01249zp52,Osteopathie Plus,False
029hy6086,Klinikverbund Südwest,False
00dy6h529,Paracelsus-Klinik Osnabrück,False
056efxn58,"Klinik und Poliklinik für Urologie, Kinderurologie und Andrologie",False
002hjb015,"Klinik und Poliklinik für Mund-, Kiefer- und Plastische Gesichtschirurgie",True
01awb6242,Kliniken des Bezirks Oberbayern,False
05wsbcr05,Medprevent Ottobrunn,False
04mj3zw98,Klinikum Fürth,False
05f0cz467,Garmisch-Partenkirchen Medical Center,True
035d65343,Klinikum Ingolstadt,False
01anv7k29,Klinikum am Weissenhof,False
03z5ka349,Klinikum Konstanz,True
01249zp52,Osteopathie Plus,False
029hy6086,Klinikverbund Südwest,False
00dy6h529,Paracelsus-Klinik Osnabrück,False
05dyfnr03,Park-Klinik Birkenwerder,False
0071tdq26,Sana Klinikum Lichtenberg,False
01w1m0197,Park-Klinik Weißensee,False
05yh2yz22,Krankenhaus Jerusalem,False
055w00q26,Parkinson-Klinik Ortenau,True
01p0ze617,Sankt Gertrauden Krankenhaus,False
03y7y3w57,Parkklinik Wiesbaden Schlangenbad,True
04gj3vw69,Physiotherapie und Lauftherapie Zentrum,False
02mj1v005,Poliklinik für Präventive Zahnheilkunde und Kinderzahnheilkunde,False
00q236z92,SRH Wald-Klinikum Gera,False
03rswdy10,Poliklinik für Zahnärztliche Prothetik,False
01bavmk12,Poliklinik für Zahnärztliche Prothetik mit Propädeutik,True
020f8h126,Poliklinik für Zahnärztliche Prothetik und Werkstoffkunde,False
038esqp30,St. Elisabethen-Krankenhaus Frankfurt,False
04gpj3340,Poliklinik für Zahnerhaltung und Parodontologie,False
00nkf9b38,St. Marien- und St. Annastiftskrankenhaus,False
05scpew87,St. Josefskrankenhaus Freiburg,False
02paqmq68,St. Vinzenz Kliniken Pfronten im Allgäu,True
019v04n80,Katholisches Krankenhaus St. Johann Nepomuk,False
01arv1h94,St. Josefs-Hospital Cloppenburg,False
03dn8ag70,Kaufmännische Krankenkasse,False
00reds669,St. Mauritius Therapieklinik,True
036j3hh72,Evangelisches Krankenhaus Düsseldorf,True
03rmqr166,KfH Kuratorium für Dialyse und Nierentransplantation,False
04830hf15,Evangelisches Krankenhaus Oldenburg,False
055kyaa64,Rheinhessen-Fachklinik Mainz,False
0137q5a72,"University Clinic for Nephrology and Hypertension, Diabetology and Endocrinology",False
01ezw9n40,Orthopädische Universitätsklinik,False
05scpew87,St. Josefskrankenhaus Freiburg,True
02paqmq68,St. Vinzenz Kliniken Pfronten im Allgäu,True
019v04n80,Katholisches Krankenhaus St. Johann Nepomuk,False
01arv1h94,St. Josefs-Hospital Cloppenburg,True
03dn8ag70,Kaufmännische Krankenkasse,False
00reds669,St. Mauritius Therapieklinik,False
036j3hh72,Evangelisches Krankenhaus Düsseldorf,False
03rmqr166,KfH Kuratorium für Dialyse und Nierentransplantation,False
04830hf15,Evangelisches Krankenhaus Oldenburg,True
055kyaa64,Rheinhessen-Fachklinik Mainz,False
0137q5a72,"University Clinic for Nephrology and Hypertension, Diabetology and Endocrinology",False
01ezw9n40,Orthopädische Universitätsklinik,False
00adthh60,Vestische Caritas-Kliniken,False
05nhtke22,Vinzenzkrankenhaus Hannover,True
04kn1yz10,Rosenpark Klinik,False
053k58g56,Rückenzentrum am Michel,False
05c06xk76,Universitätsklinik für Stereotaktische Neurochirurgie,False
02w0smy45,Universitätsklinik für Strahlentherapie,False
02zvbmm61,Vitos Orthopedic Clinic Kassel,False
00mx9kh08,MEDIAN Klaus-Miehlke-Klinik Wiesbaden,True
05medrv10,Klinik und Poliklinik für Psychotherapie und Psychosomatik,False
03hw0pv02,Vogtland-Klinik,True
05gapbz32,Klinik Bad Oexen,True
03ytm9f32,Klinik Bad Reichenhall,False
02dqsp291,Universitäts-Frauenklinik des Saarlandes,False
04rr26086,Universitätskinderklinik,False
03gsjff75,Waldburg-Zeil Kliniken,False
04nqf3887,Schön Klinik Nürnberg Fürth,False
00v2d0427,Waldkrankenhaus Rudolf Elle,True
049fxhe24,Klinik Bad Bergzabern,True
001x5fb42,Therapiezentrum Harburg,False
056ha9e61,Urologische Klinik München,False
02kfmqh26,Zahnärzte an der Kleinmachnower Schleuse Stahnsdorf,False
04rwyp244,St. Maria-Hilf-Krankenhaus,False
04enecq37,Zahnklinik Bochum,True
00qbqb540,Verbundkrankenhaus Bernkastel,True
019ca7044,Starnberg Hospital,False
035f67744,Labor Pachmann,False
05kfwsr87,Wirbelsäulen-Institut München,True
03cba0s60,Klinik für Neuropädiatrie und Muskelerkrankungen,False
05gag8m64,Kreiskrankenhaus Dormagen,True
05btveq09,SLK-Kliniken Heilbronn,True
05wwp6197,Bundeswehrzentralkrankenhaus Koblenz,False
053z9ab73,Johanniter-Krankenhaus Bonn,False
01hfgpz79,Paracelsus-Klinik Golzheim Düsseldorf,False
04dc9g452,Klinikum Osnabrück,False
04jpkas74,Albertinen Diakoniewerk,False
021wky884,St. Vincentius-Kliniken,False
01wwsba50,Zentrum für Rhinologie und Allergologie,False
01dfmc653,Krankenhaus Sachsenhausen,False
02mwtkt95,German Center for Pediatric and Adolescent Rheumatology,False
05r2e4v78,BDH-Klinik Elzach,False
05pef1484,Klinikum Links der Weser,False
01ayxmp98,St. Marien-Hospital Bonn,True
01s0fdm87,Malteser Waldkrankenhaus Erlangen,False
01wvejv85,Kliniken Maria Hilf,False
02awzpt50,Agaplesion Frankfurter Diakonie Kliniken,False
036j7xe27,Augusta-Kranken-Anstalt,False
02rx89054,Die Paracelsus Heilpraktikerschulen,False
03daz6p93,Evangelisches Klinikum Köln Weyertal,True
01wwsba50,Zentrum für Rhinologie und Allergologie,False
01dfmc653,Krankenhaus Sachsenhausen,True
02mwtkt95,German Center for Pediatric and Adolescent Rheumatology,True
05r2e4v78,BDH-Klinik Elzach,True
05pef1484,Klinikum Links der Weser,False
01ayxmp98,St. Marien-Hospital Bonn,True
01s0fdm87,Malteser Waldkrankenhaus Erlangen,False
01wvejv85,Kliniken Maria Hilf,True
02awzpt50,Agaplesion Frankfurter Diakonie Kliniken,True
036j7xe27,Augusta-Kranken-Anstalt,False
02rx89054,Die Paracelsus Heilpraktikerschulen,True
03daz6p93,Evangelisches Klinikum Köln Weyertal,False
042a1e381,Clemenshospital Münster,False
03sz41d72,Südharz Klinikum,True
01eggt963,Klinikum Lüdenscheid,False
05h1ag309,Marienhospital Gelsenkirchen,False
05qeebj02,Medizinische Einrichtungen des Bezirks Oberpfalz,False
03snh5g40,Ameos Klinikum Inntal,False
02s7xpw31,St. Josef Krankenhaus,False
05yk1x869,Bezirkskrankenhaus Augsburg,False
04xcr2824,St. Anna Hospital,True
00ts92x19,Bürgerhospital Frankfurt am Main,False
00qkegp41,cts CaritasKlinikum Saarbrücken,False
040gtvq30,Helios Endo-Klinik Hamburg,False
02sk64d67,Inn-Salzach-Klinikum,True
03n1jcy96,DRK Krankenhaus Altenkirchen-Hachenburg,False
05bbr1905,Nephrologisches Zentrum Emsland,True
0137nq929,Nephrologisches Zentrum Villingen-Schwenningen,False
03twgdg85,Medizinische Zentrum für Gesundheit,False
04h54m622,Gemeinschaftsklinikum Mittelrhein,False
02hs0x989,BDH-Klinik Hessisch Oldendorf,True
050208923,DRK-Blutspendedienst Baden-Württemberg - Hessen,False
01rfxdq93,Evangelisches Krankenhaus Oberhausen,False
052n2ew56,DRK Bezirksverband Frankfurt,False
04c3mjk87,DRK Landesverband Rheinland-Pfalz,False
05mmb8j87,Gollwitzer-Meier-Klinik,False
00y9hdv35,Institut für Hämatopathologie Hamburg,False
02mwnke68,Brüderkrankenhaus St. Josef Paderborn,False
02am8se85,Klinik für Schweine,True
02epb4723,Klinik St. Irmingard,False
05rwdv390,München Klinik Neuperlach,True
03a7e0x93,München Klinik Harlaching,False
00xgdcy02,Hermann-Josef-Krankenhaus Erkelenz,False
05n0xah55,Ev. Diakonissenkrankenhaus Leipzig,True
0125nre22,Kreisklinik Trostberg,False
02tkd3t39,WEK Tierarzt,False
03bekaf83,Kardiologie Frankfurt-Sachsenhausen,False
02ht65c11,SPZ Frankfurt Mitte,True
005y23t65,Schön Klinik Vogtareuth,True
04zj3zq12,Fachklinik für Neurologie Dietenbronn,True
02nyezm25,Mammazentrum Hamburg,False
0031sqt67,Schmerzmedizin Berlin,False
05jfz9645,Comprehensive Cancer Center Erlangen,False
0515r0e39,Epilepsiezentrum Kleinwachau Gemeinnützige,True
0494d5694,Neurologisches Rehabilitationszentrum Quellenhof Bad Wildbad,False
013tmk464,Comprehensive Cancer Center Mainfranken,True
045pvax67,Zentrum für Pränataldiagnostik,False
04nkkrh90,LWL-Universitätsklinikum Bochum,False
041fcgy60,Marien Hospital Witten,True
05vv9dr68,Medizinisches Zentrum für Seelische Gesundheit,False
005y23t65,Schön Klinik Vogtareuth,False
04zj3zq12,Fachklinik für Neurologie Dietenbronn,True
02nyezm25,Mammazentrum Hamburg,True
0031sqt67,Schmerzmedizin Berlin,False
05jfz9645,Comprehensive Cancer Center Erlangen,False
0515r0e39,Epilepsiezentrum Kleinwachau Gemeinnützige,False
0494d5694,Neurologisches Rehabilitationszentrum Quellenhof Bad Wildbad,False
013tmk464,Comprehensive Cancer Center Mainfranken,False
045pvax67,Zentrum für Pränataldiagnostik,False
04nkkrh90,LWL-Universitätsklinikum Bochum,True
041fcgy60,Marien Hospital Witten,False
05vv9dr68,Medizinisches Zentrum für Seelische Gesundheit,False
04zzd2n41,"Krankenhaus Lübbecke-Rahden, Universitätsklinik für Psychiatrie und Psychotherapie",False
01c577389,"Krankenhaus Lübbecke-Rahden, Universitätsklinik für Psychosomatik und Psychotherapie",True
05w1kdn42,LWL-Universitätsklinik Hamm,False
00mznnx78,Auguste-Viktoria-Klinik,False
01mxnn839,St. Elisabeth-Hospital Bochum,False
04ehrwx42,Fachkrankenhaus Kloster Grafschaft,True
00xdsr520,MetabERN,True
04jmqe852,Klinikum Fulda,False
036e61f39,ERN RARE-LIVER,False
048ycfv73,Klinikum Kassel,False
03kxagd85,Helios Dr. Horst Schmidt Kliniken Wiesbaden,False
05a27za87,ERN-RND,True
0279ntc65,ERN LUNG,False
03afbx254,Waldkrankenhaus Protestant Hospital,True
044fhy270,Carl-Thiem-Klinikum Cottbus,True
00pz6pe93,SRH Klinikum Karlsbad-Langensteinbach,False
016j3vn58,Marien Hospital Wesel,False
04whsde46,Dermatologikum Hamburg,False
046wdn896,Verbund Katholischer Kliniken Düsseldorf,True
05rpr6785,Landstuhl Regional Medical Center,True
008cac740,Rhön-Klinikum,False
00pjgxh97,Universitätsklinikum Tübingen,True
04x2ddb07,ERKNet,False
02na8dn90,Essen University Hospital,False
0030f2a11,Universitätsklinikum Erlangen,False
